codigo,descripcion,costo_lista6,unidad
212,GELAFUNDIN 4 SOL INY FLEX DE 500 ML,442,PZA
443,GENTAMICINA AMP DE 160 MG C/5 AMP,62.5,CAJA
1097,GENTAMICINA INY 80 MG C/5 AMP,62.5,CAJA
900,GLICERINA LIQUIDA DE 1 LITRO,136.5,LTR
H1456,GLUCOMETRO ACUTRREND GLUC/COL/TRI PZA,5416.6667,PZA
G105,GLUCOMETRO G-MATE,375,PZA
478,GLUCONATO DE CALCIO AMP 10 ML PZA,11.7,PZA
SD125,GLUTARALDEHIDO STERANIOS 2% 5 LT,648.33,PZA
140096,GORRO P/CIRUJANO DESECHABLE C/100,149.1667,C/100
103,GORRO P/PAC PLISADO AZUL C/100,125,C/100
103B,GORRO P/PAC PLISADO BLANCO C/100,125,C/100
G1589,GRADILLA DE PLASTICO PARA 40 TUBOS,163.3333,PZA
00564,GUANTE EST P/EXPLORA CH NAT C/100 UNISEAL,158.33,C/100
00565,GUANTE EST P/EXPLORA MED NAT C/100 UNISEAL,158.33,C/100
0049,GUANTE MULTI USOS ROJO,21.5,PZA
598,GUANTE NITRILO EST CH C/100 UNISEAL,208.33,C/100
600,GUANTE NITRILO EST GDE C/100 UNISEAL,208.33,C/100
599,GUANTE NITRILO EST MED C/100 UNISEAL,208.33,C/100
91,GUANTE NITRILO N/E CH AZUL C/100 AMBIDERM,108.33,C/100
00328,GUANTE NITRILO N/E CH AZUL COBALTO AMBIDERM,108.33,C/100
00276,GUANTE NITRILO N/E CH BCO C/100 AMBIDERM,108.33,C/100
G14589,GUANTE NITRILO N/E CH LILA C/100 AMBIDERM,108.33,C/100
00694,GUANTE NITRILO N/E CH MAGENTA C/100 AMBIDERM,108.34,C/100
00444,GUANTE NITRILO N/E CH NARANJA C/100 UNISEAL,120.83,C/100
AN4213,GUANTE NITRILO N/E CH NEGRO C/100 AMBIDERM,108.33,C/100
AN8011,GUANTE NITRILO N/E CH ROSA C/100 AMBIDERM,108.33,C/100
76498,GUANTE NITRILO N/E GDE NEGRO AMBIDERM,108.33,C/100
477,GUANTE NITRILO N/E GDE AZUL C/100 AMBIDERM,108.33,C/100
00340,GUANTE NITRILO N/E GDE AZUL C/100 DL,70.84,C/100
476,GUANTE NITRILO N/E MED AZUL C/100 AMBIDERM,108.33,C/100
00551,GUANTE NITRILO N/E MED AZUL OCEAN AMBIDERM,108.33,C/100
00563,GUANTE NITRILO N/E MED AZUL OCEAN UNISEAL,120.83,C/100
00275,GUANTE NITRILO N/E MED BCO C/100 AMBIDERM,108.33,C/100
00445,GUANTE NITRILO N/E MED NARANJA C/100 UNISEAL,133.33,C/100
AN1569,GUANTE NITRILO N/E MED NEGRO C/100 AMBIDERM,108.33,C/100
N1568690,GUANTE NITRILO N/E MED ROSA C/100 AMBIDERM,108.33,C/100
0066,GUANTE NITRILO N/E XCH NEGRO C/100 AMBIDERM,108.33,C/100
AN80111,GUANTE NITRILO N/E XCH ROSA C/100 AMBIDERM,108.33,C/100
1418,GUANTE NO EST DE LATEX AZUL CH C/100,100,C/100
1080,GUANTE NO EST DE LATEX AZUL MED C/100,100,CAJA
G1232,GUANTE NO EST DE LATEX COLORFULL MED C/100,100,C/100
6,GUANTE NO EST DE LATEX NAT PLUS CH C/100,100,C/100
1281,GUANTE NO EST DE LATEX NAT PLUS GDE C/100,100,C/100
9,GUANTE NO EST DE LATEX NAT PLUS MED C/100,100,C/100
G1234,GUANTE NO EST DE LATEX NEGRO CH C/100,100,C/100
G1236,GUANTE NO EST DE LATEX NEGRO GDE C/100,100,C/100
G1233,GUANTE NO EST DE LATEX NEGRO MED C/100,100,C/100
G123,GUANTE NO EST DE LATEX ROSA CH C/100,100,C/100
G1231,GUANTE NO EST DE LATEX ROSA MED C/100,100,C/100
1142,GUANTE NO EST LATEX NAT CONFOR XCH C/100,100,C/100
1002,GUANTE P/CIRUJANO 6.0 AMBIDERM C/50,291.67,C/50
1408,GUANTE P/CIRUJANO 6.5 AMBIDERM C/50,291.67,C/50
00609,GUANTE P/CIRUJANO 6.5 GAMMEX C/50,1165,C/50
2065,GUANTE P/CIRUJANO 7.0 AMBIDERM C/50,291.67,C/50
1046,GUANTE P/CIRUJANO 7.5 AMBIDERM C/50,291.67,C/50
1334,GUANTE P/CIRUJANO 8.0 AMBIDERM C/50,291.67,C/50
00398,GUANTE P/CIRUJANO PROTEXIS 6.5 C/50 PRS,875,C/50
00146,GUANTE P/CIRUJANO PROTEXIS 7.0 C/50 PRS,875,C/50
G14523,GUANTE P/CIRUJANO PROTEXIS 7.5 C/50 PRS,875,C/50
00375,GUANTE P/CIRUJANO PROTEXIS 8.0 C/50 PRS,840,C/50
808,HEPARINA DE 1000 UDS 10 ML,126.9775,PZA
00195,HEPARINA DE 5000 UDS 10 ML,321.6667,PZA
719,HESTAR 10 G/100 ML DE 500 ML PZA,555.84,PZA
735,HIDRATANTE PARA MONSEL,100,pz
848,HIDROCORTISONA 100 MG/2ML FA,41.6667,PZA
HI500,HIDROCORTISONA 500 MG/2ML FA,62.5,PZA
AM10,HOJA DE BISTURI # 10 C/100 AMBIDERM,266.6667,CAJA
AM11,HOJA DE BISTURI # 11 C/100 AMBIDERM,266.6667,CAJA
AM12,HOJA DE BISTURI # 12 C/100 AMBIDERM,266.6667,CAJA
00380,HOJA DE BISTURI # 15 C/100 AL CARBON AMBIDERM,160.8,C/100
A313,HOJA DE BISTURI # 15 C/100 AMBIDERM,266.6667,CAJA
00409,HOJA DE BISTURI # 15 C/100 DENTILAB,234.4,C/100
AM20,HOJA DE BISTURI # 20 C/100 AMBIDERM,266.6667,CAJA
AM21,HOJA DE BISTURI # 21 C/100 AMBIDERM,266.6667,CAJA
1169,HYPAFIX 10 X 10 MTS CVE 71443-02,293.33,PZA
7237801,HYPAFIX 10 X 10 MTS TRANS P CVE 7237801,805.83,PZA
5112,IBUPROFENO TAB DE 400 MG C/10,20.8333,C/10
813,IBUPROFENO TAB DE 600 MG C/10,29.1667,C/10
697,IBUPROFENO TAB DE 800 MG C/10,37.5,C/10
3M1250,INDICADOR QUIMICO P/VAPOR C/240 CVE 1250,612.25,CAJA
00291,INFUSOR HOME PUMP 60ML/2ML,591.66,PZA
95362,INSULEX R FCO DE 10 ML 100UI/ML PZA,388.33,pz
00720,ISORBID SUB 5 MG 40 T,235.21,C/40
00577,ISORBID SUBL 5MG C/40,226.66,C/40
00177,ISOSORBIDE 5MG C/20,48.75,PZA
0035,ITALDERMOL GASA C/10 PZAS,755.8333,CAJA
0051,JABON LIQUIDO PARA TRASTES,196.6667,LITRO
0060,JERGA USO RUDO METRO,15.8333,PZA
3249133,JERINGA DE 0.3 ML AG 31 X 6 C/10 BD CVE 324913,45.8333,C/10
00410,JERINGA DE 0.3 ML AG 31 X 6 C/100 BD CVE 324916,448,C/100
00283,JERINGA DE 0.3 ML AG 31 X 6 C/100 DL,208.3333,C/100
J0.330,JERINGA DE 0.3 ML AG 31 X 6 C/30 BD CVE 326785,147.5,C/30
00107,JERINGA DE 0.3 ML AG 31 X 8 C/100 NIPRO,212.5,C/100
9856,JERINGA DE 0.5 ML AG 31 X 6 C/100 BD 326679,595.84,C/100
00506,JERINGA DE 0.5 ML AG 31 X 6 C/100 BD CVE 324917,428.33,C/100
05M3106,JERINGA DE 0.5 ML AG 31 X 6 C/100 TERUMO,386.66,C/100
0072,JERINGA DE 0.5 ML AG 31 X 6 C/30 BD,104.1667,C/30
53108,JERINGA DE 0.5 ML AG 31 X 8 C/100 BD 326713,568.75,C/100
00273,JERINGA DE 0.5 ML AG 31 X 8 C/100 DL,208.3333,C/100
N318,JERINGA DE 0.5 ML AG 31 X 8 C/100 NIPRO,197,C/100
JK145,JERINGA DE 1 ML AG 25 X 16 C/100 NIPRO,170.8333,C/100
BD2713,JERINGA DE 1 ML AG 27 X 13 C/100 BD 326716,305,C/100
D01T2713IB,JERINGA DE 1 ML AG 27 X 13 DESMON NIPRO,208.3333,C/100
JD01U2713,JERINGA DE 1 ML AG 27 X 13 FIJA C/100 NIPRO,214.1667,C/100
64,JERINGA DE 1 ML AG 30 X 13 C/100 BD 326709,583.33,C/100
326787,JERINGA DE 1 ML AG 31 X 6 BD C/30 PZ 326787,147.5,C/100
00447,JERINGA DE 10 ML AG 20 X 38 C/100 AMBIDERM,170.83,C/100
J102132,JERINGA DE 10 ML AG 21 X 32 C/100 AMBIDERM,170.8333,C/100
BD2232,JERINGA DE 10 ML AG 21 X 32 C/100 BD,470.83,C/100
00391,JERINGA DE 10 ML AG 21 X 32 C/100 NIPRO,244.16,C/100
BD1021,JERINGA DE 10 ML AG 21 X 40 C/100 BD,541.67,C/100
G15896,JERINGA DE 10 ML AG 22 X 32 C/100 AMBIDERM,170.83,C/100
NIP2232,JERINGA DE 10 ML AG 22 X 32 C/100 NIPRO,244.16,C/100
139,JERINGA DE 20 CC S/A TERUMO,286,CAJA
00443,JERINGA DE 20 ML S/A PZA BD 990687,5.81,c/250
00530,JERINGA DE 20 ML S/A C/250 BD,1543.33,C/250
00462,JERINGA DE 20 ML S/A C/50 DL,146.66,C/50
NIP20SA,JERINGA DE 20 ML S/A C/50 NIPRO,185.83,C/50
J32132,JERINGA DE 3 ML AG 21 X 32 C/100 AMBIDERM,116.6667,C/100
105,JERINGA DE 3 ML AG 21 X 32 C/100 BD,261.8,C/100
00484,JERINGA DE 3 ML AG 21 X 32 C/100 NIPRO,160,C/100
00397,JERINGA DE 3 ML AG 21 X 40 C/150 BD,432,C/150
00541,JERINGA DE 3 ML AG 22 X 32 C/100 AMBIDERM,116.66,C/100
1511,JERINGA DE 3 ML AG 22 X 32 C/100 NIPRO,179.1667,C/100
803,JERINGA DE 3 ML AG 23 X 25 C/100 AMBIDERM,167.5,C/100
NI2325,JERINGA DE 3 ML AG 23 X 25 C/100 NIPRO,170.2417,C/100
958,JERINGA DE 3 ML AG 25 x 16 C/100 NIPRO,160,C/100
00446,JERINGA DE 5 ML AG 20 X 38 C/100 AMBIDERM,141.66,C/100
J52132,JERINGA DE 5 ML AG 21 X 32 C/100 AMBIDERM,141.6667,C/100
54,JERINGA DE 5 ML AG 21 X 32 C/100 BD,337.9,C/100
N2132,JERINGA DE 5 ML AG 21 X 32 C/100 NIPRO,183.3333,C/100
00486,JERINGA DE 5 ML AG 21 X 40 C/100 BD,337.9,C/100
NY5,JERINGA DE 5 ML AG 22 X 32 C/100 BD,320.83,C/100
NI2232,JERINGA DE 5 ML AG 22 X 32 C/100 NIPRO,175,C/100
802,JERINGA DE 50 ML S/A (PZA) BD CVE 309653,35,PZA
1029,JERINGA DE 50 ML S/A C/20 TERUMO,166.6667,C/20
00114,JERINGA DE 50 ML S/A C/25 NIPRO,222.08,C/25
NIP50SA,JERINGA DE 50 ML S/A C/30 NIPRO,269.16,C/30
496,JERINGA DE ASEPTO 60 ML ESTERIL,35.83,PZA
00464,JERINGA PERA DE HULE Nº 1 AA11900,19.59,PZA
00321,KENACORT 40 MG,513.3333,PZA
00648,KENALOG 10,1205,PZA
00647,KENALOG 40,1205,PZA
100333,KETOPROFENO AMP DE 100 MG C/3 IV,295,CAJA
0028,KETOPROFENO AMP DE 100 MG C/6 IM,208.3333,CAJA
KET30,KETOROLACO AMP 30 MG C/3,13.3333,C/3
178,KETOROLACO TAB 10 MG C/10,8.75,C/10
00638,KRIT 500 ML CVE 33,56.88,PZA
480,LANCETA DESECH MANUAL C/250 RUIZ S,526.6667,CAJA
00191,LANCETA ESTANDAR C/100 MISAWA,79.1667,C/100
2097,LANCETA ESTANDAR C/50 DL,95.8333,CAJA
1122,LAPIZ MARCADOR DE PIEL CVE 31145926,35,PZA
0032,LAPIZ P/ELECTROCAUTERIO C/CABLE TIPO VL PZA,92.0833,PZA
K48963,LAVA OJOS DE CRISTAL (PZA),125,PZA
0068,LEUKO PARCHE OCULAR 5 X 7.6 C/30 7646600,135.8333,CAJA
00583,LEVOFLOXACINO 500MG TAB C/7,18.33,C/7
00166,LIDOCAINA 2% HCI C/EPIN ZEYCO C/50,525,C/50
859,LIDOCAINA SPRAY 10% C/115 ML PZA,145.8333,PZA
J1456,LIDOCAINA UNG 5% 35 GMS PZA,25.8333,PZA
690,LIGADURA DESECHABLE ESTANDAR,15,PZA
00659,LIMPIADOR DE PUNTA P/ELECTROBISTURI CVE 8101,0,PZA
0061,LIMPIADOR MULTIUSOS 1 LITRO,29.1667,PZA
0055,LIMPIADOR PARA DUELA DE 3.6,241.6667,PZA
08954,LINEA PARA MUESTREO DE GAS (MEDLINE),62.5,PZA
00308,LLAVE DE 3 VIAS C/ALARGADERA 10 CM 16500C,38.82,PZA
852963,LLAVE DE 3 VIAS C/EXT DL (PZA),12.9167,PZA
00562,LLAVE DE 3 VIAS S/EXT DL (PZA),7.91,PZA
00105,LLAVE DE 3 VIAS S/EXT NIPRO (PZA),10,PZA
00176,LOCION REMOV. SOBRE C/15 ML C/20 CVE8610,684.1667,C/20
5650,LONACTENE RT 100 MCG C/1 AMP,920,PZA
51171702,LOPERAMIDA TAB DE 2 MG C/12,9.5833,CAJA
1089,LORATADINA 10 MG C/10,13.3333,PZA
255,LUBRI G TUBO DE 135 GRMS PZA,41.67,PZA
706,LUBRICAINA TUBO DE 135 G PZA,49.17,PZA
00020,LUGOL SOLUCION DE 1 LITRO,508.33,LTR
00335,LYSOL DESIFECTANTE EN AEROSOL,0,PZA
M15,MALLA DE POLIPROPILENO DE 15 X 15 CVE MP12,962.5,PZA
M30,MALLA DE POLIPROPILENO DE 30 X 30 CVE MP13,1644.17,PZA
00500,MALLA NEOFLEX 30 X 30 CVE MPGC07,7288.33,PZA
1381,MANGO DE BISTURI # 3 H.P.,75,pz
158769,MARIPOSA CAL 21 C/50 PZA,569.16,CAJA
M152563,MARIPOSA CAL 23 C/50 PZA,569.16,CAJA
00106,MARIPOSA CAL 25 C/50 PZA,569.16,CAJA
1062,MARTILLO TAYLOR P/REFLEJOS,108.3333,PZA
517,MASCARILLA C/RESERVORIO ADULTO HUD1060,39.71,PZA
484,MASCARILLA C/RESERVORIO PEDIATRICA HUD1011,37.91,PZA
00733,MASCARILLA LARINGEA DESCH # 1,208.34,PZA
00739,MASCARILLA LARINGEA DESCH # 1.5,208.34,PZA
00734,MASCARILLA LARINGEA DESCH # 2,208.34,PZA
00740,MASCARILLA LARINGEA DESCH # 2.5,208.34,PZA
0042,MASCARILLA LARINGEA DESCH # 3,208.34,PZA
0043,MASCARILLA LARINGEA DESCH # 4,208.34,PZA
00735,MASCARILLA LARINGEA DESCH # 5,208.34,PZA
00480,MASCARILLA LARINGEA FLEXICARE # 4,208.34,PZA
00612,MASCARILLA LARINGEA I-GEL # 3,0,PZA
00613,MASCARILLA LARINGEA I-GEL # 4,0,PZA
00689,MASCARILLA LARINGEA SUPR # 2,628.33,PZA
00690,MASCARILLA LARINGEA SUPR # 3,628.33,PZA
00691,MASCARILLA LARINGEA SUPR # 4,628.33,PZA
00692,MASCARILLA LARINGEA SUPR # 5,628.33,PZA
00242,MASCARILLA P/ OXIGENO ADULTO HUDRH041U,36.83,PZA
00678,MASCARILLA P/ OXIGENO PEDIATRICA HUD1042,36.83,PZA
447,MASCARILLA PARA ANESTESIA # 1,62.5,PZA
205,MASCARILLA PARA ANESTESIA # 2,62.5,PZA
206,MASCARILLA PARA ANESTESIA # 3 VERDE,62.5,PZA
208,MASCARILLA PARA ANESTESIA # 4 ROJA,62.5,PZA
207,MASCARILLA PARA ANESTESIA # 5 AZUL,62.5,PZA
00448,MECLIZINA/PIRIDOXINA VO-REMI 5 AMP,61.3,C/5
00457,MECLIZINA/PIRIDOXINA VO-REMI SOL 15ML,43.33,PZA
00471,MEDIA TED CHICA CORTA / RODILLA CVE 3071,218.34,PZA
913,MEDIA TED CHICA LARGA AL MUSLO CVE 3222,218.34,PZA
00472,MEDIA TED GRANDE CORTA / RODILLA CVE 3634,218.34,PZA
174,MEDIA TED GRANDE LARGA AL MUSLO CVE 3856,218.34,PZA
175,MEDIA TED MEDIANA LARGA AL MUSLO CVE 3549,218.34,PZA
00545,MEDIA TED XL GRANDE LARGA AL MUSLO CVE,218.34,PZA
00433,MEROPENEM DE 1 GRAMO,208.33,PZA
00495,MEROPENEM DE 500 MG C/1 PISA,506.67,PZA
0096,MESA DE MAYO CON CHAROLA,1083.3333,PZA
415263256,METAMIZOL AMP 1G/2ML C/3,23.33,C/3
61522,METILPREDNISOLONA 40MG / 2ML C/1,63.33,PZA
792,METILPREDNISOLONA 500MG / 8 ML PZA,324.17,PZA
192,METOCLOPRAMIDA AMP 10 MG C/6,32.5,CAJA
1410,METOCLOPRAMIDA TABLETAS DE 10 MG C/20,8.75,CAJA
00679,METOPROLOL TAB 100 MG C/20,11.67,C/20
975,METRONIDAZOL 500 MG C/30 TAB,16.121,pz
1375,"METRONIDAZOL C/NISTATINA, OVULOS 500 MG",45.84,pz
61,METRONIDAZOL SOL DE 500MG / 100ML C/100ML,47.2,pz
00102,MICROCANULA 16G X 90 PZA SOFTFIL,219.23,PZA
00292,MICROCANULA 18G X 70 PZA DERMASCULPT,164.1667,PZA
0091,MICROCANULA 18G X 70 PZA SOFTFIL,229.67,PZA
1458963,MICROCANULA 22G X 50 PZA DERMASCULPT,164.1667,PZA
2340,MICROCANULA 22G X 50 PZA SOFTFIL,229.67,PZA
00425,MICROCANULA 22G X 70 PZA SOFTFIL,192,PZA
00426,MICROCANULA 22G X 90 PZA SOFTFIL,233.46,PZA
23500,MICROCANULA 23G X 50 PZA DERMASCULPT,164.5833,PZA
2350,MICROCANULA 23G X 50 PZA SOFTFIL,229.67,PZA
00463,MICROCANULA 25G X 40 PZA DERMASCULPT,145.83,PZA
00528,MICROCANULA 25G X 40 PZA SOFTFIL,200,PZA
145666,MICROCANULA 25G X 50 PZA DERMASCULPT,164.1667,PZA
25X50,MICROCANULA 25G X 50 PZA SOFTFIL,229.67,PZA
00527,MICROCANULA 27G X 40 PZA SOFTFIL,200,PZA
SF2,MICROCANULA 27G X 50 PZA SOFTFIL,229.67,PZA
00174,MICROCLAVE C/EXT 20CM 2 VIAS REF 4023637,128.33,PZA
00264,MICROCLAVE CLEAR 18CM 3 VIAS CVE 4036587,158.33,PZA
00372,MICROCLAVE CLEAR CONECTOR CVE 011MC100,90.83,PZA
00451,MICRODACYN SOL DE 120 ML,173.33,PZA
507,MICRODACYN SOL DE 240 ML,280.83,PZA
00600,MICRODACYN SOL DE 60 ML,118.33,PZA
00209,MICROLAX ENEMA 90 MG/9MG/4ML,213.43,CAJA
73,MICRONEBULIZADOR C/MASCARILLA ADULTO,40.83,PZA
74,MICRONEBULIZADOR C/MASCARILLA PEDIATRICO,40.83,PZA
155,"MICROPORE BLANCO 1"" (2.5 CM) C/12 PZAS",183.3333,C/12
109,"MICROPORE BLANCO 1/2 "" (1.25 CM) C/24 PZAS",183.3333,C/24
110,"MICROPORE BLANCO 2"" (5 CM) C/6 PZAS",183.3333,C/6
102,"MICROPORE PIEL 1"" (2.5 CM) C/12 PZAS",291.6667,C/12
466,"MICROPORE PIEL 1/2"" (1.25 CM) C/24 PZAS",291.6667,C/24
648,"MICROPORE PIEL 2"" (5 CM) C/6 PZAS",291.6667,C/6
0030,MINITRAN 18 MG C/10,813.33,CAJA
M14563,MIRTAZAPINA DE 15 MG C/10 TAB,486.6667,CAJA
44,MISOPROSTOL TAB 200 MCG C/28,209.1667,C/28
00718,MONOCRYL 3-0 SH 70 1/2 26 MM C/36 CVE MCP316H,7485,C/36
A56,MULTICAMPO HENDIDO EST 60 X 70 PZA AMBIDERM,16.1417,PZA
55,MULTICAMPO HENDIDO EST 70 X 50 C/10 PZS,245.83,C/10
00507,MUPIROCINA UNG 15 G,101.66,PZA
S1899,NAFAZOLINA 1 MG 1 ML SOL NASAL DE 15 ML,104.1667,PZA
B45896,NAPROXENO SODICO DE 550 MG C/12 TAB,29.12,CAJA
00436,NEBAPOL UNG DE 30 GRAMOS,360.83,PZA
00658,NEOSPORIN DERM 30 G,0,PZA
00152,NEOSTIGMINE 0.5 C/6 AMP 1 ML,374.83,C/6
00358,NEUROSPNG09 NEURO 0.5X3 C/10,120,C/10
15963,NEXT TABLETAS DE 500 MG,40,CAJA
00205,NIFEDIPINO 30 MG C/30,38.3333,PZA
00637,NIOGERMOX 8% SOL 6.6 ML,878.33,PZA
PE1941N,NYLON 0 19MM 3/8 R/C 45CM CVE PE1941 C/12,485.83,C/12
PE2441,NYLON 0 24MM 3/8 R/C 75CM CVE PE2441 C/12,495,C/12
R2641,NYLON 0 26MM 75CM CVE R2641 C/12,495,C/12
P3748,NYLON 1 37MM 1/2 75CM CVE G3748 C/12,464.1667,C/12
00741,NYLON 10-0 6MM 3/8 D/A 30CM EE6X2 C/12,4151.12,C/12
PE1942N,NYLON 2-0 19MM 3/8 R/C 45CM CVE PE1942 C/12,485.83,C/12
PE2442,NYLON 2-0 24MM 3/8 R/C 45CM CVE PE2442 C/12,495,C/12
PE1943N,NYLON 3-0 19MM 3/8 R/C 45CM CVE PE1943 C/12,485.83,C/12
PE2443,NYLON 3-0 24MM 3/8 R/C 45CM CVE PE2443 C/12,495,C/12
PE1344,NYLON 4-0 13MM 3/8 R/C 45CM CVE PE1344 C/12,541.6667,C/12
PE1944N,NYLON 4-0 19MM 3/8 R/C 45CM CVE PE1944 C/12,485.83,C/12
PE2444,NYLON 4-0 24MM 3/8 R/C 45CM CVE PE2444 C/12,495,C/12
PE1245N,NYLON 5-0 12MM 3/8 R/C 45CM CVE PE1245 C/12,589.1667,C/12
PE1345,NYLON 5-0 13MM 3/8 R/C 45CM CVE PE1345 C/12,600,C/12
PE1945N,NYLON 5-0 19MM 3/8 R/C 45CM CVE PE1945 C/12,485.83,C/12
00521,NYLON 6-0 11MM 3/8 CE CVE PE1146-N C/12,716.66,C/12
CE124612,NYLON 6-0 12MM CE CVE CE12/1346 C/12,583.3333,C/12
00645,NYLON 6-0 16MM CVE PE1646N C/12,485.83,C/12
CE1946,NYLON 6-0 19MM CE CVE CE1946 C/12,485.83,C/12
PE1347,NYLON 7-0 13MM 3/8 CE CVE PE1347 C/12,657.5,C/12
H158963,OMEPRAZOL AMP DE 40 MG C/1,39.16,PZA
424,OMEPRAZOL CAPS DE 20 MG,12.5,PZA
1167,ONDANSETRON AMP 8 MG C/3,66.66,PZA
602,ORINAL GRADUADO C/TAPA,28.33,PZA
OSMO12,OSMOROL 20G/100 ML 250 ML MANITOL,71.67,PZA
684,OXIMETAZOLINA SOL NASAL ADULTO PZA,31.6667,PZA
00355,OXIMETAZOLINA SOL NASAL PEDIATRICO,28,PZA
299,PADS REDONDOS PROTEC C/100 CVE 217200,29.1667,C/100
00459,PAÑUELOS TIPO KLENEX C/90 AMBIDERM,15.784,C/90
00491,PAPEL HIGIENICO ELITE JUMBO 360 C/6,303.33,C/6
21555,PAPEL HIGIENICO FAPSA C /6 ROL. HD400,399.1667,CAJA
215,PAPEL HIGIENICO FAPSA C/12 ROL HD180,320,CAJA
00215,PAPEL HIGIENICO GM C/12 ROL. 180 MT,355.8333,CAJA
00337,PAPEL HIGIENICO TORK 1150 HD C/6,546,C/6
368,PAPEL TER. B/N SAT 110 X 18 UPP110HG C/10,3142.4,CAJA
P15682,PARACETAMOL AMP DE 1 G IV FCO (ACETIF),81.6667,PZA
00322,PARACETAMOL FCO 1G / 100 ML C/100 ML ZEUX,70.4167,PZA
773,PARACETAMOL TAB 500 MG C/10,7.0833,PZA
00441,PARACETAMOL TAB 650 MG C/24,24.16,CAJA
157896,PARACETAMOL/BUTILHIOSCINA TAB 500/10MG,75,PZA
00673,PARACETAMOL/NAPROXENO 100MG/125 SUSP,41.67,PZA
993,PARACETAMOL/NAPROXENO 300MG/275 TAB,29.1667,PZA
00021,PARCHES PARA ELECTROESTIMULADOR HERGOM,250,CAJA
286,PASTA DE MONSEL PZA,291.66,PZA
00333,PASTA DE MONSELYFAST PZA,236.8,PZA
0058,PASTILLA DE CLORO,53.3333,PZA
00749,PDS 3-0 70CM SH 1/2 26MM C/36 CVE PDP316H C/36,12897.03,C/36
00655,PDS 5-0 RB-1 75CM D/A17MM CVE Z320H C/36,13525,C/36
00368,PELICU BARRERA TOALLA C/30 ESENTA 423282,506.4,C/30
0063,PEPTO BISMOL 118 ML,43.3333,PZA
00510,PERISAFE IV KIT TUOHY 18 X 3 1/2 405163,387.5,PZA
3601,PGC25 0 36MM 1/2 70CM CVE SG3601 C/12,1541.6667,C/12
SG3608,PGC25 1 36MM 1/2 70CM CVE SG3608 C/12,1541.6667,C/12
PE1902,PGC25 2-0 19MM 3/8 R/C 70CM PE1902 C/12,1541.6667,C/12
PE2402B,PGC25 2-0 24MM 3/8 R/C 70CM PE2402 C/12,1884.17,C/12
SR2602,PGC25 2-0 26MM 1/2 70CM CVE SR2602 C/12,1541.6667,C/12
SG3602,PGC25 2-0 36MM 1/2 70CM CVE SG3602 C/12,1541.66,C/12
PE1903B,PGC25 3-0 19MM 3/8 R/C 70CM CVE PE1903B C/12,2023.33,C/12
PE2403B,PGC25 3-0 24MM 3/8 R/C 70CM CVE PE2403 C/12,1808,C/12
R2603,PGC25 3-0 26MM 1/2 70CM CVE SR2603 C/12,1541.6667,C/12
SG3603,PGC25 3-0 36MM 1/2 70CM CVE SG3603 C/12,1541.6667,C/12
00685,PGC25 4-0 17MM 1/2 70CM CVE SR1704 C/12,1105.83,C/12
PE1904B,PGC25 4-0 19MM 3/8 R/C 70CM CVE PE1904 C/12,1744.17,C/12
SR260436,PGC25 4-0 26MM 1/2 70CM CVE SR2604 C/12,1541.6667,C/12
SR1705,PGC25 5-0 17MM 1/2 70CM CVE SR1705 C/12,1541.6667,C/12
PE1905,PGC25 5-0 19MM 3/8 45CM CVE PE1905 C/12,1547.46,C/12
00625,PGLA90 2-0 70CM SR261/2 CVE SR26302,0,C/12
746,PINZA ADSON C/DIENTES 12 CM,79.1667,PZA
1382,PINZA ADSON S/DIENTES 12 CM,79.17,PZA
0075,PINZA ALLIS 15 CM RECTA,208.3333,PZA
00553,PINZA BIOPSIA BABY TISCHLER 25 CM,4904.16,PZA
00695,PINZA DE TRASLADO BARD PARKER,2466.67,PZA
1194,PINZA DISECCION C/ DIENTES 14 CM,79.1667,PZA
5000B,PINZA DISECCION S/ DIENTES 14 CM,79.1667,PZA
1188B,PINZA FOERSTER CURVA 24 CM,291.6667,PZA
00374,PINZA FOERSTER RECTA 14 CM,254.4,PZA
1188C,PINZA FOERSTER RECTA 24 CM,291.6667,PZA
00526,PINZA HARTMAN ALIGATOR 25 CM,1125,PZA
6000,PINZA KELLY CURVA DE 14 CM,227.5,PZA
713,PINZA KELLY RECTA DE 14 CM,225,PZA
00173,PINZA MAGUIL DE INTRODUCCION GRANDE,291.6667,PZA
823,PINZA MOSCO CURVA DE 12 CM AC INX,124.5,PZA
00547,PINZA POZZI 24 CM,375,PZA
3010,PINZA ROCHESTER RECTA 16 CM,280,PZA
1032,PINZA UMBILICAL PZA,10,PZA
1338,PISACAINA 2% AMP. 10 ML C/10,129.17,PZA
3,PISACAINA AL 2 % C/ EPINEFRINA CVE 40003,72.5,PZA
00155,PISACAINA SPRAY 10G / 100 ML,311.66,PZA
0027,PLACA PARA ELECTRO BIP/T/VALLEY PZA,100.75,PZA
PF100,PLACA PARA ELECTROCAUTERIO ADULTO FIAB,95.8333,PZA
00698,PLASMALYTE/ELECTROLITOS 500 ML C/30,7735,C/30
SG3671,POLIDIOXANONA 0 36MM 1/2 AUH VIOLETA 70CM,1404.1667,CAJA
SG3678,POLIDIOXANONA 1 36MM 1/2 AUH VIOLETA 70CM,1555,CAJA
00578,POLIDIOXANONA 2-0 24MM 1/2 PE2472,1560,C/12
