sku,ean,fuente,nombre,origen,imagen,nota
FC-34009181,3661434009181,dermaexpress,Uriage Age absolu Crema con retinol,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3661434009181_1.jpg?v=1727307874,
FC-69770447,3760269770447,dermaexpress,Isispharma Sensylia Aqua Solución Micelar,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/SensyliaAqua400ml.jpg?v=1645741173,
FC-79073176,5201279073176,dermaexpress,Apivita Jabón en barra natural con miel,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279073176_1.jpg?v=1729724773,
FC-34008818,3661434008818,dermaexpress,Uriage Jabón sólido Piel limpia,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3661434008818_1.jpg?v=1727303836,
FC-79444400,8429979444400,dermaexpress,Sesderma S-salises crema-gel,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/8429979444400_2.jpg?v=1746829882,
FC-11329905,8437011329905,dermaexpress,Babe Fluido Hidracalm corporal,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/8437011329905.jpg?v=1707864956,
FC-01231104,3760201231104,dermaexpress,Etat Pur Activo Puro Aloe Vera,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3760201231104.avif?v=1776204177,
FC-01231166,3760201231166,dermaexpress,Etat Pur Activo Puro D-Pantenol,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3760201231166.avif?v=1776204320,
FC-81001485,7703281001485,dermaexpress,Umbrella kids,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/7703281001485_8.jpg?v=1746824231,
FC-40038432,8430340038432,dermaexpress,Armstrong pilexil shampoo anticaspa,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/03_PS_SHAMPOO_CASPA_SECA_PILEXIL_2023.jpg?v=1744395966,
FC-71308612,3337871308612,dermaexpress,Vichy Agua termal mineralizante Estabiliza,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/cbcce2b5-9120-4a74-9723-c3109856358a.jpg?v=1746643551,
FC-89804518,7501089804518,dermaexpress,Armstrong LETI AT4,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/01_LETI_GEL_DE_BANO_2023.jpg?v=1686957186,
FC-06182544,7508006182544,dermaexpress,Panalab Aminoter Shampoo,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/AminoterShampoo300_7508006182544_05.jpg?v=1746829190,
FC-75847087,3337875847087,dermaexpress,La Roche-Posay Protector Solar Anthelios UVMune 400 Oil Control Fluido con color FPS 50+ para piel mixta,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/044a32f6-be1e-44f0-82da-ada69b3f7331.jpg?v=1746640862,
FC-71321963,3337871321963,dermaexpress,Vichy Agua termal mineralizante Estabiliza,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/415e21f4-4fc0-44ff-bc55-a42213bd4222.jpg?v=1746645109,
FC-02460125,7502002460125,dermaexpress,Farmapiel Cicafarm Quemaduras,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/7502002460125.jpg?v=1558459521,
FC-73697197,3401573697197,dermaexpress,Bioderma Nodé Shampoo Fluido sin Detergente,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3401573697197_f775b5da-a854-425e-8c13-ef433422e8a5.jpg?v=1559248165,
FC-02460682,7502002460682,dermaexpress,Farmapiel Perfect Main Cells Cream 30/45,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/7502002460682.jpg?v=1569247983,
FC-69770539,3760269770539,dermaexpress,Isispharma glyco-A Post Peeling,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/DERMAPOSTPEELING.jpg?v=1663191170,
FC-33844998,,dermaexpress,Tarjeta de Regalo 1500 $1,sin_ean,,tarjeta_o_sin_codigo
FC-57532733,,dermaexpress,Tarjeta de Regalo 1000 $1,sin_ean,,tarjeta_o_sin_codigo
FC-69770041,3760269770041,dermaexpress,Isispharma neotone Aqua Solución Micelar,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/NeotoneAqua250ml.jpg?v=1645889784,
FC-75596763,3337875596763,dermaexpress,Vichy Mineral 89 Ojos Hidrata,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3337875596763_12.jpg?v=1746649614,
