ean,nombre,marca,costo_derma,costo_bio_sin_iva,costo_bio_con_iva,pvp_ref,disp_derma,disp_bio_web,semaforo_derma,ganador_costo,precio_fc_derma_mas25,precio_fc_bio_mas25
3499320012485,Cetaphil PRO AR Espuma limpiadora facial para piel con enrojecimiento 236 ml,Cetaphil,552.0,480.0,556.8,,1,no,SIN_REF,empate,690,696
3499320012508,Cetaphil PRO AR Crema hidratante facial de noche para piel con enrojecimiento 50 ml,Cetaphil,620.0,465.0,539.4,,1,no,SIN_REF,Bioinstrumental,775,675
3499320012850,Cetaphil Loción limpiadora para piel sensible 473 ml,Cetaphil,401.0,450.0,522.0,574.0,1,no,AMARILLO,Dermaexpress,502,653
3499320015530,Cetaphil Gel limpiador facial para piel grasa 473 ml,Cetaphil,424.0,410.0,475.6,606.0,1,no,AMARILLO,Dermaexpress,530,595
3499320016575,Galderma Benzacare Power Patch para imperfecciones 36 piezas,Galderma,217.0,180.0,208.8,272.0,1,no,ROJO,Bioinstrumental,272,261
3504105025816,Mustela Crema para Rozaduras 50 ml,MUSTELA,125.0,115.0,133.4,,0,no,SIN_REF,Dermaexpress,157,167
3504105025878,Mustela Crema para Rozaduras 100 ml,MUSTELA,190.0,160.0,185.6,,1,no,SIN_REF,empate,238,232
3504105032937,Mustela Cicastela Crema Reparadora 40 ml,MUSTELA,235.0,191.82,222.51,,0,no,SIN_REF,Bioinstrumental,294,279
3504105033637,Mustela Stelatopia Gel Lavante 200 ml,MUSTELA,392.0,320.4,371.66,,1,no,SIN_REF,Bioinstrumental,490,465
3504105033828,Mustela Crema Prevención de Estrías 150 ml,MUSTELA,417.0,440.0,510.4,,0,no,SIN_REF,Dermaexpress,522,638
3504105034382,Mustela Shampoo Recién Nacido 150 ml,MUSTELA,259.0,185.0,214.6,,0,no,SIN_REF,Bioinstrumental,324,269
3504105034535,Mustela Aceite Prevención de Estrías 105 ml,MUSTELA,280.0,239.29,277.58,,0,no,SIN_REF,empate,350,347
3504105035501,Mustela Hydrabebé Loción Corporal 500ml.,MUSTELA,347.0,288.0,334.08,,1,no,SIN_REF,Bioinstrumental,434,418
3504105035532,Mustela Loción Corporal Cold Cream 200 ml,MUSTELA,226.0,211.5,245.34,,1,no,SIN_REF,Dermaexpress,283,307
3504105035617,Mustela Gel de Baño Suave 500 ml,MUSTELA,258.0,249.0,288.84,,1,no,SIN_REF,Dermaexpress,323,362
3504105035648,Mustela Crema Facial Cold Cream 40 ml,MUSTELA,157.0,140.0,162.4,,0,no,SIN_REF,Dermaexpress,197,203
3504105035815,Mustela Solución Limpiadora Sin Enjuague 300 ml,MUSTELA,220.0,185.0,214.6,,1,no,SIN_REF,empate,275,269
3504105035891,Mustela Hydrabebé Loción Corporal 300ml.,MUSTELA,247.0,206.96,240.07,,1,no,SIN_REF,empate,309,301
3504105036027,Mustela agua para peinar refrescante 200ml.,MUSTELA,200.0,180.0,208.8,,1,no,SIN_REF,Dermaexpress,250,261
3504105036102,Mustela Jabón Nutriprotector Cold Cream 100 gr,MUSTELA,135.0,140.0,162.4,,0,no,SIN_REF,Dermaexpress,169,203
3504105036126,Mustela Shampoo Suave 200 ml,MUSTELA,155.0,155.0,179.8,,0,no,SIN_REF,Dermaexpress,194,225
3504105036133,Mustela Shampoo Suave 500 ml,MUSTELA,258.0,190.0,220.4,,1,no,SIN_REF,Bioinstrumental,323,276
3504105036751,Mustela Protector Solar en Spray 200ml.,MUSTELA,810.0,727.55,843.96,,1,no,SIN_REF,Dermaexpress,1013,1055
3504105036768,Mustela Protector Solar Facial SPF50+ 40 ml,MUSTELA,399.0,320.0,371.2,,1,no,SIN_REF,Bioinstrumental,499,464
3504105037185,Mustela Bálsamo Universal 75 ml,MUSTELA,283.0,210.0,243.6,,0,no,SIN_REF,Bioinstrumental,354,305
3504105037772,Mustela Protector Solar Stick SPF50+ 9 ml,MUSTELA,323.0,270.0,313.2,,0,no,SIN_REF,Bioinstrumental,404,392
3504105037956,Mustela Bio Orgánico Gel de Baño 400 ml,MUSTELA,444.0,466.0,540.56,,0,no,SIN_REF,Dermaexpress,555,676
3504105038724,Mustela Bio Orgánico Gel de Baño Refill 400 ml,MUSTELA,412.0,405.0,469.8,,0,no,SIN_REF,Dermaexpress,515,588
3504105039844,Mustela Stelatopia Crema Relipidizante Corporal 150 ml,MUSTELA,451.0,460.0,533.6,,1,no,SIN_REF,Dermaexpress,564,667
3504105039875,Mustela Stelatopia Crema Relipidizante Corporal 300 ml,MUSTELA,680.0,630.0,730.8,,1,no,SIN_REF,Dermaexpress,850,914
3504105041458,Mustela Toallitas Húmedas Compostables 60 pz,MUSTELA,209.0,215.5,249.98,,1,no,SIN_REF,Dermaexpress,262,313
3504105043452,Mustela Shampoo en crema Desenredante y Nutritivo 200ml.,MUSTELA,195.0,196.1,227.48,,0,no,SIN_REF,Dermaexpress,244,285
3504108090743,Mustela Jabón en Barra para Piel Normal 100 gr,MUSTELA,83.0,70.0,81.2,,1,no,SIN_REF,empate,104,102
3592610002156,Dexeryl dermolimpiador en aceite 500 ml,Avene,399.0,380.0,440.8,499.0,1,no,ROJO,Dermaexpress,499,551
3592619321609,Ducray Dexeryl Crema hidratante para piel seca 500 gr,Ducray,359.0,340.0,394.4,449.0,1,no,ROJO,Dermaexpress,449,493
3701129800850,Bioderma Sensibio Gel Moussant gel micelar limpiador 100 ml,Bioderma,239.0,260.0,301.6,299.0,1,no,ROJO,Dermaexpress,299,377
3701129803431,Bioderma Photoderm Cover Touch FPS50+ con color tono dorado 40 ml,Bioderma,591.0,680.0,788.8,739.0,1,no,ROJO,Dermaexpress,739,986
3701129803714,Bioderma Photoderm M FPS50+ Protector solar facial contra el melasma tono Dorado 40 ml,Bioderma,639.0,710.0,823.6,799.0,1,no,ROJO,Dermaexpress,799,1030
3701129804193,Bioderma Atoderm Crema reparadora para manos y uñas 50 ml,Bioderma,132.0,133.12,154.42,165.0,1,no,ROJO,Dermaexpress,165,194
3760095250199,ACM Novophane K Shampoo anticaspa 125 ml,ACM,290.0,260.0,301.6,,1,no,SIN_REF,Dermaexpress,363,377
3760095252551,ACM Molutrex Tratamiento para afecciones cutáneas 3 ml,ACM,487.0,360.0,417.6,,0,no,SIN_REF,Bioinstrumental,609,522
4005800066061,Eucerin Sun Protector solar corporal textura extra ligera FPS50+ 150 ml,Eucerin,514.0,500.0,580.0,735.0,0,no,AMARILLO,Dermaexpress,643,725
4005800346583,Eucerin Anti-Pigment Gel limpiador facial 200 ml,Eucerin,426.0,400.0,464.0,609.0,1,no,AMARILLO,Dermaexpress,533,580
