ean,nombre,marca,costo_derma,costo_bio_sin_iva,costo_bio_con_iva,pvp_ref,disp_derma,disp_bio_web,semaforo_derma,ganador_costo,precio_fc_derma_mas25,precio_fc_bio_mas25
7703281002475,Italmex Umbrella Perfect Skin SPF50+ Tono oscuro Para todo tipo de piel 50 gr,Italmex,651.0,640.0,742.4,814.0,1,no,ROJO,Dermaexpress,814,928
7703333007700,Italmex Betagranulos Crema limpiadora para pieles grasas 60 gr,Italmex,466.0,450.0,522.0,583.0,1,no,ROJO,Dermaexpress,583,653
7897473206632,Glenmark Acni Pop Barra dermolimpiadora 90 gr,Glenmark,274.0,200.0,232.0,,0,no,SIN_REF,Bioinstrumental,343,290
7897930776616,Cetaphil Sun Oil Control Gel protector solar con color FPS50+ para piel grasa 50 ml,Cetaphil,424.0,355.41,412.28,530.0,1,no,ROJO,empate,530,516
797698113333,DS Spectral Lash Estimulante para pestañas 2.4 ml,D.S.,1167.0,980.0,1136.8,1459.0,1,no,ROJO,empate,1459,1421
8163780225642,D.S Revita suplemento anti-caída c/60 gummies.,D.S.,651.0,720.0,835.2,814.0,0,no,ROJO,Dermaexpress,814,1044
8163780226946,DS Revita Extra Strength Shampoo densidad capilar anticaída 205 ml,D.S.,610.0,540.0,626.4,763.0,0,no,ROJO,empate,763,783
8429420050921,Isdin Niogermox 8% Solución antimicótica en laca 3.3 ml,Isdin,583.8,610.0,707.6,834.0,1,no,AMARILLO,Dermaexpress,730,885
8429420084520,Isdin Bexident Post Tratamiento Colutorio Cuidado Bucal 250 ml,Isdin,500.5,640.0,742.4,715.0,1,no,AMARILLO,Dermaexpress,626,928
8429420084674,Isdin Bexident Post Tratamiento Gel Tópico Coadyuvante Reparador 25 ml,Isdin,315.0,285.0,330.6,450.0,1,no,AMARILLO,Dermaexpress,394,414
8429420096967,Isdin Niogermox 8% Solución antimicótica en laca 6.6 ml,Isdin,884.1,870.0,1009.2,1263.0,1,no,AMARILLO,Dermaexpress,1106,1262
