sku,nombre,tipo,principio_activo,costo,precio_fc,stock,tenia_ref,mejor_confianza,mejor_candidato,motivo
FC-36009661,Dualgos (Paracetamol/Ibuprofeno),generico,Paracetamol/Ibuprofeno,29.02,47.0,1.0,True,80,PARACETAMOL/IBUPROFENO 325MG/200MG 20TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-DB4A39AE,Eferox (Cefalexina),generico,Cefalexina,39.07,53.0,1.0,False,80,CEFALEXINA 500 MG 20 CAPSULAS,no comparable: nuestro catalogo sin concentracion
EQ-AVT205,Elaphterón 28 Tab 25 Mg,generico,Lamotrigina,25.4,41.0,1.0,False,70,LAMOTRIGINA 100 MG TABLETAS MASTICABLES 28 TABLETAS,no comparable: concentracion difiere ['25mg']≠['100mg']
FC-53506FA4,Enalapril,generico,ENALAPRIL,8.09,14.0,5.0,False,80,ENALAPRIL 10 MG 30 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-11783282,Erbitrax (Terbinafina) crema,generico,Terbinafina 1%,28.62,46.0,2.0,False,70,TERBINAFINA 250 MG 28 TABLETAS,no comparable: concentracion difiere ['30000mg']≠['250mg']
EQ-MAV295,Erispan Comp 10 Tab 5/0.25 Mg,generico,Loratadina / Betametasona,8.27,14.0,2.0,False,70,LORATADINA / BETAMETASONA  5 /.25 MG 10 TABLETAS,no comparable: concentracion difiere ['0.25mg']≠['25mg']
EQ-MAV187,Erispan Compuesto 1 Sol 5/100mg/60 Ml,generico,Loratadina / Betametasona,22.53,37.0,1.0,False,70,LORATADINA / BETAMETASONA 100/5 MG SOLUCION 60 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['100mg', '60ml']≠['5mg', '60ml']"
FC-02045312,Esencia de clavo Frasco gotero Herbotec,generico,Aceite de clavo,10.0,16.0,3.0,False,0,,sin resultados VTEX
FC-25300366,Espabion (Trimebutina)  gotas,generico,Trimebutina,25.67,75.0,1.0,False,72,TRIMEBUTINA 20MG/1M PEDIATRICO SUSPENSION GOTAS 30 ML 1 PIEZA,no comparable: forma difiere gotas≠suspension
EQ-PGE061,Esterinol 40 Caps 50000ui,generico,Retinol,24.91,40.0,1.0,False,70,PALMITATO RETINOL 50 MG 40 CAPSULAS,no comparable: concentracion difiere ['50000ui']≠['50mg']
FC-69200016,Estomaquil Polvo C/20,generico,Bismuto subsalicilato; Hidróxido de magnesio; Carbonato de calcio,98.79,133.37,1.0,False,72,SUBSALICILATO DE BISMUTO 24 TABLETAS MASTICABLES,no comparable: candidato sin tamano declarado
FMX-501619,Eucalin-Miel Jarabe C/120 Ml,generico,,44.46,72.0,1.0,False,0,,sin resultados VTEX
FC-9525015,Eucaliptine Jarabe 140 ml,generico,Dextrometorfano + Sulfoguayacol,107.0,195.0,1.0,False,43,DEXTROMETORFANO 300 MG JARABE 120 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (sulfoguayacol)
FC-08100013,Eucalín jarabe miel y propóleo 120 ml,generico,Mezcla de Plantas y propoleo,44.46,72.0,1.0,False,7,SIMILYPTUS / PROPOLEO / GORDOLOBO / EUCALIPTO JARABE 240 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (mezcla)
FC-01165298,Exhantil suspensión,generico,"Aluminio, magnesio, simeticona/ 3.4mg, 4mg, 0.5mg/100 mL",33.0,55.0,2.0,False,70,ALUMINIO 200 MG / MAGNESIO 200 MG / DIMETICONA 20 MG 50 TABLETAS MASTICABLES,"no comparable: concentracion difiere ['0.5mg', '100ml', '3.4mg', '320ml', '4mg']≠['200mg', '20mg']"
FC-20089077,Exzon tabletas masticables 490 mg C/90 sabor uva,generico,"Fibra soluble de maiz, bioflavonoides citricos, Bacillus coagulans, vitaminas A, C y D3",77.28,125.0,1.0,False,0,SIMICOF DIAB HEDERA HELIX / BUGAMBILIA / FIBRA SOLUBLE Y JUGO DE ARANDANO JARABE 120 ML 1 PIEZA,"no comparable: al competidor le faltan 3/4 principios activos (bioflavonoides, bacillus, vitaminas)"
EQ-LOE132,Faribrox Tm Adulto 1 Jbe 150 Ml,generico,Ambroxol / Dextrometorfano,23.19,56.0,1.0,False,70,AMBROXOL/ DEXTROMETORFANO 150/113MG JARABE INFANTIL 120ML,"no comparable: concentracion difiere ['150ml']≠['113mg', '120ml']"
EQ-HIS081,Farmarest Salbut 1 Susp/Aer 200do/125,generico,Salbutamol,33.99,55.0,2.0,False,80,SALBUTAMOL 5MG/1ML SOLUCION PARA NEBULIZACION 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-09741043,Fasiclor 125 mg/5 mL Frasco 75 mL Maver,generico,Cefaclor,49.85,116.0,1.0,False,70,CEFACLOR 500 MG 15 CAPSULAS,"no comparable: concentracion difiere ['125mg', '5ml', '75ml']≠['500mg']"
FC-01B2F362,Fasiclor 250 mg/ 5 mL,generico,CEFACLOR 250 mg/ 5 mL,81.18,127.0,1.0,False,70,CEFACLOR 250 MG SUSPENSION 75 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['250mg', '5ml']≠['250mg', '75ml']"
FC-83146207,Fazolin F,generico,Nafazolina,26.85,37.0,2.0,False,72,NAFAZOLINA SOLUCION OFTALMICA 15 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-09747168,Fedrimin (Teofilina/Ambroxol) 0.700-0.150 g/100 mL,generico,Teofilina/Ambroxol,34.25,58.0,1.0,False,70,TEOFILINA / AMBROXOL .7/.15 GR SOLUCION 150 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['100ml', '150mg', '150ml']≠['15000mg', '150ml']"
EQ-SON096,Fenimeth V 12 Ovs 500mg/100000 Ui,generico,Metronidazol / Nistatina,34.15,55.0,2.0,False,82,METRONIDAZOL / NISTATINA 12 OVULOS,no comparable: candidato sin tamano declarado
EQ-RAM014,Fermig Sumatriptan,generico,Sumatriptán,62.03,100.0,1.0,True,80,SUMATRIPTAN 100 MG 2 COMPRIMIDOS,no comparable: nuestro catalogo sin concentracion
EQ-HIS076,Fhaspem 3 Amp 20 Mg/1 Ml,generico,Hioscina,23.53,44.0,1.0,False,72,BUTILHIOSCINA  20MG/1ML SOLUCION INYECTABLE 3 AMPOLLETAS,no comparable: forma difiere inyectable≠solucion
EQ-MAV378,Flausiver 1 Gel 100 G,generico,,37.55,61.0,1.0,False,0,DIOSMINA / HESPERIDINA 450/50MG 20 TABLETAS,no comparable: concentracion difiere ['100000mg']≠['50mg']
EQ-MAV174,Flexiver Compuesto 10 Caps 215/15 Mg,generico,Meloxicam / Metocarbamol,40.06,65.0,1.0,False,70,MELOXICAM / METOCARBAMOL 15/215MG 10 CAPSULAS,no comparable: concentracion difiere ['15mg']≠['215mg']
EQ-MAV175,Flexiver Compuesto 20 Caps 215/7.5 Mg,generico,Meloxicam / Metocarbamol,43.87,71.0,1.0,False,70,MELOXICAM / METOCARBAMOL 15/215MG 10 CAPSULAS,no comparable: concentracion difiere ['7.5mg']≠['215mg']
FC-71800210,Floroglucinol / Trimetilfloroglucinol 80/80 mg,generico,,152.51,245.0,1.0,False,55,FLOROGLUCINOL / TRIMETILFLOROGLUCINOL 80/80MG 20 CAPSULAS,confianza 55 < 85
FC-5BC5F234,Fluconazol,generico,FLUCONAZOL,12.92,35.0,3.0,False,80,FLUCONAZOL 150MG 1 CAPSULA,no comparable: nuestro catalogo sin concentracion
FC-LV-AMS495,Fluconazol 10 cáps 100 mg,generico,Fluconazol,18.29,30.0,1.0,False,100,FLUCONAZOL 100 MG 10 CAPSULAS,precio 9.8x el costo
FC-LV-BEA420,Fluconazol 10 cáps 100 mg beadvance,generico,Fluconazol,17.35,28.0,1.0,False,100,FLUCONAZOL 100 MG 10 CAPSULAS,precio 10.3x el costo
FC-30713547,Gelcavit Colors capsulas 0.62 g C/30,generico,"Aceite de germen de trigo, vitaminas y minerales",42.43,68.0,1.0,False,0,,sin resultados VTEX
FC-MULIER30,Gelcavit Mulier capsulas 1.54 g C/30,generico,"Isoflavonas de soya, lecitina de soya, vitaminas y minerales",78.55,125.0,1.0,False,46,ISOFLAVONAS SOYA DR SIMI 30 TABLETAS,"no comparable: al competidor le faltan 3/4 principios activos (lecitina, vitaminas, minerales)"
FC-30713851,Gelcavit Platinum capsulas 1.39 g C/30,generico,"Coenzima Q-10, aceite de primula, aceite de germen de trigo, vitaminas y minerales",71.49,115.0,1.0,False,17,NAD/RESVERATROL/COENZIMA Q10 30 CAPSULAS,"no comparable: al competidor le faltan 4/5 principios activos (primula, germen, vitaminas)"
FC-13071164,Gelcavit Q-10 coenzima Q10 jalea real C/30,generico,coenzima Q10 jalea real,88.66,120.0,1.0,False,31,NAD/RESVERATROL/COENZIMA Q10 30 CAPSULAS,no comparable: al competidor le sobran principios activos (resveratrol)
FC-4F05124E,Gelcavit-9M cápsulas C/30,generico,,66.3,143.0,1.0,False,0,,sin resultados VTEX
FMX-501000,Gelcavit-Colors Capsulas C/30,generico,,42.43,68.0,1.0,False,0,,sin resultados VTEX
FMX-504790,Gelcavit-Gem Capsulas C/30,generico,,94.83,152.0,1.0,False,0,,sin resultados VTEX
FMX-500999,Gelcavit-Ho Capsulas C/30,generico,"Cápsulas con L Arginina, Lecitina y Vitaminas",72.56,117.0,1.0,False,42,SIMIPOWER PLUS VITAMINAS / MINERALES / ARGININA 60 CAPSULAS,no comparable: al competidor le faltan 1/3 principios activos (lecitina)
FMX-500998,Gelcavit-Platinum Capsulas C/30,generico,,71.49,115.0,1.0,False,0,,sin resultados VTEX
FMX-501003,Gelcavit-Q-10 Capsulas C/30,generico,,88.66,142.0,1.0,False,0,,sin resultados VTEX
FC-5C8C9C11,Gelubrin,generico,IBUPROFENO,15.21,30.0,3.0,False,80,IBUPROFENO 400 MG 10 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-40036354,Genoprazol tabletas C/7,generico,Omeprazol,24.5,34.0,2.0,False,80,OMEPRAZOL 20 MG 120 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-60F627D5,Gentamicina,generico,GENTAMICINA,52.57,84.12,2.0,False,0,,sin resultados VTEX
FC-63975795,Gentamicina,generico,GENTAMICINA,17.58,29.0,3.0,False,0,,sin resultados VTEX
FC-49026377,Gentamicina 160 mg solución inyectable 2 ml AMSA,generico,,12.71,32.0,1.0,False,0,,sin resultados VTEX
FC-428A228F,Gimalxina,generico,GIMALXINA,23.68,38.0,2.0,False,12,AMOXICILINA 500 MG 12 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-974EE5FD,Gimalxina 250 mg/ 5 mL,generico,amoxicilina,27.09,44.0,1.0,True,70,AMOXICILINA 250 MG SUSPENSION 75 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['250mg', '5ml']≠['250mg', '75ml']"
EQ-BIO112,Gristalit 1 Jbe 600/100mg/30 Ml,generico,Loratadina / Ambroxol,9.38,16.0,1.0,False,70,LORATADINA / AMBROXOL 100/600 MG SOLUCION 120 ML 1 PIEZA,"no comparable: concentracion difiere ['100mg', '30ml']≠['120ml', '600mg']"
FC-47521025,Hemoger (Sulfato ferroso) 300 mg,generico,Sulfato ferroso,56.3,91.0,1.0,False,70,SULFATO FERROSO 75MG/ML SOLUCION PEDIATRICA 50ML FERINSOL,"no comparable: concentracion difiere ['300mg']≠['50ml', '75mg']"
FC-A2B284E0,Hialuronato De Sodio 4Mg,generico,Hialuronato de sodio,113.89,148.06,1.0,True,72,HIALURONATO DE SODIO 4MG/ML SOLUCION OFTALMICA 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-25304142,Hidrigort (Difenhidramina) 50 mg,generico,Difenhidramina,10.11,17.0,2.0,False,70,DIFENHIDRAMINA 25 MG 30 CAPSULAS,no comparable: concentracion difiere ['50mg']≠['25mg']
FC-2E79C2D8,Hierro Dex,generico,Hierro dextrán,61.33,79.73,1.0,True,72,HIERRO DEXTRAN 100MG/2ML SOLUCION INYECTABLE 3 AMPOLLETAS,no comparable: nuestro catalogo sin concentracion
EQ-AMS209,Hipromelosa Oft 1 Sol 5mg/10 Ml,generico,Hipromelosa,24.86,40.0,2.0,False,70,HIPROMELOSA 0.5% SOLUCION OFTALMICA 15 ML 1 PIEZA,"no comparable: concentracion difiere ['10ml', '5mg']≠['15ml']"
FC-1812D26D,Hucius cápsulas,generico,,78.16,137.0,1.0,True,0,CASTAÑO INDIAS / RUSCUS 250MG/70MG ACULEATUS 30 CAPSULAS,no comparable: nuestro catalogo sin concentracion
EQ-MAV236,Ideliver Pro Duloxetina,generico,Duloxetina,59.45,102.0,5.0,True,80,DULOXETINA 30 MG 7 CAPSULAS LIBERACION RETARDADA,no comparable: nuestro catalogo sin concentracion
FC-F7A2CACF,Indarzona,generico,Indometacina / Dexametasona 25mg/0.5 mg,56.3,135.0,2.0,False,65,INDOMETACINA 25MG 30 CAPSULAS,no comparable: al competidor le faltan 1/2 principios activos (dexametasona)
EQ-LOE155,Indometacina 6 Supositorios 100 Mg,generico,Indometacina,92.35,148.0,1.0,False,70,INDOMETACINA 25MG 30 CAPSULAS,no comparable: concentracion difiere ['100mg']≠['25mg']
FC-262F2A30,Irbesartan,generico,IRBESARTAN,50.0,71.0,3.0,False,80,IRBESARTAN 150 MG 14 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-42700643,Irbesartán + HCTZ 150/12.5 mg 28 tabletas Camber,generico,,91.86,230.0,1.0,False,68,IRBESARTAN / HIDROCLOROTIAZIDA 150/12.5MG 14 TABLETAS,confianza 68 < 85
FC-42700629,Irbesartán 300 mg 28 tabletas LGEN,generico,,59.66,150.0,0,False,63,IRBESARTAN 150 MG 14 TABLETAS,no comparable: concentracion difiere ['300mg']≠['150mg']
EQ-AMS424,Irbesartán 300 mg C/14 AMSA,generico,Irbesartán,76.49,123.0,1.0,False,70,IRBESARTAN 150 MG 14 TABLETAS,no comparable: concentracion difiere ['300mg']≠['150mg']
FMX-302907,Iverkram Capsulas C/30,generico,PSIDIUM GUAJAVA/ MELISSA OFFICINALIS,66.62,119.0,1.0,False,0,,sin resultados VTEX
FC-62746605,Jarabe Ajolotiux Orig Con Miel,generico,Mezcla herbal con Vitaminas C & A,28.0,98.0,1.0,False,1,SIMIFILA CLOROFILA LIQUIDA SOLUCION 250 ML 1 PIEZA,confianza 1 < 85
FC-23111387,Jarabe dropropizina/bromhexina Quimpharma 100 mL,generico,Dropropizina + Bromhexina,70.37,113.0,1.0,False,70,DROPROPIZINA / BROMHEXINA 0.300/0.160GR 200ML SOLUCION ADULTO,"no comparable: concentracion difiere ['100ml']≠['160mg', '200ml']"
FC-08895196,KY6,generico,CLORFENAMINA COMPUESTA,9.31,15.0,5.0,True,80,CLORFENAMINA 4 MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-AMS328,Ketorolaco Inyectable,generico,Ketorolaco,11.33,19.0,3.0,False,72,KETOROLACO 10 MG  10 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-AMS160,Ketorolaco Sublingual,generico,Ketorolaco,9.19,15.0,3.0,True,80,KETOROLACO 10 MG  10 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-8FB65B79,Klarix,generico,CLARITROMICINA,81.67,111.0,1.0,True,72,CLARITROMICINA 250 MG 10 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-09740442,Klarix Claritromicina 250 mg 10 tabletas,generico,,44.88,113.0,2.0,False,80,CLARITROMICINA 250 MG 10 TABLETAS,confianza 80 < 85
FC-697EEAD0,Kurtosil,generico,Ácido fusídico / Betametasona,62.48,81.23,1.0,False,80,ACIDO FUSIDICO / BETAMETASONA 20/1MG CREMA 15 GR 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-08344716,La Femme vitaminas menopausia C/30,generico,,87.46,127.0,1.0,True,14,CIMICIFUGA RACEMOSA / VITAMINAS / ISOFLAVONAS DE SOYA 30 CAPSULAS GELATINA BLANDA,confianza 14 < 85
FMX-502700,La-Femme Capsulas C/30,generico,,87.46,140.0,1.0,False,0,CIMICIFUGA RACEMOSA / VITAMINAS / ISOFLAVONAS DE SOYA 30 CAPSULAS GELATINA BLANDA,confianza 0 < 85
FC-9890331,Lactiv Kids proteína soya probióticos sobres C/6,generico,,33.65,53.84,1.0,False,0,,sin resultados VTEX
FMX-503473,Lactiv Kids tabletas masticables uva C/30,generico,LACTOBACILLUS / BIFIDOBACTERIUM,28.48,46.0,1.0,False,25,GOMITAS LACTOBACILLUS ESPORULADOS 60 GOMITAS,no comparable: al competidor le faltan 1/2 principios activos (bifidobacterium)
FC-08344495,Lactopram infantil 150 mg sabor chocolate,generico,Lactobacillus,27.24,45.0,1.0,False,82,GOMITAS LACTOBACILLUS ESPORULADOS 60 GOMITAS,no comparable: candidato sin tamano declarado
FC-08344303,Ladexgel 300/2/10 mg,generico,,20.55,33.0,2.0,False,0,,sin resultados VTEX
FMX-300936,Lady-Femm Parche C/1,generico,HIERRO/CARBON ACTIVADO,18.48,30.0,2.0,False,0,,sin resultados VTEX
EQ-MAV182,Laritol D 10 Tab 30/5 Mg,generico,Fenilefrina / Loratadina,38.59,62.0,2.0,False,70,LORATADINA / FENILEFRINA 50/100MG JARABE INFANTIL 60 ML 1 PIEZA,"no comparable: concentracion difiere ['5mg']≠['100mg', '60ml']"
EQ-MAV115,Laritol Ex 10 Tab 30/5 Mg,generico,Loratadina / Ambroxol,21.66,35.0,2.0,False,70,LORATADINA / AMBROXOL 5/30 MG 10 TABLETAS,no comparable: concentracion difiere ['5mg']≠['30mg']
FMX-501200,Laritol loratadina solución 1 mg/ml 60 ml,generico,LORATADINA 1MG /1ML,20.67,34.0,1.0,False,70,LORATADINA 100MG/100ML JARABE 1 PIEZA,"no comparable: concentracion difiere ['1mg', '1ml', '60ml']≠['100mg', '100ml']"
EQ-SON264,Laur Solución Inyectable,generico,"Ampicilina, Metamizol, Guaifenesina, Lidocaína, Clorfenamina. 500mg/500mg/100mg/30mg/4mg",59.63,96.0,1.0,False,46,AMPICILINA 500 MG 20 CAPSULAS,"no comparable: al competidor le faltan 4/5 principios activos (metamizol, guaifenesina, lidocaina)"
FC-B69FCBF4,Lesaclor,generico,Aciclovir,72.03,116.0,1.0,True,80,ACICLOVIR 200 MG 25 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-B25094C4,Lesaclor,generico,ACICLOVIR,44.43,60.0,1.0,True,80,ACICLOVIR 4GR/100ML SUSPENSION 120 ML 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-C721E8D7,Levofloxacino,generico,LEVOFLOXACINO,18.77,31.0,2.0,False,80,LEVOFLOXACINO 750 MG 7 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-28833707,Levofloxacino 500 mg Caja con 7 tabletas beadvance,generico,Levofloxacino,18.77,31.0,2.0,False,100,LEVOFLOXACINO 500 MG 7 TABLETAS,precio 7.9x el costo
EQ-QUI096,Levonorgestrel / Etinilestradiol 0.15/0.03 mg C/21,generico,Levonorgestrel / Etinilestradiol,22.72,45.0,1.0,False,70,LEVONORGESTREL / ETINILESTRADIOL .15/.03 MG 28 TABLETAS,no comparable: concentracion difiere ['0.03mg']≠['3mg']
EQ-QUI127,Levonorgestrel / Etinilestradiol 0.15/0.03 mg C/28,generico,Levonorgestrel / Etinilestradiol,24.03,39.0,0,False,70,LEVONORGESTREL / ETINILESTRADIOL .15/.03 MG 28 TABLETAS,no comparable: concentracion difiere ['0.03mg']≠['3mg']
FC-04908738,Lidocaina unguento 5%,generico,Lidocaina 5%,23.3,38.0,1.0,False,70,LIDOCAINA  5/100GR (5%) UNGÜENTO 1 PIEZA,no comparable: concentracion difiere ['35000mg']≠['100000mg']
FC-E826D304,Lincomicina /2Ml 6 Ampolletas,generico,Lincomicina,44.04,62.21,2.0,True,72,LINCOMICINA 600MG/2ML SOLUCION INYECTABLE 6 AMPOLLETAS,no comparable: forma difiere inyectable≠solucion
EQ-SER117,Lisertil Tibolona,generico,Tibolona,256.42,400.0,1.0,False,80,TIBOLONA 30 TABLETAS 2.5 MG,no comparable: nuestro catalogo sin concentracion
EQ-NOV032,Lizovag Ketoconazol,generico,Ketoconazol,12.98,21.0,2.0,True,80,KETOCONAZOL 200 MG 10 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-BRL072,"Lo Bruquin Quinfamida, Albendazol",generico,Quinfamida / Albendazol,15.4,25.0,10.0,False,80,QUINFAMIDA / ALBENDAZOL 150/200MG 2 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-MAV331,Lonvitol 10 Amp .05/2.5 Mg/ 2.5 Ml,generico,Bromuro De Ipratropio / Salbutamol,69.83,112.0,1.0,False,49,IPRATROPIO / SALBUTAMOL SOLUCION PARA NEBULIZACION 10 AMPOLLETAS,no comparable: al competidor le faltan 1/2 principios activos (bromuro)
EQ-MAV043,Lorotec Ketorolaco,generico,Ketorolaco,5.96,10.0,4.0,True,80,KETOROLACO 10 MG  10 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-09749209,Lumboxen parche capsicum C/1,generico,Capsaicina + Alcanfor + Mentol + Salicilato de metilo,14.37,43.0,2.0,False,0,,sin resultados VTEX
FC-E69F2E63,Madrid Aceite Eucalipto,generico,Aceite de eucalipto,11.0,17.61,3.0,True,82,PALETAS SIMILYPTUS MENTOL / MIEL / EUCALIPTO CON PROPOLEO 16 PIEZAS,no comparable: candidato sin tamano declarado
EQ-SON089,Magnil 1 Jbe 250mg/5/100 Ml,generico,Metamizol Sódico,24.05,39.0,1.0,False,70,METAMIZOL SODICO  5G/100ML JARABE 120ML  1 PIEZA,"no comparable: concentracion difiere en parte ['100ml', '250mg']≠['100ml', '120ml', '5000mg']"
EQ-QUI091,Magsokon 1 Caja 26 G,generico,Sulfato de magnesio,15.61,34.0,1.0,False,70,SULFATO FERROSO 75MG/ML SOLUCION PEDIATRICA 50ML FERINSOL,"no comparable: concentracion difiere ['26000mg']≠['50ml', '75mg']"
FC-85278507,Manzanilla Sophia Solucion 15 ml,generico,Manzanilla (Matricaria chamomilla),63.41,86.0,1.0,False,14,BALSAMO FRIO CON EXTRACTO AISLADO DE CANNABIDIOL CBD / ALOE VERA /ARNICA / MANZANILLA 90 GR 1 PIEZA,"no comparable: al competidor le sobran principios activos (balsamo, arnica)"
EQ-COD060,Maracina Bencidamina,generico,Bencidamina 150mg/100 mL,25.02,41.0,2.0,False,70,BENCIDAMINA 45MG/100ML  SOLUCION 30 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['100ml', '150mg', '30ml']≠['100ml', '30ml', '45mg']"
EQ-CMD015,Materfol 90 Comp 0.4 Mg,generico,Ácido fólico,21.41,35.0,1.0,False,72,SAL DE UVAS PICOT BICARBONATO DE SODIO / ACIDO TARTARICO / ACIDO CITRICOPOLVO EFERVESCENTE 12 SOBRES,no comparable: candidato sin tamano declarado
EQ-SON091,Meclison 20 Tab 50/25 Mg,generico,Meclizina / Piridoxina,22.27,36.0,3.0,False,72,MECLOZINA / PIRIDOXINA SOLUCION INYECTABLE 1 AMPOLLETA,no comparable: candidato sin tamano declarado
FC-7048853,Melox Plus,generico,Hidroxido de aluminio + Hidroxido de magnesio + Simeticona,132.3,179.0,1.0,False,35,ALUMINIO 200 MG / MAGNESIO 200 MG / DIMETICONA 20 MG 50 TABLETAS MASTICABLES,"no comparable: al competidor le faltan 2/3 principios activos (hidroxido, hidroxido)"
EQ-AVT213,Menflixil 14 Tab 7.5 Mg,generico,Meloxicam,5.28,9.0,2.0,False,100,MELOXICAM 7.5 MG 14 TABLETAS,precio 7.6x el costo
EQ-ALP0628,Metamizol Sódico 3 Amp 1g/2 Ml,generico,Metamizol sódico,14.68,32.0,3.0,False,72,METAMIZOL 1 GR SOLUCION INYECTABLE 3 AMPOLLETAS,no comparable: forma difiere inyectable≠solucion
EQ-PYG016,Metanucil 1 Polvo Sabor Natural 504 G,generico,Plantago psyllium,0.01,150.0,0,False,70,PSYLLIUM PLANTAGO POLVO NATURAL 400 GR 1 PIEZA,no comparable: concentracion difiere ['504000mg']≠['400000mg']
FC-49024151,Metoclopramida inyectable 10 mg/2 mL C/6 AMSA,generico,Metoclopramida,21.0,34.0,1.0,False,72,METOCLOPRAMIDA 10 MG 20 TABLETAS,no comparable: forma difiere inyectable≠tableta
EQ-PHG017,Metronida/Diyohidro 1 Susp,generico,Metronida/Diyohidro,42.53,69.0,1.0,False,38,METRONIDAZOL / DIYODOHIDROXIQUINOLEINA SUSPENSION 120 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (diyohidro)
EQ-SON098,Metroson 1 Susp 250mg/5/120 Ml,generico,Metronidazol,21.66,35.0,1.0,False,70,METRONIDAZOL 5GR/100ML  SUSPENSION 120 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['120ml', '250mg']≠['100ml', '120ml', '5000mg']"
FC-50587FA6,Mexapin,generico,Ampicilina,13.93,25.0,3.0,True,80,AMPICILINA 1 GR SOLUCION INYECTABLE 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-04908714,Miconazol crema 2%,generico,,10.87,18.0,1.0,False,55,MICONAZOL 2 GR CREMA 20 GR 1 PIEZA,confianza 55 < 85
FC-58210379,Minociclina 100 mg C/10 Serral,generico,Clorhidrato de minociclina,340.0,400.0,1.0,False,70,TERBINAFINA CLORHIDRATO CREMA 15 GR 1 PIEZA,no comparable: concentracion difiere ['100mg']≠['15000mg']
EQ-QUM006,Mitafar 1 Susp 100mg/5/60 Ml,generico,Nitazoxanida,38.29,62.0,1.0,False,70,NITAZOXANIDA 500 MG 7 TABLETAS,"no comparable: concentracion difiere ['100mg', '60ml']≠['500mg']"
FC-06922711,Motilaxil gotas (Picosulfato de sodio) 7.5 mg/mL,generico,Picosulfato de sodio,27.53,45.0,1.0,False,72,PICOSULFATO DE SODIO SOLUCION GOTAS 30 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-06922728,Motilaxil solución (Picosulfato de sodio) 5 mg/5 mL,generico,Picosulfato de sodio,25.04,41.0,1.0,False,72,PICOSULFATO DE SODIO 5 MG 20 TABLETAS,no comparable: forma difiere solucion≠tableta
EQ-SER183,Murreolak Acetilcisteína,generico,Acetilcisteína,128.64,206.0,1.0,False,80,ACETILCISTEINA 600 MG 20 TABLETAS EFERVESCENTES,no comparable: nuestro catalogo sin concentracion
FC-E6112F15,Nalixone,generico,NALIXONE,63.32,102.0,2.0,False,0,ACIDO NALIDIXICO / FENAZOPIRIDINA 500/50 MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-AEA8C8DA,Namifen,generico,Ácido mefenámico,24.28,56.0,1.0,True,80,ACIDO MEFENAMICO 500 MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-9892403,Naturex citrato de magnesio y lecitina de soya C/30,generico,citrato de magnesio y lecitina de soya,45.3,73.0,1.0,False,55,MAGNESIO CITRATO 400MG 60 CAPSULAS,no comparable: al competidor le faltan 1/2 principios activos (lecitina)
EQ-SON104,Neoderm-F Cma,generico,"Acetónido de Fluocinolona / Neomicina, 0.01g, 0.35g/100 g",25.85,42.0,1.0,False,0,,sin resultados VTEX
EQ-BEA336,Neomi/Cao/Pecti 20tab 129/280/30 Mg,generico,Neomicina / Caolín y Pectina,36.89,60.0,3.0,False,82,NEOMICINA / CAOLIN / PECTINA 20 TABLETAS,no comparable: candidato sin tamano declarado
EQ-EXA045,Neomicina Polimixina-B Bacitracina Ung,generico,Neomicina / Polimixina B / Bacitracina,49.14,79.0,1.0,False,80,POLIMIXINA B / NEOMICINA / BACITRACINA UNGÜENTO 3.5GR 1 PIEZA,no comparable: nuestro catalogo sin concentracion
