prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo
89,HUECO,CUR,6,1553,VENDAS ADHESIVAS PARA NIÑOS CON FIGURAS 30 PIEZAS,,30,,Material de curación,"Higiene, curación y diagnóstico",24.01,6,10
90,HUECO,CUR,6,4397,PARCHE ADHESIVO (6X8) 5 PIEZAS CURAMED,,5,parche,Material de curación,"Higiene, curación y diagnóstico",24.0,6,10
91,HUECO,CUR,6,1090,TELA ADHESIVA SEDOSA 1.25CM X 5MTS 1 PIEZA,,1,,Material de curación,"Higiene, curación y diagnóstico",22.0,6,10
92,HUECO,CUR,6,1811,VENDA ELASTICA 15CM X 5MTS 1 PIEZA,,1,,Material de curación,"Higiene, curación y diagnóstico",22.0,6,10
93,HUECO,CUR,6,940,GASA 10X10 10 SOBRES,,10,sobre,Material de curación,"Higiene, curación y diagnóstico",21.0,6,10
94,HUECO,CUR,6,2879,JERINGA DESECHABLE 10ML 21G X 32MM 3 PIEZAS,10ml 21000mg,3,,Material de curación,"Higiene, curación y diagnóstico",21.0,6,10
95,HUECO,CUR,6,1357,VENDAS ADHESIVAS (VARIOS TAMAÑOS) 30 PIEZAS,,30,,Material de curación,"Higiene, curación y diagnóstico",21.0,6,10
96,HUECO,CUR,6,947,PLANTILLA ACOJINADA CABALLERO 1 PAR,,,,Material de curación,"Higiene, curación y diagnóstico",20.0,6,10
97,HUECO,CUR,6,948,PLANTILLA ACOJINADA DAMA 1 PAR,,,,Material de curación,"Higiene, curación y diagnóstico",20.0,6,10
98,HUECO,CUR,6,3250,CUBREBOCA DOCTOR SIMI TRIPLE PLIEGUE 3 PIEZAS,,3,,Material de curación,"Higiene, curación y diagnóstico",19.0,6,10
99,HUECO,CUR,6,963,JERINGA INFANTIL 3ML 23G X 25MM 4 PIEZAS,23000mg 3ml,4,,Material de curación,"Higiene, curación y diagnóstico",18.01,6,10
100,HUECO,CUR,6,933,CLORURO BENZALCONIO SOLUCION 40 ML 1 PIEZA,40ml,1,solucion,Material de curación,"Higiene, curación y diagnóstico",18.0,6,10
101,HUECO,CUR,6,917,JERINGA DESECHABLE 3ML 21G X 32MM 4 PIEZAS,21000mg 3ml,4,,Material de curación,"Higiene, curación y diagnóstico",18.0,6,10
102,HUECO,CUR,6,938,VIOLETA DE GENCIANA SOLUCION 40 ML 1 PIEZA,40ml,1,solucion,Material de curación,"Higiene, curación y diagnóstico",17.01,6,10
103,HUECO,CUR,6,1341,AGUA OXIGENADA SOLUCION 224 ML 1 PIEZA,224ml,1,solucion,Material de curación,"Higiene, curación y diagnóstico",17.0,6,10
104,HUECO,CUR,6,918,JERINGA DESECHABLE 5ML 21G X 32MM 3 PIEZAS,21000mg 5ml,3,,Material de curación,"Higiene, curación y diagnóstico",16.0,6,10
105,HUECO,CUR,6,851,VENDA ELASTICA 10CM X 5MTS DOCTOR SIMI 1 PIEZA,,1,,Material de curación,"Higiene, curación y diagnóstico",16.0,6,10
106,HUECO,CUR,6,954,ALGODON PAQUETE 50 GR 1 PIEZA,50000mg,1,,Material de curación,"Higiene, curación y diagnóstico",14.0,6,10
107,HUECO,CUR,6,1122,GUANTES ESTERIL 7 O 7.5 PARA CIRUGÍA 1 PAR,,,,Material de curación,"Higiene, curación y diagnóstico",14.0,6,10
108,HUECO,CUR,6,1342,CINTA MICROPOROSA PIEL 1.25CM X 5MTS 1 PIEZA,,1,,Material de curación,"Higiene, curación y diagnóstico",12.51,6,10
109,HUECO,CUR,6,964,CINTA MICROPOROSA BLANCA 1.25 X 10MTS 1 PIEZA,,1,,Material de curación,"Higiene, curación y diagnóstico",12.0,6,10
110,HUECO,CUR,6,931,VENDA ELASTICA 7.5CM X 5MTS 1 PIEZA,,1,,Material de curación,"Higiene, curación y diagnóstico",11.0,6,10
111,HUECO,CUR,6,968,VENDA ADHESIVA CAJA 10 PIEZAS,,10,,Material de curación,"Higiene, curación y diagnóstico",10.0,6,10
112,HUECO,CUR,6,1810,VENDA ELASTICA 5CM X 5MTS 1 PIEZA,,1,,Material de curación,"Higiene, curación y diagnóstico",10.0,6,10
