sku,nombre,costo,precio_actual,precio_similares,precio_propuesto,delta,margen_propuesto_pct,stock,nombre_similares,confianza,nuevo_match
EQ-JAY263,Diflosensi 28 Tab 10 Mg,335.5,537.0,799.0,798,261.0,58.0,1.0,DAPAGLIFLOZINA 10MG 28 TABLETAS (ASTRA),100,False
EQ-SOF041,Vixgoplisol 60 Tab 500 Mg,112.04,180.0,379.0,378,198.0,70.4,1.0,LEVETIRACETAM 500 MG 60 TABLETAS,100,False
EQ-AMS498,Popram 28 Tab 40 Mg,37.54,61.0,220.0,219,158.0,82.9,2.0,PANTOPRAZOL 40 MG 28 TABLETAS,100,True
EQ-MAI144,Figral 10 Tab 100 Mg,80.04,129.0,274.0,273,144.0,70.7,5.0,SILDENAFIL 100 MG 10 TABLETAS,100,True
EQ-MAI142,Figral 10 Tab 50 Mg,46.41,75.0,219.0,218,143.0,78.7,5.0,SILDENAFIL 50MG 10 TABLETAS,100,False
EQ-SER116,Cyrux 28 Tab 200 Mcg,222.22,356.0,499.0,498,142.0,55.4,1.0,MISOPROSTOL 200 MCG 28 TABLETAS,100,True
EQ-MAV198,Oxatech 14 Tab 10 Mg,26.46,8.27,149.0,148,139.73,82.1,3.0,OLANZAPINA 10 MG 14 TABLETAS,100,True
EQ-ACC066,Steryx 30 Tab 5 Mg,40.51,65.0,199.0,198,133.0,79.5,1.0,FINASTERIDA 5 MG 30 TABLETAS,100,False
EQ-MAV380,Esomeprazol 14 Tab 40 Mg,51.64,83.0,199.0,198,115.0,73.9,1.0,ESOMEPRAZOL 40 MG 14 TABLETAS,100,False
EQ-SER165,Estranim 10 Caps 75 Mg,116.19,186.0,299.0,298,112.0,61.0,1.0,OSELTAMIVIR 75 MG 10 CAPSULAS,100,True
EQ-AMS503,Sitagliptina 14 Comp 100 Mg,87.57,141.0,249.0,248,107.0,64.7,1.0,SITAGLIPTINA 100MG 14 COMPRIMIDOS,100,False
EQ-BEA468,Quetiapina,123.31,198.0,299.0,298,100.0,58.6,1.0,QUETIAPINA 100 MG 60 TABLETAS,100,False
EQ-AMS279,Popram pantoprazol 40 mg C/14,26.26,43.0,139.0,138,95.0,81.0,2.0,PANTOPRAZOL 40MG 14 GRAGEAS,100,True
EQ-SON220,Clotrimazol 1 Ov 500 Mg,27.55,45.0,139.0,138,93.0,80.0,1.0,CLOTRIMAZOL V 1 OVULO 500 MG,100,False
EQ-WER046,Mevedim 15 Tab 600 Mg,61.32,99.0,191.0,190,91.0,67.7,1.0,DIOSMINA 600 MG 15 COMPRIMIDOS,100,False
EQ-COL133,Nosipren 30 Tab 20 Mg,35.71,58.0,149.0,148,90.0,75.9,1.0,PREDNISONA 20 MG 30 TABLETAS,100,True
EQ-PGE059,Lorefic-D 30 Caps 4000 Ui,38.79,63.0,149.0,148,85.0,73.8,1.0,VITAMINA D3 (COLECALCIFEROL) 4000UI 30 TABLETAS MASTICABLES,92,False
FMX-502386,Guaxoquim Jarabe C/140 Ml,41.83,67.0,149.0,148,81.0,71.7,2.0,GUAIFENESINA/OXOLAMINA JARABE 140ML INFANTIL HISTIACIL,100,False
EQ-BIO100,Biostafex 10 Tab 120 Mg,29.94,48.0,129.0,128,80.0,76.6,2.0,FEXOFENADINA 120 MG PIRQUET 10 COMPRIMIDOS,100,False
FC-27875568,Desrotan fexofenadina 180 mg C/10,47.31,67.0,144.0,143,76.0,66.9,1.0,FEXOFENADINA 180 MG PIRQUET 10 COMPRIMIDOS,100,False
FC-82200016,Omeprazol Aktyzar,46.79,75.0,147.0,146,71.0,68.0,2.0,OMEPRAZOL 20 MG 120 CAPSULAS,100,False
EQ-MAV239,Linexel Venlafaxina,39.26,63.0,134.0,133,70.0,70.5,1.0,VENLAFAXINA 75 MG 20 CAPSULAS LIBERACION PROLONGADA,100,False
EQ-WER038,Charyn 3 Tab 500 Mg,24.98,40.0,110.0,109,69.0,77.1,6.0,AZITROMICINA 500 MG 3 TABLETAS,100,False
FC-01007199,Valclan 500 mg / 125 mg Caja con 10 tabletas Wandel,18.03,27.0,95.0,94,67.0,80.8,3.0,AMOXICILINA / ACIDO CLAVULANICO 500 MG 10 TABLETAS,100,False
FMX-301081,Hudiclor Tabletas 250 Mg C/28,94.19,168.0,229.0,228,60.0,58.7,1.0,TERBINAFINA 250 MG 28 TABLETAS,100,False
FC-16803800,Omeprazol Avivia,26.82,59.0,119.0,118,59.0,77.3,2.0,OMEPRAZOL 20 MG 60 CAPSULAS,100,False
FC-73909859,Sarox (Omeprazol) 20 mg,15.61,25.0,84.5,84,59.0,81.4,4.0,OMEPRAZOL 20 MG 28 CAPSULAS,100,False
EQ-AMS472,Citalopram 14 Tab 20 Mg,35.08,73.0,130.0,129,56.0,72.8,2.0,CITALOPRAM 20 MG 14 TABLETAS,100,False
EQ-ULT224,Telmisartán / Hidroclorotiazida 80/12.5 mg C/14,47.18,76.0,133.0,132,56.0,64.3,3.0,TELMISARTAN / HIDROCLOROTIAZIDA 80 /12.5 MG 14 TABLETAS,100,False
FC-49024175,Pioglitazona 30 mg AMSA,18.36,30.0,85.0,84,54.0,78.1,2.0,PIOGLITAZONA 30 MG 7 TABLETAS,100,False
FC-09741425,Fasiclor 500 mg Caja con 15 cápsulas Maver,137.92,221.0,274.0,273,52.0,49.5,0,CEFACLOR 500 MG 15 CAPSULAS,100,False
FC-9741524,Naturex colágeno hidrolizado tabletas C/60,41.06,60.0,112.01,111,51.0,63.0,1.0,SIMI COLAGENO TOPICO 60 CAPSULAS,86,True
EQ-AMS323,Sertralina 14 Tab 50 Mg,20.6,33.0,84.5,84,51.0,75.5,3.0,SERTRALINA 50 MG 14 TABLETAS,100,False
FC-49028913,Atorvastatina 40 mg Caja con 10 tabletas AMSA,26.35,65.0,116.0,115,50.0,77.1,2.0,ATORVASTATINA 40 MG 10 TABLETAS,100,False
EQ-MAI071,Krobicin 1 Susp 125mg/5/60 Ml,45.41,73.0,124.0,123,50.0,63.1,1.0,CLARITROMICINA 125 MG SUSPENSION 60 ML 1 PIEZA,100,False
EQ-FAC0057,Farmiver Infantil 1 Susp 100/400mg/10,22.93,37.0,87.0,86,49.0,73.3,1.0,LOXCELL QUINFAMIDA / ALBENDAZOL 200/400MG JUNIOR SUSPENSION 1 PIEZA,100,True
