prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo,fc_sku,fc_nombre,fc_marca,stock,match,razones
121,OK,B,0,668,SUMATRIPTAN 100 MG 2 COMPRIMIDOS,100mg,2,tableta,Medicamentos éticos,Medicamentos,136.0,2,4,EQ-RAM014,Fermig Sumatriptan,RAAM,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
122,OK,C,0,667,SUMATRIPTAN 50 MG 2 COMPRIMIDOS,50mg,2,tableta,Medicamentos éticos,Medicamentos,79.0,2,4,EQ-RAM015,Fermig Sumatriptán 50 mg C/2 RAAM,RAAM,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
123,OK,C,0,3273,TADALAFIL 20 MG 1 TABLETA,20mg,1,tableta,Disfunción eréctil,Medicamentos,79.0,2,4,EQ-COL258,Alzocid Tadalafil,Collins,3,70,principios activos completos; concentracion coincide; cantidad difiere 4≠1
124,OK,B,0,3350,TADALAFIL 20 MG 4 TABLETAS,20mg,4,tableta,Disfunción eréctil,Medicamentos,169.0,2,4,EQ-COL258,Alzocid Tadalafil,Collins,3,100,principios activos completos; concentracion coincide; cantidad coincide
125,OK,C,0,2232,TELMISARTAN / HIDROCLOROTIAZIDA  80/12.5 MG BOEHRINGER 14 TABLETAS,12.5mg,14,tableta,Antihipertensivo,Medicamentos,269.0,1,2,EQ-ULT224,Telmisartán / Hidroclorotiazida 80/12.5 mg C/14,Ultra,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (94/80)
126,OK,B,0,2663,TELMISARTAN / HIDROCLOROTIAZIDA 80 /12.5 MG 14 TABLETAS,12.5mg,14,tableta,Antihipertensivo,Medicamentos,133.0,2,4,EQ-ULT224,Telmisartán / Hidroclorotiazida 80/12.5 mg C/14,Ultra,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (84/88)
127,OK,C,0,2661,TELMISARTAN 40 MG 14 TABLETAS,40mg,14,tableta,Antihipertensivo,Medicamentos,89.0,2,4,FC-49025844,Telmisartán 40 mg,AMSA / PISA,2,82,principios activos completos; concentracion coincide; cantidad difiere 28≠14; forma coincide; nombre muy parecido (100/74)
128,OK,B,0,1932,TELMISARTAN 40 MG BOEHRINGER 14 TABLETAS,40mg,14,tableta,Antihipertensivo,Medicamentos,139.0,2,4,FC-49025844,Telmisartán 40 mg,AMSA / PISA,2,82,principios activos completos; concentracion coincide; cantidad difiere 28≠14; forma coincide; nombre muy parecido (100/60)
129,OK,C,0,1933,TELMISARTAN 80 MG 14 TABLETAS,80mg,14,tableta,Antihipertensivo,Medicamentos,104.0,2,4,FC-49025844,Telmisartán 40 mg,AMSA / PISA,2,82,principios activos completos; concentracion difiere ['40mg']≠['80mg']; cantidad difiere 28≠14; forma coincide; nombre muy parecido (90/70)
130,OK,B,0,2662,TELMISARTAN 80 MG 14 TABLETAS BOEHRIN,80mg,14,tableta,Antihipertensivo,Medicamentos,239.0,2,4,FC-49025844,Telmisartán 40 mg,AMSA / PISA,2,82,principios activos completos; concentracion difiere ['40mg']≠['80mg']; cantidad difiere 28≠14; forma coincide; nombre muy parecido (90/59)
131,OK,C,0,1197,TIBOLONA 30 TABLETAS 2.5 MG,2.5mg,30,tableta,Huesos y articulaciones,Medicamentos,299.0,1,2,EQ-SER117,Lisertil Tibolona,Serral,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
132,OK,C,0,867,TOBRAMICINA / DEXAMETASONA 3/1 MG SOLUCION OFTALMICA 5 ML 1 PIEZA,1mg 5ml,1,solucion,Oftalmológico,Medicamentos,79.0,2,4,FC-00005823,Tobramicina / Dexametasona solución oftálmica 3-1 mg/mL,Grin,2,82,principios activos completos; concentracion coincide; forma coincide; combinado Similares vs monofármaco tuyo; nombre muy parecido (92/82)
133,OK,C,0,2824,TOBRAMICINA 3MG/ML SOLUCION 15 ML GOTAS OFTALMICAS 1 PIEZA,15ml 3mg,1,solucion,Oftalmológico,Medicamentos,56.0,2,4,EQ-EXA040,Tobramicina solución oftálmica 3 mg/mL 15 mL OPKO,OPKO,2,100,principios activos completos; concentracion coincide; forma coincide; nombre parecido (84/64)
134,OK,B,0,2060,TOLTERODINA 2 MG 14 TABLETAS,2mg,14,tableta,Medicamentos éticos,Medicamentos,124.0,2,4,EQ-NUC034,Tefilinb 28 Tab 2 Mg,Nucitec,2,76,principios activos completos; concentracion coincide; cantidad difiere 28≠14; forma coincide
135,OK,C,0,10,TRETINOINA (AC RETINOICO) .05 MG CREMA 30 GR 1 PIEZA,30000mg 5mg,1,crema,Dermatológico,Medicamentos,51.0,2,4,EQ-LIF033,Queratal Tretinoina,Liferpal,2,80,principios activos completos; nuestro catalogo sin concentracion; forma coincide
