prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo,fc_sku,fc_nombre,fc_marca,stock,match,razones
56,OK,B,0,2665,FEXOFENADINA 120 MG PIRQUET 10 COMPRIMIDOS,120mg,10,tableta,Antialérgico,Medicamentos,129.0,2,4,EQ-BIO100,Biostafex 10 Tab 120 Mg,Biomep,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
57,OK,B,0,1456,FEXOFENADINA 180 MG PIRQUET 10 COMPRIMIDOS,180mg,10,tableta,Antialérgico,Medicamentos,144.0,2,4,FC-16500172,Allegra fexofenadina 180 mg C/10,Allegra,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
58,OK,B,0,1952,FLOROGLUCINOL / TRIMETILFLOROGLUCINOL 80/80MG 20 CAPSULAS,80mg,20,capsula,Analgésicos,Analgesia,138.0,2,4,FC-71800265,Panclasa floroglucinol/trimetilfloroglucinol 80/80 mg C/20,Panclasa,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
59,OK,B,0,520,FLUCONAZOL 150MG 1 CAPSULA,150mg,1,capsula,Antimicótico,Medicamentos,35.0,3,6,FC-5BC5F234,Fluconazol,AMSA,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (100/56)
60,OK,C,0,678,GABAPENTINA 300 MG 15 CAPSULAS,300mg,15,capsula,Medicamentos éticos,Medicamentos,111.0,2,4,FC-50D044FF,Wermy,Wermy,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
61,OK,C,0,814,GUAIFENESINA/OXOLAMINA 2/1GR 140ML JARABE (GENERICO)ADULTO/INFANTIL,1000mg 140ml,,jarabe,Gripa y tos,Aparato respiratorio,57.0,2,4,FMX-502386,Guaxoquim Jarabe C/140 Ml,QUIMPHARMA,2,100,principios activos completos; concentracion coincide; forma coincide
62,OK,B,0,4301,GUAIFENESINA/OXOLAMINA JARABE 140ML INFANTIL HISTIACIL,140ml,,jarabe,Gripa y tos,Aparato respiratorio,149.0,2,4,FMX-502386,Guaxoquim Jarabe C/140 Ml,QUIMPHARMA,2,100,principios activos completos; concentracion coincide; forma coincide
63,OK,C,0,2122,HIDROCLOROTIAZIDA 25 MG 20 TABLETAS,25mg,20,tableta,Antihipertensivo,Medicamentos,24.0,2,4,FC-28A424E5,Diziver,Diziver,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
64,OK,C,0,2073,IRBESARTAN 150 MG 14 TABLETAS,150mg,14,tableta,Antihipertensivo,Medicamentos,94.0,2,4,FC-262F2A30,Irbesartan,AMSA,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (100/51)
65,OK,INY,0,310,KETOROLACO 30 MG/1 ML SOLUCION INYECTABLE 3 AMPOLLETAS,1ml 30mg,3,solucion,Analgésicos,Medicamentos,44.0,2,3,EQ-AMS328,Ketorolaco Inyectable,AMSA,3,82,principios activos completos; concentracion coincide; cantidad coincide; forma difiere inyectable≠solucion; nombre muy parecido (100/56)
66,OK,B,0,3522,LEVETIRACETAM 1000 MG 30 TABLETAS,1000mg,30,tableta,Anticonvulsivo,Medicamentos,179.0,2,4,EQ-SOF040,Vixgoplisol Levetiracetam 1000 mg C/30 Solfrán,Solfrán,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
67,OK,C,0,1994,LEVETIRACETAM 500 MG 60 TABLETAS,500mg,60,tableta,Anticonvulsivo,Medicamentos,379.0,1,2,EQ-SOF041,Vixgoplisol 60 Tab 500 Mg,Solfrán,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
68,OK,B,0,696,LEVOFLOXACINO 500 MG 7 TABLETAS,500mg,7,tableta,Antibiótico,Medicamentos,149.0,2,4,FC-C721E8D7,Levofloxacino,AMSA,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (100/59)
69,OK,B,0,1648,LEVOFLOXACINO 750 MG 7 TABLETAS,750mg,7,tableta,Antibiótico,Medicamentos,229.0,2,4,FC-52200809,Cina 750 mg Caja con 7 tabletas Landsteiner,Landsteiner,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
70,OK,C,0,1432,LEVOTIROXINA SODICA 100MCG 100 TABLETAS,100mcg,100,tableta,Medicamentos éticos,Medicamentos,109.0,2,4,EQ-TEM009,Levotiroxina 100 Tab 100 Mcg,Tempus,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (80/63)
71,OK,INY,0,471,LINCOMICINA 600MG/2ML SOLUCION INYECTABLE 6 AMPOLLETAS,2ml 600mg,6,solucion,Antibiótico,Medicamentos,79.0,2,3,FC-E826D304,Lincomicina /2Ml 6 Ampolletas,Lincomicina,2,82,principios activos completos; concentracion coincide; cantidad coincide; forma difiere inyectable≠solucion; nombre muy parecido (91/70)
72,OK,C,0,128,LOPERAMIDA 2 MG 12 TABLETAS,2mg,12,tableta,Antidiarreico,Funcionamiento gastrointestinal,12.5,2,4,FC-88915491,Tarmin 2 Mg /12,Tarmin,10,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
73,OK,C,0,2276,MAGALDRATO/DIMETICONA 80MG/10MG 10SOBRES,10mg 80mg,10,,Gastritis,Funcionamiento gastrointestinal,56.0,2,4,EQ-MAV263,Galaver Gel 10 Sob 80mg/10mg/10 Ml,Maver,2,100,principios activos completos; concentracion coincide; cantidad coincide
74,OK,C,0,3924,MAGALDRATO/DIMETICONA 80MG/10MG 10SOBRES TAKEDA,10mg 80mg,10,,Gastritis,Funcionamiento gastrointestinal,105.0,2,4,EQ-MAV263,Galaver Gel 10 Sob 80mg/10mg/10 Ml,Maver,2,100,principios activos completos; concentracion coincide; cantidad coincide
75,OK,C,0,1797,MAGALDRATO/DIMETICONA 8G/1G/100ML 250ML,1000mg 100ml 250ml 8000mg,,,Gastritis,Funcionamiento gastrointestinal,88.0,2,4,FC-09745027,Galaver gel (Magaldrato / Dimeticona),Maver,2,95,principios activos completos; concentracion coincide
76,OK,B,0,3925,MAGALDRATO/DIMETICONA 8G/1G/100ML TAKEDA,1000mg 100ml 8000mg,,,Gastritis,Funcionamiento gastrointestinal,179.0,2,4,FC-09745027,Galaver gel (Magaldrato / Dimeticona),Maver,2,95,principios activos completos; concentracion coincide
77,OK,C,0,1995,MELATONINA 5MG 20 TABLETAS SUBLINGUALES,5mg,20,tableta,Medicamentos éticos,Medicamentos,91.0,2,4,FMX-303280,Melnotex Tabletas 5 Mg C/20,SOLFRAN,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
78,OK,C,0,428,MELOXICAM 15 MG 10 TABLETAS,15mg,10,tableta,Antiinflamatorio,Medicamentos,40.0,2,4,EQ-MAV098,Flexiver Meloxicam 15 mg C/10,Maver,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
79,OK,C,0,410,MELOXICAM 7.5 MG 14 TABLETAS,7.5mg,14,tableta,Antiinflamatorio,Medicamentos,40.0,2,4,EQ-AVT213,Menflixil 14 Tab 7.5 Mg,Avitus,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
80,OK,INY,0,134,METAMIZOL SODICO / BUTILHIOSCINA 2.5G/20MG SOLUCION INYECTABLE 1 AMPOLLETA,20mg 2500mg,1,solucion,Analgésicos,Medicamentos,39.0,2,3,EQ-COL080,Pasmodil 1 Fa 250/20 Mg,Collins,2,100,principios activos completos; concentracion coincide; cantidad coincide
81,OK,A,0,3175,METOCARBAMOL / IBUPROFENO 375/200MG 12 CAPSULAS,200mg,12,capsula,Analgésicos,Analgesia,58.0,6,10,FC-27427392,ML-PRIM metocarbamol/ibuprofeno C/12,ML-PRIM,6,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
82,OK,C,0,138,METOPROLOL 100 MG 20 TABLETAS,100mg,20,tableta,Antihipertensivo,Medicamentos,29.0,2,4,EQ-NOV038,Prontol Metoprolol 100 mg C/20 Novag,Novag,4,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
83,OK,C,0,1123,METOPROLOL 100 MG 50 TABLETAS,100mg,50,tableta,Antihipertensivo,Medicamentos,49.0,2,4,EQ-NOV038,Prontol Metoprolol 100 mg C/20 Novag,Novag,4,76,principios activos completos; concentracion coincide; cantidad difiere 20≠50; forma coincide
84,OK,C,0,3335,MICRODACYN SOLUCION BUCOFARINGEO 240 ML 1 PIEZA,240ml,1,solucion,Material de curación,"Higiene, curación y diagnóstico",335.01,1,2,FC-46642073,Microdacyn Solucion 60 ml,Microdacyn,1,82,sin identidad comprobable; nombre muy parecido (94/67)
85,OK,C,0,1126,MISOPROSTOL 200 MCG 28 TABLETAS,200mcg,28,tableta,Funcionamiento gastrointestinal,Medicamentos,499.0,1,2,EQ-SER116,Cyrux 28 Tab 200 Mcg,Serral,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
86,OK,C,0,2200,NEOMICINA / CAOLIN / PECTINA 20 TABLETAS,,20,tableta,Antidiarreico,Funcionamiento gastrointestinal,58.0,2,4,EQ-BEA336,Neomi/Cao/Pecti 20tab 129/280/30 Mg,Be Advance,3,99,principios activos completos; cantidad coincide; forma coincide
87,OK,C,0,2310,NEOMICINA / CAOLIN / PECTINA SUSPENSION 1 PZA,,1,suspension,Antidiarreico,Funcionamiento gastrointestinal,73.0,2,4,FC-75717914,Nineka suspensión neomicina/caolín/pectina,K-PEC,2,91,principios activos completos; forma coincide
88,OK,C,0,3197,NORFLOXACINO / FENAZOPIRIDINA 400/100MG 16 TABLETAS ASOFARMA,100mg,16,tableta,Antibiótico,Medicamentos,379.0,1,2,FC-27879559,JULAB norfloxacino/fenazopiridina 400/100 mg C/8,RAAM,1,76,principios activos completos; concentracion coincide; cantidad difiere 8≠16; forma coincide
89,OK,B,0,1909,OLANZAPINA 10 MG 14 TABLETAS,10mg,14,tableta,Enfermedades mentales,Medicamentos,149.0,2,4,EQ-MAV198,Oxatech 14 Tab 10 Mg,Maver,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
90,OK,B,0,1455,ORLISTAT 120 MG 21 CAPSULAS,120mg,21,capsula,Peso y metabolismo,Peso y metabolismo,159.0,2,4,FC-49027343,Amsafast orlistat 120 mg C/21,Amsafast,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
91,OK,C,0,2592,OSELTAMIVIR 75 MG 10 CAPSULAS,75mg,10,capsula,Antiviral,Medicamentos,299.0,1,2,EQ-SER165,Estranim 10 Caps 75 Mg,Serral,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
92,OK,C,0,157,OXIDO DE ZINC 25GR/100GR PASTA 1 PIEZA,100000mg 25000mg,1,unguento,Dermatológico,Medicamentos,19.0,2,4,EQ-BEA426,Oxido De Zinc 1 Pasta 30 G,Be Advance,5,82,"principios activos completos; concentracion difiere ['30000mg']≠['100000mg', '25000mg']; forma coincide; nombre muy parecido (89/72)"
93,OK,C,0,793,OXIMETAZOLINA 25MG/100ML SOLUCION INFANTIL NASAL 20 ML 1 PIEZA,100ml 20ml 25mg,1,solucion,Antigripal,Aparato respiratorio,33.0,2,4,FC-83144302,Collifrin Adulto (Oximetazolina) 0.05% extra humectante,Collins,2,100,principios activos completos; concentracion coincide; forma coincide
94,OK,C,0,794,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,100ml 20ml 50mg,1,solucion,Antigripal,Aparato respiratorio,34.0,2,4,FC-83144302,Collifrin Adulto (Oximetazolina) 0.05% extra humectante,Collins,2,100,principios activos completos; concentracion coincide; forma coincide
95,OK,B,0,2968,PANTOPRAZOL 40 MG 28 TABLETAS,40mg,28,tableta,Gastritis,Funcionamiento gastrointestinal,220.0,2,4,EQ-AMS498,Popram 28 Tab 40 Mg,AMSA,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
96,OK,B,0,695,PANTOPRAZOL 40MG 14 GRAGEAS,40mg,14,tableta,Gastritis,Funcionamiento gastrointestinal,139.0,2,4,EQ-AMS279,Popram pantoprazol 40 mg C/14,AMSA,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
97,OK,B,0,4008,PARACETAMOL/IBUPROFENO 500MG/200MG 20 TABLETAS,200mg 500mg,20,tableta,Analgésicos,Medicamentos,184.0,2,4,FC-36009661,Dualgos (Paracetamol/Ibuprofeno),Liferpal MD,4,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (85/58)
98,OK,C,0,882,PAROXETINA 20 MG 10 TABLETAS,20mg,10,tableta,Enfermedades mentales,Medicamentos,61.0,2,4,EQ-NOV092,Ixicorl 10 Tab 20 Mg,Novag,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
99,OK,C,0,1524,PAROXETINA 20 MG 20 TABLETAS,20mg,20,tableta,Enfermedades mentales,Medicamentos,119.0,2,4,EQ-NOV092,Ixicorl 10 Tab 20 Mg,Novag,2,76,principios activos completos; concentracion coincide; cantidad difiere 10≠20; forma coincide
