bloque,sku,nombre,presentacion,forma,piezas_propuestas,medida,contenido,motivo,dato_actual
media,FC-262F2A30,Irbesartan,14 TABLETAS,tableta,14,pieza,,cantidad inferida del texto,
media,FC-97BEFA1A,Amlodipino,100 TABLETAS,tableta,100,pieza,,cantidad inferida del texto,
media,FC-9ABFB996,Elaphteron,20 TABLETAS,tableta,20,pieza,,cantidad inferida del texto,
media,FC-04D83B46,Pralex,28 TABLETAS,tableta,28,pieza,,cantidad inferida del texto,
media,FC-34064021,Cotonetes Quirmex 100 pzs,100 pzs,,100,pieza,,cantidad inferida sin forma farmaceutica,
media,FC-3D0ED22B,Zukedib,30 TABLETAS,tableta,30,pieza,,cantidad inferida del texto,
media,FC-53506FA4,Enalapril,30 TABLETAS,tableta,30,pieza,,cantidad inferida del texto,
media,FC-42507240,GUM cera de ortodoncia menta C/5,C/5,,5,pieza,,C/N explicito pero sin forma farmaceutica,
media,FC-5F30F9D4,Clamoxin (Amoxicilina/Clavulánico 500/125 mg),10 TABLETAS,tableta,10,pieza,,cantidad inferida del texto,
media,FC-5EF90195,Mercurio Flor De Arnica,C/50,,50,pieza,,C/N explicito pero sin forma farmaceutica,
media,FC-3D0F54B7,Ibupro-Cafe,10 CAPSULAS,capsula,10,pieza,,cantidad inferida del texto,
media,FC-50D044FF,Wermy,15 CAPSULAS,capsula,15,pieza,,cantidad inferida del texto,
media,FC-5885E577,Pabesorag,28 TABLETAS,tableta,28,pieza,,cantidad inferida del texto,
media,FC-34067851,Torundas de algodon Quirmex,150 pz 75 g,,150,pieza,,cantidad inferida sin forma farmaceutica,
media,FC-60F627D5,Gentamicina,5 AMPOLLETA,inyectable,5,pieza,,cantidad inferida del texto,
media,FC-26462078,Chupón con miel Ternura,1 PZA,,1,pieza,,cantidad inferida sin forma farmaceutica,
media,FC-8505126,Neuralin solucion inyectable,C/2 ampolletas (No.1 + No.2),solucion,2,pieza,,C/N explicito sin contenido declarado,
media,FC-C101D5B1,Bisoprolol,30 TABLETAS,tableta,30,pieza,,cantidad inferida del texto,
media,FC-C22EBFE6,Perilla N2,PIEZA,,2,pieza,,cantidad inferida sin forma farmaceutica,
media,FC-BE76D409,Amcef IM 1 g (Inyectable),1 FRASCO AMPULA,inyectable,1,pieza,,cantidad inferida del texto,
media,FC-C636D8EA,Ceftriaxona IM 1 g (Inyectable),1 FRASCO AMPULA,inyectable,1,pieza,,cantidad inferida del texto,
media,FC-CB5C11ED,Mercurio Magnesia Anisada,C/50,,50,pieza,,C/N explicito pero sin forma farmaceutica,
media,FC-C4530823,Mercurio óxido de zinc C/50,C/50,,50,pieza,,C/N explicito pero sin forma farmaceutica,
media,FC-C9F4ACCC,Acemetacina,14 CAPSULAS,capsula,14,pieza,,cantidad inferida del texto,
media,FC-CD261CD5,Doliprofen,10 TABLETAS,tableta,10,pieza,,cantidad inferida del texto,
media,FC-CF18C740,Clindamicina,16 CAPSULAS,capsula,16,pieza,,cantidad inferida del texto,
media,FC-2005DD57,Cefalexina,20 CAPSULAS,capsula,20,pieza,,cantidad inferida del texto,
media,FC-41339950,Claritromicina,10 TABLETAS,tableta,10,pieza,,cantidad inferida del texto,
media,FC-443C330E,Cefagen,10 TABLETAS,tableta,10,pieza,,cantidad inferida del texto,
media,FC-48F732CF,Epicin,20 CAPSULAS,capsula,20,pieza,,cantidad inferida del texto,
media,FC-492D652F,Cefalver,20 CAPSULAS,capsula,20,pieza,,cantidad inferida del texto,
media,FC-74A5ABEE,Ciprofloxacino,12 TABLETAS,tableta,12,pieza,,cantidad inferida del texto,
media,FC-830BF3FB,Diviltac,1 FRASCO AMPULA,,1,pieza,,cantidad inferida sin forma farmaceutica,
media,FC-86A95D07,Tropharma,20 TABLETAS,tableta,20,pieza,,cantidad inferida del texto,
media,FC-AEA8C8DA,Namifen,20 TABLETAS,tableta,20,pieza,,cantidad inferida del texto,
media,FC-3A4583F3,Penipot,1 FRASCO AMPULA,,1,pieza,,cantidad inferida sin forma farmaceutica,
media,FC-17376CAE,Aspitak-P,30 COMPRIMIDOS,tableta,30,pieza,,cantidad inferida del texto,
media,FC-405A75E3,Ursodesoxicolico,50 CAPSULAS,capsula,50,pieza,,cantidad inferida del texto,
media,FC-E6112F15,Nalixone,20 TABLETAS,tableta,20,pieza,,cantidad inferida del texto,
media,FC-E69F2E63,Madrid Aceite Eucalipto,C/25,,25,pieza,,C/N explicito pero sin forma farmaceutica,
media,FC-EFB599B5,Mercurio Pan Puerco,C/25,unguento,25,pieza,,C/N explicito sin contenido declarado,
media,FC-E6B50AC3,Celecoxib,10 CAPSULAS,capsula,10,pieza,,cantidad inferida del texto,
media,FC-E826D304,Lincomicina /2Ml 6 Ampolletas,600 MG,inyectable,6,pieza,,cantidad inferida del texto,
media,FC-E9C38DC4,Ciprofloxacino G.I,14 TABLETAS,tableta,14,pieza,,cantidad inferida del texto,
media,FC-022543CD,Valclan,10 TABLETAS,tableta,10,pieza,,cantidad inferida del texto,
media,FC-1FEA2FB7,Amikacina,1 AMPOLLETA,inyectable,1,pieza,,cantidad inferida del texto,
media,FC-26EA40A4,Ramcinet,10 TABLETAS,tableta,10,pieza,,cantidad inferida del texto,
media,FC-3CAA7C5C,Cinarizina,60 TABLETAS,tableta,60,pieza,,cantidad inferida del texto,
media,FC-63975795,Gentamicina,25 COMPRIMIDOS,tableta,25,pieza,,cantidad inferida del texto,
media,FC-6EAD98A9,Cepobrom,12 CAPSULAS,capsula,12,pieza,,cantidad inferida del texto,
media,FC-82F88FED,Captopril,30 TABLETAS,tableta,30,pieza,,cantidad inferida del texto,
media,FC-AE5EEDF7,Bactiver,20 TABLETAS,tableta,20,pieza,,cantidad inferida del texto,
media,FC-7AF7ACB5,Charlyn (Ciprofloxacino),3 TABLETAS,tableta,3,pieza,,cantidad inferida del texto,
media,FC-A909ABC0,Odivitor,10 TABLETAS,tableta,10,pieza,,cantidad inferida del texto,
media,FC-B2123139,Oxivag,4 TABLETAS,tableta,4,pieza,,cantidad inferida del texto,
media,FC-1751468C,Flospet,8 TABLETAS,tableta,8,pieza,,cantidad inferida del texto,
media,FC-347A49C7,Amikacina,1 AMPOLLETA,inyectable,1,pieza,,cantidad inferida del texto,
media,FC-FD92D114,Ovisen,14 TABLETAS,tableta,14,pieza,,cantidad inferida del texto,
media,FC-FEAECBF1,Mercurio Tepezcohuite,C/25,unguento,25,pieza,,C/N explicito sin contenido declarado,
media,FC-FFC25DD1,Perilla N4,PIEZA,,4,pieza,,cantidad inferida sin forma farmaceutica,
media,FC-9890331,Lactiv Kids proteína soya probióticos sobres C/6,C/6,polvo,6,pieza,,C/N explicito sin contenido declarado,
media,FC-9890973,Lactiv adulto inulina probióticos sobres C/6,C/6,polvo,6,pieza,,C/N explicito sin contenido declarado,
media,FC-84273094,Jaloma Kiuts hisopos biodegradables C/50,C/50,,50,pieza,,C/N explicito pero sin forma farmaceutica,
media,FC-56034041,Toallitas húmedas Escudo antibacterial,C/50,,50,pieza,,C/N explicito pero sin forma farmaceutica,
media,FC-49800151,Prudence Clasico,3 pzs,,3,pieza,,cantidad inferida sin forma farmaceutica,
media,FC-14980596,Prudence Mora,3pzs,,3,pieza,,cantidad inferida sin forma farmaceutica,
