sku,nombre,costo,precio_fc,precio_similares,confianza,nombre_similares,termino,razones
FC-36000828,Argental (Sulfadiazina de plata) crema 1%,35.5,57,44.0,100,SULFADIAZINA DE PLATA CREMA 1% 28GR,sulfadiazina plata 28000mg,principios activos completos; concentracion coincide; forma coincide
FC-86100158,Benvia Infantil (Dimenhidrinato) 250 mg/100 mL,32.38,52,79.0,100,DIMENHIDRINATO 250 MG/100 ML JARABE INFANTIL 120 ML,dimenhidrinato 100ml,principios activos completos; concentracion coincide
FC-09740657,Laritol EX (Loratadina/Ambroxol) 100-600 mg/100 mL,19.11,31,36.0,100,LORATADINA / AMBROXOL 100/600 MG SOLUCION 120 ML 1 PIEZA,loratadina ambroxol 100ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide
EQ-WER038,Charyn 3 Tab 500 Mg,24.98,40,110.0,100,AZITROMICINA 500 MG 3 TABLETAS,azitromicina 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAV380,Esomeprazol 14 Tab 40 Mg,51.64,83,199.0,100,ESOMEPRAZOL 40 MG 14 TABLETAS,esomeprazol 40mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-24901059,beadvance Senósidos A-B 8.6 mg,11.14,18,54.0,100,SENOSIDOS AB 8.6MG 60 TABLETAS,senosidos 8.6mg,principios activos completos; concentracion coincide; forma coincide
FC-09747779,Culminax Adulto (Carbocisteína) 375 mg/5 mL,50.05,81,86.0,100,CARBOCISTEINA 375MG/5ML SOLUCION 150 ML 1 PIEZA,carbocisteina 150ml,principios activos completos; concentracion coincide
FC-25300373,Espabion (Trimebutina) suspensión 2 g/100 mL,44.45,72,76.0,100,TRIMEBUTINA SUSPENSION  2G/100ML 1 PIEZA,trimebutina 100ml,principios activos completos; concentracion coincide; forma coincide
FC-83141929,Dolprin (Ibuprofeno) suspensión 2 g/100 mL,27.52,45,31.0,100,IBUPROFENO  2GR/100ML SUSPENSION 120 ML 1 PIEZA,ibuprofeno 100ml,principios activos completos; concentracion coincide; forma coincide
FC-01165045,Dolzycam (Piroxicam) gel 0.5%,24.81,40,44.0,100,PIROXICAM 0.5/100GR GEL 60 GR 1 PIEZA,piroxicam,principios activos completos; concentracion coincide; forma coincide
FC-25100116,Solucion CS PiSA cloruro de sodio 0.9% 250 mL,30.36,38.43,22.0,100,CLORURO DE SODIO 0.9% SOLUCION INYECTABLE 250 ML 1 PIEZA,cloruro sodio 250ml,principios activos completos; concentracion coincide; forma coincide
FC-36009661,Dualgos (Paracetamol/Ibuprofeno) 325/200 mg,29.02,47,46.0,100,PARACETAMOL/IBUPROFENO 325MG/200MG 20TABLETAS,paracetamol ibuprofeno 200mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide
FC-09745539,Lumboxen gel (Naproxeno/Lidocaína) 10/2 g,39.54,64,43.0,100,NAPROXENO/LIDOCAINA 10G/2G GEL TOPICO 35GR,naproxeno lidocaina 2000mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide
FC-18753597,Lesaclor (Aciclovir) crema 5%,16.6,27,35.0,100,ACICLOVIR 50MG/1GR CREMA 5 GR 1 PIEZA,aciclovir,principios activos completos; concentracion coincide; forma coincide
FC-73906407,Lozamir-V (Clotrimazol) crema 2% con 3 aplicadores,22.71,37,49.0,100,CLOTRIMAZOL 2/100GR 20GR CREMA VAGINAL,clotrimazol,principios activos completos; concentracion coincide; forma coincide
EQ-MAV228,Cefagen 10 Tab 500 Mg,144.13,231,195.0,100,CEFUROXIMA 500 MG 10 TABLETAS,cefuroxima 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-06920021,Motilaxil-T (Picosulfato de sodio) 5 mg,17.02,28,34.0,100,PICOSULFATO DE SODIO 5 MG 20 TABLETAS,picosulfato sodio 5mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-73902966,Nafich (Terbinafina) crema 1%,13.06,21,34.0,100,TERBINAFINA CLORHIDRATO CREMA 15 GR 1 PIEZA,terbinafina,principios activos completos; concentracion coincide; forma coincide
EQ-MAI055,Dalatina 1 Gel 1g/30 G,29.85,48,45.0,100,CLINDAMICINA GEL 1GR 1% 1 PIEZA,clindamicina,principios activos completos; concentracion coincide; forma coincide
FC-75713770,Novagon polvo sabor natural 400 g,99.1,159,154.0,100,PSYLLIUM PLANTAGO POLVO NATURAL 400 GR 1 PIEZA,plantago psyllium 400000mg,principios activos completos; concentracion coincide; forma coincide
EQ-QUM043,Histapharm 10 Tab 5 Mg,21.99,36,70.0,100,DESLORATADINA 5 MG 10 TABLETAS,desloratadina 5mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAV320,Cariden 10 Tab 30 Mg,90.81,146,159.0,100,DEFLAZACORT 30 MG 10 TABLETAS,deflazacort 30mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-WER046,Mevedim 15 Tab 600 Mg,61.32,99,191.0,100,DIOSMINA 600 MG 15 COMPRIMIDOS,diosmina 600mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
