prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo
63,HUECO,C,1,3830,RIVAROXABAN 20MG 28TAB,20mg,28,tableta,CARDIOVASCULARES,MEDICAMENTOS,499.0,1,2
64,HUECO,C,1,3987,TELMISARTAN/AMLODIPINO 80MG/5MG 28 CAP,5mg 80mg,28,capsula,CARDIOVASCULARES,MEDICAMENTOS,499.0,1,2
65,HUECO,C,1,4556,DEXPANTENOL 5% GEL OFT 10G,10000mg,,gel,OFTALMOLOGICOS,MATERIAL DE CURACION,489.0,1,2
66,HUECO,C,1,3870,BROMURO DE OTILONIO 40MG 30TAB,40mg,30,tableta,ESTOMACALES (GASTRO),MEDICAMENTOS,479.0,1,2
67,HUECO,C,1,3829,RIVAROXABAN 10MG 30TAB,10mg,30,tableta,CARDIOVASCULARES,MEDICAMENTOS,479.0,1,2
68,HUECO,C,1,3214,TIRAS REACT ONE TOUCH 50PZAS,,50,,CURACION Y MEDICION,MATERIAL DE CURACION,479.0,1,2
69,HUECO,C,1,3317,TIRAS REACTIVAS 50+25PZAS,,25,,CURACION Y MEDICION,MATERIAL DE CURACION,479.0,1,2
70,HUECO,C,1,1990,TIRAS REACTIVAS SELECT 50PZAS,,50,,CURACION Y MEDICION,MATERIAL DE CURACION,479.0,1,2
71,HUECO,C,2,2791,ALIMENTO EN PVO VAINILLA PARA DIAB 400GR,400000mg,,polvo,DIABETES,SUPLEMENTOS,469.0,2,3
72,HUECO,C,1,3609,ATOMOXETINA 40MG 14CAP,40mg,14,capsula,SISTEMA NERVIOSO,MEDICAMENTOS,459.0,1,2
73,HUECO,C,1,3967,CLONIX LIS/DICLO 250/50MG 14TAB DORIXINA,50mg,14,tableta,ANALGESICOS,MEDICAMENTOS,459.0,1,2
74,HUECO,C,1,3876,FENOFIBRATO DE COLINA 135MG 15 CAP LR,135mg,15,capsula,CARDIOVASCULARES,MEDICAMENTOS,459.0,1,2
75,HUECO,C,2,3933,CREATINA 5GR POLVO 500GR XGEAR,500000mg 5000mg,,polvo,DEPORTISTAS,SUPLEMENTOS,450.0,2,3
76,HUECO,C,1,3788,ATORVASTATINA 80MG 30TAB,80mg,30,tableta,CARDIOVASCULARES,MEDICAMENTOS,449.0,1,2
77,HUECO,C,1,3138,CANDESARTAN/HIDRO 16/12.5MG 28TAB(ASTRA),12.5mg 16mg,28,tableta,CARDIOVASCULARES,MEDICAMENTOS,449.0,1,2
78,HUECO,C,1,2113,DONEPECILO 10MG 28TAB,10mg,28,tableta,SISTEMA NERVIOSO,MEDICAMENTOS,449.0,1,2
79,HUECO,C,1,3301,FLUTICASONA 27.5MCG/50MCL 120DOSIS,27.5mcg,,suspension,RESPIRATORIOS,MEDICAMENTOS,449.0,1,2
80,HUECO,C,1,3045,GLUCOMETRO GMATE WHEEL,,1,,CURACION Y MEDICION,MATERIAL DE CURACION,449.0,1,2
81,HUECO,C,1,3841,GLUCOMETRO ON CALL PLUS 1PZA,,1,,CURACION Y MEDICION,MATERIAL DE CURACION,449.0,1,2
82,HUECO,C,1,4084,VITAMINAS / HIERRO 30TAB,,30,tableta,MULTIVITAMINICOS,MEDICAMENTOS,449.0,1,2
83,HUECO,C,1,3815,LINAGLIPTINA 5MG 10TAB,5mg,10,tableta,DIABETES,MEDICAMENTOS,448.0,1,2
84,HUECO,C,1,2285,FORZE VF GOLD 100CAP,,100,capsula,MULTIVITAMINICOS,MEDICAMENTOS,446.0,1,2
85,HUECO,C,2,3348,PROT XGEAR WHEY PROTEIN CHOCOLATE 450GR,450000mg,,polvo,DEPORTISTAS,SUPLEMENTOS,439.0,2,3
86,HUECO,C,2,3706,PROT XGEAR ZERO CARB CHOCOLATE 450GR,450000mg,,polvo,DEPORTISTAS,SUPLEMENTOS,439.0,2,3
87,HUECO,C,1,2836,VILDAGLIPTINA 50MG 28TAB NOVARTIS,50mg,28,tableta,DIABETES,MEDICAMENTOS,439.0,1,2
88,HUECO,C,1,3393,ANASTROZOL 1MG 28TAB,1mg,28,tableta,ESPECIALIDAD,MEDICAMENTOS,435.0,1,2
89,HUECO,C,1,3566,CITIDIN 5 URIDIN 5 5/3MG 30CAP,3mg 5mg,30,capsula,SISTEMA NERVIOSO,MEDICAMENTOS,434.0,1,2
90,HUECO,C,1,4085,EMPAGLIFLOZINA 25MG 10TAB,25mg,10,tableta,DIABETES,MEDICAMENTOS,429.0,1,2
91,HUECO,C,1,3737,METFOR/VILDA 1000MG/50MG 30COMP GEN,1000mg 50mg,30,tableta,DIABETES,MEDICAMENTOS,429.0,1,2
92,HUECO,C,1,4518,SERENOA REPENS/URTICA 160MG/120MG 20CAP,120mg 160mg,20,capsula,ESPECIALIDAD,MEDICAMENTOS,429.0,1,2
93,HUECO,C,1,3306,HIDROSMINA 200MG 20CAP,200mg,20,capsula,CARDIOVASCULARES,MEDICAMENTOS,419.0,1,2
