page,no_proveedor,proveedor,codigo_marzam,descripcion,sustancia,ean_raw,precio_farmacia,oferta_pct,precio_con_oferta,precio_final_iva,precio
1,2586,PRODUCTOS DE CU,101055,ALGODON PG 3G C100,Algodón Plisado,7.50113E+12,121.36,5.0,115.29,133.74,115.29
1,1815,LABORATORIOS LE,R 101080,ALGODON PLISADO LEROY 25G,Algodón Plisado,7.29514E+11,8.26,0.0,8.26,9.58,8.26
1,2586,PRODUCTOS DE CU,101052,ALGODON PLISADO PG 100G,Algodón Plisado,7.50113E+12,17.4,5.0,16.53,19.17,16.53
1,2586,PRODUCTOS DE CU,101051,ALGODON PLISADO PG 200G,Algodón Plisado,7.50113E+12,32.0,5.0,30.4,35.26,30.4
1,2586,PRODUCTOS DE CU,101054,ALGODON PLISADO PG 25G,Algodón Plisado,7.50113E+12,5.32,5.0,5.05,5.86,5.05
1,2586,PRODUCTOS DE CU,101050,ALGODON PLISADO PG 300G,Algodón Plisado,7.50113E+12,42.9,5.0,40.75,47.28,40.75
1,2586,PRODUCTOS DE CU,101053,ALGODON PLISADO PG 50G,Algodón Plisado,7.50113E+12,9.92,5.0,9.42,10.93,9.42
1,2586,PRODUCTOS DE CU,101070,ALGODON TORUNDA PG 75G,Torundas y Pads,7.50634E+12,15.68,5.0,14.9,17.28,14.9
1,2620,PRODUCTOS FARM,A 103007,ALIN 0.5MG TAB C30,DEXAMETASONA,7.50109E+12,84.85,0.0,84.85,84.85,84.85
1,2620,PRODUCTOS FARM,A 103008,ALIN 0.75MG TAB C30,DEXAMETASONA,7.50109E+12,95.51,0.0,95.51,95.51,95.51
1,2620,PRODUCTOS FARM,A 103003,ALIN AMP 2ML C1,DEXAMETASONA,7.50109E+12,72.17,10.0,64.95,64.95,64.95
1,2620,PRODUCTOS FARM,A 103001,ALIN DEPOT F A 2ML,DEXAMETASONA,7.50109E+12,204.03,0.0,204.03,204.03,204.03
1,2620,PRODUCTOS FARM,A 103011,ALIN DEPOT JP 8MG/2ML,DEXAMETASONA SODICA 21-F,O 7.50109E+12,465.09,28.5,332.54,332.54,332.54
1,2620,PRODUCTOS FARM,A 103012,ALIN JP 8MG/2ML,DEXAMETASONA,7.50109E+12,342.01,28.5,244.54,244.54,244.54
1,2620,PRODUCTOS FARM,A 103009,ALIN NASAL GTS 20ML,DEXAMETASONA,7.50109E+12,166.36,3.0,161.37,161.37,161.37
1,2620,PRODUCTOS FARM,A 103010,ALIN OFT GTS 5ML,DEXAMETASONA,7.50109E+12,85.23,5.0,80.97,80.97,80.97
1,3012,SIEGFRIED RHEIN S,103502,ALIREN 25/1/150MG JBE 60ML,AMANTADINA CLORHIDRATO D,E 7.5013E+12,99.38,9.09,90.35,90.35,90.35
1,3012,SIEGFRIED RHEIN S,103501,ALIREN 50/3/300MG CAP C24,AMANTADINA CLORHIDRATO D,E 7.5013E+12,126.25,9.09,114.77,114.77,114.77
1,3012,SIEGFRIED RHEIN S,103503,ALIREN FCO GTS SOL 30ML,AMANTADINA CLORHIDRATO D,E 7.5013E+12,112.5,9.09,102.27,102.27,102.27
1,3012,SIEGFRIED RHEIN S,103504,ALIREN JARABE FRASCO 120ML,AMANTADINA CLORHIDRATO D,E 7.5013E+12,121.25,9.09,110.23,110.23,110.23
