fuente,tipo_fuente,fecha_captura,url,categoria,producto_raw,marca,presentacion,unidad_base,cantidad_empaque,precio_empaque,precio_unitario,min_piezas,precio_escalon,moneda,minimo_compra_pedido,notas,id_producto_proveedor
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-head-shoulders-limpieza-renovadora-paquete-con-24-sobres-de-10-ml.html,higiene-y-cuidado-personal,Shampoo Head & Shoulders Limpieza Renovadora Paquete Con 24 Sobres De 10 Ml,,10 ml,ml,5,266.0,53.2,2,53.2,MXN,,pieza=61.5; caja=266.0x5; envio $70 / gratis $1100,5337
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/desodorante-axe-en-aerosol-conviction-150-mililitros.html,higiene-y-cuidado-personal,Desodorante Axe en Aerosol Conviction 150 ml,,150 ml,ml,12,777.6,64.8,2,64.8,MXN,,pieza=74.9; caja=777.6x12; envio $70 / gratis $1100,5192
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/16559.html,higiene-y-cuidado-personal,Axe Desodorante Aerosol Bs Young 150 Ml,,150 ml,ml,12,777.6,64.8,3,64.8,MXN,,pieza=74.9; caja=777.6x12; envio $70 / gratis $1100,5198
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/naturella-invisible-con-alas-8-pz-22927.html,higiene-y-cuidado-personal,Naturella Invisible Con Alas 8 pz,,8 pza,pza,128,272.0,2.125,2,17.0,MXN,,pieza=19.9; caja=272.0x16; envio $70 / gratis $1100,13764
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-savile-liso-keratina-180-mililitros.html,higiene-y-cuidado-personal,Shampoo Savilé Liso Keratina 180 ml,,180 ml,ml,12,186.0,15.5,2,15.5,MXN,,pieza=17.9; caja=186.0x12; envio $70 / gratis $1100,5371
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/lirio-jabon-avena-150-gr.html,higiene-y-cuidado-personal,Lirio Jabon Avena 150 Gr,,150 g,g,50,955.0,19.1,2,19.1,MXN,,pieza=21.9; caja=955.0x50; envio $70 / gratis $1100,13046
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-vanart-cl-sico-hierbas-750-ml-17783.html,higiene-y-cuidado-personal,Shampoo Vanart Clásico Hierbas 750 ml,,750 ml,ml,12,330.0,27.5,2,27.5,MXN,,pieza=29.9; caja=330.0x12; envio $70 / gratis $1100,25311
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/jabon-dove-de-tocador-blanco-135-gramos.html,higiene-y-cuidado-personal,Jabon Dove de Tocador Blanco 135 gr,,135 g,g,48,1848.0,38.5,2,38.5,MXN,,pieza=44.5; caja=1848.0x48; envio $70 / gratis $1100,5263
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/desodorante-axe-en-aerosol-anarchy-fw-96-mililitros.html,higiene-y-cuidado-personal,Axe Desodorante Aerosol Bs Anarchy Fw 150 Ml,,150 ml,ml,12,918.0,76.5,3,76.5,MXN,,pieza=87.9; caja=918.0x12; envio $70 / gratis $1100,5193
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-head-shoulders-suave-y-manejable-2-en-1-90-mililitros.html,higiene-y-cuidado-personal,Shampoo Head & Shoulders Suave Y Manej 2en1 90 ml,,90 ml,ml,24,388.8,16.2,2,16.2,MXN,,pieza=18.9; caja=388.8x24; envio $70 / gratis $1100,5348
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/desodorante-rexona-powder-dry-45-gramos.html,higiene-y-cuidado-personal,Desodorante Rexona Powder Dry 45 gr,,45 g,g,12,688.8,57.4,2,57.4,MXN,,pieza=66.5; caja=688.8x12; envio $70 / gratis $1100,8179
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/papel-higienico-regio-r3-190-hojas-paquete-con-18-rollos.html,higiene-y-cuidado-personal,Papel Higiénico Regio R3 190 Hojas 18 Rollos,,,pza,4,776.8,194.2,2,194.2,MXN,,pieza=213.9; caja=776.8x4; envio $70 / gratis $1100,5481
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/toalla-femenina-kotex-u-unika-nocturna-con-alas-paquete-con-10-piezas.html,higiene-y-cuidado-personal,Toalla Femenina Kotex U Unika Nocturna con Alas Paquete con 10 Piezas,,10 pza,pza,80,214.4,2.68,3,26.8,MXN,,pieza=30.9; caja=214.4x8; envio $70 / gratis $1100,5422
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/secret-desodorante-clear-gel-powder-protect-45-gr.html,higiene-y-cuidado-personal,Secret Desodorante Clear Gel Powder Protect 45 Gr,,45 g,g,12,567.6,47.3,2,47.3,MXN,,pieza=51.4; caja=567.6x12; envio $70 / gratis $1100,8810
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/jabon-lirio-c-p-pouch-coco-liquido-500-ml.html,higiene-y-cuidado-personal,Jabon Lirio C&P Pouch Coco Liquido 500 Ml,,500 ml,ml,12,345.6,28.8,3,28.8,MXN,,pieza=33.5; caja=345.6x12; envio $70 / gratis $1100,12957
