Categoria,Producto,Precio Mayoreo,Precio por Unidad
Alimentos y Despensa,Chocolate En Polvo Morelia 155 Gr,$19.14,$21.80
Alimentos y Despensa,Chiles Chipotles La Morena 100 Gr,$15.50,$17.30
Alimentos y Despensa,Papel Higiénico Mr. Big 600 HD 4 Pzas,$27.95,$28.50
Alimentos y Despensa,Gelatina D'Gari Sabor Frutos Rojos 120 Gr,$10.76,$12.00
Alimentos y Despensa,Gelatina D'Gari Sabor Rompope 120 Gr,$10.76,$12.00
Alimentos y Despensa,Servilletas Pétalo 220 piezas,$30.00,$35.30
Alimentos y Despensa,Sopa Knorr Estrella Exhibidor Con 6 Bolsas,$106.00,$106.00
Alimentos y Despensa,Chiles Jalapeños La Morena 210 Gr,$14.80,$16.50
Alimentos y Despensa,Sopa Knorr Municiones Exhibidor Con 6 Bolsas,$106.00,$106.00
Alimentos y Despensa,Champiñones Herdez Rebanados 186g,$18.96,$22.40
Alimentos y Despensa,Mayonesa McCormick con limón 725 g,$69.18,$78.70
Alimentos y Despensa,Maizena Atole Fécula De Maíz Sabor Fresa 47 gr.,$11.30,$11.30
Alimentos y Despensa,Flan D'Gari Sabor Vainilla 140 Gr,$8.99,$11.10
Alimentos y Despensa,Café De Grano Legal Con Azúcar Y Canela 30 Sobres,$282.00,$282.00
Alimentos y Despensa,Pétalo Papel higiénico Ultra Resistente Jumbo 6 Rollos con 500 Hojas c/u,$51.50,$57.30
Alimentos y Despensa,Avena Integral Granvita 400 Gr,$11.07,$12.40
Alimentos y Despensa,Gelatina D'Gari Sabor Grosella 120 Gr,$10.76,$12.00
Alimentos y Despensa,Frijoles Bayos La Sierra Refritos 580 Gr,$15.00,$16.70
Alimentos y Despensa,Salsa BBQ Hunt's Original 620 Gr,$37.19,$41.40
Alimentos y Despensa,Frijoles Refritos Bayos en Lata La Costeña 820 gr,$23.79,$23.79
Alimentos y Despensa,Maizena Atole Fécula De Maíz Sabor Chocolate 45 Gr,$11.30,$11.30
Alimentos y Despensa,Servilletas Pétalo 420 piezas,$45.83,$49.90
Alimentos y Despensa,Cereal Kellogg's Zucaritas 125 Gr,$23.25,$25.50
Alimentos y Despensa,Sopa Knorr Letras Exhibidor Con 6 Bolsas,$106.00,$106.00
Alimentos y Despensa,Té De Limón La Pastora 25 Sobres,$17.95,$20.50
Alimentos y Despensa,Canela Entera IET Tira Con 26 Piezas,$132.42,$132.42
Alimentos y Despensa,Leche Evaporada Carnation Clavel 1kg,$46.00,$46.00
Alimentos y Despensa,Frijoles Refritos bayos Isadora Pouch 220 gr.,$9.22,$10.50
Alimentos y Despensa,Pasta Spaghetti La Moderna 500 gr.,$17.28,$19.00
Alimentos y Despensa,Mole Doña María rojo en pasta 235 g,$49.19,$57.90
Alimentos y Despensa,Nutella Crema De Avellanas 350 Gr,$80.81,$82.50
Alimentos y Despensa,Gelatina D'Gari Sabor Nuez 120 Gr,$10.76,$12.00
Alimentos y Despensa,Gelatina D'Gari Sabor Mango Manila 120 Gr,$10.76,$12.00
Alimentos y Despensa,Sustituto De Crema Para Café En Polvo Coffee Mate 160 Gr,$33.57,$37.30
Alimentos y Despensa,Frijoles Bayos La Sierra Enteros 560 Gr,$14.00,$15.60
Alimentos y Despensa,Chiles Chipotles La Morena 210 Gr,$27.92,$31.10
Alimentos y Despensa,Maizena Atole Fécula De Maíz Sabor Vainilla 47 gr.,$11.30,$11.30
Alimentos y Despensa,Tomates molidos Del Fuerte condimentados 345 g,$13.95,$16.50
Alimentos y Despensa,Salsa Herdez Verde 240g,$19.24,$22.90
Alimentos y Despensa,Papel higiénico Love it empaque Individual 4 Pzas 600 HD,$26.90,$27.90
Alimentos y Despensa,Chocolate Ibarra En Tableta 540 Gr,$120.60,$120.60
Alimentos y Despensa,Miel de abeja Carlota 300 g,$52.88,$63.80
Alimentos y Despensa,Cereal Kellogg's Froot Loops 90 Gr,$23.25,$25.50
Alimentos y Despensa,Leche Evaporada Carnation Clavel 720 Gr,$42.13,$48.90
Alimentos y Despensa,Tira De Canela Aliguma 15 Piezas,$61.20,$61.20
Alimentos y Despensa,Avena Quaker 3 Minutos Cereal Mixto 400 Gr,$36.38,$40.50
Alimentos y Despensa,Chícharos Herdez 400 Gr,$15.50,$17.90
Alimentos y Despensa,Papel Higiénico Elite Big Roll 6 Rollos con 550 Hojas Dobles c/u,$47.75,$52.00
Alimentos y Despensa,Salsa Herdez Casera 240g,$19.24,$21.50
Alimentos y Despensa,Mayonesa McCormick con limón 1.4 Kg,$130.30,$130.30
Alimentos y Despensa,Salsa de Tomate Embasa 1 kg,$24.20,$24.20
Alimentos y Despensa,Piña En Almíbar En Rebanadas Santa Mónica 800 Gr,$59.04,$67.50
Alimentos y Despensa,Servitoalla Pétalo Práctica 160 Hojas Dobles,$17.90,$19.50
Alimentos y Despensa,Chocolate En Polvo Morelia 357 Gr,$39.90,$44.40
Alimentos y Despensa,Gelatina D'Gari Sabor Frambuesa 120 Gr,$10.76,$12.00
Alimentos y Despensa,Chiles Jalapeños en Lata Súper Latón Clemente Jacques 3.65 kg,$83.90,$83.90
Alimentos y Despensa,Jarabe De Maíz Karo Maple 250 Gr,$42.10,$50.80
Alimentos y Despensa,Tomates molidos Del Fuerte condimentados 210 g,$8.66,$10.50
Alimentos y Despensa,Frijoles Negros La Sierra Refritos 580 Gr,$15.00,$16.70
Alimentos y Despensa,Servitoalla Toalla De Papel pétalo 1 rollo con 180 hojas,$23.40,$26.00
Alimentos y Despensa,Cereal Corn Flakes El Original Kellogg's 150 Gr,$22.20,$23.90
Alimentos y Despensa,Duraznos En Almíbar La Costeña 820 Gr,$58.83,$66.50
Alimentos y Despensa,Cereal Kellogg's Zucaritas 600 g,$64.19,$69.10
Alimentos y Despensa,Servilleta línea Verde,$19.79,$22.50
Alimentos y Despensa,Cereal Choco Krispis 290 Gr,$42.25,$45.50
Alimentos y Despensa,Duraznos En Almibar Santa Mónica En mitades Lata 820 gr.,$47.96,$49.90
Alimentos y Despensa,Rajas de Jalapeño La Costeña Mi Latota 3.8 kg,$163.92,$163.92
Alimentos y Despensa,Toalla de cocina Rinde Hogar Ecológica 160 HD,$10.56,$10.90
Alimentos y Despensa,Chiles Chilpotles Herdez Enteros en Adobo 198g,$25.00,$27.90
Alimentos y Despensa,Rajas de Chiles Jalapeños Herdez en Escabeche 205g,$12.62,$14.50
Alimentos y Despensa,Salsa Catsup Squeeze La Costeña 385g,$11.08,$11.08
Alimentos y Despensa,Leche Evaporada Asturias 1L,$44.00,$44.00
Alimentos y Despensa,Fécula de Maíz Natural Maizena 750 gr.,$75.90,$75.90
Alimentos y Despensa,Mayonesa Con Limon Star Value Bote 3.45 Kg,$233.10,$233.10
Canasta Básica / Primera Necesidad,Aceite Vegetal 123 Botella 1 Litro,$39.83,$44.30
Canasta Básica / Primera Necesidad,Atún Dolores en Agua Lata 133 gr.,$18.94,$20.20
Canasta Básica / Primera Necesidad,Atún Dolores En Aceite 133 Gr,$18.94,$20.20
Canasta Básica / Primera Necesidad,"Aceite Vegetal 123, 500 ml",$21.88,$24.40
Canasta Básica / Primera Necesidad,Leche Fórmula Láctea NutriLeche 1 Litro,$18.33,$21.90
Canasta Básica / Primera Necesidad,Leche Alpura Clásica 1 L,$24.75,$27.00
Canasta Básica / Primera Necesidad,Pasta Para Sopa Fideo No. 0 La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Café Soluble Nescafé Clásico 28 Gr,$25.50,$27.80
Canasta Básica / Primera Necesidad,Bolsa de Sal Natural Yodada Fluorada La Fina 1 Kg,$18.61,$22.50
Canasta Básica / Primera Necesidad,Leche Alpura Deslactosada 1 L,$294.00,$26.70
Canasta Básica / Primera Necesidad,Aceite de Soya Comestible Nutrioli 800 ml,$36.17,$40.20
Canasta Básica / Primera Necesidad,Arroz Sinaloa A Granel,$15.30,
Canasta Básica / Primera Necesidad,Pasta Para Sopa Munición La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Pasta Para Sopa Fideo No. 2 La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Aceite Vegetal Comestible Cristal 500 ml,$18.69,$21.30
Canasta Básica / Primera Necesidad,Pasta Para Sopa Moñito La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Pasta Para Sopa Letra La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Pasta Para Sopa Fideo No. 1 La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Pasta Para Sopa Lengua La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Pasta Para Sopa Codo No. 3 La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Pasta Para Sopa Estrella La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Aceite Vegetal Comestible Cristal 1L,$37.08,$42.20
Canasta Básica / Primera Necesidad,Leche Alpura Vaquitas Sabor Chocolate 1 Litro,$30.20,$34.40
Canasta Básica / Primera Necesidad,Leche Alpura Mini Sabor Chocolate 200ml,$9.30,$10.40
Canasta Básica / Primera Necesidad,Atún Dolores En Agua 295 Gr,$40.75,$45.30
Canasta Básica / Primera Necesidad,Atún Dolores En Aceite 295g,$40.75,$45.30
Canasta Básica / Primera Necesidad,Frijol Negro Americano A Granel,$23.80,
Canasta Básica / Primera Necesidad,Harina de Maíz Maseca 1 kg,$18.50,$21.10
Canasta Básica / Primera Necesidad,Leche Fórmula Láctea Deslactosada NutriLeche 1 Litro,$242.30,$21.10
Canasta Básica / Primera Necesidad,Pasta Para Sopa Almeja La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Aceite de Soya Comestible Nutrioli 400 ml,$252.00,$23.40
Canasta Básica / Primera Necesidad,Harina de Trigo Extra Finada San Antonio Tres Estrellas 1 Kg,$17.73,$20.20
Canasta Básica / Primera Necesidad,Leche Alpura Vaquitas Sabor Vainilla 200 ml,$9.30,$10.40
Canasta Básica / Primera Necesidad,Pasta Para Sopa Caracol No. 1 La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Sal Natural de Grano Elefante 1 Kg,$15.59,$18.40
Canasta Básica / Primera Necesidad,Leche Lala Entera 1 Litro,$26.72,$27.90
Canasta Básica / Primera Necesidad,Sardinas Dolores En Salsa De Tomate 425 Gr,$38.73,$40.50
Canasta Básica / Primera Necesidad,Pasta Para Sopa Codo No. 4 La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Aceite de Soya Victoria 850 ml,$29.83,$33.20
Canasta Básica / Primera Necesidad,Leche Yomi Lala Sabor Chocolate 190 ml,$8.25,$9.20
Canasta Básica / Primera Necesidad,Bolsa de Arroz Súper Extra Verde Valle 1KG,$30.70,$32.40
Canasta Básica / Primera Necesidad,Harina de Arroz Tres Estrellas 250 gr,$13.51,$14.40
Canasta Básica / Primera Necesidad,Aceite Vegetal AVE Comestible 400 ml,$16.98,$18.80
Canasta Básica / Primera Necesidad,Harina de Trigo Selecta 1 Kg,$17.69,$19.90
Canasta Básica / Primera Necesidad,Leche Alpura Vaquitas sabor Vainilla 1 Litro,$30.20,$34.40
Canasta Básica / Primera Necesidad,Leche Yomi Lala Sabor Fresa 190 ml,$8.25,$9.20
Canasta Básica / Primera Necesidad,Leche Alpura Natural 200 ml,$9.58,$10.70
Canasta Básica / Primera Necesidad,Aceite de Oliva El Olivo 45 ml,$69.27,$77.00
Canasta Básica / Primera Necesidad,Pasta Para Sopa Codo No. 1 La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Leche Yomi Lala Sabor Vainilla 190 ml,$8.25,$9.20
Canasta Básica / Primera Necesidad,Leche Yomi Lala Sabor Chocolate 960 ml,$32.33,$34.80
Canasta Básica / Primera Necesidad,Harina de Maíz Minsa 1 kg,$18.95,$21.90
Canasta Básica / Primera Necesidad,Azúcar Morena Zulka 1 KG,$20.49,$22.90
Canasta Básica / Primera Necesidad,Aceite Vegetal AVE Comestible 800 ml,$31.68,$36.10
Canasta Básica / Primera Necesidad,Sardinas Calmex En Salsa De Tomate,$40.00,$44.50
Canasta Básica / Primera Necesidad,Pasta Para Sopa Caracol No. 2 La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Pasta Para Sopa Pluma La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Café Soluble Nescafé Clásico 120 Gr,$102.50,$105.70
Canasta Básica / Primera Necesidad,Café Nescafé Descaf 40 Gr,$40.78,$45.40
Canasta Básica / Primera Necesidad,Leche Alpura Deslactosada Ligth 1 L,$27.83,$30.30
Canasta Básica / Primera Necesidad,Leche Lala Fresca Entera 1 Litro,$27.50,$27.50
Canasta Básica / Primera Necesidad,Leche Yomi Lala Sabor Fresa 960 ml,$32.33,$34.80
Canasta Básica / Primera Necesidad,Pasta Para Sopa Ojito La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Pasta Para Sopa Engrane La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Café Soluble Nescafé Clásico 200 gr.,$136.97,$152.20
Canasta Básica / Primera Necesidad,Leche Yomi Lala Sabor Vainilla 960 ml,$32.33,$34.80
Canasta Básica / Primera Necesidad,Aceite Vegetal Comestible Cristal 1.5 Litros,$56.88,$64.70
Canasta Básica / Primera Necesidad,Sal Natural de Mesa Elefante 1 Kg,$16.32,$19.70
Canasta Básica / Primera Necesidad,Pasta Para Sopa Lenteja La Moderna 200 Gr,$6.85,$7.70
Canasta Básica / Primera Necesidad,Café de Olla Nescafé 45g,$32.12,$35.00
Canasta Básica / Primera Necesidad,Atún Herdez en agua Lata 130 g,$17.00,$17.60
Canasta Básica / Primera Necesidad,Bolsa de Arroz Sinaloa Abeto 900 gr,$16.05,$17.10
Canasta Básica / Primera Necesidad,Costal de Frijol Pinto Saltillo El Labrador 25 kg,$19.50,
Canasta Básica / Primera Necesidad,Sal de Mar Grano Fino Sal Sol 1 kg,$16.55,$19.50
Canasta Básica / Primera Necesidad,ARROZ SUPER EXTRA 7 SEMILLAS 1-5 KG,$79.00,$80.90
Canasta Básica / Primera Necesidad,Atun en Aceite Herdez lata 130 g,$17.00,$17.60
Canasta Básica / Primera Necesidad,Aceite Vegetal Sabrosano Sabor Mantequilla 850 ml,$37.97,$42.30
Canasta Básica / Primera Necesidad,Costal de Frijol Flor de Mayo El Labrador 25 kg,$22.70,
Canasta Básica / Primera Necesidad,Sal de Mar Grano Grueso Sal Sol 1 kg,$15.43,$18.50
Canasta Básica / Primera Necesidad,Café Soluble Legal 50 Gr,$30.13,$33.50
Canasta Básica / Primera Necesidad,Bolsa de Frijol Negro 7 Semillas 1 KG,$22.00,$22.50
Canasta Básica / Primera Necesidad,Leche Alpura Light 1 L,$27.43,$29.90
Canasta Básica / Primera Necesidad,Harina de Trigo Extra Finada La Moderna 1 Kg,$16.07,$17.90
Canasta Básica / Primera Necesidad,Hojuelas De Atún Tuny En Aceite 140 Gr,$20.79,$21.90
Canasta Básica / Primera Necesidad,Aceit Vegetal Gran Tradición 1 L,$39.50,$44.00
Canasta Básica / Primera Necesidad,Aceite Vegetal Cristal Garrafa con 5 L,$188.25,$188.25
Canasta Básica / Primera Necesidad,ATUN DOLORES POUCH AGUA 48-78 GR,$16.10,$17.90
Canasta Básica / Primera Necesidad,Silk Alimento Líquido de Almendra Sin Azúcar 946 ml,$40.92,$44.50
Canasta Básica / Primera Necesidad,FRIJOL FLOR DE MAYO 7 SEMILLAS 1-5 KG,$109.50,$115.70
Canasta Básica / Primera Necesidad,Frijol Pinto 7 Semillas Bolsa 5 Kg,$97.20,$98.20
Canasta Básica / Primera Necesidad,Nescafé Clásico stick Sobre 2 gr,$94.80,$94.80
Canasta Básica / Primera Necesidad,FRIJOL NEGRO AMERICANO 7 SEMILLAS 1-5 KG,$131.90,$131.90
Canasta Básica / Primera Necesidad,Sal Oso Blanco Yodada Fluorada Roja 1 Kg,$12.50,$13.90
Canasta Básica / Primera Necesidad,Atún Herdez en agua 280 g,$39.79,$41.90
Canasta Básica / Primera Necesidad,Café Soluble Legal 180 Gr,$83.05,$92.30
Canasta Básica / Primera Necesidad,Bolsa de Frijol Flor de Mayo 7 Semillas 1 KG,$21.89,$22.50
Canasta Básica / Primera Necesidad,Bolsa de Arroz Morelos 7 Semillas 900 gr,$24.50,$25.00
Canasta Básica / Primera Necesidad,Leche Deslactosada Vaca Pinta 1 Litro,$21.00,$21.00
Canasta Básica / Primera Necesidad,FRIJOL NEGRO SAN LUIS 7 SEMILLAS 1-5 KG,$81.90,$84.90
Canasta Básica / Primera Necesidad,Atún Tuny En Aceite 295 Gr,$37.91,$40.50
Canasta Básica / Primera Necesidad,Café Oro 24 Kilates Soluble 160 Gr,$117.58,$130.70
Canasta Básica / Primera Necesidad,Leche Saborizada Vaca Pinta Sabor Chocolate 236 ml,$7.09,$7.50
Canasta Básica / Primera Necesidad,Aceite de Oliva San Lucas 1 L,$165.88,$210.50
Canasta Básica / Primera Necesidad,Leche Saborizada Vaca Pinta Sabor Fresa 236 ml,$7.09,$7.50
Canasta Básica / Primera Necesidad,Bebida Láctea Chiquilac Bolsa 900 ml,$11.70,$11.70
Canasta Básica / Primera Necesidad,Nescafé Black Latte 330 ml,$24.20,$24.20
Canasta Básica / Primera Necesidad,Café Soluble Legal 175 Gr,$73.77,$82.00
Canasta Básica / Primera Necesidad,Atún Dolores en Agua Lata 1.88 KG,$265.55,$265.55
Canasta Básica / Primera Necesidad,Sal de Mar Roche Grano Común Bulto 25 Kg,$184.60,$184.60
Canasta Básica / Primera Necesidad,Manteca Vegetal Inca 1 kg,$71.67,$81.50
Canasta Básica / Primera Necesidad,Aceite Vegetal Oleico Botella con 825 ml,$69.83,$75.50
Canasta Básica / Primera Necesidad,Nescafé Latte 330 ml,$20.71,$23.90
Canasta Básica / Primera Necesidad,Lata de Café Nescafé Clásico 1.2 KG,$535.53,$535.53
Canasta Básica / Primera Necesidad,Aceite Vegetal Cristal Bote con 20 L,$738.20,$738.20
Canasta Básica / Primera Necesidad,AtunEenlatado en Aceite Dolores Lata con 1.88 KG,$265.55,$265.55
Canasta Básica / Primera Necesidad,Café Oro Soluble 200 Gr,$123.88,$137.70
Canasta Básica / Primera Necesidad,Bolsa de Arroz Súper Extra Tradición 900 gr,$22.90,$23.50
Canasta Básica / Primera Necesidad,Atun Enlatado en Aceite El Dorado Lata con 1.88 KG,$185.00,$185.00
Farmacia,Sal de Uvas Picot 50 sobres,$156.00,$171.30
Farmacia,Alka Seltzer Caja con 100 tabletas,$267.68,$284.80
Farmacia,Antigripal XL3 Xtra Gripe y Tos Caja con 12 Cápsulas,$52.57,$59.00
Farmacia,Tabcin Noche 250 mg 12 Capsulas,$71.21,$77.30
Farmacia,Theraflu Verde Caja con 10 Pzas,$160.38,$173.60
Farmacia,Sal de Uvas Picot 10 sobres,$37.83,$43.50
Farmacia,Treda 280 mg Caja con 20Tabletas,$142.24,$152.30
Farmacia,Tabcin Active 250 mg 12 Capsulas,$70.60,$76.60
Farmacia,Alka-Seltzer 12 Tabletas,$40.20,$44.40
Farmacia,Venditas Adhesivas Jaloma 100 pzas,$36.40,$41.10
Farmacia,Bicarbonato de Sodio Biso 400 gr,$26.25,$31.00
Farmacia,Botella de Alcohol Etílico Desnaturalizado 70% Purex 250 ml,$13.50,$15.00
Farmacia,Botella de Agua Oxigenada 250 ml,$13.20,$16.50
Farmacia,Desenfriol D Caja con 30 Tabletas,$72.37,$77.30
Farmacia,XL3 VR Caja con 24 Tabletas,$103.59,$111.80
Farmacia,Botella de Alcohol Etílico Desnaturalizado 70% Purex 125 ml,$8.00,$9.50
Farmacia,Bolsa de Algodón Plisado Zuum 25 gr,$15.49,$17.00
Farmacia,Botella de Agua Oxigenada 500 ml,$15.95,$18.20
Farmacia,Gasa Estéril Jaloma Caja con 100 sobres,$105.07,$115.30
Farmacia,Hisopos Kiuts Jaloma 300 pzas,$25.08,$31.40
Farmacia,Gel Antibacterial Jaloma bote 120 ml,$13.00,$16.30
Farmacia,Venda Elástica Selecta 10 cm x 5 M,$10.00,$11.20
Farmacia,ALCOHOL AZUL MED RX 24-500 ML,$18.90,$18.90
Farmacia,Alka- Seltzer Boost Caja con 10 tabletas,$51.90,$56.70
Farmacia,ALCOHOL AZUL MED RX 12-1 LT,$36.90,$36.90
Farmacia,Cinta Microporosa color Piel Zuum 1.25 cm x 9.1 M,$16.50,$19.00
Farmacia,Caja de Condones Prudence Clásico 3 pzas,$33.50,$37.60
Farmacia,Botella de Alcohol Etílico Desnaturalizado 70% Azul AC 500 ml,$20.08,$23.70
Farmacia,Condones Sico Sensitive Rojo 3 pzas,$55.13,$67.20
Farmacia,Jabón Líquido intimo Saba Natural de 200 ml,$43.49,$49.50
Farmacia,Ensure Regular Sabor Chocolate 237 ml,$54.63,$60.70
Farmacia,ROSEL ANTIGRIPAL 50/3/300 MG 1-24 CAP,$32.90,$37.40
Farmacia,Ensure Regular Sabor Vainilla 237 ml,$54.63,$60.70
Farmacia,Agua Oxigenada Zuum Botella 185 ml,$19.50,$21.50
Farmacia,Ensure Regular Sabor Fresa 237 ml,$54.63,$60.70
Farmacia,Condones Sico Safety Negro 3 pzas,$55.13,$67.20
