sku,nombre,categoria,tipo,costo,precio_actual,precio_propuesto,regla,recargo_pct,utilidad_pesos,margen_bruto_pct,variacion_pct,needs_review,manual_like,motivo_regla
FC-36033735,Ricitos de Oro Oro Agua De Coco,Higiene,marca,66.93,107.09,94,higiene,40.0,27.07,28.8,-12.2,False,False,higiene
FC-56330309,Clariant B3 Nml/Gsa,Cuidado personal,marca,105.35,168.56,148,higiene,40.0,42.65,28.8,-12.2,False,False,higiene
FC-42270027,Nivea Cuidada Clar-Nat,Cuidado personal,marca,85.87,137.4,121,higiene,40.0,35.13,29.0,-11.9,False,False,higiene
FC-00942760,Niv Fac Ref Hidra Hyalu,Cuidado personal,marca,62.25,99.6,88,higiene,40.0,25.75,29.3,-11.6,False,False,higiene
FC-54558682,Corp Niveamilk +Cra100 Ml,Cuidado personal,marca,22.3,35.68,32,higiene,40.0,9.7,30.3,-10.3,False,False,higiene
FC-40030963,Teatrical Cel-Ma Nutrit,Cuidado personal,marca,34.41,55.06,49,higiene,40.0,14.59,29.8,-11.0,False,False,higiene
FC-26462061,Ternura Ortodontic Miel C3,Bebés,marca,74.31,118.9,97,bebe,30.0,22.69,23.4,-18.4,False,False,bebe
FC-46655079,Palmolive N-Bal Corp Baby0%,Higiene,marca,19.95,31.92,28,higiene,40.0,8.05,28.8,-12.3,False,False,higiene
FC-82790016,Nuvel Pura Para Bebe200 G,Higiene,marca,39.9,63.84,56,higiene,40.0,16.1,28.8,-12.3,False,False,higiene
FC-46650708,Mennen Lavan-Extrac Aven,Higiene,marca,53.99,86.39,76,higiene,40.0,22.01,29.0,-12.0,False,False,higiene
FC-22133286,Grisi Rici Oro Miel,Higiene,marca,70.91,113.46,100,higiene,40.0,29.09,29.1,-11.9,False,False,higiene
FC-06245686,Axe Men Epic-F 48H,Higiene,marca,45.83,73.33,65,higiene,40.0,19.17,29.5,-11.4,False,False,higiene
FC-93025865,Axe Men Gold Temp,Higiene,marca,45.83,73.33,65,higiene,40.0,19.17,29.5,-11.4,False,False,higiene
