sku,nombre,categoria,tipo,codigo_barras,costo_compra,precio_venta_fc,margen_bruto_pct,markup_sobre_costo_pct,precio_teorico_costo_x1_6,dif_vs_teorico_pct,precio_similares,precio_del_ahorro,precio_exprezo,ref_mercado_min,dif_vs_mercado_pct,fecha_ref_competencia
FC-FD718DF3,Mercurio Sulfatiazol 2600223,Cuidado personal,marca,,11.5,18.41,37.5,60.1,18.4,0.1,,,,,,
FC-47AAF23B,Mercurio Sulfatiazol Polvo 1710824,Producto,marca,,69.0,110.4,37.5,60.0,110.4,0.0,,,,,,
FC-FEAECBF1,Mercurio Tepezcohuite,Cuidado personal,marca,,9.5,15.2,37.5,60.0,15.2,0.0,,,,,,
FC-9827438F,Mercurio Veneno De Abeja,Cuidado personal,marca,,9.5,15.2,37.5,60.0,15.2,0.0,,,,,,
FC-A680F97E,Mercurio Yodo Tomar 1800823 83156,Producto,marca,,11.0,17.61,37.5,60.1,17.6,0.1,,,,,,
FC-D3D28E20,Mercurio Yodo Untar 1810623 83156,Producto,marca,,11.5,18.41,37.5,60.1,18.4,0.1,,,,,,
FC-926099D3,Mertiolate Kohn Rojo 012023 82912,Producto,marca,,9.0,14.4,37.5,60.0,14.4,0.0,,,,,,
FC-50587FA6,Mexapin,Otro,marca,,13.93,18.11,23.1,30.0,22.29,-18.8,,,,,,
FC-76040436,Mexsana P/Pies,Higiene,marca,7502276040436,78.22,110.0,28.9,40.6,125.15,-12.1,,,,,,
FC-87932321,Microdacyn Lubricante Ico Cereza 50 Ml 1 Ico Cereza 50,Higiene,marca,75010587932321,101.9,163.05,37.5,60.0,163.04,0.0,,,,,,
FC-38312374,Moco de Gorila Gel Citr,Higiene,marca,7501438312374,32.34,46.0,29.7,42.2,51.74,-11.1,,,,,,
FC-99428024,Moco de Gorila Punk,Cuidado personal,marca,7501199428024,14.15,20.0,29.2,41.3,22.64,-11.7,,,,,,
FC-FA3D96E6,N Calcitriol,Otro,marca,,47.13,61.27,23.1,30.0,75.41,-18.8,,,,,,
FC-47624171,Nailex Desenterrador Unas Desenterrador Unas,GENERAL,marca,75022347624171,54.49,87.19,37.5,60.0,87.18,0.0,,,,,,
FC-E6112F15,Nalixone,Otro,generico,,63.32,101.32,37.5,60.0,101.31,0.0,,,,,,
FC-AEA8C8DA,Namifen,Otro,marca,,24.28,31.57,23.1,30.0,38.85,-18.7,,,,,,
FC-51078461,Nan 1 Pro 1,GENERAL,marca,75064751078461,129.4,207.05,37.5,60.0,207.04,0.0,,,,,,
FC-51078531,Nan Nestle Bolsa Nestle Bolsa,GENERAL,marca,75064751078531,58.7,93.93,37.5,60.0,93.92,0.0,,,,,,
FC-01157296,Naturella flujo moderado con alas,Higiene,marca,7506309895208,17.0,26.0,34.6,52.9,27.2,-4.4,,,,,,
FC-01405335,Naturella noche con alas,Higiene,marca,7506339394719,18.5,28.0,33.9,51.4,29.6,-5.4,,,,,,
FC-89794961,Ne,Otro,marca,75013289794961,125.8,163.54,23.1,30.0,201.28,-18.8,,,,,,
FC-28979502,Ne,Otro,marca,7501328979502,124.4,161.72,23.1,30.0,199.04,-18.7,,,,,,
FC-86167151,Nestum Probioticos Avena 270 Probioticos,Abarrotes,marca,75010586167151,52.43,83.89,37.5,60.0,83.89,0.0,,,,,,
FC-82176351,Neurobion Sot.O- Dc Ete Jga Sot.O- Prell Health9.20,Otro,marca,75012982176351,273.42,438.0,37.6,60.2,437.47,0.1,,,,,,
FC-51067711,Nido,Producto,marca,75064751067711,112.7,180.33,37.5,60.0,180.32,0.0,,,,,,
FC-59225411,Nido,Producto,marca,7501059225411,74.19,118.71,37.5,60.0,118.7,0.0,,,,,,
FC-58611420,Nido Nido Nestle Bolsa,Abarrotes,marca,7501058611420,53.7,85.93,37.5,60.0,85.92,0.0,,,,,,
FC-92821171,Nido Nido Nestle Bolsa Nestle,Abarrotes,marca,75010592821171,30.67,49.08,37.5,60.0,49.07,0.0,,,,,,
FC-08802838,Nivea B Sofmilk Sec400 Ml,Cuidado personal,marca,4005808802838,84.49,119.0,29.0,40.8,135.18,-12.0,,,,,,
