sku,nombre,ticket,linea_ticket,lote,nombre_ticket,clave_equilibrio,via_match,ean_propuesto,nombre_levic,precio_levic,aceptable,confirmado_por,aceptado,aviso
FC-BE76D409,Amcef IM 1 g (Inyectable),440393,121,J25N044,AMCEF I.M. 1 FA 1G/3.5 ML,AMS004,lote_equilibrio,7501349012004,Amcef IM 1 g (Inyectable),17.92,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS004,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-C636D8EA,Ceftriaxona IM 1 g (Inyectable),440393,116,J25G109,CEFTRIAXONA I.M. 1 FA 1G/3.5 ML,BEA462,lote_equilibrio,7506624900519,Ceftriaxona IM 1 g (Inyectable),19.16,candidato_clave_levic,equilibrio.lote_equilibrio+levic.BEA462,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-CB5C11ED,Mercurio Magnesia Anisada,IFC2-080826,4,,MERCURIO MAGNESIA ANISADA C/50 1560824,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-C4530823,Mercurio óxido de zinc C/50,IFC2-080826,1,,MERCURIO OXIDO DE ZINC C/50 1620824 83521,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-C9F4ACCC,Acemetacina,440393,67,CNF2656,ACEMETACINA 14 CAPS 90 MG,SON192,linea_equilibrio,7502216800984,Aspitak-P,24.7,candidato_ean_ticket,levic_9012078353,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-CD261CD5,Doliprofen,440393,130,26140712,DOLIPROFEN 10 TAB 800 MG,COL226,lote_equilibrio,780083148805,Dolprofen 10 Tab 800 Mg,23.07,candidato_clave_levic,equilibrio.lote_equilibrio+levic.COL226,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-CF18C740,Clindamicina,440393,17,U26E412,CLINDAMICINA 16 CAP 300 MG,AMS296,lote_equilibrio,7501349020788,Clindamicina,30.0,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS296,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-01B2F362,Fasiclor,440393,37,255772,FASICLOR 1 SUSP 125MG/5/75 ML,MAV123,lote_equilibrio,7502009741043,Fasiclor 125 mg/5 mL Frasco 75 mL Maver,53.12,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV123,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-2005DD57,Cefalexina,440393,32,26A067,CEFALEXINA 20 CAPS 500 MG,AMS322,linea_equilibrio,7501349021181,Cefalexina,37.49,candidato_clave_levic,equilibrio.linea_equilibrio+levic.AMS322,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-41339950,Claritromicina,440393,41,U26E021,CLARITROMICINA 10 TAB 500 MG,AMS492,lote_equilibrio,7501349021686,Claritromicina,62.96,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS492,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-443C330E,Cefagen,440393,24,256911,CEFAGEN 10 TAB 500 MG,MAV228,lote_equilibrio,7502009745126,Cefagen 10 Tab 500 Mg,149.98,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV228,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-48F732CF,Epicin,440393,22,E2603101,EPICIN 20 CAPS 500 MG,SON237,linea_equilibrio,7502001165328,Expicin 25 Caps 500 Mg,28.27,candidato_clave_levic,equilibrio.linea_equilibrio+levic.SON237,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-492D652F,Cefalver,440393,25,261277,CEFALVER 20 CAPS 500 MG,MAV163,lote_equilibrio,7502009740480,Cefalver,44.26,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV163,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-697EEAD0,Kurtosil,440393,27,264239,KURTOSIL 1 CMA 20/1 MG,MAV357,lote_equilibrio,7502009747656,Kurtosil,64.99,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV357,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-72C28BC1,Knoricin,440393,23,5F0981,KNORICIN 1 SUSP 125MG/5/60 ML,MAI071,lote_equilibrio,785118752330,Krobicin 1 Susp 125mg/5/60 Ml,60.4,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAI071,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-74A5ABEE,Ciprofloxacino,440393,30,U26V028,CIPROFLOXACINO 12 TAB 250 MG,AMS430,linea_equilibrio,7501349020894,Ciprofloxacino,14.4,candidato_clave_levic,equilibrio.linea_equilibrio+levic.AMS430,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-830BF3FB,Diviltac,440393,28,H26020022,DIVILTAC 1 FA 150/10MG/1 ML,SON189,lote_equilibrio,7502001165311,Diviltac,39.93,candidato_clave_levic,equilibrio.lote_equilibrio+levic.SON189,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-85BDBD3D,Acroxil-C,440393,34,E2512603,ACROXIL-C 1 SUSP 250MG/5/60 ML,SON136,linea_equilibrio,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-86A95D07,Tropharma,440393,26,2512921,TROPHARMA 20 TAB 500 MG,ALP0237,lote_equilibrio,7503003134268,Tropharma Eitromicina 500 mg,47.91,candidato_clave_levic,equilibrio.lote_equilibrio+levic.ALP0237,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-8FB65B79,Klarix,440393,13,263020,KLARIX 1 SUSP 250MG/5ML 60 ML,MAV389,lote_equilibrio,7502009749223,Klarix,84.99,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV389,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-AEA8C8DA,Namifen,440393,31,440096,NAMIFEN 20 TAB 500 MG,NOV013,lote_equilibrio,7501075713718,Namifen,24.79,candidato_clave_levic,equilibrio.lote_equilibrio+levic.NOV013,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-3A4583F3,Penipot,440393,59,125U014,"PENIPOT 1 FA 400,000 UI",AMS021,linea_equilibrio,7501349012172,Penipot bencilpenicilina procainica,17.72,candidato_clave_levic,equilibrio.linea_equilibrio+levic.AMS021,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-17376CAE,Aspitak-P,440393,68,26051262,ASPITAK-P 30 COMP 100 MG,SON192,lote_equilibrio,7502001162976,Aspitak-P,24.7,candidato_clave_levic,equilibrio.lote_equilibrio+levic.SON192,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-405A75E3,Ursodesoxicolico,440393,57,U26F085,ACIDO URSODESOXICOLICO 50 CAP 250 MG,AMS501,lote_equilibrio,7501349020269,Ácido ursodeoxicólico 250 mg Caja con 50 cápsulas AMSA,233.1,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS501,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-4C621D07,Vanmoxol,440393,46,S5406,VANMOXOL 1 SUSP 250/15MG/5/90 ML,WAN015,linea_equilibrio,7503001007205,Vanmoxol,20.51,candidato_clave_levic,equilibrio.linea_equilibrio+levic.WAN015,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-E6112F15,Nalixone,440393,42,2630655,NALIXONE 20 TAB 500/50 MG,SON102,linea_equilibrio,7502001165533,Nalixone,76.04,candidato_clave_levic,equilibrio.linea_equilibrio+levic.SON102,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-E69F2E63,Madrid Aceite Eucalipto,IFC1-080826,13,,MADRID ACEITE EUCALIPTO C/25 2712017 83401,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-EFB599B5,Mercurio Pan Puerco,IFC2-080826,18,,MERCURIO POMADA PAN PUERCO C/25 25401233,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-E6B50AC3,Celecoxib,440393,92,6EM120A,CELECOXIB 10 CAPS 200MG,ULT180,lote_equilibrio,7502216805361,Celecoxib,35.28,candidato_clave_levic,equilibrio.lote_equilibrio+levic.ULT180,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-E826D304,Lincomicina /2Ml 6 Ampolletas,440393,81,B25D203,LINCOMICINA 600MG/2ML 6 AMPOLLETAS,AMS354,lote_equilibrio,7501349021983,Lincomicina /2Ml 6 Ampolletas,40.84,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS354,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-E9C38DC4,Ciprofloxacino G.I,440393,125,U26F042,CIPROFLOXACINO G.I. 14 TAB 500 MG,AMS184,lote_equilibrio,7501349021532,Ciprofloxacino G.I,22.42,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS184,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-1FEA2FB7,Amikacina,440393,76,25T514,AMIKACINA 1 AMP 500MG/2 ML,AMS252,lote_equilibrio,7501349021440,Amikacina,15.43,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS252,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-26EA40A4,Ramcinet,440393,105,RRC179,RAMCINET 10 TAB 10 MG,RAM054,linea_equilibrio,7502227872123,Raamcinet cetirizina 10 mg,20.27,candidato_clave_levic,equilibrio.linea_equilibrio+levic.RAM054,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-3CAA7C5C,Cinarizina,440393,91,2605279,CINARIZINA 60 TAB 75 MG,ALP0340,lote_equilibrio,7503004908820,Cinarizina,37.49,candidato_clave_levic,equilibrio.lote_equilibrio+levic.ALP0340,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-63975795,Gentamicina,440393,96,U26M335,GENTAMICINA 25 COMP 1 MG,AMS406,lote_equilibrio,7501349027312,Cinitaprida 25 Comp 1 Mg,15.93,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS406,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-6EAD98A9,Cepobrom,440393,19,260152,CEPOBROM 12 CAPS 500/0.782 MG,MAV122,lote_equilibrio,7502009741289,Cepobrom,50.62,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV122,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-7AA38F97,Pentiver,440393,35,256072,PENTIVER 1 SUSP 500MG/5/60 ML,MAV062,lote_equilibrio,7503000422696,Pentiver,32.49,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV062,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-82F88FED,Captopril,440393,101,6AN062A,CAPTOPRIL 30 TAB 25 MG,ULT097,lote_equilibrio,7502216792579,Captopril,8.11,candidato_clave_levic,equilibrio.lote_equilibrio+levic.ULT097,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-AE5EEDF7,Bactiver,440393,78,261013,BACTIVER 20 TAB 400/80 MG,MAV001,linea_equilibrio,7503000422238,Bactiver,17.61,candidato_clave_levic,equilibrio.linea_equilibrio+levic.MAV001,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-7AF7ACB5,Charlyn (Ciprofloxacino),440393,16,251303,CHARLYN 3 TAB 500 MG,WER038,lote_equilibrio,7502240450018,Charyn 3 Tab 500 Mg,24.5,candidato_clave_levic,equilibrio.lote_equilibrio+levic.WER038,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-1FFBB505,Dac (Paracetamol + Diclofenaco),440393,99,SK2102,SUPRATEX DAC 1 SOL 300/600 MG 120 ML,MAI158,linea_equilibrio,785118754242,Supratex levodropropizina jarabe 120 mL,44.98,candidato_clave_levic,equilibrio.linea_equilibrio+levic.MAI158,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-A909ABC0,Odivitor,440393,100,251614,ODIVITOR 10 TAB 20 MG,MAV212,linea_equilibrio,7502009744877,Odivitor,13.92,candidato_clave_levic,equilibrio.linea_equilibrio+levic.MAV212,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-B2123139,Oxivag,440393,74,650086,OXIVAG 4 TAB 70 MG,NOV094,lote_equilibrio,7501075717860,Oxivag,32.73,candidato_clave_levic,equilibrio.lote_equilibrio+levic.NOV094,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-B25094C4,Lesaclor,440393,104,SK2106,LESACLOR 1 SUSP 200MG/5/125 ML,MAI072,linea_equilibrio,785118753528,Lesaclor,47.1,candidato_clave_levic,equilibrio.linea_equilibrio+levic.MAI072,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-1751468C,Flospet,440393,128,5J1920,FLOSPET 8 TAB 400 MG,MAI141,linea_equilibrio,785118753887,Flosef 8 Tab 400 Mg,27.89,candidato_clave_levic,equilibrio.linea_equilibrio+levic.MAI141,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-1AE9D7E6,Collucort,440393,139,26340160,COLLUCORT 1 CMA 1% 60 G,COL120,lote_equilibrio,780083142537,Collicort Hidrocortisona,48.09,candidato_clave_levic,equilibrio.lote_equilibrio+levic.COL120,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-1DAD5EF1,Tusilen Ad 1 Ibe 240/30/50Mg/100,440393,160,2513407,TUSILEN AD 1 IBE 240/30/50MG/100/118 ML,AVT134,linea_equilibrio,7502209810365,Tusilen adulto jarabe,25.0,candidato_clave_levic,equilibrio.linea_equilibrio+levic.AVT134,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-281E0F22,Budesonida,440393,109,C26E206,BUDESONIDA 1 SUSP NEB AMP 0.500MG,AMS477,lote_equilibrio,7501349024304,Budesonida,139.63,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS477,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-347A49C7,Amikacina,440393,126,25T515,AMIKACINA 1 AMP 100 MG/2 ML,AMS471,lote_equilibrio,7501349020740,Amikacina,8.18,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS471,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-FD92D114,Ovisen,440393,154,SC2622,OVISEN 14 TAB 20 MG,BIO183,lote_equilibrio,7501573900290,Ovisen,10.31,candidato_clave_levic,equilibrio.lote_equilibrio+levic.BIO183,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-FEAECBF1,Mercurio Tepezcohuite,IFC2-080826,16,,MERCURIO POMADA TEPEZCOHUITE C/25,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-FFC25DD1,Perilla N4,IFC2-080826,11,,EDIGAR PERILLA N 4 CAJA 1439 81608,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
