sku,nombre,ticket,linea_ticket,lote,nombre_ticket,clave_equilibrio,via_match,ean_propuesto,nombre_levic,precio_levic,aceptable,confirmado_por,aceptado,aviso
FC-64EB83AA,Compl,440393,48,125T007,"BENCIL/BENZ COMPL 1 FA 1,2 U 3 ML",AMS398,linea_equilibrio,7501349025271,Bencil/Benz Comp 1 Fa 1.2 U 3 Ml,24.13,candidato_clave_levic,equilibrio.linea_equilibrio+levic.AMS398,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-FD845E68,Aciclovir,440393,73,U26F020,ACICLOVIR 35 TAB 400 MG,AMS297,lote_equilibrio,7501349028791,Aciclovir,61.42,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS297,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-0BDE9283,Clophiven 200 Dosis 50 Mcg,440393,112,CLOPHIVEN,CLOPHIVEN 200 DOSIS 50 MCG/15 G,HIS087,linea_equilibrio,7502213042752,Clofhiven 200 Dosis 50 Mcg/12.80g,56.64,candidato_clave_levic,equilibrio.linea_equilibrio+levic.HIS087,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-44B6751A,Aquito 500/100/30/4 Mg,440393,117,B26031S,LAUR AQUITO 500/100/30/4 MG 3 AMP,SON264,linea_equilibrio,7502001166981,Laur Solución Inyectable,69.44,candidato_clave_levic,equilibrio.linea_equilibrio+levic.SON264,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-4FD413D2,Haspen,440393,111,6S032,HASPEN 3 AMP 20 MG/1 ML,HIS076,linea_equilibrio,7502213042370,Fhaspem 3 Amp 20 Mg/1 Ml,24.59,candidato_clave_levic,equilibrio.linea_equilibrio+levic.HIS076,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-2001A890,Ampigrin AD (Ampicilina + Dicloxacilina),440393,119,26240110,AMPIGRIN AD 3 AMP 500/500/100/30MG/3 ML,COL009,lote_equilibrio,780083140922,Ampigrin AD (Ampicilina + Dicloxacilina),83.74,candidato_clave_levic,equilibrio.lote_equilibrio+levic.COL009,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-759A5EF9,Wermy,440393,162,260486,WERMY 30 CAPS 300 MG,AVT135,linea_equilibrio,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-07F04F88,Amcef IM 500 mg (Inyectable),440393,122,J25D063,AMCEF I.M. 1 FA 500MG/2 ML,AMS002,lote_equilibrio,7501349011007,Amcef IM 500 mg (Inyectable),17.5,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS002,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-3E863E37,Tratidri,440393,140,261001,TRATIDRI 1 GEL 500/50 MG 60 G,MAV322,linea_equilibrio,7502009746932,"Traditor Indometacina, Betametasona",44.88,candidato_clave_levic,equilibrio.linea_equilibrio+levic.MAV322,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-38CAFE6B,Mercurio Aceite Romero,IFC1-080826,11,,MERCURIO ACEITE ROMERO C/25 1910923,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-3676D5DC,Mercurio Espiritus Tomar,IFC1-080826,5,,MERCURIO ESPIRITUS TOMAR C/25 1760823,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-39036C88,Mercurio Glicerina,IFC1-080826,7,,MERCURIO GLICERINA C/25 1230723 83125,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-47AAF23B,Mercurio Sulfatiazol Polvo,IFC2-080826,10,,MERCURIO SULFATIAZOL POLVO C/50 1710824,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-40CE757D,Cefalver,440393,8,256934,CEFALVER 12 TAB 1 G,MAV260,lote_equilibrio,7502009745614,Cefalver,64.99,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV260,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-885F2723,Carbamazepina,440393,106,7220526,CARBAMAZEPINA 20 TAB 200 MG,RAM054,lote_equilibrio,7502227872123,Raamcinet cetirizina 10 mg,20.27,candidato_clave_levic,equilibrio.lote_equilibrio+levic.RAM054,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-5D59ED54,Mercurio Cloruro De Magnesio Cajita,IFC2-080826,23,,MERCURIO CLORURO DE MAGNESIO C/10 CAJITA,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-614E4F82,Perilla N3,IFC2-080826,12,,EDGAR PERILLA N 3 C A 1334 81608,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-5A697CC2,Mercurio Aceite Olivo,IFC1-080826,6,,MERCURIO ACEITE OLIVO C/25 1000625 83825,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-578F060C,Mercurio Borax Polvo,IFC2-080826,6,,MERCURIO BORAX POLVO C/50 140072483490,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-62034164,Mercurio Espiritus Untar,IFC1-080826,4,,MERCURIO ESPIRITUS UNTAR C/25 1770823,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-1321B34F,Hidroxon,440393,138,SK2109,HIDROXON 30 TAB 10 MG,MAI099,linea_equilibrio,785120754681,Hidroxin,37.52,candidato_clave_levic,equilibrio.linea_equilibrio+levic.MAI099,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-DB3B2584,Celesbitan,440393,83,26C2109,CELESBITAN 1 FA C/BER 6MG/2 ML,BRU106,linea_equilibrio,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-DDFBABDF,Clamoxin 12H Ped (Amoxicilina/Clavulánico susp.),440393,66,257267,CLAMOXIN 12H PED 1 SUSP 200/28.5MG/40 ML,MAV013,lote_equilibrio,7502009740497,Clamoxin 12H Ped (Amoxicilina/Clavulánico susp.),27.08,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV013,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
