sku,producto_id,fuente,precio,confianza,origen,notas
FC-1CF27DC9,90,similares,56.0,90,manual,Claude 20260815 · BETAMETASONA DIP/BETA FOS 1AMP.. (Score: 100%)
FC-1DA570E3,10,similares,25.0,100,manual,Restaurado backup UI 2026-08-14
FC-1FEA2FB7,76,similares,44.0,100,manual,Restaurado backup UI 2026-08-14
FC-1FFBB505,99,similares,84.0,90,manual,Claude 20260815 · LEVODROP/AMBROX 0.6/0.3GR/100ML SOL120ML.. (Score: 100%)
FC-2001A890,119,similares,94.0,90,manual,Claude 20260815 · AMPICILINA/MET/GUA/CLO AD 3AMP+3JER.. (Score: 100%)
FC-2005DD57,32,similares,84.0,100,manual,Restaurado backup UI 2026-08-14
FC-22B18244,84,similares,88.0,90,manual,Claude 20260815 · CEFOTAXIMA 1GR SOL INY.. (Score: 100%)
FC-23001331,471,similares,99.0,70,manual,Claude 20260815 · Similares: búsqueda por categoría Producto. Precio base estimado.
FC-25104268,403,similares,65.0,70,manual,Claude 20260815 · Similares: búsqueda limitada por Electrolit. Precio estimado.
FC-25116810,492,similares,23.0,70,manual,Claude 20260815 · AGRIFEN CLORFENAMINA 10TAB.. (Score: 67%)
FC-26EA40A4,105,similares,79.0,70,manual,Claude 20260815 · TOBRAMICINA/DEXAMET 5ML SOL OFT.. (Score: 65%)
FC-27250612,165,similares,69.01,70,manual,Claude 20260815 · DESODORANTE AER CAB 150ML OLD SPICE.. (Score: 65%)
FC-27286017,166,similares,49.0,70,manual,Claude 20260815 · TALCO DESODORANTE 200GR.. (Score: 65%)
FC-281E0F22,109,similares,164.0,100,manual,Restaurado backup UI 2026-08-14
FC-28A424E5,147,similares,24.0,90,manual,Claude 20260815 · HIDROCLOROTIAZIDA 25MG 20TAB.. (Score: 100%)
FC-29670370,86,similares,60.0,90,manual,Claude 20260815 · CETIRIZINA 10MG 10TAB.. (Score: 100%)
FC-2E79C2D8,146,similares,93.0,90,manual,Claude 20260815 · HIERRO DEXTRAN 100MG/2ML 3AMP.. (Score: 100%)
FC-2EDC6E3B,14,similares,195.0,80,import_csv,excel:articulos_farmacias.xlsx | misma marca comercial; nuestro catalogo sin concentracion; cantidad coincide; forma coincide | CEFAGEN CEFUROXIMA 500MG 10TAB 500MG 10 TABLETAS
FC-30133021,501,similares,57.0,70,manual,Claude 20260815 · Similares: búsqueda por categoría Otro. Precio base estimado.
FC-30622622,168,similares,49.0,70,manual,Claude 20260815 · TALCO DESODORANTE 200GR.. (Score: 65%)
FC-31405888,767,similares,63.0,80,import_csv,excel:articulos_farmacias.xlsx | misma marca comercial; nuestro catalogo sin concentracion; cantidad coincide; forma coincide | PLUS GEL ALUMINIO/MAGN/DIMET 50TAB MAST 200MG/200MG/20MG 50 TABLETAS MASTICABLES
FC-33950063,352,similares,184.0,70,manual,Claude 20260815 · Similares: búsqueda por categoría Suplemento. Precio base estimado.
FC-33950100,351,similares,38.62,60,import_csv,"No se encontro marca Ensure; Similares maneja varias 'DIETA POLIMERICA' sabor chocolate 236ML genericas (sin fibra $38.62, con fibra $39.75, hipercalorica $42.00); se reporta la variante sin fibra estandar como la mas cercana a Ensure regular, pero existe ambiguedad real sobre cual formulacion corresponde"
FC-33956775,388,similares,25.5,90,manual,Claude 20260815 · ELECTROLITO PED UVA 500ML.. (Score: 84%)
FC-33961373,389,similares,25.5,70,manual,Claude 20260815 · ELECTROLITO PED UVA 500ML.. (Score: 75%)
FC-34062421,509,similares,22.0,70,manual,Claude 20260815 · TELA ADHESIVA SEDOSA 1.25CMX5MTS.. (Score: 76%)
FC-347A49C7,126,similares,17.0,100,manual,Restaurado backup UI 2026-08-14
FC-357D4A17,123,similares,121.0,100,manual,Restaurado backup UI 2026-08-14
FC-38CAFE6B,521,similares,61.0,70,manual,Claude 20260815 · Similares: búsqueda por categoría Producto. Precio base estimado.
FC-3CAA7C5C,91,similares,52.0,100,manual,Restaurado backup UI 2026-08-14
FC-3D0ED22B,149,similares,63.0,90,manual,Claude 20260815 · GLIMEPIRIDA 2MG 30TAB.. (Score: 100%)
FC-3D0F54B7,134,similares,58.0,70,manual,Claude 20260815 · METOCARBAMOL/IBUPRO 375/200MG 12CAP.. (Score: 71%)
FC-40025839,226,similares,59.0,90,manual,Claude 20260815 · CLOTRIMAZOL DUAL (CREM VAG 10GR 3 OVU).. (Score: 100%)
FC-40030338,227,similares,59.0,70,manual,Claude 20260815 · CLOTRIMAZOL DUAL (CREM VAG 10GR 3 OVU).. (Score: 75%)
FC-40CE757D,8,similares,90.0,90,manual,Claude 20260815 · CEFALEXINA 1GR 12TAB.. (Score: 100%)
FC-41339950,41,similares,133.0,100,manual,Restaurado backup UI 2026-08-14
FC-43454811,408,similares,35.26,75,import_csv,"Match generico: toallitas humedas para bebe SIMIBABY 80 piezas, equivalente generico de Huggies Toallitas Cuidado Puro, misma cantidad C/80"
FC-443C330E,24,similares,195.0,100,manual,Restaurado backup UI 2026-08-14
FC-447B30F9,89,similares,147.0,100,manual,Restaurado backup UI 2026-08-14
FC-45079011,418,similares,59.25,85,import_csv,Match exacto de marca: BALSAMO LABIAL LABELLO 1 PIEZA
FC-47AAF23B,538,similares,58.0,70,manual,Claude 20260815 · Similares: búsqueda por categoría Producto. Precio base estimado.
FC-48335305,390,similares,17.0,70,manual,Claude 20260815 · AGUA OXIGENADA SOL 224ML.. (Score: 74%)
FC-48690800,334,similares,10.0,70,manual,Claude 20260815 · VENDA ELASTICA 5CMX5MTS DR SIMI.. (Score: 75%)
FC-48690909,336,similares,11.0,70,manual,Claude 20260815 · VENDA ELASTICA 7.5CMX5MTS DR SIMI.. (Score: 76%)
FC-48691005,319,similares,16.0,70,manual,Claude 20260815 · VENDA ELASTICA 10CMX5MTS DR SIMI.. (Score: 76%)
FC-48691104,330,similares,22.0,70,manual,Claude 20260815 · VENDA ELASTICA 15CMX5MTS DR SIMI.. (Score: 76%)
FC-48F732CF,22,similares,46.5,100,manual,Restaurado backup UI 2026-08-14
FC-492D652F,25,similares,84.0,100,manual,Restaurado backup UI 2026-08-14
FC-4A0245DA,85,similares,35.0,90,manual,Claude 20260815 · AMLODIPINO 5MG 10TAB.. (Score: 100%)
FC-4BD80686,62,similares,149.0,100,manual,Restaurado backup UI 2026-08-14
FC-4F737E93,82,similares,27.0,90,manual,Claude 20260815 · AMBROXOL 0.3G/100ML SOL 120ML.. (Score: 100%)
FC-50002301,447,similares,139.0,70,manual,Claude 20260815 · METAMIZOL 5G/100ML JBE100ML NEOMELUBRINA.. (Score: 65%)
FC-50003151,476,similares,51.0,100,import_csv,excel:articulos_farmacias.xlsx | misma marca comercial; concentracion coincide; forma coincide | NEO MELUBRINA METAMIZOL SODICO 5G/100ML JBE 120ML 5GR/100ML JARABE 120ML
FC-50587FA6,38,similares,49.0,90,manual,Claude 20260815 · AMPICILINA 1GR 10TAB.. (Score: 100%)
FC-50AC2C82,108,similares,42.0,90,manual,Claude 20260815 · LORATADINA/BETAMETASONA 10TAB.. (Score: 100%)
FC-50D044FF,136,similares,111.0,90,manual,Claude 20260815 · GABAPENTINA 300MG 15CAP.. (Score: 100%)
FC-51067711,393,similares,63.0,70,manual,Claude 20260815 · CIPROFLOXA/HIDRO/LIDO OTICA 10ML.. (Score: 78%)
FC-51078461,397,similares,109.0,70,manual,Claude 20260815 · FORMULA LACTEA 0-6MESES 230GR NAN 1.. (Score: 71%)
FC-516C2E89,54,similares,64.0,100,manual,Restaurado backup UI 2026-08-14
FC-52844825,163,similares,49.0,70,manual,Claude 20260815 · TALCO DESODORANTE 200GR.. (Score: 70%)
FC-52876406,167,similares,49.0,70,manual,Claude 20260815 · TALCO DESODORANTE 200GR.. (Score: 65%)
FC-52933307,164,similares,49.0,70,manual,Claude 20260815 · TALCO DESODORANTE 200GR.. (Score: 70%)
FC-54521161,456,similares,6.0,100,manual,Restaurado backup UI 2026-08-14
FC-54549819,313,similares,56.0,90,manual,Claude 20260815 · CREMA CORP NIVEA PIEL EXT SECA 220ML.. (Score: 82%)
FC-54558682,634,similares,56.0,70,manual,Claude 20260815 · CREMA CORP NIVEA PIEL EXT SECA 220ML.. (Score: 78%)
FC-56034041,426,similares,18.0,70,manual,Claude 20260815 · TOALLA HUMEDA ANTIBAC P/MANOS.. (Score: 69%)
FC-56326142,318,similares,84.0,70,manual,Claude 20260815 · CREMA HUMECTANTE P/ TATUAJES 74ML.. (Score: 71%)
FC-56360429,239,similares,49.0,90,manual,Claude 20260815 · TALCO DESODORANTE 200GR.. (Score: 85%)
FC-57925EF3,155,similares,16.0,90,manual,Claude 20260815 · GLIBENCLAMIDA 5MG 50TAB.. (Score: 100%)
FC-58793249,462,similares,84.0,70,manual,Claude 20260815 · GEL LUBRICANTE VAGINAL 113GR.. (Score: 65%)
FC-59225411,392,similares,63.0,70,manual,Claude 20260815 · CIPROFLOXA/HIDRO/LIDO OTICA 10ML.. (Score: 78%)
FC-5D9DFA3D,124,similares,59.25,100,manual,Restaurado backup UI 2026-08-14
FC-5F30F9D4,52,similares,95.0,100,manual,Restaurado backup UI 2026-08-14
FC-60101231,441,similares,51.0,90,manual,Claude 20260815 · PARACETAMOL 300MG 6 SUPOS.. (Score: 100%)
FC-60101521,443,similares,60.0,90,manual,Claude 20260815 · VITAMINAS A/D/ALANTO POM 40GR SIMIBABY.. (Score: 100%)
FC-6074BB64,80,similares,59.0,90,manual,Claude 20260815 · BEZAFIBRATO 200MG 30TAB.. (Score: 100%)
FC-61123009,218,similares,49.0,90,manual,Claude 20260815 · TALCO DESODORANTE 200GR.. (Score: 85%)
FC-614E4F82,540,similares,49.0,70,manual,Claude 20260815 · JERINGA PERA NO.3 1PZA SIMIBABY.. (Score: 71%)
FC-6519183A,65,similares,42.0,100,manual,Restaurado backup UI 2026-08-14
FC-66055303,552,similares,37.5,75,import_csv,"Match generico: PRUEBA DE EMBARAZO ANALOGA (PICK UP), equivalente generico de prueba Meditest, presentacion C/1 pieza asumida equivalente"
FC-66873531,504,similares,16.0,70,manual,Claude 20260815 · CREMA DE ARNICA 30GR.. (Score: 75%)
FC-68960257,338,similares,199.0,70,manual,Claude 20260815 · Similares: búsqueda por categoría Botiquín. Precio base estimado.
FC-6898B64F,129,similares,63.0,100,manual,Restaurado backup UI 2026-08-14
FC-68990023,340,similares,199.0,70,manual,Claude 20260815 · Similares: búsqueda por categoría Botiquín. Precio base estimado.
FC-697EEAD0,27,similares,119.0,90,manual,Claude 20260815 · AC FUSIDICO/BETA 20/1MG CREMA.. (Score: 100%)
FC-69A3C416,87,similares,45.0,90,manual,Claude 20260815 · AMBROXOL/SALBUTAMOL SOL 120ML.. (Score: 100%)
FC-6B2ADEE9,93,similares,69.0,70,manual,Claude 20260815 · Similares: búsqueda por categoría GENERAL. Precio base estimado.
FC-6C2878CF,102,similares,110.25,75,import_csv,"Interpretando '125 Mg/Ml' como 0.125 mg/ml (formato comun de captura sin punto decimal), coincide con BUDESONIDA SUSPENSION 0.250MG/2ML O 0.125MG/ML PARA NEBULIZACION 5 AMPOLLETAS, mismo numero de ampolletas (5)"
FC-6EAD98A9,19,similares,72.0,100,manual,Restaurado backup UI 2026-08-14
FC-70612368,468,similares,43.5,75,import_csv,"Match generico: NEOMICINA / CAOLIN / PECTINA 20 TABLETAS, equivalente generico de Treda (confirmado por fuentes externas que Treda = neomicina/caolin/pectina), misma cantidad C/20"
FC-74A5ABEE,30,similares,39.0,100,manual,Restaurado backup UI 2026-08-14
FC-75001865,270,similares,339.0,70,manual,Claude 20260815 · AC URSODEOXICOLICO 250MG 50CAP.. (Score: 67%)
FC-75062897,178,similares,49.0,70,manual,Claude 20260815 · TALCO DESODORANTE 200GR.. (Score: 65%)
FC-75062927,183,similares,49.0,70,manual,Claude 20260815 · TALCO DESODORANTE 200GR.. (Score: 65%)
FC-759A5EF9,162,similares,111.0,90,manual,Claude 20260815 · GABAPENTINA 300MG 15CAP.. (Score: 100%)
