sku,producto_id,fuente,precio,confianza,origen,notas
FC-08344747,486,otros_venta,53.0,90,manual,Claude 20260815 · Afrodit 400 UI - 30 cápsulas
FC-08426944,499,otros_venta,109.0,70,manual,Claude 20260815 · Flanax Gel 40g (Naproxeno 5.5%)
FC-08443026,465,otros_venta,308.0,70,manual,Claude 20260815 · Alka-Seltzer C/100 - precio base recomendado
FC-08491074,467,otros_venta,97.89,75,import_csv,Vitau.mx - Aspirina 500mg genérica 40 tabletas (tu presentación es 80)
FC-08491096,475,otros_venta,128.9,90,manual,Claude 20260815 · Cafiaspirina Tar C/100
FC-0E0A9E42,64,otros_venta,117.0,90,manual,Claude 20260815 · Clamoxin 600/42.9mg suspensión 50ml
FC-1FEA2FB7,76,otros_venta,38.0,90,manual,Claude 20260815 · Amikacina 500mg/2ml ampolleta
FC-24511711,268,otros_venta,25.0,70,manual,Claude 20260815 · Silica Shine/Nat Gloss 120ml
FC-262F2A30,159,otros_venta,80.0,70,manual,Claude 20260815 · Irbesartán 150mg
FC-26462061,294,otros_venta,26.9,70,manual,Claude 20260815 · Chupón Ternura Ortodóntico 3Pack Miel - AlSuper. SKU exacto no verificado en catálogos públicos.
FC-2EDC6E3B,14,otros_venta,127.0,90,manual,Claude 20260815 · Cefagen Cefalexina tabletas
FC-33950070,353,otros_venta,66.0,75,import_csv,Vitau.mx - Ensure Advance 237ml (referencia similar)
FC-33950100,351,otros_venta,61.0,90,manual,Claude 20260815 · Ensure chocolate 236ml
FC-33954078,567,otros_venta,66.0,75,import_csv,Vitau.mx - Ensure Advance 237ml (referencia)
FC-33956126,568,otros_venta,75.0,60,import_csv,Estimado basado en Ensure; Glucerna agotado en mayoría de farmacias
FC-33956133,354,otros_venta,75.0,60,import_csv,Estimado; Glucerna agotado
FC-33956140,355,otros_venta,75.0,60,import_csv,Estimado; Glucerna agotado
FC-347A49C7,126,otros_venta,28.0,90,manual,Claude 20260815 · Amikacina 100mg/2ml ampolleta
