sim_sku,descripcion,marca,precio,linea,jerarquia,forma,cantidad,concentraciones,ingredientes,link,fuente
275,SIMI BROX FCO 240ML JBE EUCAL GORD MIRRA,,79.0,RESPIRATORIOS,REMEDIOS HERBOLARIOS,jarabe,,0.05ml 0.214ml 0.357ml 100ml 240ml,,,excel
276,GINKGOBILOBA 40MG 60CAP,FYLGOBA,124.0,SISTEMA NERVIOSO,MEDICAMENTOS,capsula,60,40mg,ginkgobiloba,,excel
2762,NORELGEST/ETINILEST 6.0/0.60MG 3PARCHES,EVRA,599.0,HORMONALES,MEDICAMENTOS,parche,3,0.6mg 6mg,norelgest + etinilest,,excel
277,SERENOA REPENS 160MG 60CAP,PERMIXON,209.0,ESPECIALIDAD,MEDICAMENTOS,capsula,60,160mg,serenoa,,excel
2786,DOBESILATO CALC/DIOSMINA/HESPER 20TAB,NOVOBEN,509.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,20,225mg 250mg 25mg,dobesilato + diosmina + hesper,,excel
2787,HIDROCORTISONA 1GR/100GR CREMA 60GR,COLLICORT,94.0,ENFERMEDADES DE LA PIEL,MEDICAMENTOS,crema,,100000mg 1000mg 60000mg,hidrocortisona,,excel
2788,PARACETAMOL 650MG 24TAB DR SIMI,CORIVER,31.0,ANALGESICOS,MEDICAMENTOS,tableta,24,650mg,paracetamol,,excel
279,PREDNISONA 5MG 20TAB,ARTRINOL ON,21.0,ANTIINFLAMATORIOS,MEDICAMENTOS,tableta,20,5mg,prednisona,,excel
2790,SIMIPZ VALERIANA + 250MG 30CAP,VALNAIT,89.0,RELAJANTES,MEDICAMENTOS,capsula,30,250mg,simipz,,excel
2791,ALIMENTO EN PVO VAINILLA PARA DIAB 400GR,GLUCERNA SR,469.0,DIABETES,SUPLEMENTOS,polvo,,400000mg,alimento,,excel
2798,CASTAÑO INDIAS/RUSCUS 250MG/70MG 30CAP,HUCIUS,139.0,CARDIOVASCULARES,MEDICAMENTOS,capsula,30,250mg 70mg,castano + ruscus,,excel
280,METILPREDNISOLONA 40MG/1ML AMP,CODEMIN ART,71.0,ANTIINFLAMATORIOS,MEDICAMENTOS,suspension,,1ml 40mg,metilprednisolona,,excel
2802,GLUC/CONDR/MSM/AJO/ZINC/MAGN/VIT 20SOB,MULTIMIX - FX,169.0,ANALGESICOS,SUPLEMENTOS,polvo,20,,condr,,excel
