sim_sku,descripcion,marca,precio,linea,jerarquia,forma,cantidad,concentraciones,ingredientes,link,fuente
695,PANTOPRAZOL 40MG 14 GRAGEAS,,139.0,Gastritis,Funcionamiento gastrointestinal,tableta,14,40mg,pantoprazol,https://www.farmaciasdesimilares.com/pantoprazol_40mg_14grag/p,vtex
682,CEFUROXIMA 500 MG 10 TABLETAS,,195.0,Antibiótico,Medicamentos,tableta,10,500mg,cefuroxima,https://www.farmaciasdesimilares.com/cefuroxima_500mg_10tab/p,vtex
680,KETOPROFENO / PARACETAMOL 100/300MG 12 TABLETAS,,48.0,Antiinflamatorio,Medicamentos,tableta,12,300mg,ketoprofeno + paracetamol,https://www.farmaciasdesimilares.com/ketoprofeno_para_100_300mg_12tab/p,vtex
676,ITRACONAZOL / SECNIDAZOL 33.3/166.6 MG 16 CAPSULAS,,219.0,Antimicótico,Medicamentos,capsula,16,166.6mg,itraconazol + secnidazol,https://www.farmaciasdesimilares.com/itraconazol_secnidazol_16cap/p,vtex
673,HIDROCORTISONA / CLORANFENICOL / BENZOCAINA SOLUCION OTICA 10 ML 1 PIEZA,,37.0,Medicamentos éticos,Medicamentos,solucion,1,10ml,hidrocortisona + cloranfenicol + benzocaina,https://www.farmaciasdesimilares.com/hidrocortisona_clora_benzo_sol_10ml/p,vtex
660,NITAZOXANIDA 500 MG 7 TABLETAS,,69.0,Antiparasitario,Medicamentos,tableta,7,500mg,nitazoxanida,https://www.farmaciasdesimilares.com/nitazoxanida_500mg_6_o_7tab/p,vtex
643,DIFENIDOL CLORHIDRATO  40MG/2ML SOLUCION INYECTABLE 1 PIEZA,,16.0,Funcionamiento gastrointestinal,Medicamentos,solucion,1,2ml 40mg,difenidol,https://www.farmaciasdesimilares.com/difenidol_clorhidrato_40mg_2ml/p,vtex
620,LORATADINA / AMBROXOL 5/30 MG 10 TABLETAS,,32.0,Antigripal,Aparato respiratorio,tableta,10,30mg,loratadina + ambroxol,https://www.farmaciasdesimilares.com/loratadina_ambrox_10tab/p,vtex
602,PARACETAMOL / BUTILHIOSCINA 100/2 MG SOLUCION GOTAS 20 ML 1 PIEZA,,48.0,Analgésicos,Analgesia,solucion,1,20ml 2mg,paracetamol + butilhioscina,https://www.farmaciasdesimilares.com/paracetamol_butil_gts_20ml/p,vtex
6,ACICLOVIR 200 MG 25 TABLETAS,,75.0,Antiviral,Medicamentos,tableta,25,200mg,aciclovir,https://www.farmaciasdesimilares.com/aciclovir_200mg_25tab/p,vtex
53,CAPTOPRIL 25 MG 30 TABLETAS,,27.0,Antihipertensivo,Medicamentos,tableta,30,25mg,captopril,https://www.farmaciasdesimilares.com/captopril_25mg_30tab/p,vtex
