id,sku,nombre,codigo_barras,principio_activo,presentacion,tipo_ficha,clave_monografia,fuente_texto,estado
700,FC-84471476,Repelente de Insectos Jaloma Bio Clap,759684471476,,265 ML,revisar_clasificacion,,fabricante,pendiente
586,FC-84500522,Cinta micropore blanca 2.5 cm x 5 m,7506484500522,,1 pz,revisar_clasificacion,,fabricante,pendiente
681,FC-8505003,Alin Dexametasona 8 mg/2 mL amp,7501088505003,Dexametasona,C/1 ampolleta 2 mL,medicamento,dexametasona,instructivo,pendiente
333,FC-85103015,Toallitas Humedas Bebin Super,6195851030154,Solucion limpiadora,40 PZA,cuidado_personal_o_material,,fabricante,pendiente
669,FC-85132069,Nazil Ofteno Solucion Oftalmica 15 ml,736085132069,Nafazolina 1 mg/ml,Frasco gotero 15 ml,medicamento,nafazolina + ml,instructivo,pendiente
324,FC-85800198,Toallitas Bebin Super,6195858001980,Solucion limpiadora,C/80,cuidado_personal_o_material,,fabricante,pendiente
394,FC-86167151,Nestum Cereal Infantil Avena,7501058616715,,270g,revisar_clasificacion,,fabricante,pendiente
732,FC-84273094,Jaloma Kiuts hisopos biodegradables C/50,759684273094,,C/50,revisar_clasificacion,,fabricante,pendiente
731,FC-8432071,Jaloma vaselina blanca 60 g,759684432071,Vaselina,60 g,medicamento,vaselina,instructivo,pendiente
505,FC-86708021,Termómetro Digital Protec,7501048670802,,1 pz,revisar_clasificacion,,fabricante,pendiente
442,FC-87154871,Graneodin F (flurbiprofeno),7501058715487,Flurbiprofeno,C/16 8.75 mg,medicamento,flurbiprofeno,instructivo,pendiente
464,FC-87932321,Sico lubricante cereza 50 ml,7501058793232,,50 ML,revisar_clasificacion,,fabricante,pendiente
693,FC-8910003,Dibar algodon plisado absorbente 100 g,7501868910003,,100 G,revisar_clasificacion,,fabricante,pendiente
453,FC-88947797,Tribedoce Tabletas,7502208894779,Tiamina/Piridoxina/Cianocobalamina,C/30 100mg/5mg/50mg/,medicamento,tiamina + piridoxina + cianocobalamina,instructivo,pendiente
705,FC-90031475,Balsamo para Labios Labello Mora,4005900314758,,1 pz,revisar_clasificacion,,fabricante,pendiente
420,FC-49800151,Prudence Clasico,7502214980015,,3 pzs,revisar_clasificacion,,fabricante,pendiente
485,FC-88915491,Tarmin 2 Mg /12,7502208891549,LOPERAMIDA,12 TABLETAS,medicamento,loperamida,instructivo,pendiente
426,FC-56034041,Toallitas húmedas Escudo antibacterial,7506425603404,,C/50,revisar_clasificacion,,fabricante,pendiente
663,FC-9490651,Corega Ultra Sin Sabor 40 g,7896009490651,,Tubo 40 g,revisar_clasificacion,,fabricante,pendiente
45,FC-95779436,Acetilsalicilico Ef,,,20 TABLETAS,revisar_clasificacion,,fabricante,pendiente
478,FC-98100381,Shampoo Herklin,7501089810038,Surfactantes / formula capilar,120 ML,cuidado_personal_o_material,,fabricante,pendiente
264,FC-99428024,Gel Moco de Gorila Punk,7501199428024,,80 G,revisar_clasificacion,,fabricante,pendiente
31,FC-AEA8C8DA,Namifen,7501075713718,Ácido mefenámico,20 TABLETAS,medicamento,acido mefenamico,instructivo,pendiente
132,FC-A23F290E,Zitriasol,7502209858107,ZITRIASOL,15 CAPSULAS,medicamento,zitriasol,instructivo,pendiente
545,FC-9827438F,Mercurio Veneno De Abeja,3311000000882,Producto homeopatico / natural,frasco 50 g,suplemento_o_natural,,fabricante,pendiente
9,FC-B18E386A,Cefaroxil,,,15 TABLETAS,revisar_clasificacion,,fabricante,pendiente
3,FC-B25B4654,Cina (Ciprofloxacino),,,7 TABLETAS,revisar_clasificacion,,fabricante,pendiente
2,FC-C721E8D7,Levofloxacino,7501349021419,LEVOFLOXACINO,7 TABLETAS,medicamento,levofloxacino,instructivo,pendiente
557,FC-DA34D88D,Erbitrax Terbinafina,7502211783657,,C/7,revisar_clasificacion,,fabricante,pendiente
58,FC-D06E54FE,Valclan,7503000422795,AMOXICILINA/AC. CLAVULANICO,10 TABLETAS,medicamento,amoxicilina + ac. clavulanico,instructivo,pendiente
4,FC-ACA2A2F6,Alopurinol 300 mg,7501342804309,ALOPURINOL 300 mg,20 TABLETAS,medicamento,alopurinol,instructivo,pendiente
44,FC-A0D320D1,Amoxicilina,,AMOXICILINA,12 CAPSULAS,medicamento,amoxicilina,instructivo,pendiente
94,FC-DB4A39AE,Eferox (Cefalexina),,Cefalexina,12 COMPRIMIDOS,medicamento,cefalexina,instructivo,pendiente
127,FC-E4BE37BE,Atorvastatina,7851207548580,ATORVASTATINA,10 TABLETAS,medicamento,atorvastatina,instructivo,pendiente
125,FC-E9C38DC4,Ciprofloxacino G.I,7501349021532,CIPROFLOXACINO G.I,14 TABLETAS,medicamento,ciprofloxacino g.i,instructivo,pendiente
158,FC-EADF1484,Diosmina Hesperidina,7501342804484,DIOSMINA HESPERIDINA,20 TABLETAS,medicamento,diosmina hesperidina,instructivo,pendiente
73,FC-FD845E68,Aciclovir,7501349028791,Aciclovir,35 TABLETAS,medicamento,aciclovir,instructivo,pendiente
549,FC-FD718DF3,Mercurio Sulfatiazol,3311000000967,Producto homeopatico / natural,frasco 50 g,suplemento_o_natural,,fabricante,pendiente
668,FC-070839,Alliviax Garganta C/8 tabletas,650240070839,Naproxeno sodico 550 mg,C/8 tabletas 550 mg,medicamento,naproxeno sodico,instructivo,pendiente
51,FC-F82A6E4B,Ampicilina,7501349022881,AMPICILINA,10 TABLETAS,medicamento,ampicilina,instructivo,pendiente
664,FC-8494226,Aspirina Junior 100 mg C/60,7501008494226,Acido acetilsalicilico 100 mg,C/60 tabletas 100 mg,medicamento,acido acetilsalicilico,instructivo,pendiente
79,FC-F8691496,Bactiver F (Sulfametoxazol/Trimetoprima),7503000422283,SULFAMETOXAZOL + TRIMETOPRIMA,14 TABLETAS,medicamento,sulfametoxazol + trimetoprima,instructivo,pendiente
153,FC-F7DB080D,Ovisen,7501573909408,FLUOXETINA,28 TABLETAS,medicamento,fluoxetina,instructivo,pendiente
