id,sku,nombre,codigo_barras,principio_activo,presentacion,tipo_ficha,clave_monografia,fuente_texto,estado
828,FC-09740657,Laritol EX (Loratadina/Ambroxol) 100-600 mg/100 mL,7502009740657,Loratadina/Ambroxol,Frasco 120 mL con vaso dosificador,medicamento,loratadina + ambroxol,instructivo,pendiente
527,FC-69387811,Mercurio Aceite Gomenolado,3311000001421,Producto homeopatico / natural,frasco 50 mL,suplemento_o_natural,,fabricante,pendiente
484,FC-08496701,Aspirina efervescente C/12,7501008496701,Acido acetilsalicilico,C/12,medicamento,acido acetilsalicilico,instructivo,pendiente
651,FC-08499818,Aspirina 500 mg,7501008499818,Acido acetilsalicilico 500 mg,C/80 tabletas 500 mg,medicamento,acido acetilsalicilico,instructivo,pendiente
747,FC-09747236,Exaliv (Paracetamol / Fenilefrina / Clorfenamina) 24 tabletas,7502009747236,Paracetamol / Fenilefrina / Clorfenamina,Caja con 24 tabletas,medicamento,paracetamol + fenilefrina + clorfenamina,instructivo,pendiente
102,FC-6C2878CF,Susp 125 Mg/Ml,,,5 AMPOLLETA,revisar_clasificacion,,fabricante,pendiente
792,FC-11780359,Aflusil (Ibuprofeno) suspensión 2 g/100 mL,7502211780359,Ibuprofeno,Frasco 120 mL con vaso dosificador,medicamento,ibuprofeno,instructivo,pendiente
824,FC-25304142,Hidrigort (Difenhidramina) 50 mg,7501825304142,Difenhidramina,Caja con 8 tabletas,medicamento,difenhidramina,instructivo,pendiente
273,FC-92506601,Gel Ego Attraction,7506192506601,,200 g,revisar_clasificacion,,fabricante,pendiente
492,FC-25116810,Agrifen,7501125116810,"PARACETAMOL, CAFEINA, FENIKERINA, CLORFENAMINA",TABLETAS 10,medicamento,"paracetamol, cafeina, fenikerina, clorfenamina",instructivo,pendiente
613,FC-34092301,Syncol Max tabletas,7501070600730,Naproxeno + Paracetamol,,medicamento,naproxeno + paracetamol,instructivo,pendiente
827,FC-08344303,Ladexgel 300/2/10 mg,7503008344303,,Caja con 12 cápsulas,revisar_clasificacion,,fabricante,pendiente
639,FC-37163266,Tribedoce Compuesto Dx,7501537163266,"Diclofenaco + Complejo B (Tiamina, Piridoxina, Cianocobalamina)",Amp C/3,medicamento,"diclofenaco + complejo b (tiamina, piridoxina, cianocobalamina)",instructivo,pendiente
643,FC-5112881,Pisacaina 2% 20 mg/ml Sol 50 ml,7501125112881,Lidocaina,Frasco ampula 50 ml,medicamento,lidocaina,instructivo,pendiente
457,FC-95201021,Pomada Hipoglos Pac,7501289520102,Oxido de zinc,45 G al 25%,medicamento,oxido de zinc,instructivo,pendiente
831,FC-09745539,Lumboxen gel (Naproxeno/Lidocaína) 10/2 g,7502009745539,Naproxeno/Lidocaína,Tubo 35 g,medicamento,naproxeno + lidocaina,instructivo,pendiente
156,FC-AA7B0686,Drosquim adulto jarabe 300/160,,,200 ML,revisar_clasificacion,,fabricante,pendiente
832,FC-04908714,Miconazol crema 2%,7503004908714,,Tubo 20 g,revisar_clasificacion,,fabricante,pendiente
753,FC-27427392,ML-PRIM metocarbamol/ibuprofeno C/12,7502227426982,Metocarbamol 375 mg + Ibuprofeno 200 mg,C/12 capsulas,medicamento,metocarbamol + ibuprofeno,instructivo,pendiente
833,FC-06922711,Motilaxil gotas (Picosulfato de sodio) 7.5 mg/mL,7502006922711,Picosulfato de sodio,Frasco gotero 30 mL,medicamento,picosulfato de sodio,instructivo,pendiente
829,FC-18753597,Lesaclor (Aciclovir) crema 5%,0785118753597,Aciclovir,Tubo 5 g,medicamento,aciclovir,instructivo,pendiente
749,FC-09749209,Lumboxen parche capsicum C/1,7502009749209,Capsaicina + Alcanfor + Mentol + Salicilato de metilo,Parche gel x1,medicamento,capsaicina + alcanfor + mentol + salicilato de metilo,instructivo,pendiente
173,FC-93022567,Desodorante Rexona Men V8 (Hombre),7791293022567,Antitranspirante / desodorante,90 G,cuidado_personal_o_material,,fabricante,pendiente
1143,FMX-301136,Cintapore cinta microporosa piel 2.5 cm x 5 m,,,Rollo 2.5 cm x 5 m color piel,revisar_clasificacion,,fabricante,pendiente
830,FC-73906407,Lozamir-V (Clotrimazol) crema 2% con 3 aplicadores,7501573906407,Clotrimazol,Tubo 20 g,medicamento,clotrimazol,instructivo,pendiente
1137,FMX-307657,Jeringa SensiMedical 10 mL 22G x 32 mm negra,7506022300690,,Pieza 10 mL 22G x 32 mm (caja C/100 negra),revisar_clasificacion,,fabricante,pendiente
638,FC-37164713,Tribedoce Compuesto grageas,7501537164713,"Diclofenaco + Complejo B (Tiamina, Piridoxina, Cianocobalamina)",C/30 grageas,medicamento,"diclofenaco + complejo b (tiamina, piridoxina, cianocobalamina)",instructivo,pendiente
1142,FMX-301135,Cintapore cinta microporosa blanca 1.25 cm x 5 m,7506484500515,,Rollo 1.25 cm x 5 m blanca,revisar_clasificacion,,fabricante,pendiente
597,FC-40010538,Next tabletas C/10,6502400105384,Paracetamol + Fenilefrina + Clorfenamina,C/10,medicamento,paracetamol + fenilefrina + clorfenamina,instructivo,pendiente
466,FC-75354321,Tylenol,7501007535432,PARACETAMOL,TABLETAS,medicamento,paracetamol,instructivo,pendiente
678,FC-8281209,Sedalmerck C/20 tabletas,7501298281209,Paracetamol 500 mg + Cafeina 50 mg + Fenilefrina 5 mg,C/20 tabletas,medicamento,paracetamol + cafeina + fenilefrina,instructivo,pendiente
837,FC-09760541,Normex leche de magnesia 8.5 g/100 mL,7501109760541,,Frasco 360 mL,revisar_clasificacion,,fabricante,pendiente
764,FC-04908738,Lidocaina unguento 5% tubo 35 g,7503004908738,Lidocaina 5%,Tubo 35 g,medicamento,lidocaina 5%,instructivo,pendiente
533,FC-A871D831,Perilla N6,,Material plastico,PIEZA,cuidado_personal_o_material,,fabricante,pendiente
553,FC-D751525D,Animalin fórmula líquida 30 mL,7502009744105,,30 mL,revisar_clasificacion,,fabricante,pendiente
838,FC-09790739,Normex leche de magnesia 8.5 g/100 mL,7501109790739,,Frasco 60 mL,revisar_clasificacion,,fabricante,pendiente
839,FC-09790029,Normex leche de magnesia 8.5 g/100 mL,7501109790029,,Frasco 180 mL,revisar_clasificacion,,fabricante,pendiente
1140,FMX-506388,Jeringa SensiMedical 3 mL 21G x 32 mm verde,7506022300751,,Pieza 3 mL 21G x 32 mm (caja C/100 verde),revisar_clasificacion,,fabricante,pendiente
1141,FMX-506386,Jeringa SensiMedical 5 mL 22G x 32 mm negra,7506022300843,,Pieza 5 mL 22G x 32 mm (caja C/100 negra),revisar_clasificacion,,fabricante,pendiente
470,FC-84335531,Aspirina Forte C/24 Caf Iaspirina,7501008433553,Acido acetilsalicilico + Caffeina,C/24,medicamento,acido acetilsalicilico + caffeina,instructivo,pendiente
674,FC-8491966,Aspirina 500 mg C/40,7501008491966,Acido acetilsalicilico,C/40 tabletas,medicamento,acido acetilsalicilico,instructivo,pendiente
614,FC-58715517,Graneodin B Frambuesa,7501095409004,Benzocaina,C/24 pastillas,medicamento,benzocaina,instructivo,pendiente
834,FC-06922728,Motilaxil solución (Picosulfato de sodio) 5 mg/5 mL,7502006922728,Picosulfato de sodio,Frasco 120 mL con vaso dosificador,medicamento,picosulfato de sodio,instructivo,pendiente
835,FC-06920021,Motilaxil-T (Picosulfato de sodio) 5 mg,7502006920021,Picosulfato de sodio,Caja con 20 tabletas,medicamento,picosulfato de sodio,instructivo,pendiente
416,FC-58203691,Hilo Dental expanding,7502235820369,,0.9 M,revisar_clasificacion,,fabricante,pendiente
836,FC-73902966,Nafich (Terbinafina) crema 1%,7501573902966,Terbinafina,Tubo 15 g,medicamento,terbinafina,instructivo,pendiente
602,FC-92730451,Riopan Sobres,7501092793045,Magaldrato,Sobres,medicamento,magaldrato,instructivo,pendiente
649,FC-98215099,Sedalmerck Max C/24,7501298215099,Paracetamol + Clorfenamina + Fenilefrina,C/24 tabletas,medicamento,paracetamol + clorfenamina + fenilefrina,instructivo,pendiente
502,FC-98217659,Dolo-Neurobion solucion inyectable C/3,7501298217659,Complejo B + Lidocaina + Diclofenaco sodico,C/3 jeringas prellenadas 3 mL,medicamento,complejo b + lidocaina + diclofenaco sodico,instructivo,pendiente
20,FC-CF719C07,Diclofen,,DICLOFENACO,12 CAPSULAS,medicamento,diclofenaco,instructivo,pendiente
444,FC-06134531,Afrin Adulto spray 20 mL,7501050613453,OXIMETAZOLINA CLORHIDRATO,SPRAY 20 ML,medicamento,oximetazolina clorhidrato,instructivo,pendiente
620,FC-40006647,Ultra Bengue Gel,6502400066470,Mentol + Alcanfor,Gel,medicamento,mentol + alcanfor,instructivo,pendiente
388,FC-33956775,Suero Pedialyte Sr Uva,7501033956775,,500 mL,revisar_clasificacion,,fabricante,pendiente
456,FC-54521161,Tempra 500 mg,7501095452116,Paracetamol,C/10 500 mg,medicamento,paracetamol,instructivo,pendiente
84,FC-22B18244,Cefotaxima IM (Inyectable),7501349022515,1g / 4 mL,1 FRASCO AMPULA,medicamento,,instructivo,pendiente
765,FC-16803800,Omeprazol Avivia capsulas C/60,7502216803800,Omeprazol 20 mg,C/60,medicamento,omeprazol,instructivo,pendiente
743,FC-75713770,Novagon polvo sabor natural 400 g,7501075713770,Plantago psyllium,Frasco 400 g sabor natural,medicamento,plantago psyllium,instructivo,pendiente
744,FC-75718676,Novagon psyllium polvo 400 g,7501075718676,Plantago psyllium,Frasco 400 g,medicamento,plantago psyllium,instructivo,pendiente
1138,FMX-307658,Jeringa SensiMedical 20 mL 21G x 32 mm verde,7506022314741,,Pieza 20 mL 21G x 32 mm (caja C/50 verde),revisar_clasificacion,,fabricante,pendiente
1139,FMX-506389,Jeringa SensiMedical 5 mL 21G x 32 mm verde,7506022300829,,Pieza 5 mL 21G x 32 mm (caja C/100 verde),revisar_clasificacion,,fabricante,pendiente
767,FC-31405888,Plusgel antiacido C/50 masticables,7500831405888,Hidroxido de aluminio + Hidroxido de magnesio + Dimeticona,C/50 masticables,medicamento,hidroxido de aluminio + hidroxido de magnesio + dimeticona,instructivo,pendiente
899,EQ-BRU053,Nediclon 20 Grag 100 Mg,7501537102845,Diclofenaco,Caja con 20 tabletas,medicamento,diclofenaco,instructivo,pendiente
893,EQ-VIC030,Tofel 10 Tab 50/500 Mg,656599040226,Diclofenaco / Paracetamol,Caja con 10 tabletas,medicamento,diclofenaco + paracetamol,instructivo,pendiente
133,FC-5885E577,Pabesorag,7501075722543,Irbesartán / Hidroclorotiazida,28 TABLETAS,medicamento,irbesartan + hidroclorotiazida,instructivo,pendiente
735,FC-5145497,NyQuil Z difenhidramina 25 mg C/30,7500435145497,Difenhidramina 25 mg,C/30,medicamento,difenhidramina,instructivo,pendiente
840,FC-58207010,Oxital-C (Vitamina C) 2 g efervescente,7501258207010,Vitamina C,Tubo con 10 comprimidos,suplemento_o_natural,,fabricante,pendiente
841,FC-09745997,Pamedan (Dexpantenol) crema 5%,7502009745997,Dexpantenol,Tubo 30 g,medicamento,dexpantenol,instructivo,pendiente
41,FC-41339950,Claritromicina,7501349021686,CLARITROMICINA,10 TABLETAS,medicamento,claritromicina,instructivo,pendiente
35,FC-7AA38F97,Pentiver,7503000422696,Ampicilina,1 SUSPENSION,medicamento,ampicilina,instructivo,pendiente
769,FC-27872123,Raamcinet cetirizina 10 mg,7502227872123,Cetirizina 10 mg,Caja tabletas,medicamento,cetirizina,instructivo,pendiente
204,FC-14121782,Jabón proteína de arroz y concha nácar,7505514121782,,80 g,revisar_clasificacion,,fabricante,pendiente
776,FC-103521,Brunadol paracetamol/naproxeno C/10,7501537103521,Paracetamol 300 mg + Naproxeno 275 mg,C/10 tabletas,medicamento,paracetamol + naproxeno,instructivo,pendiente
54,FC-516C2E89,Clamoxin 12H Jr (Amoxicilina/Clavulánico susp.),7502009740503,AMOXICILINA/AC. CLAVULANICO,1 SUSPENSION,medicamento,amoxicilina + ac. clavulanico,instructivo,pendiente
143,FC-1BF03D35,Acetonido De Fluocinolona Cma,7503004908721,Fluocinolona,Tubo 40 g,medicamento,fluocinolona,instructivo,pendiente
843,FC-14377074,Playboy Playpack mixtos,7503014377074,,Blíster con 3 piezas,revisar_clasificacion,,fabricante,pendiente
434,FC-65054135,TUMS,7501065054043,Carbonato de Calcio,8 TABLETAS,medicamento,carbonato de calcio,instructivo,pendiente
479,FC-14704156,Senosiain supositorios adulto C/10,7501314704156,GLICEROL,C/10,cuidado_personal_o_material,,fabricante,pendiente
480,FC-14704163,Senosiain supositorios infantil C/10,7501314704163,GLICEROL,C/10,cuidado_personal_o_material,,fabricante,pendiente
844,FC-08344150,Prugnex Senósidos A-B 12 mg + ciruela 50 mg,7503008344150,,Caja con 30 cápsulas,revisar_clasificacion,,fabricante,pendiente
588,FC-53601247,Rinomar Agua Isotonica,7502253601247,,100 mL,revisar_clasificacion,,fabricante,pendiente
842,FC-26291475,Pharmafil LP (Teofilina) 100 mg liberación prolongada,7502226291475,Teofilina,Caja con 20 tabletas,medicamento,teofilina,instructivo,pendiente
88,FC-F817BC3A,Sibicos,7502009746093,Bifonazol,1 CREMA,medicamento,bifonazol,instructivo,pendiente
770,FC-27871416,Raamfen difenidol 25 mg,7502227871416,Difenidol 25 mg,Caja tabletas,medicamento,difenidol,instructivo,pendiente
1157,FC-49025967,Pregabalina 75 mg C/14 AMSA,7501349025967,,,revisar_clasificacion,,fabricante,pendiente
13,FC-8FB65B79,Klarix,7502009749223,CLARITROMICINA,1 SUSPENSION,medicamento,claritromicina,instructivo,pendiente
1168,FC-49024175,Pioglitazona 30 mg AMSA,7501349024175,,,revisar_clasificacion,,fabricante,pendiente
1160,FC-01162365,Mornin (Omeprazol) 40 mg C/7 SON'S,7502001162365,,,revisar_clasificacion,,fabricante,pendiente
594,FC-03405381,Vitacilina Ungüento,7502250340538,Neomicina + Bacitracina zinc,18 G,medicamento,neomicina + bacitracina zinc,instructivo,pendiente
845,FC-90287992,Redbelgy (Cianocobalamina) 1000 mcg masticable,7501590287992,Cianocobalamina,Frasco con 30 tabletas,medicamento,cianocobalamina,instructivo,pendiente
1161,FC-49024151,Metoclopramida inyectable 10 mg/2 mL C/6 AMSA,7501349024151,,,revisar_clasificacion,,fabricante,pendiente
593,FC-03430721,Vitacilina 28 Crema,7502250343072,Neomicina + Bacitracina zinc,Crema 28 G,medicamento,neomicina + bacitracina zinc,instructivo,pendiente
78,FC-AE5EEDF7,Bactiver,7503000422238,SULFAMETOXAZOL + TRIMETOPRIMA,20 TABLETAS,medicamento,sulfametoxazol + trimetoprima,instructivo,pendiente
213,FC-06226852,Desodorante Axe Wom Anarchy,7506306226852,Antitranspirante / desodorante,SPRAY 150 ML,cuidado_personal_o_material,,fabricante,pendiente
847,FC-40450230,Rosel solución infantil 0.5/0.02/3 g,7502240450230,,Frasco 60 mL con vaso dosificador,revisar_clasificacion,,fabricante,pendiente
1163,FC-75718041,Ixicrol (Paroxetina) 20 mg C/10 Novag,7501075718041,,,revisar_clasificacion,,fabricante,pendiente
210,FC-06209862,Desodorante Axe 48H Anarchy Fresh Love (Mujer),7506306209862,Antitranspirante / desodorante,SPRAY 150 ML,cuidado_personal_o_material,,fabricante,pendiente
848,FC-73902584,Sarox (Omeprazol) 20 mg,7501573902584,Omeprazol,Caja con 14 cápsulas,medicamento,omeprazol,instructivo,pendiente
231,FC-06257597,Talco Para Pies Rexona Efficient Orig,7506306257597,Talco / zinc undecilenato,100 g,cuidado_personal_o_material,,fabricante,pendiente
356,FC-07521317,Gotero cristal,7501507521317,Vidrio / plastico,,cuidado_personal_o_material,,fabricante,pendiente
39,FC-B72A6420,Pentiver,7503000422719,Ampicilina,1 SUSPENSION,medicamento,ampicilina,instructivo,pendiente
756,FC-01165953,Rexurdir nifuroxazida 400 mg C/16,7502001165953,Nifuroxazida 400 mg,C/16,medicamento,nifuroxazida,instructivo,pendiente
755,FC-03738879,Rosel-t antigripal C/15,7503003738879,Amantadina + Clorfenamina + Paracetamol,C/15,medicamento,amantadina + clorfenamina + paracetamol,instructivo,pendiente
846,FC-01163232,Ridin Pediátrica jarabe dextrometorfano/guaifenesina/clorfenamina,7502001163232,,Frasco 120 mL con vaso dosificador,revisar_clasificacion,,fabricante,pendiente
60,FC-F22C72BE,Clamoxin 12H (Amoxicilina/Clavulánico),7502009740763,AMOXICILINA/AC. CLAVULANICO,10 TABLETAS,medicamento,amoxicilina + ac. clavulanico,instructivo,pendiente
851,FC-49020337,Sulindaco 200 mg,7501349020337,,Caja con 20 tabletas,revisar_clasificacion,,fabricante,pendiente
486,FC-08344747,Afrodit,7503008344747,Emolientes,400 UI,cuidado_personal_o_material,,fabricante,pendiente
140,FC-3E863E37,Tratidri,,,1 GEL,revisar_clasificacion,,fabricante,pendiente
736,FC-88579615,Topron nifuroxazida 400 mg C/16,7501088579615,Nifuroxazida 400 mg,C/16 capsulas 400 mg,medicamento,nifuroxazida,instructivo,pendiente
853,FC-83142308,Tempire (Paracetamol) gotas 100 mg/mL,0780083142308,Paracetamol,Frasco 30 mL con pipeta,medicamento,paracetamol,instructivo,pendiente
854,FC-00005823,Tobramicina / Dexametasona solución oftálmica 3-1 mg/mL,0008400005823,,Frasco gotero 5 mL,revisar_clasificacion,,fabricante,pendiente
259,FC-38312374,Cera gel Moco de Gorila Citrus,7501438312374,Cera / resina,100 G,cuidado_personal_o_material,,fabricante,pendiente
61,FC-F48FF7EF,Clamoxin (Amoxicilina/Clavulánico susp. 250/62.5),7502009740213,AMOXICILINA/AC. CLAVULANICO,1 SUSPENSION,medicamento,amoxicilina + ac. clavulanico,instructivo,pendiente
29,FC-F3E734A0,Fasiclor 375 mg/ 5 mL,7502009741067,CEFACLOR,1 SUSPENSION,medicamento,cefaclor,instructivo,pendiente
471,FC-23001331,Sr. Ting pomada (ácido bórico),7501072300133,Acido bórico / talco,POMADA 28 G,cuidado_personal_o_material,,fabricante,pendiente
365,FC-23273451,Jeringa insulina 0.5 ml Sensi Medical,7506022327338,,1 pz,revisar_clasificacion,,fabricante,pendiente
418,FC-45079011,Balsamo para Labios Labello Fresa,7501054507901,,1 pz,revisar_clasificacion,,fabricante,pendiente
249,FC-06234062,Sedal Anti Nudos,7506306234062,Unilever,300 ML,medicamento,unilever,instructivo,pendiente
248,FC-24511629,Silica Shine uva,7502224511629,Silice / dimeticone,105 ML,cuidado_personal_o_material,,fabricante,pendiente
517,FC-39036C88,Mercurio Glicerina,3311000001407,Producto homeopatico / natural,50 mL,suplemento_o_natural,,fabricante,pendiente
521,FC-38CAFE6B,Mercurio Aceite Romero,3311000001537,Producto homeopatico / natural,frasco 50 mL,suplemento_o_natural,,fabricante,pendiente
583,FC-40013850,Crema Teatrical Lanolina,6502400138504,Emolientes / lanolina,52 g,cuidado_personal_o_material,,fabricante,pendiente
330,FC-48691104,Venda Elastica Protec 15 cm x 5 m,7501048691104,Material de curacion,15 CM x 5 M,cuidado_personal_o_material,,fabricante,pendiente
164,FC-52933307,Desodorante Obao Game 48Hr,7509552933307,Antitranspirante / desodorante,R-ON 65 G,cuidado_personal_o_material,,fabricante,pendiente
335,FC-40171550,Pasta Dent Sensodyne rápido relief,7794640171550,Fluoruro de sodio,100 G,medicamento,fluoruro de sodio,instructivo,pendiente
10,FC-1DA570E3,Cloxan ambroxol 30 mg,7501573900337,AMBROXOL 30 mg,20 COMPRIMIDOS,medicamento,ambroxol,instructivo,pendiente
859,FC-03388107,Vomisin (Dimenhidrinato) 50 mg,7502003388107,Dimenhidrinato,Caja con 20 tabletas,medicamento,dimenhidrinato,instructivo,pendiente
857,FC-74792047,"Voldratol Electrolitos sabor natural, sobre 27.9 g",7502274792047,,Caja con 25 sobres,revisar_clasificacion,,fabricante,pendiente
858,FC-74792061,"Voldratol Electrolitos sabor uva, sobre 28.14 g",7502274792061,,Caja con 25 sobres,revisar_clasificacion,,fabricante,pendiente
62,FC-4BD80686,Beneventol,7502009745928,BENEVENTOL,3 CAPSULAS,medicamento,beneventol,instructivo,pendiente
512,FC-1FBF5206,Del Viejito Reomatolum,7503002045008,Reomatolum,60 G,medicamento,reomatolum,instructivo,pendiente
86,FC-29670370,Degortzin,7501825304562,Cetirizina,1 SOLUCION,medicamento,cetirizina,instructivo,pendiente
98,FC-58DB24C4,Bitenver,7502009747373,Betahistina,30 TABLETAS,medicamento,betahistina,instructivo,pendiente
109,FC-281E0F22,Budesonida,7501349024304,Budesonida,1 SUSPENSION,medicamento,budesonida,instructivo,pendiente
524,FC-25E452B6,Mercurio Arnica Untar,3311000001223,Arnica montana,frasco 50 mL,suplemento_o_natural,,fabricante,pendiente
310,FC-42417644,Crema Nivea Cuidado Int P/Mano,42417644,Emolientes / humectantes,75 ML,dermocosmetico,,fabricante,pendiente
525,FC-127F5753,Mercurio Arnica Tomar,3311000015084,Arnica montana,frasco 50 mL,suplemento_o_natural,,fabricante,pendiente
865,EQ-WER038,Charyn 3 Tab 500 Mg,7502240450018,Azitromicina,Caja con 3 tabletas,medicamento,azitromicina,instructivo,pendiente
25,FC-492D652F,Cefalver,7502009745614,Cefalexina,20 CAPSULAS,medicamento,cefalexina,instructivo,pendiente
867,EQ-SON237,Expicin 25 Caps 500 Mg,7502001165328,Ampicilina,Caja con 20 cápsulas,medicamento,ampicilina,instructivo,pendiente
8,FC-40CE757D,Cefalver,7502009740480,Cefalexina,12 TABLETAS,medicamento,cefalexina,instructivo,pendiente
30,FC-74A5ABEE,Ciprofloxacino,7501349020894,CIPROFLOXACINO,12 TABLETAS,medicamento,ciprofloxacino,instructivo,pendiente
65,FC-6519183A,Clamoxin (Amoxicilina/Clavulánico 500/125 mg),7502009740206,AMOXICILINA/AC. CLAVULANICO,1 SUSPENSION,medicamento,amoxicilina + ac. clavulanico,instructivo,pendiente
104,FC-B25094C4,Lesaclor,785118753528,ACICLOVIR,1 SUSPENSION,medicamento,aciclovir,instructivo,pendiente
118,FC-9B93AC4C,Beneventol,7502009745737,BENEVENTOL,1 SUSPENSION,medicamento,beneventol,instructivo,pendiente
460,FC-95451096,Sal de uvas,7501095451096,Bicarbonato de sodio/Acido tartarico/Acido citrico,C/10,medicamento,bicarbonato de sodio + acido tartarico + acido citrico,instructivo,pendiente
70,FC-B69FCBF4,Lesaclor,785120753530,Aciclovir,35 TABLETAS,medicamento,aciclovir,instructivo,pendiente
147,FC-28A424E5,Diziver,7502009746383,HIDROCLOROTIAZIDA,20 TABLETAS,medicamento,hidroclorotiazida,instructivo,pendiente
74,FC-B2123139,Oxivag,7501075717860,Ácido alendrónico,4 TABLETAS,medicamento,acido alendronico,instructivo,pendiente
191,FC-22111352,Grisi Corp Diabecare,7501022111352,,125 G,revisar_clasificacion,,fabricante,pendiente
190,FC-22150092,Grisi Leche De Burra,7501022150092,,125 G,revisar_clasificacion,,fabricante,pendiente
283,FC-26462078,Chupón con miel Ternura,7501026462245,,1 PZA,revisar_clasificacion,,fabricante,pendiente
531,FC-B8D7C997,Bicarbonato Sobres,3311000003715,Bicarbonato de sodio,C/50,medicamento,bicarbonato de sodio,instructivo,pendiente
11,FC-A455EE80,Cefagen,7502009741296,CEFALEXINA,1 SUSPENSION,medicamento,cefalexina,instructivo,pendiente
19,FC-6EAD98A9,Cepobrom,7502009741289,CEFADROXIL,12 CAPSULAS,medicamento,cefadroxil,instructivo,pendiente
26,FC-86A95D07,Tropharma Eitromicina 500 mg,7503003134268,Eritromicina,20 TABLETAS,medicamento,eritromicina,instructivo,pendiente
864,EQ-MAV142,Cefabroxil 15 Tab 500/30 Mg,7502009741500,Cefalexina / Ambroxol,Caja con 15 tabletas,medicamento,cefalexina + ambroxol,instructivo,pendiente
862,EQ-HIS075,Terfhicid 40 Caps 100 Mg,7502213042325,Nitrofurantoína,Caja con 40 cápsulas,medicamento,nitrofurantoina,instructivo,pendiente
866,EQ-SON039,Dicleophen 12 Caps 500 Mg,7502001163782,Dicloxacilina,Caja con 12 cápsulas,medicamento,dicloxacilina,instructivo,pendiente
863,EQ-NOV025,Vermisen 6 Tab 200 Mg,7501075715927,Albendazol 200 mg,Caja con 6 tabletas,medicamento,albendazol,instructivo,pendiente
868,EQ-MAI071,Krobicin 1 Susp 125mg/5/60 Ml,785118752330,Claritromicina,Frasco 60 mL,medicamento,claritromicina,instructivo,pendiente
904,EQ-MAI055,Dalatina 1 Gel 1g/30 G,785118752415,Clindamicina,Tubo 30 g,medicamento,clindamicina,instructivo,pendiente
114,FC-00422511,Bactiver sulfametoxazol/trimetoprima susp. 120 mL,7503000422511,Sulfametoxazol + Trimetoprima,Frasco 120 mL,medicamento,sulfametoxazol + trimetoprima,instructivo,pendiente
322,FC-31887928,Enjuague Buc Listerine Cuidado Total,7702031887928,,250 ML,revisar_clasificacion,,fabricante,pendiente
320,FC-31976394,Enjuague Bucal Listerine Anticaries,7702031976394,,250 ML,revisar_clasificacion,,fabricante,pendiente
511,FC-73629981,Pañuelos Kleenex,7501017362998,,15 pzs,revisar_clasificacion,,fabricante,pendiente
211,FC-43489165,Escudo jabón líquido blanco neutro,7501943489165,Jabon / tensioactivos,225 ML,cuidado_personal_o_material,,fabricante,pendiente
117,FC-44B6751A,Aquito 500/100/30/4 Mg,,,3 AMPOLLETA,revisar_clasificacion,,fabricante,pendiente
228,FC-45720550,Quitaesmalte SKN mora azul,7502245720550,,100 ML,revisar_clasificacion,,fabricante,pendiente
277,FC-45720567,Quitaesmalte coco,7502245720567,,100 ML,revisar_clasificacion,,fabricante,pendiente
201,FC-45722547,Natural Gloss Agua micelar bifásica,7502245722547,,120 ML,revisar_clasificacion,,fabricante,pendiente
315,FC-46072050,Shampoo Mennen miel manzana,7509546072050,Surfactantes / formula capilar,200 ML,cuidado_personal_o_material,,fabricante,pendiente
266,FC-46073033,Shampoo Caprice Acti Ceramida,7509546073033,Surfactantes / formula capilar,200 ML,cuidado_personal_o_material,,fabricante,pendiente
265,FC-46073040,Shampoo Caprice biotina fuerza,7509546073040,Surfactantes / formula capilar,200 ML,cuidado_personal_o_material,,fabricante,pendiente
32,FC-2005DD57,Cefalexina,7501349021181,CEFALEXINA,20 CAPSULAS,medicamento,cefalexina,instructivo,pendiente
232,FC-46073156,Shampoo Caprice natural manzana,7509546073156,Surfactantes / formula capilar,380 ML,cuidado_personal_o_material,,fabricante,pendiente
281,FC-46640629,Venda de yeso 20 cm x 2.75 m,7501048640829,Material de curacion,1 PZA,cuidado_personal_o_material,,fabricante,pendiente
214,FC-46657035,Palmolive jabón líquido cerezo y rosa,7509546657035,Jabon / tensioactivos,221 ML,cuidado_personal_o_material,,fabricante,pendiente
537,FC-9A1C64E7,Perilla Edigar N O Caja,,Material plastico,,cuidado_personal_o_material,,fabricante,pendiente
870,EQ-AMS398,Bencil/Benz Comp 1 Fa 1.2 U 3 Ml,7501349025271,Benzatina / procaína / cristalina,Frasco ámpula 1.2 MU,medicamento,benzatina + procaina + cristalina,instructivo,pendiente
38,FC-50587FA6,Mexapin,7503001007120,Ampicilina,1 SUSPENSION,medicamento,ampicilina,instructivo,pendiente
336,FC-48690909,Venda Elástica Protec 7 cm x 5 m,7501048690909,Material de curacion,7 CM x 5 M,cuidado_personal_o_material,,fabricante,pendiente
272,FC-06247468,Gel Ego Fresh,7506306247468,,200 g,revisar_clasificacion,,fabricante,pendiente
316,FC-22150221,Jabon en Barra Ricitos de Oro Neutro,7501022150221,Jabon / tensioactivos,90 G,cuidado_personal_o_material,,fabricante,pendiente
872,EQ-SON160,Disons Dex 1 Fa 5/2 Mg,7502001164833,Betametasona,Caja con 1 ampolleta,medicamento,betametasona,instructivo,pendiente
351,FC-33950100,Ensure chocolate,7501033954061,Suplemento nutricional,236 ML,suplemento_o_natural,,fabricante,pendiente
294,FC-26462061,Chupon Ternura Ortodontic Miel C3,7501026462061,,,revisar_clasificacion,,fabricante,pendiente
