sku,ticket,linea,nombre_original,nombre_nuevo,marca,presentacion,principio_activo,concentracion,forma_farmaceutica
FC-E6112F15,440393,42,NALIXONE 20 TAB 500/50 MG,Nalixone,,20 TABLETAS,NALIXONE,500/50 MG,TABLETAS
FC-F183C6E9,440393,43,"PENIPOT 1 FA 800,000 UI",Penipot,,1 FRASCO AMPULA,PENIPOT,"800,000 UI",FRASCO AMPULA
FC-A0D320D1,440393,44,AMOXICILINA 12 CAPS 500 MG,Amoxicilina,,12 CAPSULAS,AMOXICILINA,500 MG,CAPSULAS
FC-95779436,440393,45,ACIDO ACETILSALICILICO EF 20 TAB 300 MG,Acido Acetilsalicilico Ef,,20 TABLETAS,ACIDO ACETILSALICILICO EF,300 MG,TABLETAS
FC-4C621D07,440393,46,VANMOXOL 1 SUSP 250/15MG/5/90 ML,Vanmoxol,,1 SUSPENSION,VANMOXOL,250/15MG/5/90,SUSPENSION
FC-022543CD,440393,47,VALCLAN 10 TAB 500/125 MG,Valclan,,10 TABLETAS,VALCLAN,500/125 MG,TABLETAS
FC-64EB83AA,440393,48,"BENCIL/BENZ COMPL 1 FA 1,2 U 3 ML",Bencil/Benz Compl,,1 FRASCO AMPULA,BENCIL/BENZ COMPL,"1,2 U 3",FRASCO AMPULA
FC-D210172A,440393,49,AMPICILINA 1 FA 1G/5 ML,Ampicilina,,1 FRASCO AMPULA,AMPICILINA,1G/5,FRASCO AMPULA
FC-7F90064A,440393,50,AMPICILINA 1 FA 500MG/2 ML,Ampicilina,,1 FRASCO AMPULA,AMPICILINA,500MG/2,FRASCO AMPULA
FC-F82A6E4B,440393,51,AMPICILINA 10 TAB 1 G,Ampicilina,,10 TABLETAS,AMPICILINA,1 G,TABLETAS
FC-5F30F9D4,440393,52,CLAMOXIN 10 TAB 500/125 MG,Clamoxin,,10 TABLETAS,CLAMOXIN,500/125 MG,TABLETAS
FC-7D1D9857,440393,53,ACIDO ACETILSALICILICO 30 TAB 100MG,Acido Acetilsalicilico,,30 TABLETAS,ACIDO ACETILSALICILICO,100MG,TABLETAS
FC-516C2E89,440393,54,CLAMOXIN 12H JR 1 SUSP 400/57MG/5/50 ML,Clamoxin 12H Jr,,1 SUSPENSION,CLAMOXIN 12H JR,400/57MG/5/50,SUSPENSION
FC-05965071,440393,55,ACROXIL-C 12 CAPS 500/8 MG,Acroxil-C,,12 CAPSULAS,ACROXIL-C,500/8 MG,CAPSULAS
FC-930E0B1B,440393,56,VANDIL 1 SUSP 250MG/5/75 ML,Vandil,,1 SUSPENSION,VANDIL,250MG/5/75,SUSPENSION
