sku,ticket,linea,nombre_original,nombre_nuevo,marca,presentacion,principio_activo,concentracion,forma_farmaceutica
FC-38891190,77827,20,Jbn Dove Barra Blanca,Barra Blanca,Dove,,,,
FC-75062927,77827,21,Desod Rexona Pom-Dry48H Stick45G,Pom-Dry48H Stick45G,Rexona,,,,
FC-40036965,77827,22,Jbn Asepxia Bicarbon Sod 100G,Asepxia Bica on Sod,Rb,100 G,,,
FC-40004643,77827,23,Jbn Asexia Exfol 100G,Asexia Exfol,,100 G,,,
FC-22150801,77827,24,Jbn Grisi Avena 125G,Grisi Avena,,125 G,,,
FC-25605514,77827,25,Jbn Escudo Antibact 110Gr,Escudo Antibact,,110 G,,,
FC-06230507,77827,28,Jbn Dove Barra Karite Vainill 135G,Barra Karite Vainill,Dove,135 G,,,
FC-22150092,77827,29,Jbn Grisi Leche De Burra 125G,Grisi Leche De Burra,,125 G,,,
FC-22111352,77827,30,Jbn Grisi Corp Diabecare 125 G,Grisi Corp Diabecare,,125 G,,,
FC-75069223,77827,31,Desod Rex Mot-Sen Sport Stick,Rex Mot-Sen Sport Stick,,,,,
FC-46059556,77827,32,Jbn Liq Palmol N-Bal Dermol 221Mln,Liq N-Bal Dermol 221Mln,Palmol,,,,
FC-67905186,77827,33,Jbn Liq Blumen Coconut Para 221Ml,Liq Blumen Coconut Para,,221 ML,,,
FC-46683133,77827,34,Jbn Palmol N-Bal Dermo Limp 120G,N-Bal Dermo Limp,Palmol,120 G,,,
FC-06241206,77827,35,Desod Dove Dermac Sk-C 48H Spy150Ml,Dermac Sk-C 48H Spy150Ml,Dove,,,,
FC-43489004,77827,36,Jbn Escudo Rosa Prot Y Cuid 110G,Escudo Rosa Prot Y Cuid,,110 G,,,
FC-42326414,77827,37,Agua Mic Garnier De Rosas 400 Ml,Agua Mic De Rosas 400,Garnier,,,,
FC-76000284,77827,38,Agua Mic Vitacilina Ros-Sab 500Mln,Agua Mic Ros-Sab 500Mln,Vitacilina,,,,
FC-82790504,77827,39,Desmaq Bifasico Oil Nuvel 125Ml,Desmaq Bifasico Oil Nuvel,,125 ML,,,
FC-45722547,77827,40,Agua Mice Natural-G Bifasic 120Ml,Agua Mice Natural-G Bifasic,,120 ML,,,
FC-67905131,77827,41,Jbn Liq Blumen Cherry Bloss 221Ml,Liq Blumen Cherry Bloss,,221 ML,,,
FC-21012303,77827,42,Tas Hum Claris Desmaq Aloe C/40,Tas Hum Claris Desmaq Aloe,,C/40,,,
FC-25652716,77827,44,Jbn Escudo Azul Rey 135G,Escudo Azul Rey,,135 G,,,
FC-06248052,77827,45,Deo Aero Dove Tono Uniforme 150Ml 3Pack,Deo Aero Tono Uniforme 150Ml,Dove,3 PACK,,,
FC-06248045,77827,46,Deo Dove Spy Invisible Dry 150Ml C3,Deo Spy Invisible Dry C3,Dove,150 ML,,,
FC-35911208,77827,47,Jbn Liq Palmol Aquarium 221Ml,Liq Aquarium,Palmol,221 ML,,,
FC-08837311,77827,48,Desod Nivea Pearlb Mspy150Ml,Pearlb Mspy150Ml,Nivea,,,,
FC-06209862,77827,49,Deo Axe Spy 150Ml 48H Anarchy Fresh Love Fo,Deo Spy 48H Anarchy Fresh Love Fo,Axe,150 ML,,,
FC-43489165,77827,50,Jbn Liq Escudo Blanco Neut 225Ml,Liq Escudo Blanco Neut,,225 ML,,,
FC-84900280,77827,51,Jaloma Agua De Rosas 130Ml Spray,Jaloma Agua De Rosas Spray,,130 ML,,,
FC-06226852,77827,52,Desod Axe Wom Anarchy Spy 150Ml,Wom Anarchy Spy,Axe,150 ML,,,
FC-46657035,77827,53,Jbn Lio Palmol Flor Czo-Rsa 221Ml,Lio Flor Czo-Rsa,Palmol,221 ML,,,
FC-56330378,77827,54,Loc Limp Ponds Bio-Hydra Dual 200Ml,Loc Limp Bio-Hydra Dual,Ponds,200 ML,,,
FC-76040436,77827,55,Deo Mexsana P/Pies Spy 150Ml,Deo Mexsana P/Pies Spy,,150 ML,,,
FC-61123009,77827,57,Odolex Naturals 300Gr Talco Desodorante,Odolex Naturals Talco Desodorante,,300 G,,,
FC-20500201,77827,59,Sh Pert Plus Ac-Oliva 400Ml,Pert Plus Ac-Oliva,,400 ML,,,
FC-72300171,77827,60,Ting Polvo 85G,Ting Polvo,,85 G,,,
FC-06217461,77827,61,Ico Desod Rexona Effi Fresh 200G,Ico Desod Effi Fresh,Rexona,200 G,,,
FC-82740011,77827,62,Quita Esm Nuvel Humec 125Ml,Quita Esm Nuvel Humec,,125 ML,,,
FC-52910971,77827,63,Cra Fructis Pei B-Dano Quim 300Ml,Fructis Pei B-Dano Quim,,300 ML,,,
FC-52816297,77827,64,Cra Fructis Pei Oil-R L-Coco 300Ml,Fructis Pei Oil-R L-Coco,,300 ML,,,
FC-40025839,77827,66,Sh Int Lomecan V 200Ml,Int Lomecan V,,200 ML,,,
FC-40030338,77827,68,Sh Int Lomecan V Aclar 200Ml,Int Lomecan V Aclar,,200 ML,,,
FC-45720550,77827,69,Silkhair Quita Esmalte Mora Azul 100Ml,Silkhair Quita Esmalte Mora Azul,,100 ML,,,
FC-92511261,77827,70,Cra Nutribela1O Bio Colageno 300Gn,Nutribela1O Bio Colageno 300Gn,,,,,
FC-92509213,77827,71,Cra Nutribela Nutrice Tarro 300G,Nutribela Nutrice Tarro,,300 G,,,
FC-06257597,77827,73,Rexona 1O0Gr Tco Pies Efficient Orig,1O0Gr Tco Pies Efficient Orig,Rexona,,,,
FC-46073156,77827,74,Sh Caprice Nat Mzna 380 Ml,Caprice Nat Mzna 380,,,,,
FC-20500171,77827,75,Cra Pert Oliv+Ac Agu P/Pein 100 Ml,Pert Oliv+Ac Agu P/Pein 100,,,,,
FC-35155922,77827,76,Ac Pantene Bambu 400Ml,Bambu,Pantene,400 ML,,,
FC-56340131,77827,79,Cra Sedal Rizos Obedie 300Ml,Sedal Rizos Obedie,,300 ML,,,
FC-01165321,77827,80,Acond Pant Rizos Definid 400Ml,Acond Pant Rizos Definid,,400 ML,,,
FC-06249783,77827,81,Sh Sedal Rizos Def Inf-Act 180Ml,Sedal Rizos Def Inf-Act,,180 ML,,,
FC-56360429,77827,82,Tco Desod Eficc Pies 200 G,Tco Desod Eficc Pies,,200 G,,,
FC-56340025,77827,83,Cra Sedal Sos Recon-Estru 300Ml,Sedal Sos Recon-Estru,,300 ML,,,
FC-56342227,77827,84,Cra Sedal Rizos Obedientes 135Ml,Sedal Rizos Obedientes,,135 ML,,,
FC-06249776,77827,85,Sh Sedal Ceramidas Inf-Act 180Ml,Sedal Ceramidas Inf-Act,,180 ML,,,
FC-01303454,77827,86,Sh Pant Ctrcaida A/Pv 400Ml,Pant Ctrcaida A/Pv,,400 ML,,,
FC-07457796,77827,87,Sh Pant Brillo Extremo,Pant Brillo Extremo,,,,,
FC-35155847,77827,89,Sh Pant Bambu Ctrl Caida 400 Ml,Pant Bambu Ctrl Caida 400,,,,,
FC-06249240,77827,90,Sh Savile Ker-Sab Fza Repar 700Ml,Savile Ker-Sab Fza Repar,,700 ML,,,
FC-06249226,77827,91,Sh Savile Bio-Sab Creci Res 700Ml,Savile Bio-Sab Creci Res,,700 ML,,,
FC-06234062,77827,93,Cra Sedal Anti Nudos 300 Ml,Sedal Anti Nudos 300,,,,,
FC-56342258,77827,94,Cra Sedal Recons Estructur 135Ml,Sedal Recons Estructur,,135 ML,,,
FC-61111501,77827,95,Tco Desdo Odolex 150 G,Tco Desdo Odolex,,150 G,,,
FC-61124013,77827,96,Tco Odolex Fresh 150G,Tco Odolex Fresh,,150 G,,,
FC-56340124,77827,97,Cra Sedal Sos Ceramida 300Ml,Sedal Sos Ceramida,,300 ML,,,
FC-35020008,77827,98,Sh Hbs Limp Renoy 375Ml,Hbs Limp Renoy,,375 ML,,,
FC-35169035,77827,99,Mousse Herbal Ess Rizo 200G,Mousse He al Ess Rizo,Rb,200 G,,,
FC-35168991,77827,100,Sh Hash Anti Comezon 375Ml,Hash Anti Comezon,,375 ML,,,
FC-35231237,77827,101,Sh Hash Anti Comezon 375Ml,Hash Anti Comezon,,375 ML,,,
FC-92504539,77827,102,Cera Mod Ego Met 25 G,Cera Mod Ego Met,,25 G,,,
FC-38312374,77827,103,Cera Gel Moco De Gorila Citr 100G,Cera Gel Moco De Gorila Citr,,100 G,,,
FC-35231244,77827,104,Sh H&S Anti Comezon 180 Ml,Anti Comezon 180,H&S,,,,
FC-35020077,77827,105,Sh Hbs Alivio Instant,Hbs Alivio Instant,,,,,
FC-92503558,77827,106,Gel Ego Magnetic Fij-Alta 200 Ml,Gel Ego Magnetic Fij-Alta 200,,,,,
FC-99425580,77827,107,Gel X-Extreme Titan 250G,Gel X-Extreme Titan,,250 G,,,
FC-99428024,77827,108,Gel Moco De Gorila Punk 80 G,Gel Moco De Gorila Punk,,80 G,,,
FC-46073040,77827,109,Sh Caprice Sp Biotina Fza 200Ml,Caprice Sp Biotina Fza,,200 ML,,,
FC-46073033,77827,110,Sh Caprice Sp Acti Ceramida 200Ml,Caprice Sp Acti Ceramida,,200 ML,,,
FC-54073302,77827,111,Silica Shine Sily Oleo Argan 120Ml,Silica Shine Sily Oleo Argan,,120 ML,,,
FC-24511711,77827,112,Silica Shine Sily 3/1 Mora 120Ml,Silica Shine Sily 3/1 Mora,,120 ML,,,
FC-75001865,77827,114,Brill Palmol Lio 115M,Brill Lio 115M,Palmol,,,,
FC-46655055,77827,115,Mousse Caprice Volum-Cirl 200 G,Mousse Caprice Volum-Cirl,,200 G,,,
FC-06247468,77827,116,Gel Ego Fresh C-Cas Fij-Alt 200Ml,Gel Ego Fresh C-Cas Fij-Alt,,200 ML,,,
FC-92506601,77827,117,Gel Ego For Men Attraction 200 Ml,Gel Ego For Men Attraction 200,,,,,
FC-86494262,77827,118,Cep Dent Oral-B Indicat35Sve,Cep Dent Indicat35Sve,Oral-B,,,,
FC-92506045,77827,119,Cera Ego Firme Matte 25 G,Cera Ego Firme Matte,,25 G,,,
FC-84431050,77827,120,Acetona Jaloma 60 Ml,tona Jaloma 60,Ace,,,,
FC-45720567,77827,121,Silkhair Quita Esmalte Coco 100 Ml,Silkhair Quita Esmalte Coco 100,,,,,
FC-84437151,77827,122,Acetona Jaloma 120 Ml,tona Jaloma 120,Ace,,,,
FC-54500216,77827,128,Cra Nivea Sdatarr Giga 400Ml,Sdatarr Giga,Nivea,400 ML,,,
FC-75064938,77827,129,Desod Ego Force 24H R-On 45Ml Dic26,Ego Force 24H R-On Dic26,,45 ML,,,
FC-20501673,77827,130,Cra Hinds Liq Agave Azul 400Ml,Hinds Liq Agave Azul,,400 ML,,,
FC-08802838,77827,131,Cra Nivea B Sofmilk Sec400Ml,B Sofmilk Sec400Ml,Nivea,,,,
FC-36040450,77827,133,Cra Grisi Conchnac P/Manos 80 Ml,Grisi Conchnac P/Manos 80,,,,,
FC-56330309,77827,134,Cra Clarant B3 Nml/Gsa 100G,Clarant B3 Nml/Gsa,,100 G,,,
FC-42270027,77827,135,Cra Nivea Cuidada Clar-Nat 200Ml,Cuidada Clar-Nat,Nivea,200 ML,,,
FC-00942760,77827,136,Gel Niv Fac Ref Hidra Hyalu 200Ml,Gel Niv Fac Ref Hidra Hyalu,,200 ML,,,
FC-54558682,77827,137,Cra Corp Niveamilk 400Ml+Cra100Ml,Corp milk +Cra100Ml,Nivea,400 ML,,,
FC-40030963,77827,138,Cra Teatrical Cel-Ma Nutrit 400Ml,Teatrical Cel-Ma Nutrit,,400 ML,,,
FC-35469151,77827,140,Cra Lubriderm Uv Fps15 120Ml,Uv Fps15,Lubriderm,120 ML,,,
FC-36032776,77827,141,Sh Grisi Ricitos Oro Biopure 250Ml,Grisi Ricitos Oro Biopure,,250 ML,,,
FC-07502441,77827,142,Jbn Johnson'S Baby Antes/Dor 75 G,'S Baby Antes/Dor,Johnson,75 G,,,
FC-46655079,77827,143,Jbn Palmol N-Bal Corp Baby0% 90G,N-Bal Corp Baby0%,Palmol,90 G,,,
FC-36041402,77827,145,Cra Hinds Hidr-Extr Almendras 500Ml,Hinds Hidr-Extr Almendras,,500 ML,,,
FC-07528939,77827,146,Cra Lubriderm Thint Psec120Ml,Thint Psec120Ml,Lubriderm,,,,
FC-31244486,77827,147,Cra Lubriderm P/Normal 120Ml,P/Normal,Lubriderm,120 ML,,,
FC-46074504,77827,149,Sh Mennen Zero% Sve 400Ml,Mennen Zero% Sve,,400 ML,,,
FC-36033735,77827,150,Sh Ricitos Oro Agua De Coco 250Ml,Ricitos Oro Agua De Coco,,250 ML,,,
FC-46650708,77827,151,Sh Mennen Lavan-Extrac Aven 200Ml,Mennen Lavan-Extrac Aven,,200 ML,,,
FC-22133286,77827,152,Sh Grisi Rici Oro Miel 250Ml,Grisi Rici Oro Miel,,250 ML,,,
FC-09498091,77827,154,Sensodyne Protec Complet + Acc Lim Efec 90G,Sensodyne Protec Complet + Acc Lim Efec,,90 G,,,
FC-95129166,77827,155,Cep Dent Oral-B 3Dw Advant Med2X1,Cep Dent 3Dw Advant Med2X1,Oral-B,,,,
FC-42417644,77827,156,Cra Nivea Cuidado Int P/Mano 75Ml,Cuidado Int P/Mano,Nivea,75 ML,,,
FC-40013898,77827,158,Cra Teatrical Lanol/Ros 52Gr,Teatrical Lanol/Ros,,52 G,,,
FC-54549819,77827,159,Cra Corp Niv Soft M P/Seca 100Ml,Corp Niv Soft M P/Seca,,100 ML,,,
FC-17360604,77827,160,Tas San Kotex Ant Flujo Abundante S/A 10Pz,Tas San Ant Flujo Abundante S/A 10Pz,Kotex,,,,
FC-46072050,77827,161,Sh Mennen Miel-Mza Sve 200Ml,Mennen Miel-Mza Sve,,200 ML,,,
FC-22150221,77827,162,Jbn Ricitos D Oro Neutro 90 G,Ricitos D Oro Neutro,,90 G,,,
FC-20501765,77827,163,Cra Grisi Aloe Vera P/Manos 80 Mln,Grisi Aloe Vera P/Manos 80 Mln,,,,,
FC-56326142,77827,164,Cra S Ponds Humectante 100G,S Humectante,Ponds,100 G,,,
FC-31976394,77827,166,Enj Buc List Anticari-Al 250Ml,Enj Buc List Anticari-Al,,250 ML,,,
FC-43427754,77827,167,Tas Sanit Kotex Nat Flex Noct C/5,Tas Sanit Nat Flex Noct,Kotex,C/5,,,
FC-31887928,77827,169,Enj Buc List Care Zero Mta 250Ml,Enj Buc List Care Zero Mta,,250 ML,,,
FC-54503095,77827,170,Cra Nivea Sda Tarro 100 Ml,Sda Tarro 100,Nivea,,,,
FC-85800198,77827,171,Tas Hum Th Bebin Super C/80,Tas Hum Th Bebin Super,,C/80,,,
FC-10974329,77827,173,Enj Buc List Zero Mta Sve 250Ml,Enj Buc List Zero Mta Sve,,250 ML,,,
FC-00701992,77827,174,Nivea 75Ml Cra P/Manos 3En1 Ant-Arrugas,Cra P/Manos 3En1 Ant-Arrugas,Nivea,75 ML,,,
FC-46655727,77827,175,Jbn Mennen Baby Magic Lavan 90 G,Mennen Baby Magic Lavan,,90 G,,,
FC-35908130,77827,177,Tco Mennen Azul 200G,Tco Mennen Azul,,200 G,,,
FC-35908147,77827,179,Tco Mennen Rosa 200G,Tco Mennen Rosa,,200 G,,,
FC-19006371,77827,180,Tas Sanit Saba Inv Alas C/10,Tas Sanit Saba Inv Alas,,C/10,,,
FC-40171550,77827,183,C D Sensodyne Rapido Alivio 100G,C D Sensodyne Rapido Alivio,,100 G,,,
FC-68900264,112558,1,DIBAR ALCOHOL 125ML ROJO,Alcohol Rojo,Dibar,125 ML,,,
FC-68960257,112558,2,DIBAR ALCOHOL ILT ROJO,Alcohol Ilt Rojo,Dibar,,,,
FC-68900226,112558,3,ADIBAR ALCOHOL 250ML. ROJO,A Alcohol . Rojo,Dibar,250 ML,,,
FC-68990023,112558,4,DIBAR ALCOHOL 500ML. ROJO,Alcohol . Rojo,Dibar,500 ML,,,
FC-77620056,112558,5,AGUA DESTILADA LA FLOR 1 LT,Agua Destilada La Flor 1 Lt,,,,,
FC-00003920,112558,6,ARNICA MERCURIO,Arnica Mercurio,,,,,
FC-76000260,112558,7,CREMA AMARILLA VITACILINA ACLARADORA,Crema Amarilla Aclaradora,Vitacilina,,,,
FC-76000253,112558,8,CREMA ROJA VITACILINA ANTIARRUGAS 100GR,Crema Roja Antiarrugas,Vitacilina,100 G,,,
FC-16800803,112558,9,DIAPRO CONFORT MED C/10,Diapro Confort Med,,C/10,,,
FC-86901100,112558,10,DABAN ALCOHOL AZUL 125ML.,Daban Alcohol Azul,,125 ML,,,
FC-68901131,112558,11,ALCOHOL AZUL 1LT,Alcohol Azul 1Lt,,,,,
FC-68901117,112558,12,DIBAR ALCOHOL AZUL 250ML,Alcohol Azul,Dibar,250 ML,,,
FC-68901124,112558,13,ALCOHOL AZUL 500ML,Alcohol Azul,,500 ML,,,
FC-98223704,112558,14,BOLO EUROBION TAB C/20,Bolo Eurobion Tab,,C/20,,,
FC-33950100,112558,15,LIO 236ML CHTE,Lio Chte,,236 ML,,,
FC-33950063,112558,16,BASUYE LIQ 236ML FSA,Basuye Liq Fsa,,236 ML,,,
FC-33950070,112558,17,ENSURE LIQ 236ML VNLLA,Ensure Liq Vnlla,,236 ML,,,
FC-33956133,112558,18,LUCERNA LIQ 237ML,Lucerna Liq,,237 ML,,,
FC-33956140,112558,19,GLUCERNA SR LIQ 237ML FRESA,Glucerna Sr Liq Fresa,,237 ML,,,
FC-07521317,112558,20,GOTERO CRISTAL,Gotero Cristal,,,,,
FC-01157296,112558,21,NATURELLA FLUJO MOD C/ALAS C/8,Naturella Flujo Mod C/Alas,,C/8,,,
FC-01405335,112558,22,NATURELLA NOCHE CON ALAS C/8,Naturella Noche Con Alas,,C/8,,,
FC-33951008,112558,23,EDIASURE LIQ 236ML CHTE,Ediasure Liq Chte,,236 ML,,,
FC-33954245,112558,24,PEDIASURE LIQ 236ML FSA,Pediasure Liq Fsa,,236 ML,,,
FC-33950209,112558,25,PEDIASURE LIQ 236ML VNLLA,Pediasure Liq Vnlla,,236 ML,,,
FC-19006623,112558,26,SABA BUENAS NOCHES,Saba Buenas Noches,,,,,
FC-65054135,112558,27,TB 3 SURT,3 Surt,,,,,
FC-56323066,112558,28,FASELINE PURO 42G,Faseline Puro,,42 G,,,
FC-56323059,112558,29,VASELINE PURO 85G,Vaseline Puro,,85 G,,,
FC-01246730,112558,30,VAPORUB POM 12G C12 LATAS,Vaporub Pom C12 Latas,,12 G,,,
FC-02012475,112558,31,VICK NAPORUB UNG 100G,Vick Naporub Ung,,100 G,,,
FC-02012468,112558,32,VICK VAPORUB UNG 50G,Vick Vaporub Ung,,50 G,,,
FC-1FBF5206,IFC1-080826,1,POMADA REOMATOLUM DEL VIEJITO 60G,Reomatolum Del Viejito,,60 G,,,
FC-2E5B7248,IFC1-080826,2,POMADA REOMATOLUM DEL VIEJITO 60G VARFAM LAVA OJOS VIDRIO ABR56 81606,Reomatolum Del Viejito Varfam Lava Ojos Vidrio Abr56 81606,,60 G,,,
FC-62034164,IFC1-080826,4,MERCURIO ESPIRITUS UNTAR C/25 1770823,Mercurio Espiritus Untar 1770823,,C/25,,,
FC-3676D5DC,IFC1-080826,5,MERCURIO ESPIRITUS TOMAR C/25 1760823,Mercurio Espiritus Tomar 1760823,,C/25,,,
FC-5A697CC2,IFC1-080826,6,MERCURIO ACEITE OLIVO C/25 1000625 83825,Mercurio Ite Olivo 1000625 83825,Ace,C/25,,,
FC-39036C88,IFC1-080826,7,MERCURIO GLICERINA C/25 1230723 83125,Mercurio Glicerina 1230723 83125,,C/25,,,
FC-DFF99C3F,IFC1-080826,8,MERCURIO JARABE DE GRANADA. C/25 1750823,Mercurio Jarabe De Granada. 1750823,,C/25,,,
FC-931B4809,IFC1-080826,9,MERCURIO ACEITE COCO C/25 800523 83064,Mercurio Ite Coco 800523 83064,Ace,C/25,,,
FC-D4AC123B,IFC1-080826,10,MERCURIO ACEITE ALMENDRAS C/25 790523,Mercurio Ite Almendras 790523,Ace,C/25,,,
FC-38CAFE6B,IFC1-080826,11,MERCURIO ACEITE ROMERO C/25 1910923,Mercurio Ite Romero 1910923,Ace,C/25,,,
FC-926099D3,IFC1-080826,12,KOHN MERTIOLATE ROJO C/25 012023 82912,Kohn Mertiolate Rojo 012023 82912,,C/25,,,
FC-E69F2E63,IFC1-080826,13,MADRID ACEITE EUCALIPTO C/25 2712017 83401,Madrid Ite Eucalipto 2712017 83401,Ace,C/25,,,
FC-25E452B6,IFC1-080826,14,MERCURIO ARNICA UNTAR C/25 1790823 83156,Mercurio Arnica Untar 1790823 83156,,C/25,,,
FC-127F5753,IFC1-080826,15,MERCURIO ARNICA TOMAR C/25 1780823 83156,Mercurio Arnica Tomar 1780823 83156,,C/25,,,
FC-D3D28E20,IFC1-080826,16,MERCURIO YODO UNTAR C/25 1810623 83156,Mercurio Yodo Untar 1810623 83156,,C/25,,,
FC-69387811,IFC1-080826,17,MERCURIO ACEITE GOMENOLADO C/25 1160623,Mercurio Ite Gomenolado 1160623,Ace,C/25,,,
FC-A680F97E,IFC1-080826,18,MERCURIO YODO TOMAR C/25 1800823 83156,Mercurio Yodo Tomar 1800823 83156,,C/25,,,
FC-C4530823,IFC2-080826,1,MERCURIO OXIDO DE ZINC C/50 1620824 83521,Mercurio Oxido De Zinc 1620824 83521,,C/50,,,
FC-D037156B,IFC2-080826,2,MERCURIO BISMUTO SUBNITRATO C/50 1390724,Mercurio Bismuto Subnitrato 1390724,,C/50,,,
FC-B8D7C997,IFC2-080826,3,MERCURIO BICARBONATO SOBRES C/50,Mercurio Bica Onato Sobres,Rb,C/50,,,
FC-CB5C11ED,IFC2-080826,4,MERCURIO MAGNESIA ANISADA C/50 1560824,Mercurio Magnesia Anisada 1560824,,C/50,,,
FC-A871D831,IFC2-080826,5,/ 2.00 PIEZA EDIGAR PERILLA N 6 CAJA 1649 81608,/ 2.00 Pieza Edigar Perilla N 6 Caja 1649 81608,,,,,
FC-578F060C,IFC2-080826,6,MERCURIO BORAX POLVO C/50 140072483490,Mercurio Borax Polvo,,C/50,,,
FC-FBD776D2,IFC2-080826,7,MERCURIO PERLAS DE ETER C/50 1630824,Mercurio Perlas De Eter 1630824,,C/50,,,
FC-5EF90195,IFC2-080826,8,MERCURIO FLOR DE ARNICA C/50 1430724,Mercurio Flor De Arnica 1430724,,C/50,,,
FC-9A1C64E7,IFC2-080826,9,EDIGAR PERILLA N O CAJA,Edigar Perilla N O Caja,,,,,
FC-47AAF23B,IFC2-080826,10,MERCURIO SULFATIAZOL POLVO C/50 1710824,Mercurio Sulfatiazol Polvo 1710824,,C/50,,,
FC-FFC25DD1,IFC2-080826,11,EDIGAR PERILLA N 4 CAJA 1439 81608,Edigar Perilla N 4 Caja 1439 81608,,,,,
FC-614E4F82,IFC2-080826,12,EDGAR PERILLA N 3 C A 1334 81608,Edgar Perilla N 3 C A 1334 81608,,,,,
FC-C22EBFE6,IFC2-080826,13,EDIGAR PERILLA N 2 CAJA 1145 81608,Edigar Perilla N 2 Caja 1145 81608,,,,,
FC-BCF59548,IFC2-080826,14,EDIGAR PERILLA N 1 CAJA 1113 81608,Edigar Perilla N 1 Caja 1113 81608,,,,,
FC-9507CD66,IFC2-080826,15,MERCURIO HABA ALCANFORADA C/50 1510724,Mercurio Haba Alcanforada 1510724,,C/50,,,
FC-FEAECBF1,IFC2-080826,16,MERCURIO POMADA TEPEZCOHUITE C/25,Mercurio Pomada Tepezcohuite,,C/25,,,
FC-9827438F,IFC2-080826,17,MERCURIO POMADA VENENO DE ABEJA C/25,Mercurio Pomada Veneno De Abeja,,C/25,,,
FC-EFB599B5,IFC2-080826,18,MERCURIO POMADA PAN PUERCO C/25 25401233,Mercurio Pomada Pan Puerco,,C/25,,,
FC-08DB70CB,IFC2-080826,19,VELAZQUEZ BICARBONATO GRANDE 200G C/10,Velazquez Bica Onato Grande 200G,Rb,C/10,,,
FC-89F00320,IFC2-080826,20,MERCURIO POMADA ARNICA C/25 2550123,Mercurio Pomada Arnica 2550123,,C/25,,,
FC-FD718DF3,IFC2-080826,21,MERCURIO POMADA SULFATIAZOL C/25 2600223,Mercurio Pomada Sulfatiazol 2600223,,C/25,,,
FC-0ACC5B6A,IFC2-080826,22,MERCURIO POMADA OXIDO DE ZINC C/25,Mercurio Pomada Oxido De Zinc,,C/25,,,
FC-5D59ED54,IFC2-080826,23,MERCURIO CLORURO DE MAGNESIO C/10 CAJITA,Mercurio Cloruro De Magnesio Cajita,,C/10,,,
FC-E5BA49B2,FMX-080826,1,FC 01/03/2030,Fc 01/03/2030,,,,,
FC-895EA161,FMX-080826,2,FC 01/11/2030|,Fc 01/11/2030,,,,,
FC-66055303,FMX-080826,4,MEDITEST PRUEBA EMBARAZO C/1,Meditest Prueba Embarazo,,C/1,,,
FC-DF92D3CF,FMX-080826,5,FC 01/09/2028,Fc 01/09/2028,,,,,
FC-757DEC8A,FMX-080826,6,FC 01/04/2029,Fc 01/04/2029,,,,,
FC-108AB6B6,FMX-080826,7,FC 01/04/2028,Fc 01/04/2028,,,,,
FC-22ECC02C,FMX-080826,8,FC 01/05/2029,Fc 01/05/2029,,,,,
FC-23B68FA1,FMX-080826,9,FC 01/04/2028,Fc 01/04/2028,,,,,
FC-87621652,FMX-080826,10,FC 01/04/2028,Fc 01/04/2028,,,,,
FC-2E70DB7E,FMX-080826,11,FC 01/12/2028,Fc 01/12/2028,,,,,
FC-A166D66F,FMX-080826,12,FC 01/11/2028,Fc 01/11/2028,,,,,
FC-7B88B47E,FMX-080826,13,FC 01/04/2028,Fc 01/04/2028,,,,,
FC-F349C6DD,FMX-080826,14,FC 01/12/2027,Fc 01/12/2027,,,,,
FC-D751525D,FMX-080826,15,ANIMALIN GOTAS C/30 ML,Animalin Gotas,,C/30,,,
FC-4F05124E,FMX-080826,16,GELCAVIT-9M CAPSULAS C/30,Gelcavit-9M Capsulas,,C/30,,,
FC-85632ABD,FMX-080826,17,FC 01/01/2028,Fc 01/01/2028,,,,,
FC-0906E3E1,FMX-080826,18,FC 01/04/2028,Fc 01/04/2028,,,,,
FC-4C3B3B9C,FMX-080826,19,FC 01/09/2027,Fc 01/09/2027,,,,,
FC-1812D26D,FMX-080826,20,HUCIUS CAPSULAS C/30,Hucius Capsulas,,C/30,,,
FC-EC96A027,FMX-080826,21,FC 01/02/2028,Fc 01/02/2028,,,,,
FC-3B7A358D,FMX-080826,22,FC 01/04/2028,Fc 01/04/2028,,,,,
FC-16C9352F,FMX-080826,23,FC 01/04/2028,Fc 01/04/2028,,,,,
FC-70F50FD7,FMX-080826,24,FC 01/03/2029,Fc 01/03/2029,,,,,
FC-D33D7A48,FMX-080826,25,FC 01/03/2028,Fc 01/03/2028,,,,,
FC-00E8A9C7,FMX-080826,26,FOTOSUN-UV100 CREMA C/125 ML S0-FP$,Fotosun-Uv100 Crema S0-Fp$,,C/125,,,
FC-D4342B8E,FMX-080826,27,FC 01/01/2028,Fc 01/01/2028,,,,,
FC-CF0AF2F6,FMX-080826,28,FC 01/02/2028,Fc 01/02/2028,,,,,
FC-5CA1622C,FMX-080826,29,FC 01/05/2028,Fc 01/05/2028,,,,,
FC-D0A49FC8,FMX-080826,30,FC 01/04/2027,Fc 01/04/2027,,,,,
FC-EB5DCEBE,FMX-080826,31,FC 01/02/2029,Fc 01/02/2029,,,,,
FC-DA34D88D,FMX-080826,32,ERBITRAX TABLETAS 250 MG C/7,E Itrax Tabletas 250 Mg,Rb,C/7,,,
FC-BE2ACF63,FMX-080826,33,VALNAIT CAPSULAS C/30,Valnait Capsulas,,C/30,,,
FC-D259E551,FMX-080826,34,FC 01/03/2027,Fc 01/03/2027,,,,,
FC-2782A4D6,FMX-080826,35,FC 01/12/2027,Fc 01/12/2027,,,,,
FC-E3CFD0A7,FMX-080826,36,FC 01/02/2028,Fc 01/02/2028,,,,,
