sku,ticket,nombre_original,nombre_nuevo,marca,presentacion,forma,principio_activo,categoria,notas
FC-48F732CF,440393,EPICIN 20 CAPS 500 MG,Epicin,Epicin,20 CAPSULAS,CAPSULAS,ERITROMICINA,Medicamento,
FC-72C28BC1,440393,KNORICIN 1 SUSP 125MG/5/60 ML,Knoricin,Knoricin,1 SUSPENSION,SUSPENSION,NITROFURANTOINA,Medicamento,
FC-443C330E,440393,CEFAGEN 10 TAB 500 MG,Cefagen,Cefagen,10 TABLETAS,TABLETAS,CEFALEXINA,Medicamento,
FC-492D652F,440393,CEFALVER 20 CAPS 500 MG,Cefalver,Cefalver,20 CAPSULAS,CAPSULAS,,Medicamento,
FC-86A95D07,440393,TROPHARMA 20 TAB 500 MG,Tropharma,Tropharma,20 TABLETAS,TABLETAS,,Medicamento,
FC-697EEAD0,440393,KURTOSIL 1 CMA 20/1 MG,Kurtosil,Kurtosil,1 CREMA,CREMA,,Medicamento,
FC-830BF3FB,440393,DIVILTAC 1 FA 150/10MG/1 ML,Diviltac,Diviltac,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-F3E734A0,440393,FASICLOR 1 SUSP 375MG/5/50 ML,Fasiclor,Fasiclor,1 SUSPENSION,SUSPENSION,CEFACLOR,Medicamento,
FC-74A5ABEE,440393,CIPROFLOXACINO 12 TAB 250 MG,Ciprofloxacino,,12 TABLETAS,TABLETAS,CIPROFLOXACINO,Medicamento,
FC-AEA8C8DA,440393,NAMIFEN 20 TAB 500 MG,Namifen,Namifen,20 TABLETAS,TABLETAS,,Medicamento,
FC-2005DD57,440393,CEFALEXINA 20 CAPS 500 MG,Cefalexina,,20 CAPSULAS,CAPSULAS,CEFALEXINA,Medicamento,
FC-B4477A00,440393,PENTIBROXIL 16 CAPS 500/30 MG,Pentibroxil,Pentibroxil,16 CAPSULAS,CAPSULAS,,Medicamento,
FC-85BDBD3D,440393,ACROXIL-C 1 SUSP 250MG/5/60 ML,Acroxil-C,Acroxil-C,1 SUSPENSION,SUSPENSION,,Medicamento,
FC-7AA38F97,440393,PENTIVER 1 SUSP 500MG/5/60 ML,Pentiver,Pentiver,1 SUSPENSION,SUSPENSION,,Medicamento,
FC-9538F7D6,440393,FASICLOR 1 SUSP 250MG/5/75 ML,Fasiclor,Fasiclor,1 SUSPENSION,SUSPENSION,CEFACLOR,Medicamento,
FC-01B2F362,440393,FASICLOR 1 SUSP 125MG/5/75 ML,Fasiclor,Fasiclor,1 SUSPENSION,SUSPENSION,CEFACLOR,Medicamento,
FC-50587FA6,440393,MEXAPIN 1 SUSP 125MG/5/60 ML,Mexapin,Mexapin,1 SUSPENSION,SUSPENSION,,Medicamento,
FC-B72A6420,440393,PENTIVER 1 SUSP 250MG/5/90 ML,Pentiver,Pentiver,1 SUSPENSION,SUSPENSION,,Medicamento,
FC-D9391288,440393,AZITROMICINA 1 SUSP 200MG/5/15 ML,Azitromicina,,1 SUSPENSION,SUSPENSION,AZITROMICINA,Medicamento,
FC-41339950,440393,CLARITROMICINA 10 TAB 500 MG,Claritromicina,,10 TABLETAS,TABLETAS,CLARITROMICINA,Medicamento,
FC-E6112F15,440393,NALIXONE 20 TAB 500/50 MG,Nalixone,,20 TABLETAS,TABLETAS,NALIXONE,Medicamento,
FC-F183C6E9,440393,"PENIPOT 1 FA 800,000 UI",Penipot,Penipot,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
