sku,ticket,linea,nombre,lote,codigo_barras
FC-1FEA2FB7,440393,76,AMIKACINA 1 AMP 500MG/2 ML,25T514,
FC-AA905BF7,440393,77,PERLUDIL 1 FA 150/10 MG,S2341670,
FC-AE5EEDF7,440393,78,BACTIVER 20 TAB 400/80 MG,261013,
FC-F8691496,440393,79,BACTIVER F 16 TAB 160/800 MG,261127,
FC-6074BB64,440393,80,REDALIP 30 TAB 200 MG,251660,
FC-E826D304,440393,81,LINCOMICINA 600MG/2ML 6 AMPOLLETAS,B25D203,
FC-4F737E93,440393,82,CLOXAN 1 SOL 300MG/120ML,LE2626,
FC-DB3B2584,440393,83,CELESBITAN 1 FA C/BER 6MG/2 ML,26C2109,
FC-22B18244,440393,84,CEFOTAXIMA I.M. 1 FA 1G/4 ML,J25T017,
FC-4A0245DA,440393,85,AMLODIPINO 100 TAB 5 MG,5LM125B,
FC-29670370,440393,86,DEGORTZIN 1 SOL 100 MG/50 ML,444AA,
FC-69A3C416,440393,87,WEXPEC 1 SOL 7.5/2MG/5/120 ML,LB2633,
FC-F817BC3A,440393,88,SIBICOS 1 CMA 1/100/20 G,262040,
FC-447B30F9,440393,89,BUDESONIDA 5 AMP 0.250MG/2ML,C26F206,
FC-1CF27DC9,440393,90,DISON DEX 1 FA 5/2 MG,26040978,
FC-3CAA7C5C,440393,91,CINARIZINA 60 TAB 75 MG,2605279,
FC-E6B50AC3,440393,92,CELECOXIB 10 CAPS 200MG,6EM120A,
FC-6B2ADEE9,440393,93,PRCTAISOL 1 SUSP/AER 200 DOSIS 12.80 G,C635,
FC-DB4A39AE,440393,94,CALCIO EFE 12 COMP 500 MG,29911,
FC-FA3D96E6,440393,95,BECATRIM N CALCITRIOL 30 CAPS 0.25 MCG,U0265,
FC-63975795,440393,96,GENTAMICINA 25 COMP 1 MG,U26M335,
FC-C6C20517,440393,97,BUDIMIN 20 TAB 1 MG,257237,
FC-58DB24C4,440393,98,BITENVER 30 TAB 24 MG,261052,
FC-1FFBB505,440393,99,SUPRATEX DAC 1 SOL 300/600 MG 120 ML,SK2102,
FC-A909ABC0,440393,100,ODIVITOR 10 TAB 20 MG,251614,
FC-82F88FED,440393,101,CAPTOPRIL 30 TAB 25 MG,6AN062A,
FC-6C2878CF,440393,102,BUDENOVA SUSP 125 MG/ML 5 AMP 2ML,25XY004,
FC-3B001F9B,440393,103,AMLODIPINO 30 TAB 5 MG,5EM451B,
FC-B25094C4,440393,104,LESACLOR 1 SUSP 200MG/5/125 ML,SK2106,
FC-26EA40A4,440393,105,RAMCINET 10 TAB 10 MG,RRC179,
FC-885F2723,440393,106,CARBAMAZEPINA 20 TAB 200 MG,7220526,
FC-DF8ADDAB,440393,107,ERISPAN 1 FA 4MG/3 ML,256110,
FC-50AC2C82,440393,108,ERISPAN 1 FA 8MG/2 ML,256664,
FC-281E0F22,440393,109,BUDESONIDA 1 SUSP NEB AMP 0.500MG,C26E206,
FC-9F67BB73,440393,110,AMIFARIN 1 SUSP 250MG 60 ML,S6117,
FC-4FD413D2,440393,111,HASPEN 3 AMP 20 MG/1 ML,6S032,
FC-0BDE9283,440393,112,CLOPHIVEN 200 DOSIS 50 MCG/15 G,CLOPHIVEN,
FC-97BEFA1A,440393,113,AMLODIPINO 100 TAB 5 MG,5MM301A,
FC-DEAF33B0,440393,114,BACTIVER 1 SUSP 40/200/5/120 ML,262631,
FC-77FE5C83,440393,115,SONBLEFAM S 1 CMA 100 G/40 G,26061504,
FC-C636D8EA,440393,116,CEFTRIAXONA I.M. 1 FA 1G/3.5 ML,J25G109,
FC-44B6751A,440393,117,LAUR AQUITO 500/100/30/4 MG 3 AMP,B26031S,
FC-9B93AC4C,440393,118,BENEVENTOL 1 SUSP 100MG/5ML/50 ML,256866,
FC-2001A890,440393,119,AMPIGRIN AD 3 AMP 500/500/100/30MG/3 ML,26240110,
FC-DE106642,440393,120,AMPIGRIN INF 3 AMP 250/200/100/30MG/3 ML,26240043,
FC-BE76D409,440393,121,AMCEF I.M. 1 FA 1G/3.5 ML,J25N044,
FC-07F04F88,440393,122,AMCEF I.M. 1 FA 500MG/2 ML,J25D063,
FC-357D4A17,440393,123,CEFTAZIDIMA 1 FA 1G/3 ML,J25D018,
FC-5D9DFA3D,440393,124,NORQUINOL 20 TAB 400 MG,SK2094,
FC-E9C38DC4,440393,125,CIPROFLOXACINO G.I. 14 TAB 500 MG,U26F042,
FC-347A49C7,440393,126,AMIKACINA 1 AMP 100 MG/2 ML,25T515,
FC-E4BE37BE,440393,127,ATORVASTATINA 10 TAB 40 MG,U26E117,
FC-1751468C,440393,128,FLOSPET 8 TAB 400 MG,5J1920,
FC-6898B64F,440393,129,BIOERTER 1 SUSP 250 MG/100 ML,0226330,
FC-CD261CD5,440393,130,DOLIPROFEN 10 TAB 800 MG,26140712,
FC-5C8C9C11,440393,131,GELUBRIN 10 CAPS 600 MG,U0397,
FC-A23F290E,440393,132,ZITRIASOL 15 CAP 100 MG,SD26112,
FC-5885E577,440393,133,PABESORAG 28 TAB 150/12.5 MG,610426,
FC-3D0F54B7,440393,134,IBUPRO-CAFE 10 CAPS 400 MG/100 MG,M26052,
FC-F7A2CACF,440393,135,INDARZONA 30 CAPS 25/0.5 MG,SB01DC,
FC-50D044FF,440393,136,WERMY 15 CAPS 300 MG,260373,
FC-E535DE28,440393,137,DIURMESSEL 20 TAB 40 MG,SB2664,
FC-1321B34F,440393,138,HIDROXON 30 TAB 10 MG,SK2109,
FC-1AE9D7E6,440393,139,COLLUCORT 1 CMA 1% 60 G,26340160,
FC-3E863E37,440393,140,TRATIDRI 1 GEL 500/50 MG 60 G,261001,
FC-9ABFB996,440393,141,ELAPHTERON 20 TAB 100 MG,B26050,
FC-9A37D44A,440393,142,AMDORYL 14 CAPS 30 MG,260066,
FC-1BF03D35,440393,143,ACETONIDO DE FLUOCINOLONA CMA,2601201,
FC-5BC5F234,440393,144,FLUCONAZOL 1 CAPS 150 MG,U25N344,
FC-A2B284E0,440393,145,HIALURONATO DE SODIO 4MG 10 ML,26161P,
FC-2E79C2D8,440393,146,HIERRO DEX 3 AMP 100 MG/2 ML,B25T405,
FC-28A424E5,440393,147,DIZIVER 20 TAB 25 MG,261313,
FC-52D2A43A,440393,148,ZUKEDIB 30 TAB 2 MG,R25126048,
FC-3D0ED22B,440393,149,ZUKEDIB 30 TAB 4 MG,R2506781,
FC-04D83B46,440393,150,PRALEX 28 TAB 10 MG,6D064G,
FC-D11D586A,440393,151,VALGAB 3 IBE 50MG/6ML,L2K501,
FC-53506FA4,440393,152,ENALAPRIL 30 TAB 10 MG,6N50A,
FC-F7DB080D,440393,153,OVISEN 28 TAB 20 MG,SC2617,
FC-FD92D114,440393,154,OVISEN 14 TAB 20 MG,SC2622,
