"SKU","Codigo_Barras","Nombre","Categoria","Tipo","Stock","Stock_Minimo","Precio_Venta","Costo","Proveedor","Lote","Fecha_Caducidad","Descuento_Porcentaje","Marca_Comercial","Principio_Activo","Concentracion","Presentacion","Contenido_Caja","Linea_Comercial","Grupo_Farmacologico","Jerarquia","SKU_Casa_Saba","Stock_Maximo","Notas"
"FC-65054029","7501065054029","Tums surtido tabletas masticables C/48","Gastro","marca","2","2","137.00","85.26","Farmalive","RX-FARMALIVE-20260821-11590","","0","Tums","Carbonato de calcio","","Caja con 48 tabletas masticables","","","","","","","Ticket Farmalive 11590 · ≠ Tums 8 tab FC-65054135 EAN 7501065054043"
"FC-19064807","7501019064807","Tena Pants Comfort grande C/13","Higiene","marca","1","1","182.00","113.62","Farmalive","RX-FARMALIVE-20260821-11590","","0","Tena","","","Bolsa con 13 pants talla grande","","","","","","","Ticket Farmalive 11590 · Essity"
"FC-43517980","7500435179980","Oral-B enjuague bucal 100% 250 mL","Cuidado personal","marca","2","2","77.00","47.79","Farmalive","RX-FARMALIVE-20260821-11590","","0","Oral-B","","","Botella 250 mL","","","","","","","Ticket Farmalive 11590"
"FC-51037878","7891051037878","Oral-B enjuague bucal Complete 250 mL","Cuidado personal","marca","2","2","76.00","47.50","Farmalive","RX-FARMALIVE-20260821-11590","","0","Oral-B","","","Botella 250 mL","","","","","","","Ticket Farmalive 11590 · distinto del Oral-B 100%"
"FC-74305449","5000174305449","Fixodent Original crema dental 40 mL","Cuidado personal","marca","2","2","150.00","93.30","Farmalive","RX-FARMALIVE-20260821-11590","","0","Fixodent","","","Tubo 40 mL","","","","","","","Ticket Farmalive 11590 · adhesivo para dentadura"
"FC-08006033","020800600330","Tampax Super C/10","Higiene","marca","1","1","69.00","43.12","Farmalive","RX-FARMALIVE-20260821-11590","","0","Tampax","","","Caja con 10 tampones super","","","","","","","Ticket Farmalive 11590 · UPC 12 dígitos 020800600330"
