estado,match,sku,nombre,marca,categoria,ean,src,off_name,brands,img
"HIT","coincide","FC-33950100","Ensure chocolate","Ensure","Suplemento","7501033954061","openfoodfacts","Fórmula para alimentación Ensure Clásico enteral especializada sabor vainilla","Ensure","https://images.openfoodfacts.org/images/products/750/103/395/4061/front_en.4.400.jpg"
"HIT","coincide","FC-33950070","Ensure vainilla","Ensure","Suplemento","7501033954085","openfoodfacts","Ensure","","https://images.openfoodfacts.org/images/products/750/103/395/4085/front_es.6.400.jpg"
"HIT","coincide","EQ-RAD100","Fenazopiridina 1 Fco 20 Tab 100 Mg","Randall","Medicamentos","7501384545659","openfoodfacts","fenazopiridina","","https://images.openfoodfacts.org/images/products/750/138/454/5659/front_es.3.400.jpg"
"HIT","coincide","FC-42326414","Garnier agua micelar De Rosas","Garnier","Cuidado personal","3600542326414","openbeautyfacts","Agua micelar con rosas","Garnier","https://images.openbeautyfacts.org/images/products/360/054/232/6414/front_en.7.400.jpg"
"HIT","coincide","FC-00942760","Gel Nivea facial hidratante hialurónico","Nivea","Cuidado personal","4005900942760","openbeautyfacts","gel refrescante hidratante","Nivea","https://images.openbeautyfacts.org/images/products/400/590/094/2760/front_es.4.400.jpg"
"HIT","coincide","FC-33956140","Glucerna fresa","Glucerna","Suplemento","7501033956140","openfoodfacts","Glucerna","Abbott","https://images.openfoodfacts.org/images/products/750/103/395/6140/front_es.3.400.jpg"
"HIT","coincide","FC-58715517","Graneodin B Frambuesa","Graneodin","GENERAL","7501095409004","openfoodfacts","Graneodin B","","https://images.openfoodfacts.org/images/products/750/109/540/9004/front_es.3.400.jpg"
"HIT","coincide","FC-87154871","Graneodin F (flurbiprofeno)","Graneodin","Analgésico","7501058715487","openfoodfacts","Graneodin f","","https://images.openfoodfacts.org/images/products/750/105/871/5487/front_en.3.400.jpg"
"HIT","coincide","FC-28979502","Histiacil NF adulto jarabe","Histiacil Opella","Respiratorio","7501328979502","openfoodfacts","Histiacil","","https://images.openfoodfacts.org/images/products/750/132/897/9502/front_en.3.400.jpg"
"HIT","coincide","FC-84154058","Jaloma Bebé vaselina lavanda 60 g","Jaloma","Cuidado personal","759684154058","openbeautyfacts","vaselina blanca para bebe","jaloma","https://images.openbeautyfacts.org/images/products/075/968/415/4058/front_es.4.400.jpg"
"HIT","coincide","FC-58611420","Leche en Polvo Nutri Rindes","Nestle","Abarrotes","7501058611420","openfoodfacts","Leche en polvo","Nestlé","https://images.openfoodfacts.org/images/products/750/105/861/1420/front_es.6.400.jpg"
"HIT","coincide","FC-92821171","Leche en polvo Nutri Rindes","Nestle","Abarrotes","7501059282117","openfoodfacts","nutrí rinde","Nestlé","https://images.openfoodfacts.org/images/products/750/105/928/2117/front_en.5.400.jpg"
"HIT","coincide","FC-E826D304","Lincomicina /2Ml 6 Ampolletas","Lincomicina","Analgésico","7501349021983","openfoodfacts","LINCOMICINA","","https://images.openfoodfacts.org/images/products/750/134/902/1983/front_es.3.400.jpg"
"HIT","coincide","FC-50002301","Neo-Melubrina metamizol tabletas C/10","Neo-Melubrina","Otro","7501165000230","openfoodfacts","metamizol sódico","","https://images.openfoodfacts.org/images/products/750/116/500/0230/front_en.3.400.jpg"
"HIT","coincide","FC-58616678","Nestum Cereal Infantil Arroz","Nestum","Abarrotes","7501058616678","openfoodfacts","Nestum Cereal Infantil Arroz","Nestlé","https://images.openfoodfacts.org/images/products/750/105/861/6678/front_es.5.400.jpg"
"HIT","coincide","FC-9233072","Nido Kinder 1+ bolsa 144 g","Nido","Abarrotes","7501059233072","openfoodfacts","leche Nido","Nestlé","https://images.openfoodfacts.org/images/products/750/105/923/3072/front_es.5.400.jpg"
"HIT","coincide","FC-08837311","Nivea Antitransp Pearlb Spray","Nivea","Higiene","4005808837311","openbeautyfacts","Nivea Anti-Perspirant (Pearl & Beauty)","Nivea","https://images.openbeautyfacts.org/images/products/400/580/883/7311/front_en.27.400.jpg"
"HIT","coincide","FMX-502376","Norapred Tabletas 50 Mg C/20","NORAPRED","Medicamentos","7501537102395","openfoodfacts","norapred","","https://images.openfoodfacts.org/images/products/750/153/710/2395/front_es.4.400.jpg"
"HIT","coincide","FC-09760541","Normex leche de magnesia 8.5 g/100 mL","Quifa","Medicamentos","7501109760541","openfoodfacts","leche de magnesia","","https://images.openfoodfacts.org/images/products/750/110/976/0541/front_es.3.400.jpg"
"HIT","coincide","FC-01163983","Old Spice Fresh barra desodorante","Old Spice","Higiene","7501001163983","openbeautyfacts","old spice fresh","","https://images.openbeautyfacts.org/images/products/750/100/116/3983/front_en.3.400.jpg"
"HIT","coincide","FC-09839202","Old Spice Wolfthorn barra desodorante","Old Spice","Higiene","7506309839202","openbeautyfacts","desodorante wolfthorn","old spice","https://images.openbeautyfacts.org/images/products/750/630/983/9202/front_en.3.400.jpg"
"HIT","coincide","FC-33950063","Pediasure fresa","Pediasure","Suplemento","7501033956331","openfoodfacts","Pediasure","Abbott","https://images.openfoodfacts.org/images/products/750/103/395/6331/front_es.5.400.jpg"
"HIT","coincide","FC-00753067","Pepto-Bismol Suspension 118 ml","Pepto-Bismol","Gastro","020800753067","openfoodfacts","Pepto-Bismol  525mg/30ml.","","https://images.openfoodfacts.org/images/products/002/080/075/3067/front_es.4.400.jpg"
"HIT","coincide","FC-26291475","Pharmafil LP (Teofilina) 100 mg liberación prolongada","Alpharma","Medicamentos","7502226291475","openfoodfacts","teofilina","","https://images.openfoodfacts.org/images/products/750/222/629/1475/front_es.4.400.jpg"
"HIT","coincide","FC-49024175","Pioglitazona 30 mg AMSA","","Diabetes","7501349024175","openfoodfacts","pioglitazona","","https://images.openfoodfacts.org/images/products/750/134/902/4175/front_es.3.400.jpg"
"HIT","coincide","EQ-ULT146","Pioglitazona 7 Tab 15 Mg","","Diabetes","7502216796737","openfoodfacts","pioglitazona","","https://images.openfoodfacts.org/images/products/750/221/679/6737/front_es.3.400.jpg"
"HIT","coincide","FC-8421321","Redoxon 1g Naranja","Redoxon","Vitaminas","7501008409527","openfoodfacts","Redoxon","","https://images.openfoodfacts.org/images/products/750/100/840/9527/front_en.5.400.jpg"
"HIT","coincide","FC-92730451","Riopan Sobres","Riopan","Gastro","7501092793045","openfoodfacts","Riopan","","https://images.openfoodfacts.org/images/products/750/109/279/3045/front_en.3.400.jpg"
"HIT","coincide","FC-95451096","Sal de uvas","Picot","Gastro","7501095451096","openfoodfacts","sal de uvas","picot","https://images.openfoodfacts.org/images/products/750/109/545/1096/front_es.10.400.jpg"
"HIT","coincide","FC-84095411","Saridon","BAYER","Analgésico","7501008409541","openfoodfacts","Saridon","","https://images.openfoodfacts.org/images/products/750/100/840/9541/front_es.6.400.jpg"
"HIT","coincide","FC-06234062","Sedal Anti Nudos","Sedal","Cuidado personal","7506306234062","openbeautyfacts","sedal","","https://images.openbeautyfacts.org/images/products/750/630/623/4062/front_en.4.400.jpg"
"HIT","coincide","FC-46073040","Shampoo Caprice biotina fuerza","Caprice","Higiene","7509546073040","openbeautyfacts","caprice fuerza crecimiento","palmolive","https://images.openbeautyfacts.org/images/products/750/954/607/3040/front_en.3.400.jpg"
"HIT","coincide","FC-46073156","Shampoo Caprice natural manzana","Caprice","Higiene","7509546073156","openbeautyfacts","Palmolive Caprice Naturals","","https://images.openbeautyfacts.org/images/products/750/954/607/3156/front_en.4.400.jpg"
"HIT","coincide","FC-35020077","Shampoo Head & Shoulders Alivio Refrescante","Head & Shoulders","Higiene","7500435020077","openbeautyfacts","Head shoulders alivio refrescante 180ml","","https://images.openbeautyfacts.org/images/products/750/043/502/0077/front_en.3.400.jpg"
"HIT","coincide","FC-35231244","Shampoo Head & Shoulders Anti Comezon","Head & Shoulders","Higiene","7500435231244","openbeautyfacts","Champú head shoulder","head shoulder","https://images.openbeautyfacts.org/images/products/750/043/523/1244/front_en.3.400.jpg"
"HIT","coincide","FC-07457796","Shampoo Pantene Brillo Extremo","Pantene","Higiene","7501007457796","openbeautyfacts","Shampu Brillo Xtremo","PANTENE","https://images.openbeautyfacts.org/images/products/750/100/745/7796/front_es.10.400.jpg"
"HIT","coincide","FC-06249776","Shampoo Sedal Ceramidas","Sedal","Higiene","7506306249776","openbeautyfacts","Sedal ceramidas","","https://images.openbeautyfacts.org/images/products/750/630/624/9776/front_en.3.400.jpg"
"HIT","coincide","FC-33956775","Suero Pedialyte Sr Uva","Pedialyte","Bebidas","7501033956775","openfoodfacts","pedialyte","pedialyte","https://images.openfoodfacts.org/images/products/750/103/395/6775/front_en.3.400.jpg"
"HIT","coincide","FC-08499689","Tabcin Active C/12","Tabcin","Respiratorio","7501008499689","openfoodfacts","Tabcin active","","https://images.openfoodfacts.org/images/products/750/100/849/9689/front_en.3.400.jpg"
