linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,S325583,2026-09-24,Cityfarma Iztapalapa,4015630064076,ACCU CHEK C50 TIRAS,1,261.09,261.09,,,FC-30064076,1051.12,ya
2,S325583,2026-09-24,Cityfarma Iztapalapa,7501008494226,ASPIRINA JR 100MG 60,1,65.59,65.59,,,FC-08494226,1051.12,ya
3,S325583,2026-09-24,Cityfarma Iztapalapa,7502001166066,BARMICIL 40G SONS BE,5,19.82,99.10,,,FC-01166066,1051.12,ya
4,S325583,2026-09-24,Cityfarma Iztapalapa,7502308871274,BAUMA MUNECA KF 75DP,1,438.22,438.22,,,FC-08871274,1051.12,alta
5,S325583,2026-09-24,Cityfarma Iztapalapa,7501075710786,CIRULAN 10MG C 20 TA,4,7.57,30.28,,,EQ-NOV004,1051.12,ya
6,S325583,2026-09-24,Cityfarma Iztapalapa,7502225094275,HIPEBE O 4MG CAP C20,4,33.71,134.84,,,FC-25094275,1051.12,alta
7,S325583,2026-09-24,Cityfarma Iztapalapa,7501573902720,MENAZAN CRA 20G MICO,2,11.00,22.00,,,FC-73902720,1051.12,alta
