linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,14173,2026-09-21,Farmalive,7506306215689,GEL EGO ALFA CONT CAIDA 200 ML | UNILEVER,3,17.21,51.63,,,FC-06215689,1538.69,alta
2,14173,2026-09-21,Farmalive,7501033956331,PEDIASURE PLUS LIQ FRESA 237 ML | ABBOTT,2,46.08,92.16,,,FC-33950063,1538.69,ya
3,14173,2026-09-21,Farmalive,7501033956317,PEDIASURE PLUS LIQ CHOCOLATE 237 ML | ABBOTT,2,46.08,92.16,,,FC-33951008,1538.69,ya
4,14173,2026-09-21,Farmalive,7501033956294,PEDIASURE PLUS LIQ VAINILLA 237 ML | ABBOTT,2,46.08,92.16,,,FC-33950209,1538.69,ya
5,14173,2026-09-21,Farmalive,7501033954085,ENSURE LIQ VAINILLA 237 ML | ABBOTT,4,42.63,170.52,,,FC-33954085,1538.69,ya
6,14173,2026-09-21,Farmalive,7501033954061,ENSURE LIQ CHOCOLATE 237 ML | ABBOTT,4,42.63,170.52,,,FC-33954061,1538.69,ya
7,14173,2026-09-21,Farmalive,7501019006647,TOA SANIT SABA U DELGADA NOCT C/A 10 | SCA,2,29.83,59.66,,,FC-19006647,1538.69,alta
8,14173,2026-09-21,Farmalive,6502400744552,SUEROX 8 IONES UVA MORA AZUL 630 ML | GENOMMA LAB,2,14.73,29.46,,,FC-40074455,1538.69,ya
9,14173,2026-09-21,Farmalive,6502400322571,SUEROX 8 IONES MANZANA 630 ML | GENOMMA LAB,2,14.73,29.46,,,FC-00322571,1538.69,ya
10,14173,2026-09-21,Farmalive,7501048607214,SUEROX VITAMINS NARANJA-MANGO 630 ML | GENOMMA LAB,2,14.73,29.46,,,FC-00721471,1538.69,ya
11,14173,2026-09-21,Farmalive,6502400322712,SUEROX 8 IONES UVA 630 ML | GENOMMA LAB,2,14.73,29.46,,,FC-40032271,1538.69,ya
12,14173,2026-09-21,Farmalive,6502400721541,SUEROX VITAMINS MANZANA V-LIMON 630 ML | GENOMMA LAB,2,14.73,29.46,,,FC-00721541,1538.69,ya
13,14173,2026-09-21,Farmalive,7500435231237,SHAM HEAD & S ANTI-COMEZON 375 ML | PG PERF,1,86.07,86.07,,,FC-35231237,1538.69,ya
14,14173,2026-09-21,Farmalive,7500435162586,SHAM HEAD & S PROT CAIDA 650 ML | PG PERF,1,123.03,123.03,,,FC-35162586,1538.69,alta
15,14173,2026-09-21,Farmalive,7500435249348,SHAM HEAD & S ANTI RESEQUEDAD 375 ML | PG PERF,1,86.07,86.07,,,FC-35249348,1538.69,alta
16,14173,2026-09-21,Farmalive,7891051037878,ENJ BUCAL ORAL B COMPLET 250 ML | PG PERF,2,47.75,95.50,,,FC-51037878,1538.69,ya
17,14173,2026-09-21,Farmalive,7500435231244,SHAM HEAD & S ANTI-COMEZON 180 ML | PG PERF,2,39.43,78.86,,,FC-35231244,1538.69,ya
18,14173,2026-09-21,Farmalive,7503003406181,CINTA MICROPOR QUIRMEX BCO 2.5CMX10M | QUIRMEX,2,16.83,33.66,,,FC-03406181,1538.69,alta
19,14173,2026-09-21,Farmalive,7506022301789,JERINGA SENSIMEDICAL 3 ML AZUL C/100 | JAYOR,1,159.50,159.50,,,FC-22301789,1538.69,alta
