archivo,par,lado,detectado,ean,todos,ok_ean
0046_a_portada.jpg,0046,PORTADA,PORTADA,,,
0046_b_codigo.jpg,0046,CODIGO,CODIGO,7502227425008,7502227425008,si
0047_a_portada.jpg,0047,PORTADA,PORTADA,,,
0047_b_codigo.jpg,0047,CODIGO,CODIGO,7502009749421,7502009749421,si
0048_a_portada.jpg,0048,PORTADA,PORTADA,,,
0048_b_codigo.jpg,0048,CODIGO,CODIGO,008400005823,008400005823,si
0049_a_portada.jpg,0049,PORTADA,PORTADA,,,
0049_b_codigo.jpg,0049,CODIGO,CODIGO,7502006922728,7502006922728,si
0050_a_portada.jpg,0050,PORTADA,PORTADA,,,
0050_b_codigo.jpg,0050,CODIGO,CODIGO,7501349020337,7501349020337,si
0051_a_portada.jpg,0051,PORTADA,PORTADA,,,
0051_b_codigo.jpg,0051,CODIGO,CODIGO,7502226291475,7502226291475,si
0052_a_portada.jpg,0052,PORTADA,PORTADA,,,
0052_b_codigo.jpg,0052,CODIGO,CODIGO,780083144807,780083144807,si
0053_a_portada.jpg,0053,PORTADA,PORTADA,,,
0053_b_codigo.jpg,0053,CODIGO,CODIGO,785118753597,785118753597,si
0054_a_portada.jpg,0054,PORTADA,PORTADA,,,
0054_b_codigo.jpg,0054,CODIGO,CODIGO,7501836000828,7501836000828,si
0055_a_portada.jpg,0055,PORTADA,PORTADA,,,
0055_b_codigo.jpg,0055,CODIGO,CODIGO,7501547521025,7501547521025,si
0056_a_portada.jpg,0056,PORTADA,PORTADA,,,
0056_b_codigo.jpg,0056,CODIGO,CODIGO,7501109790739,7501109790739,si
0057_a_portada.jpg,0057,PORTADA,PORTADA,,,
0057_b_codigo.jpg,0057,CODIGO,CODIGO,7501109790029,7501109790029,si
0058_a_portada.jpg,0058,PORTADA,PORTADA,,,
0058_b_codigo.jpg,0058,CODIGO,CODIGO,7501109760541,7501109760541,si
0059_a_portada.jpg,0059,PORTADA,PORTADA,,,
0059_b_codigo.jpg,0059,CODIGO,CODIGO,7501075710113,7501075710113,si
0060_a_portada.jpg,0060,PORTADA,PORTADA,,,
0060_b_codigo.jpg,0060,CODIGO,CODIGO,7502001165298,7502001165298,si
0061_a_portada.jpg,0061,PORTADA,PORTADA,,,
0061_b_codigo.jpg,0061,CODIGO,CODIGO,7502009747779,7502009747779,si
0062_a_portada.jpg,0062,PORTADA,PORTADA,,,
0062_b_codigo.jpg,0062,CODIGO,CODIGO,7502009747168,7502009747168,si
0063_a_portada.jpg,0063,PORTADA,PORTADA,,,
0063_b_codigo.jpg,0063,CODIGO,CODIGO,7501075717914,7501075717914,si
0064_a_portada.jpg,0064,PORTADA,PORTADA,,,
0064_b_codigo.jpg,0064,CODIGO,CODIGO,7501825304142,7501825304142,si
0065_a_portada.jpg,0065,PORTADA,PORTADA,,,
0065_b_codigo.jpg,0065,CODIGO,CODIGO,7502009740268,7502009740268,si
0066_a_portada.jpg,0066,PORTADA,PORTADA,,,
0066_b_codigo.jpg,0066,CODIGO,CODIGO,7502009745393,7502009745393,si
0067_a_portada.jpg,0067,PORTADA,PORTADA,,,
0067_b_codigo.jpg,0067,CODIGO,CODIGO,7502009740657,7502009740657,si
0068_a_portada.jpg,0068,PORTADA,PORTADA,,,
0068_b_codigo.jpg,0068,CODIGO,CODIGO,7501075723830,7501075723830,si
0069_a_portada.jpg,0069,PORTADA,PORTADA,,,
0069_b_codigo.jpg,0069,CODIGO,CODIGO,7501825300373,7501825300373,si
0070_a_portada.jpg,0070,PORTADA,PORTADA,,,
0070_b_codigo.jpg,0070,CODIGO,PORTADA,,,
0071_b_codigo.jpg,0071,CODIGO,CODIGO,7502001163232,7502001163232,si
0072_a_portada.jpg,0072,PORTADA,PORTADA,,,
0072_b_codigo.jpg,0072,CODIGO,CODIGO,7502208895042,7502208895042,si
0073_a_portada.jpg,0073,PORTADA,PORTADA,,,
