linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,12949,2026-09-18,Farmalive,7502234762417,NAILEX DESENTERRADOR UÑAS 12 ML | LAB PISA,2,54.49,108.98,,,FC-47624171,1730.09,ya
2,12949,2026-09-18,Farmalive,7501943474895,PAÑAL DIAPRO PREDOBLADO C/10 | KIMBERLY CLARK,2,76.93,153.86,,,FC-43474895,1730.09,alta
3,12949,2026-09-18,Farmalive,7501095452178,TEMPRA INF 80 MG TAB C/30 | RB HEALTH,2,97.41,194.82,,,FC-95452178,1730.09,alta
4,12949,2026-09-18,Farmalive,7502240451015,ROSEL SOL PED 30 ML | WERMAR,2,26.51,53.02,,,FC-40451015,1730.09,alta
5,12949,2026-09-18,Farmalive,7503003738879,ROSEL-T TAB C/15 | WERMAR,4,19.81,79.24,,,FC-03738879,1730.09,ya
6,12949,2026-09-18,Farmalive,7501537164713,IV TRIBEDOCE COMPUESTO GRA C/30 | BRULUART,4,40.48,161.92,,,FC-37164713,1730.09,ya
7,12949,2026-09-18,Farmalive,780083148676,AMPIGRIN PFC CAPS C/24 | COLLINS,2,28.83,57.66,,,FC-83148676,1730.09,alta
8,12949,2026-09-18,Farmalive,650240072925,LAKESIA SOLUCION 3 ML | GENOMMA LAB,2,149.55,299.10,,,FC-40072925,1730.09,alta
9,12949,2026-09-18,Farmalive,7502227870716,VYLKOR 8 MG TAB C/10 | RAAM,3,55.53,166.59,,,FC-27870716,1730.09,alta
10,12949,2026-09-18,Farmalive,7503003738404,ROSEL CAPS C/24 | WERMAR,3,25.58,76.74,,,EQ-WER025,1730.09,ya
11,12949,2026-09-18,Farmalive,7502240450902,WERNICROS 75 MG C/10 CAP | WERMAR,2,116.25,232.50,,,FC-40450902,1730.09,alta
12,12949,2026-09-18,Farmalive,7502208891549,TARMIN 2 MG C/12 TAB | BRULUAGSA,8,5.72,45.76,,,FC-88915491,1730.09,ya
13,12949,2026-09-18,Farmalive,7501019068911,PROTECTORES SABA TRADICIONAL LARGO C/28 | SCA,4,24.99,99.96,,,FC-19068911,1730.09,ya
