linea,folio,fecha,proveedor,ean,sku,descripcion_ticket,cantidad_mostrador,costo_unitario,subtotal,total_ticket
1,T280034008,2026-09-15,Dulcería La Victoria,,FC-LV-HALLSX12,HALLS EXTRA STRONG 30/12PZ,12,6.1667,74.00,223.20
2,T280034008,2026-09-15,Dulcería La Victoria,,FC-LV-SKITTLES24,"SKITTLES ORIGINAL, 24/10PZ.",48,3.1083,149.20,223.20
