"SKU","Codigo_Barras","Nombre","Categoria","Tipo","Stock","Stock_Minimo","Precio_Venta","Costo","Proveedor","Lote","Fecha_Caducidad","Descuento_Porcentaje","Marca_Comercial","Principio_Activo","Concentracion","Presentacion","Contenido_Caja","Linea_Comercial","Grupo_Farmacologico","Jerarquia","SKU_Casa_Saba","Stock_Maximo","Notas"
"EQ-BEA267","7501342802749","Sildenafil beadvance 50 mg 1 tableta","Medicamentos","generico","4","4","8.00","4.90","Levic","ECM297C","","0","beadvance","Sildenafil","50 mg","1 tableta","","","","","BEA267","","Factura Levic 9012078353 · ≠ Sildenafil C/4 100 mg EQ-ULT145 · ≠ Figral C/10"
"EQ-BIO212","7501573909958","Colchicina 30 Tab 1 Mg","Medicamentos","generico","2","2","50.00","31.24","Levic","SD2602","","0","Biomep","Colchicina","1 mg","Caja con 30 tabletas","","","","","BIO212","","Factura Levic 9012078353 · ya existía EQ-BIO212"
"FC-83351381","7501048335138","Agua oxigenada Dermocleen 100 mL","Botiquín","marca","2","2","13.00","8.08","Levic","3A206030","","0","Dermocleen","Peróxido de hidrógeno","2.5 a 3.5%","Frasco 100 mL","","","","","DES016","","Factura Levic 9012078353 · ya existía FC-83351381 (a veces listado como Protec)"
"FC-83351691","7501048335169","Agua oxigenada Dermocleen 230 mL","Botiquín","marca","2","2","19.00","11.57","Levic","3A196054","","0","Dermocleen","Peróxido de hidrógeno","2.5 a 3.5%","Frasco 230 mL","","","","","DES017","","Factura Levic 9012078353 · ya existía FC-83351691 · ≠ 100 mL"
"EQ-MAV236","7502009745478","Ideliver Pro duloxetina 60 mg C/14","Medicamentos","marca","4","2","102.00","63.74","Levic","283429","","0","Maver","Duloxetina","60 mg","Caja con 14 tabletas","","","","","MAV236","","Factura Levic 9012078353 · ya existía EQ-MAV236 · costo subió; PVP 96→102"
"EQ-QUI139","7501109769063","Agecaps minoxidil hombre 5% solución 60 mL","Cuidado personal","marca","1","1","240.00","150.00","Levic","26C063","","0","Agecaps","Minoxidil","5%","Frasco 60 mL","","","","","QUI139","","Factura Levic 9012078353 · Química y Farmacia · PMP $600"
"FC-C9F4ACCC","7502216800984","Acemetacina 14 cáps 90 mg","Analgésico","generico","2","2","84.00","52.31","Levic","68N323A","","0","Ultra","Acemetacina","90 mg","Caja con 14 cápsulas","","","","","ULT201","","Factura Levic 9012078353 · ya existía FC-C9F4ACCC · pegar EAN si faltaba"
