pagina,seccion,descripcion,clave,cantidad,unidad,precio_publico,importe
1,MAYOREO,POMADA REOMATOLUM DEL VIEJITO 60G,,1.00,PIEZA,20.00,20.00
1,MAYOREO,ARFAM LAVA OJOS VIDRIO ABR56,81606,2.00,PIEZA,11.00,22.00
1,MAYOREO,ESENCIA DE CLAVO HERBOTEC 10ML. 0004,84373,3.00,PIEZA,10.00,30.00
1,MENUDEO,MERCURIO ESPIRITUS UNTAR C/25 1770823,83156,3.00,PIEZA,6.00,18.00
1,MENUDEO,MERCURIO ESPIRITUS TOMAR C/25 1760823,83156,3.00,PIEZA,6.00,18.00
1,MENUDEO,MERCURIO ACEITE OLIVO C/25 1000625,83825,3.00,PIEZA,8.00,24.00
1,MENUDEO,MERCURIO GLICERINA C/25 1230723,83125,3.00,PIEZA,12.00,36.00
1,MENUDEO,MERCURIO JARABE DE GRANADA C/25 1750823,83156,3.00,PIEZA,7.00,21.00
1,MENUDEO,MERCURIO ACEITE RICINO C/25 1120623,83095,3.00,PIEZA,9.50,28.50
1,MENUDEO,MERCURIO ACEITE COCO C/25 800523,83064,5.00,PIEZA,8.00,40.00
1,MENUDEO,MERCURIO ACEITE ALMENDRAS C/25 790523,83064,5.00,PIEZA,8.00,40.00
1,MENUDEO,MERCURIO ACEITE ROMERO C/25 1910923,83187,3.00,PZ,8.00,24.00
1,MENUDEO,KOHN MERTIOLATE ROJO C/25 012023,82912,5.00,PIEZA,9.00,45.00
1,MENUDEO,MADRID ACEITE EUCALIPTO C/25 2712017,83407,3.00,PZ,11.00,33.00
1,MENUDEO,MERCURIO ARNICA UNTAR C/25 1790823,83156,3.00,PIEZA,7.50,22.50
1,MENUDEO,MERCURIO ARNICA TOMAR C/25 1780823,83156,3.00,PZ,7.50,22.50
1,MENUDEO,MERCURIO YODO UNTAR C/25 1810823,83156,3.00,PIEZA,11.50,34.50
2,MENUDEO,MERCURIO ACEITE GOMENOLADO C/25 1160623,83095,3.00,PZ,8.00,24.00
2,MENUDEO,MERCURIO YODO TOMAR C/25 1800823,83156,3.00,PZ,11.00,33.00
