linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,445246,2026-09-21,Equilibrio,7502216806474,ULT230 LEVONORGESTREL 1 TAB 1.5 MG,5,15.61,78.05,,,EQ-ULT230,1612.20,ya
2,445246,2026-09-21,Equilibrio,785118754259,MAI157 SUPRATEX 1 JBE 600 MG 120 ML,3,41.30,123.90,,,FC-18754259,1612.20,ya
3,445246,2026-09-21,Equilibrio,7502213042325,HIS075 TERFHICID 40 CAPS 100 MG,3,46.05,138.15,,,EQ-HIS075,1612.20,ya
4,445246,2026-09-21,Equilibrio,7501249605634,IFA002 POSTDAY 2 COMP 0.75 MG,9,48.57,437.13,,,FC-49605634,1612.20,alta
5,445246,2026-09-21,Equilibrio,7501125100116,PIS103 SOLUCION CLORURO DE SODIO 0.9%/250 ML,3,26.50,79.50,,,FC-25100116,1612.20,ya
6,445246,2026-09-21,Equilibrio,7503003406327,QIR002 ALGODON PLISADO 1 BOL 50 G,3,8.23,24.69,,,FC-03406327,1612.20,alta
7,445246,2026-09-21,Equilibrio,7502009740992,MAV111 CLAMOXIN 10 TAB 500/125 MG,2,48.51,97.02,,,FC-5F30F9D4,1612.20,ya
8,445246,2026-09-21,Equilibrio,7502226291857,ALP0559 DOXICICLINA 10 TAB 100 MG,3,29.08,87.24,,,FC-26291857,1612.20,alta
9,445246,2026-09-21,Equilibrio,7502009745836,MAV266 BERNIVER 2% 1 UNG 15 G,3,76.79,230.37,,,EQ-MAV266,1612.20,ya
10,445246,2026-09-21,Equilibrio,7502004401454,OFF010 DEXNE OFTALMICO 1 GOT 500/100MG/5 ML,2,33.74,67.48,,,EQ-OFF010,1612.20,ya
11,445246,2026-09-21,Equilibrio,7501342803807,BEA368 NIFEDIPINO 30 COMP 30 MG,5,39.23,196.15,,,EQ-BEA368,1612.20,ya
12,445246,2026-09-21,Equilibrio,7501249605634,IFA002 POSTDAY 2 COMP 0.75 MG,1,48.57,48.57,,,FC-49605634,1612.20,alta
