producto_id,sku,ean,nombre_fc,oficial,permalink,foto,motivo
1129,FMX-307574,759684154935,"Aceite bebé Jaloma lavanda 120 ml","Aceite para bebé, aroma lavanda 120 ml",https://jaloma.com.mx/product/aceite-para-bebe-aroma-lavanda120-ml/,https://jaloma.com.mx/wp-content/uploads/2025/04/Copia-de-115493.png,nombre+presentacion 120 ml
1102,FMX-301516,759684154881,"Aceite bebé Jaloma manzanilla y caléndula 120 ml","Aceite para bebé, con manzanilla y caléndula 120 ml",https://jaloma.com.mx/product/aceite-para-bebe-con-manzanilla-y-calendula120-ml/,https://jaloma.com.mx/wp-content/uploads/2025/04/Copia-de-115488.png,nombre+presentacion 120 ml
278,FC-84437151,7596844371510,"Acetona Jaloma mediano","Acetona 120 ml",https://jaloma.com.mx/product/acetona120-ml/,https://jaloma.com.mx/wp-content/uploads/2025/03/Acetona-frasco-120-ml.png,EAN 759684437151 = Acetona Jaloma 120 ml
734,FC-84154058,759684154058,"Jaloma Bebé vaselina lavanda 60 g","Vaselina blanca para bebé, aroma lavanda 60 g",https://jaloma.com.mx/product/vaselina-blanca-para-bebe-aroma-lavanda60-g/,https://jaloma.com.mx/wp-content/uploads/2025/04/Copia-de-115409.png,nombre+presentacion 60 g
732,FC-84273094,759684273094,"Jaloma Kiuts hisopos biodegradables C/50","Kiuts Biodegradables, tarro 50 piezas",https://jaloma.com.mx/product/kiuts-biodegradables-tarro50-piezas/,https://jaloma.com.mx/wp-content/uploads/2025/04/Copia-de-Copia-de-Kiuts-Multiaplicadores-tarro-18x50-pz.png,nombre+50 piezas
