producto_id,sku,codigo_barras,nombre,marca_actual,presentacion,estado,url_imagen,pagina_origen,fuente,confianza,licencia,nombre_oficial,presentacion_oficial,hotlink,nota
7276,FC-91913372,3700591913372,Patyka Locion Purificante Anti-Imperfecciones,Senti2,200 ml,REVISAR_VISUALMENTE,https://cdn.shopify.com/s/files/1/2139/2967/files/Soin_Cible_Stop-Boutons_-_Packshot.jpg?v=1754989793,https://patyka.com/products/soin-cible-stop-boutons,patyka.com,EAN_EXACTO_TAMAÑO_DISTINTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Soin Ciblé Stop-Boutons,15 ml,200,"barcode de la variante = EAN del catálogo; el EAN es de «Soin Ciblé Stop-Boutons» 15 ml, el catálogo dice «Patyka Locion Purificante Anti-Imperfecciones» 200 ml"
7277,FC-91914904,3700591914904,Patyka Crema Solar Facial SPF30,Senti2,40 ml,EAN_EXACTO,https://cdn.shopify.com/s/files/1/2139/2967/files/CremeSolaireSPF30Visage-Packshot.jpg?v=1776679058,https://patyka.com/products/creme-solaire-visage-spf30,patyka.com,EAN_EXACTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Crème Solaire Visage SPF30,40ml,200,barcode de la variante = EAN del catálogo
7278,FC-91914935,3700591914935,Patyka Leche Solar Corporal SPF50,Senti2,100 ml,EAN_EXACTO,https://cdn.shopify.com/s/files/1/2139/2967/files/LaitSolaireSPF50-Packshot.jpg?v=1776678053,https://patyka.com/products/spray-solaire-corps-spf50,patyka.com,EAN_EXACTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Lait Solaire Corps SPF50+,100ml,200,barcode de la variante = EAN del catálogo
7279,FC-91915512,3700591915512,Patyka Crema de Manos y Uñas,Senti2,40 ml,EAN_EXACTO,https://cdn.shopify.com/s/files/1/2139/2967/files/Creme_Main_dans_la_Main_-_Packshot.jpg?v=1749567608,https://patyka.com/products/main-dans-la-main-creme-mains-ongles-soin-visage-bio-patyka,patyka.com,EAN_EXACTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Main dans la Main - Crème Mains+Ongles,40 ml,200,barcode de la variante = EAN del catálogo
7676,FC-91900723,3700591900723,Patyka Loción de Tratamiento Alisante,Senti2,100 ml,EAN_EXACTO,https://cdn.shopify.com/s/files/1/2139/2967/files/LotiondeSoinDefroissante-Packshot.jpg?v=1750240518,https://patyka.com/products/lotion-de-soin-defroissante,patyka.com,EAN_EXACTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Lotion de Soin Défroissante,100 ml,200,barcode de la variante = EAN del catálogo
7677,FC-91911279,3700591911279,Patyka Loción Láctea Calmante,Senti2,200 ml,EAN_EXACTO,https://cdn.shopify.com/s/files/1/2139/2967/files/Lotion_Lactee_Apaisante_-_Packshot.jpg?v=1749567450,https://patyka.com/products/lotion-lactee-apaisante,patyka.com,EAN_EXACTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Lotion Lactée Apaisante,200 ml,200,barcode de la variante = EAN del catálogo
7678,FC-91912238,3700591912238,Patyka Crema Hidratante y Calmante Piel Seca,Senti2,40 ml,SIN_CANDIDATA,,,patyka.com,,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,,,,el sitio oficial no devolvió una variante con este EAN
7679,FC-91913341,3700591913341,Patyka Fluido Matificante Anti-Imperfecciones,Senti2,40 ml,REVISAR_VISUALMENTE,https://cdn.shopify.com/s/files/1/2139/2967/files/Serum_Intensif_Anti-Imperfections_Packshot.png?v=1756376813,https://patyka.com/products/serum-intensif-anti-imperfections,patyka.com,EAN_EXACTO_TAMAÑO_DISTINTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Sérum Intensif Anti-Imperfections,30 ml,200,"barcode de la variante = EAN del catálogo; el EAN es de «Sérum Intensif Anti-Imperfections» 30 ml, el catálogo dice «Patyka Fluido Matificante Anti-Imperfecciones» 40 ml"
7680,FC-91914928,3700591914928,Leche Solar Corporal SPF30,Senti2,100 ml,SIN_CANDIDATA,,,patyka.com,,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,,,,el sitio oficial no devolvió una variante con este EAN
7681,FC-91914942,3700591914942,Patyka Gel Crema After Sun,Senti2,150 ml,SIN_CANDIDATA,,,patyka.com,,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,,,,el sitio oficial no devolvió una variante con este EAN
7682,FC-91917516,3700591917516,Patyka Balsamo Labial,Senti2,10 ml,EAN_EXACTO,https://cdn.shopify.com/s/files/1/2139/2967/files/Baume_a_Levres_Bouche_a_Bouche_-_Packshot.jpg?v=1749567608,https://patyka.com/products/bouche-a-bouche,patyka.com,EAN_EXACTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Bouche à Bouche - Baume lèvres,10 ml,200,barcode de la variante = EAN del catálogo
8133,FC-91900358,3700591900358,Patyka Exfoliante Alisante Doble Acción,Senti2,50 ml,REVISAR_VISUALMENTE,https://cdn.shopify.com/s/files/1/2139/2967/files/Patchs_Lift_Regard_360_-_Packshot.jpg?v=1749721113,https://patyka.com/products/patchs-lift-regard-360-anti-age,patyka.com,EAN_EXACTO_TAMAÑO_DISTINTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Patchs Lift Regard 360°,1 utilisation,200,"barcode de la variante = EAN del catálogo; el EAN es de «Patchs Lift Regard 360°» 1 utilisation, el catálogo dice «Patyka Exfoliante Alisante Doble Acción» 50 ml"
8134,FC-91911255,3700591911255,Leche Desmaquillante Calmante,Senti2,150 ml,EAN_EXACTO,https://cdn.shopify.com/s/files/1/2139/2967/files/Huile_Demaquillante_Eclair_-_Packshot.jpg?v=1750422544,https://patyka.com/products/huile-demaquillante-eclair,patyka.com,EAN_EXACTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Huile Démaquillante Éclair,150 ml,200,barcode de la variante = EAN del catálogo
8135,FC-91912221,3700591912221,Patyka Crema Láctea Hidrante y Calmante,Senti2,40 ml,SIN_CANDIDATA,,,patyka.com,,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,,,,el sitio oficial no devolvió una variante con este EAN
8136,FC-91913334,3700591913334,Patyka Gel Limpiador Purificante,Senti2,150 ml,REVISAR_VISUALMENTE,https://cdn.shopify.com/s/files/1/2139/2967/files/Lotion_Purifiante_Perfectrice_Packshot.png?v=1756376718,https://patyka.com/products/lotion-purifiante-perfectrice,patyka.com,EAN_EXACTO_TAMAÑO_DISTINTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Lotion Purifiante Perfectrice,200 ml,200,"barcode de la variante = EAN del catálogo; el EAN es de «Lotion Purifiante Perfectrice» 200 ml, el catálogo dice «Patyka Gel Limpiador Purificante» 150 ml"
8137,FC-91913365,3700591913365,Patyka Tratamiento Localizado Anti-Imperfecciones,Senti2,15 ml,REVISAR_VISUALMENTE,https://cdn.shopify.com/s/files/1/2139/2967/files/MasqueCharbonDesincrustant-Packshot.jpg?v=1751279632,https://patyka.com/products/masque-charbon-desincrustant,patyka.com,EAN_EXACTO_TAMAÑO_DISTINTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Masque Charbon Désincrustant,50 ml,200,"barcode de la variante = EAN del catálogo; el EAN es de «Masque Charbon Désincrustant» 50 ml, el catálogo dice «Patyka Tratamiento Localizado Anti-Imperfecciones» 15 ml"
8138,FC-91914362,3700591914362,Patyka Aceite Corporal Anti Estrias,Senti2,100 ml,EAN_EXACTO,https://cdn.shopify.com/s/files/1/2139/2967/files/Huile_Corps_Anti-Vergetures_-_Packshot.jpg?v=1749567432,https://patyka.com/products/huile-corps-anti-vergetures,patyka.com,EAN_EXACTO,fabricante patyka.com; permiso no verificado; no hotlink en producción; no descargada ni subida a Storage,Huile Corps Anti-Vergetures,100ml,200,barcode de la variante = EAN del catálogo
