linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,445679,2026-09-24,Equilibrio,7502214985805,DKT040 PRUDENCE CHICLE 1 CAJA 5 PZAS,2,46.57,93.14,,,FC-14985805,875.52,ya
2,445679,2026-09-24,Equilibrio,7503004908738,ALP0380 LIDOCAINA 1 UNG 5% 35 G,4,23.33,93.32,,,FC-04908738,875.52,ya
3,445679,2026-09-24,Equilibrio,7501075723137,NOV138 NOVAKOSID 20 TAB 8.6 MG,5,13.93,69.65,,,FC-75723137,875.52,ya
4,445679,2026-09-24,Equilibrio,7502009748912,MAV380 ESOMEPRAZOL 14 TAB 40 MG,2,51.65,103.30,,,EQ-MAV380,875.52,ya
5,445679,2026-09-24,Equilibrio,0780083144302,COL145 COLLIFRIN ADULTO 1 SOL 50MG/20 ML,3,33.69,101.07,,,FC-83144302,875.52,ya
6,445679,2026-09-24,Equilibrio,7502214982491,DKT009 PRUDENCE UVA 1 CJA 3 PZAS,1,34.48,34.48,,,FC-49824911,875.52,ya
7,445679,2026-09-24,Equilibrio,7502214980275,DKT063 PRUDENCE SODA 1 CJA 3 PZA,1,32.96,32.96,,,FC-4980275,875.52,ya
8,445679,2026-09-24,Equilibrio,7502214982514,DKT008 PRUDENCE CHOCOLATE 1 CJA 3 PZAS,1,34.14,34.14,,,FC-14982514,875.52,ya
9,445679,2026-09-24,Equilibrio,7502214983207,DKT023 LUBRICANTE UVA 1 GEL 75 ML,1,72.42,72.42,,,FC-14983207,875.52,ya
10,445679,2026-09-24,Equilibrio,7502009749292,MAV415 ESOMEPRAZOL 28 TAB 40 MG,2,99.15,198.30,,,EQ-MAV415,875.52,ya
