pagina,ean,descripcion,laboratorio,cantidad,precio_lista,importe_bruto,descuento_pct,precio_neto,importe_neto
14,0070942003469,CREMA DENT GEL GUM PAW PATROL 50 GR,SUNSTAR AMERICAS,2,16.90,33.80,2.0,16.56,33.12
14,714706903205,BRONCOLIN PALETA VITROLERO SURTIDO C/50,BRONCOLIN,1,115.00,115.00,2.0,112.70,112.70
14,7501943454811,TOA HUM HUGGIES CUIDADO PURO C/80,KIMBERLY CLARK,1,39.60,39.60,2.0,38.81,38.81
15,7502214982439,COND PRUDENCE RETARDANTE C/3,DKT MEXICO,1,48.60,48.60,9.0,44.23,44.23
15,7502214985348,COND PRUDENCE FULL SENSITIVE C/3,DKT MEXICO,1,45.40,45.40,9.0,41.31,41.31
15,7502214982811,COND PRUDENCE SURTIDO C/5,DKT MEXICO,1,43.90,43.90,9.0,39.95,39.95
15,7502214985386,COND PRUDENCE EXTRA PLEASURE C/3,DKT MEXICO,1,45.40,45.40,9.0,41.31,41.31
15,7502214980275,COND PRUDENCE SODA C/3,DKT MEXICO,1,32.90,32.90,9.0,29.94,29.94
15,7502214982491,COND PRUDENCE UVA C/3,DKT MEXICO,1,34.10,34.10,9.0,31.03,31.03
15,7502214985805,COND PRUDENCE CHICLE C/5,DKT MEXICO,1,48.60,48.60,9.0,44.23,44.23
15,759684272103,COTONETES KIUTS BOTE C/100,LAB JALOMA,4,13.40,53.60,2.0,13.13,52.53
15,7502214983726,LUBRICANTE PRUDENCE NATURAL 75 ML,DKT MEXICO,1,68.20,68.20,9.0,62.06,62.06
15,7502214982477,COND PRUDENCE FRESA C/3,DKT MEXICO,1,34.10,34.10,9.0,31.03,31.03
15,037836041341,CRE HINDS NAT RESECA 90 ML,GRISI HNOS,1,18.00,18.00,2.0,17.64,17.64
15,7501022130063,SHAM RICITOS DE ORO MIEL Y ARGAN 100 ML,GRISI HNOS,2,32.20,64.40,2.0,31.56,63.11
15,070942507240,CERA DENTAL GUM P/ORTODONCIA MENTA,SUNSTAR AMERICAS,1,48.00,48.00,2.0,47.04,47.04
15,7502235820369,HILO DENTAL GUM EXPANDING 10.9 MT,SUNSTAR AMERICAS,1,18.90,18.90,2.0,18.52,18.52
15,037836041259,CRE HINDS ROSA RESECA 90 ML,GRISI HNOS,1,18.00,18.00,2.0,17.64,17.64
15,714706100307,BRONCOLIN JBE 140 ML,BRONCOLIN,1,65.50,65.50,2.0,64.19,64.19
15,7502214980350,LUBRICANTE PRUDENCE MORA AZUL 75 ML,DKT MEXICO,1,68.20,68.20,9.0,62.06,62.06
16,7502214982514,COND PRUDENCE CHOCOLATE C/3,DKT MEXICO,1,34.10,34.10,9.0,31.03,31.03
16,070942303194,HILO DENTAL GUM 128 MTS,SUNSTAR AMERICAS,1,48.80,48.80,2.0,47.82,47.82
16,4005900314758,POMADA LABELLO BLACKBERRY,BDF MEXICO,1,56.50,56.50,2.0,55.37,55.37
16,7501054507901,POMADA LABELLO FRESA,BDF MEXICO,1,56.50,56.50,2.0,55.37,55.37
16,070942302289,ENJ BUCAL PAROEX GUM 300 ML,SUNSTAR AMERICAS,2,151.30,302.60,2.0,148.27,296.55
16,714706910609,BRONCOLIN JBE ETIQ VERDE 140 ML,BRONCOLIN,1,75.80,75.80,2.0,74.28,74.28
16,7502214980596,COND PRUDENCE MORA C/3,DKT MEXICO,1,34.10,34.10,9.0,31.03,31.03
16,7502214980015,COND PRUDENCE CLASICO C/3,DKT MEXICO,3,32.20,96.60,9.0,29.30,87.91
16,037836041297,CRE HINDS INSPIR RESECA 90 ML,GRISI HNOS,1,18.00,18.00,2.0,17.64,17.64
16,7500462746605,AJOLOTIUS JARABE 250 ML,BIOALIMENTOS NAT,1,47.90,47.90,2.0,46.94,46.94
16,714706910487,BICOESTOL PASTILLAS EUCALIPTO C/16,BRONCOLIN,2,28.00,56.00,2.0,27.44,54.88
16,714706910913,BICOESTOL PASTILLAS CEREZA C/16,BRONCOLIN,2,28.00,56.00,2.0,27.44,54.88
16,7501054504528,POMADA LABELLO HYDRO-C,BDF MEXICO,1,56.50,56.50,2.0,55.37,55.37
16,7501054504870,POMADA LABELLO CLASICO,BDF MEXICO,1,56.50,56.50,2.0,55.37,55.37
16,7506452400212,AJOLOTIUS JENGIBRE TAB C/10,BIOALIMENTOS NAT,1,20.50,20.50,2.0,20.09,20.09
16,7506452400458,AJOLOTIUS PASTILLAS ELDERBERRY PAST C/10,BIOALIMENTOS NAT,1,21.00,21.00,2.0,20.58,20.58
16,7506425603404,TOA HUM ESCUDO ANTBACTERIAL C/50,KIMBERLY CLARK,1,15.60,15.60,2.0,15.29,15.29
17,7501022104248,CRE RICITOS DE ORO MANZANILLA 100 ML,GRISI HNOS,2,31.40,62.80,2.0,30.77,61.54
17,7506452400267,AJOLOTIUS JBE ELDERBERRY 250 ML,BIOALIMENTOS NAT,1,74.70,74.70,2.0,73.21,73.21
17,7500462746612,AJOLOTIUS JARABE S/AZUCAR 250 ML,BIOALIMENTOS NAT,1,89.20,89.20,2.0,87.42,87.42
17,759684154096,VASELINA JALOMA BEBE 60 GR,LAB JALOMA,2,14.50,29.00,2.0,14.21,28.42
17,759684432071,VASELINA BLANCA JALOMA 60 G,LAB JALOMA,2,12.40,24.80,2.0,12.15,24.30
17,7501032911454,REPELENTE OFF EXT DURACION AER 170 GR,SC JOHNSON,2,88.00,176.00,22.0,68.64,137.28
17,7506452400038,AJOLOTIUS MENTA EUCAL S/AZUCAR PAST C/10,BIOALIMENTOS NAT,1,21.80,21.80,2.0,21.36,21.36
17,7500462746698,AJOLOTIUS JARABE REFORZADO 250 ML,BIOALIMENTOS NAT,1,58.90,58.90,2.0,57.72,57.72
17,759684273094,COTONETES KIUTS BOTE C/50,LAB JALOMA,2,7.60,15.20,2.0,7.45,14.90
17,714706910906,BICOESTOL PASTILLAS NARANJA C/16,BRONCOLIN,2,28.00,56.00,2.0,27.44,54.88
17,714706800900,BRONCO RUB UNG. 40 GR.,BRONCOLIN,1,29.60,29.60,2.0,29.01,29.01
17,7501054530718,PARCHE LEON POROSO ARNICA,BDF MEXICO,2,76.20,152.40,2.0,74.68,149.35
17,759684391255,POMADA P/LAB JALOMA VIT C/60,LAB JALOMA,1,175.00,175.00,2.0,171.50,171.50
17,7500462746643,AJOLOTIUS MENTA EUCAL TAB C/10,BIOALIMENTOS NAT,1,19.90,19.90,2.0,19.50,19.50
