ean,par,estado,sku,nombre_bd,activo,costo,precio,stock,nombre_foto
7501836000828,0054,en_inventario,FC-36000828,Argental (Sulfadiazina de plata) crema 1%,True,35.5,57,2,
7501547521025,0055,en_inventario,FC-47521025,Hemoger (Sulfato ferroso) 300 mg,True,56.3,91,1,
7501109790739,0056,en_inventario,FC-09790739,Normex leche de magnesia 8.5 g/100 mL,True,14.06,23,1,
7501109790029,0057,en_inventario,FC-09790029,Normex leche de magnesia 8.5 g/100 mL,True,26.67,43,1,
7501109760541,0058,en_inventario,FC-09760541,Normex leche de magnesia 8.5 g/100 mL,True,41.82,67,1,
7501075710113,0059,en_inventario,FC-75710113,Alu-Mag suspensión hidróxido de aluminio/magnesio 3.70/4.00 g,True,23.77,39,2,
7502001165298,0060,en_inventario,FC-01165298,Exhantil suspensión antiácido/antiflatulento,True,33.0,53,2,
7502009747779,0061,en_inventario,FC-09747779,Culminax Adulto (Carbocisteína) 375 mg/5 mL,True,50.05,81,2,
7502009747168,0062,en_inventario,FC-09747168,Fedrimin (Teofilina/Ambroxol) 0.700-0.150 g/100 mL,True,34.25,55,1,
7501075717914,0063,en_inventario,FC-75717914,K-PEC suspension infantil Novag,True,23.45,0,1,
7501825304142,0064,en_inventario,FC-25304142,Hidrigort (Difenhidramina) 50 mg,True,10.11,17,2,
7502009740268,0065,en_inventario,FC-09740268,Cobadex Adulto (Ambroxol/Dextrometorfano) 225-225 mg/100 mL,True,19.31,31,1,
7502009745393,0066,en_inventario,FC-09745393,Siracux Adulto (Oxeladina/Ambroxol) 0.200-0.225 g/100 mL,True,42.66,69,1,
7502009740657,0067,en_inventario,FC-09740657,Laritol EX (Loratadina/Ambroxol) 100-600 mg/100 mL,True,19.11,31,13,
7501075723830,0068,en_inventario,FC-75723830,Atroxolam (Teofilina/Ambroxol) 7.0-1.5 mg/mL jarabe,True,29.77,48,1,
7501825300373,0069,en_inventario,FC-25300373,Espabion (Trimebutina) suspensión 2 g/100 mL,True,44.45,72,1,
7502001163232,0071,en_inventario,FC-01163232,Ridin Pediátrica jarabe dextrometorfano/guaifenesina/clorfenamina,True,26.62,43,4,Ridin Pediátrica jarabe 120 mL
7502208895042,0072,en_inventario,FC-08895042,Bruluaquil AAS/paracetamol/cafeína 250/250/65 mg,True,42.35,68,1,
7502211780359,0073,en_inventario,FC-11780359,Aflusil (Ibuprofeno) suspensión 2 g/100 mL,True,19.6,32,2,
7502211788690,0074,en_inventario,FC-11788690,Diotexona (Dimeticona) 10 g/100 mL pediátrico,True,38.87,63,1,
7502274792047,0075,en_inventario,FC-74792047,"Voldratol Electrolitos sabor natural, sobre 27.9 g",True,125.16,201,1,Voldratol Electrolitos sabor natural
7502274792061,0076,en_inventario,FC-74792061,"Voldratol Electrolitos sabor uva, sobre 28.14 g",True,111.75,179,1,Voldratol Electrolitos sabor uva
7501537103354,0077,en_inventario,FC-37103354,Brunadol Infantil paracetamol/naproxeno 100-125 mg/5 mL,True,30.57,49,1,
780083141929,0078,en_inventario,FC-83141929,Dolprin (Ibuprofeno) suspensión 2 g/100 mL,True,27.52,45,2,
7502009749421,0047,falta,,,,,,,
