linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,97,2026-09-10,Farmalive,7501017362998,PAÑUELOS KLEENEX PACK C/8 | KIMBERLY CLARK,1,32.83,32.83,,,,2483.41,ticket
2,97,2026-09-10,Farmalive,7501287630506,ANT (WA) TERRAMICINA TROCISCOS C/24 | UPJOHN PHARMA,2,186.59,373.18,,,,2483.41,ticket
3,97,2026-09-10,Farmalive,7500435182041,MOUSSE HERBAL ESSENCES RIZOS 200 R 2PACK | PG PERF,1,114.95,114.95,,,,2483.41,ticket
4,97,2026-09-10,Farmalive,7501048335305,AGUA OXIGENADA DERMOCLEEN 480ML | DEGASA,3,14.70,44.10,,,,2483.41,ticket
5,97,2026-09-10,Farmalive,7500435179980,ENJ BUCAL ORAL B 100% 250 ML | P&G PERF,3,49.29,147.88,,,,2483.41,ticket
6,97,2026-09-10,Farmalive,7891051037878,ENJ BUCAL ORAL B COMPLET 250 ML | PG PERF,2,49.00,98.00,,,,2483.41,ticket
7,97,2026-09-10,Farmalive,7506552900247,ALMOHADILLAS RETANGULARES QUIRMEX C/100 | QUIRMEX,2,32.83,65.66,,,,2483.41,ticket
8,97,2026-09-10,Farmalive,7503003406785,TORUNDA DE ALGODON QUIRMEX 75 GR | QUIRMEX,4,17.54,70.17,,,,2483.41,ticket
9,97,2026-09-10,Farmalive,7501048621408,TORUNDA PROTEC C/150 BOLITAS | DEGASA,2,20.19,40.38,,,,2483.41,ticket
10,97,2026-09-10,Farmalive,056100024798,TOA SANIT ALWAYS NOC ALAS C/8 | P&G PERF,2,27.25,54.49,,,,2483.41,ticket
11,97,2026-09-10,Farmalive,7501019068911,PROTECTORES SABA TRADICIONAL LARGO C/28 | SCA,2,25.77,51.55,,,,2483.41,ticket
12,97,2026-09-10,Farmalive,7501058368126,COND SICO ROJO FEEL CART C/3 | RB HEALTH,1,62.23,62.23,,,,2483.41,ticket
13,97,2026-09-10,Farmalive,7502208891549,TARMIN 2 MG C/12 TAB | BRULUAGSA,3,6.37,19.11,,,,2483.41,ticket
14,97,2026-09-10,Farmalive,7501006719932,CEPILLO ORAL-B COMPLET MED 2X1 | PG PERF,2,30.38,60.76,,,,2483.41,ticket
15,97,2026-09-10,Farmalive,7501086494286,CEPILLO ORAL-B CLASICO 60 SUAVE | PG PERF,2,22.93,45.86,,,,2483.41,ticket
16,97,2026-09-10,Farmalive,037836041266,CRE HINDS ROSA RESECA 230 ML | GRISI HNOS,1,35.28,35.28,,,,2483.41,ticket
17,97,2026-09-10,Farmalive,7501048335169,AGUA OXIGENADA DERMOCLEEN 230ML | DEGASA,3,10.19,30.58,,,,2483.41,ticket
18,97,2026-09-10,Farmalive,037836041358,CRE HINDS NAT RESECA 230 ML | GRISI HNOS,1,35.28,35.28,,,,2483.41,ticket
19,97,2026-09-10,Farmalive,7503006698316,MICRODACYN 60 SOL 120 ML | MORE PHARMA,1,168.56,168.56,,,,2483.41,ticket
20,97,2026-09-10,Farmalive,7501080921139,CRE DEPILADORA NAIR P SENSIBLE 150 ML | CHURCH & DWIGHTND,1,81.60,81.60,,,,2483.41,ticket
21,97,2026-09-10,Farmalive,6502400721541,SUEROX VITAMINS MANZANA V-LIMON 630 ML | GENOMMA LAB,2,14.72,29.45,,,,2483.41,ticket
22,97,2026-09-10,Farmalive,6502400322712,SUEROX 8IONES UVA 630 ML | GENOMMA LAB,2,14.72,29.45,,,,2483.41,ticket
23,97,2026-09-10,Farmalive,7501868950702,VASO RECOLECTOR DIBAR 100ml | DIBAR,5,5.00,24.99,,,,2483.41,ticket
24,97,2026-09-10,Farmalive,7506552900322,VASO RECOLECTOR QUIRMEX | QUIRMEX,4,3.73,14.90,,,,2483.41,ticket
25,97,2026-09-10,Farmalive,7501165011656,BUSCAPINA FEM TAB C/10 | OPELLA,3,130.34,391.02,,,,2483.41,ticket
26,97,2026-09-10,Farmalive,3664798062243,PHARMATON COMPLETE TAB C/100 | OPELLA,2,0.01,0.02,,,,2483.41,ticket
27,97,2026-09-10,Farmalive,7501165000230,IV NEOMELUBRINA TAB C/10 | OPELLA,5,72.23,361.13,,,,2483.41,ticket
