linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,12912,2026-09-05,Farmalive,7501019006692,TOA SANIT SABA BUENAS NOCHES C/24 | SCA,1,60.170,60.17,,,,3180.61,ticket
2,12912,2026-09-05,Farmalive,7501019036590,TOA SANIT SABA BUENAS NOCHES EXTRA C/12 | ESSITY,1,44.390,44.39,,,,3180.61,ticket
3,12912,2026-09-05,Farmalive,7501019006296,TOA SANIT SABA ULT INVISIBLE C/A C/10 | ESSITY,1,23.910,23.91,,,,3180.61,ticket
4,12912,2026-09-05,Farmalive,7501019031144,TOA SANIT SABA AMORE S/ALAS C/8 | SCA,1,9.900,9.90,,,,3180.61,ticket
5,12912,2026-09-05,Farmalive,7501019006104,TOA SANIT SABA INTIMA REG S/ALAS C/10 | SCA,1,13.520,13.52,,,,3180.61,ticket
6,12912,2026-09-05,Farmalive,7501019006418,TOA SANIT SABA INV BUENOS DIAS C/A C/14 | ESSITY,1,33.030,33.03,,,,3180.61,ticket
7,12912,2026-09-05,Farmalive,7503003406785,TORUNDA DE ALGODON QUIRMEX 75 GR | QUIRMEX,2,17.540,35.08,,,,3180.61,ticket
8,12912,2026-09-05,Farmalive,7509552828078,MASC CABELLO FRUCTIS BANANA 350 ML | FRABEL,1,56.940,56.94,,,,3180.61,ticket
9,12912,2026-09-05,Farmalive,7501048623006,PADS FACIAL PROTEC REDONDOS C/100 | DEGASA,2,21.265,42.53,,,,3180.61,ticket
10,12912,2026-09-05,Farmalive,7506552900247,ALMOHADILLAS RETANGULARES QUIRMEX C/100 | QUIRMEX,1,32.830,32.83,,,,3180.61,ticket
11,12912,2026-09-05,Farmalive,3614225108709,TINTE KOLESTON # 20 NEGRO | HFC PRESTI,2,53.900,107.80,,,,3180.61,ticket
12,12912,2026-09-05,Farmalive,3614225108747,TINTE KOLESTON # 40 CASTANO MEDIO | HFC PRESTI,2,53.900,107.80,,,,3180.61,ticket
13,12912,2026-09-05,Farmalive,3614225108761,TINTE KOLESTON # 466 BORGONA INTENSO | HFC PRESTI,2,53.900,107.80,,,,3180.61,ticket
14,12912,2026-09-05,Farmalive,3614225108877,TINTE KOLESTON # 70 RUBIO MEDIANO | HFC PRESTI,2,53.900,107.80,,,,3180.61,ticket
15,12912,2026-09-05,Farmalive,7506376000277,CRE VITACILINA FACIAL HUMECTANTE 100 GR | KSK,2,77.030,154.06,,,,3180.61,ticket
16,12912,2026-09-05,Farmalive,7506376000253,CRE VITACILINA FACIAL ANTIARRUGAS 100 GR | KSK,2,77.030,154.06,,,,3180.61,ticket
17,12912,2026-09-05,Farmalive,7502250343065,VITACILINA 16 GR 2X1 | KSK,5,24.304,121.52,,,,3180.61,ticket
18,12912,2026-09-05,Farmalive,7502250343072,VITACILINA 28 GR 2X1 | KSK,4,36.260,145.04,,,,3180.61,ticket
19,12912,2026-09-05,Farmalive,7501092793045,RIOPAN SOBRES C/20 | TAKEDA,1,268.720,268.72,,,,3180.61,ticket
20,12912,2026-09-05,Farmalive,650240070839,ALLIVIAX GARGANTA TAB C/6 | GENOMMA LAB,2,14.700,29.40,,,,3180.61,ticket
