linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,accion
1,9012078353,2026-08-20,Levic,7501342802749,SILDENAFIL 1 TAB 50 MG,4,4.90,19.60,ECM297C,2028-03-30,EQ-BEA267,alta
2,9012078353,2026-08-20,Levic,7501573909958,COLCHICINA 30 TAB 1 MG,2,31.24,62.48,SD2602,2028-04-30,EQ-BIO212,recibir
3,9012078353,2026-08-20,Levic,7501048335138,AGUA OXIGEN DERMOCLEEN 1 BOT 100 ML,2,8.08,16.16,3A206030,2031-05-30,FC-83351381,recibir
4,9012078353,2026-08-20,Levic,7501048335169,AGUA OXIGEN DERMOCLEEN 1 BOT 230 ML,2,11.57,23.14,3A196054,2031-05-30,FC-83351691,recibir
5,9012078353,2026-08-20,Levic,7502009745478,IDELIVER PRO 14 TAB 60 MG,4,63.74,254.96,283429,2028-05-30,EQ-MAV236,recibir
6,9012078353,2026-08-20,Levic,7501109769063,AGECAPS MINOXIDIL HOMBRE 5% SOL 60 ML,1,150.00,150.00,26C063,2028-02-29,EQ-QUI139,alta
7,9012078353,2026-08-20,Levic,7502216800984,ACEMETACINA 14 CAPS 90 MG,2,52.31,104.62,68N323A,2029-02-28,FC-C9F4ACCC,recibir
