pagina,codigo_prov,descripcion,lote,caducidad,cantidad,precio_lista,costo_unitario,subtotal,total
33,AMS237,TELMISARTAN 28 TAB 40 MG,U25S032,2027-09-01,1,450.00,35.10,35.10,35.10
33,AMS237,TELMISARTAN 28 TAB 40 MG,U26E105,2028-01-01,1,450.00,35.10,35.10,35.10
33,DEG029,ESPABION 1 SUSP 100MG/5ML 100 ML,414AA,2029-05-31,1,313.89,44.45,44.45,44.45
33,BRU136,BRUNADOL 1 SUSP 125/100MG/5/100 ML,2605454,2028-05-14,1,144.00,30.57,30.57,30.57
33,BRL075,BRULUAQUIL 24 TAB 250/250/65 MG,5101455,2027-10-23,1,119.00,42.35,42.35,42.35
33,RAM014,FERMIG 2 TAB 100 MG,RFR356,2028-04-30,1,332.83,62.03,62.03,62.03
33,ALP0192,PHARMAFIL LP 20 TAB 100 MG,2512917,2027-12-01,1,185.00,36.02,36.02,36.02
33,STR009,HEMOGER 50 GRAG 300 MG,5Z02DR,2030-03-01,1,300.00,56.30,56.30,56.30
33,LIF048,ARGENTAL 1 CMA 1%/28 G,26A127,2028-03-31,2,205.00,35.50,71.00,71.00
34,DEG030,ESPABION 1 SUSP 20MG/1ML 30 ML,449AA,2029-05-31,1,178.67,25.67,25.67,25.67
34,AMS502,SULINDACO 20 TAB 200 MG,U26E326,2028-01-01,1,180.00,47.30,47.30,47.30
34,MAV323,FEDRIMIN 1 SOL 0.700/.150 G/ 150 ML,263034,2028-05-31,1,171.00,34.25,34.25,34.25
34,MAV015,COBADEX AD 1 JBE 225/225MG/100/120 ML,260606,2028-01-01,1,133.00,19.31,19.31,19.31
34,INN023,TOBR/DEXAM 1 SOL OFT 3MG/1MG/5ML,XC00281,2028-05-06,2,549.96,54.22,108.44,108.44
34,SOF056,VOLDRATIL SABOR UVA 25 SOB 26.14G,51231,2027-06-26,1,855.00,111.75,111.75,111.75
34,SOF073,VOLDRATIL NATURAL 25 SOB 27.9G,60264,2028-02-10,1,855.00,125.16,125.16,125.16
34,COL039,DOLPRIN 1 SUSP 100MG/5/120 ML,26140862,2028-04-16,2,170.39,27.52,55.04,55.04
34,LOE001,AFLUSIL 1 SUSP 2G/120ML,R2602932,2028-02-28,2,156.46,19.60,39.20,39.20
34,SON112,RIDIN ADULTO 1 JBE 7.5/1/100MG/5/120 ML,26030796,2028-03-01,2,201.00,30.53,61.06,61.06
