pagina,codigo_prov,descripcion,lote,caducidad,cantidad,precio_lista,costo_unitario,subtotal,total
7,AMS251,AMIKACINA 2 AMP 500MG/2 ML,26F511,2028-02-01,1,179.00,29.21,29.21,29.21
7,AMS252,AMIKACINA 1 AMP 500MG/2 ML,25T514,2027-10-01,1,101.00,16.11,16.11,16.11
7,COL082,PERLUDIL 1 FA 150/10 MG,25341670,2027-11-30,1,202.56,48.65,48.65,48.65
7,MAV001,BACTIVER 20 TAB 400/80 MG,260134,2028-05-01,2,93.00,16.89,33.78,33.78
7,MAV002,BACTIVER F 14 TAB 160/800 MG,261127,2028-03-01,3,120.00,21.01,63.03,63.03
7,MAV073,REDALIP 30 TAB 200 MG,251460,2027-04-01,2,150.00,15.52,31.04,31.04
8,AMS354,LINCOMICINA 600MG/2ML 6 AMPOLLETAS,B25D203,2027-12-01,2,198.00,44.04,88.08,88.08
8,BIO064,CLOXAN 1 SOL 300MG/120ML,LE2626,2028-05-01,1,87.00,12.29,12.29,12.29
8,BRU106,CELESBITAN 1 FA C/JER 8MG/2 ML,2602109,2028-02-06,2,79.20,16.91,33.82,33.82
8,AMS263,CEFOTAXIMA I.M. 1 FA 1G/4 ML,J25T017,2027-10-01,3,350.56,31.06,93.18,93.18
8,AVI027,AMLODIPINO 100 TAB 5 MG,5LM125B,2027-11-09,1,725.92,32.52,32.52,32.52
8,DEG184,DEGORTZIN 1 SOL 100 MG/50 ML,444AA,2028-05-31,2,282.97,35.71,71.42,71.42
8,BIO076,WEXPEC 1 SOL 7.5/2MG/5/120 ML,L82633,2028-02-01,1,88.00,16.65,16.65,16.65
8,MAV284,SIBICOS 1 CMA 1/100/20 G,262040,2028-04-30,2,168.00,33.65,67.30,67.30
8,AMS437,BUDESONIDA 5 AMP 0.250MG/2ML,C26F206,2028-02-01,1,350.00,131.38,131.38,131.38
8,SON160,DISONS DEX 1 FA 5/2 MG,26040978,2028-04-30,1,236.00,36.86,36.86,36.86
8,ALP0340,CINARIZINA 60 TAB 75 MG,2605279,2028-05-30,2,180.00,35.05,70.10,70.10
8,ULT180,CELECOXIB 10 CAPS 200MG,6EM120A,2028-05-01,2,779.04,34.82,69.64,69.64
9,HIS085,PROTAISOL 1 SUSP/AER 200 DOS/5 12.80 G,6C355,2028-04-01,1,598.04,96.21,96.21,96.21
9,RAD096,CALCIO EFE 12 COMP 500 MG,29911,2028-05-29,1,204.00,39.07,39.07,39.07
9,PGE052,ERCATRIV M CALCITRIOL 30 CAPS 0.25 MCG,U0265,2028-03-04,1,168.64,47.13,47.13,47.13
9,AMS406,CINITAPRIDA 25 COMP 1 MG,U26M335,2028-03-01,3,170.00,17.58,52.74,52.74
9,MAV373,BUDIMIN 20 TAB 1 MG,257237,2027-12-31,1,273.00,31.31,31.31,31.31
9,MAV350,BITENVER 30 TAB 24 MG,261052,2028-02-01,1,342.00,62.78,62.78,62.78
9,MAI158,SUPRATEX DAC 1 SOL 300/600 MG 120 ML,5K2102,2027-11-01,1,237.53,42.14,42.14,42.14
9,MAV212,ODIVITOR 10 TAB 20 MG,261643,2029-03-01,3,147.00,13.77,41.31,41.31
9,ULT097,CAPTOPRIL 30 TAB 25 MG,6AN062A,2028-01-01,5,62.30,7.95,39.75,39.75
9,NOV165,BUDENOVA SUSP .125 MG/ML 5 AMP 2ML,25X0V04,2028-12-01,1,322.00,130.24,130.24,130.24
9,AVI037,AMLODIPINO 30 TAB 5 MG,5EM451B,2027-05-27,3,369.75,9.04,27.12,27.12
9,MAI072,LESACLOR 1 SUSP 200MG/5/125 ML,5K2106,2027-11-01,1,248.75,44.43,44.43,44.43
10,RAM054,RAAMCINET 10 TAB 10 MG,7220526,2028-03-31,6,243.22,19.65,117.90,117.90
10,ALP0609,CARBAMAZEPINA 20 TAB 200 MG,2520526,2029-05-01,3,90.00,18.11,54.33,54.33
10,MAV360,ERISPAN 1 FA 4MG/1 ML,256110,2027-10-01,1,75.00,22.15,22.15,22.15
10,MAV141,ERISPAN 1 FA 8MG/2 ML,256664,2027-11-01,1,144.00,24.45,24.45,24.45
10,AMS477,BUDESONIDA 1 SUSP NEB 5AMP 0.500MG,C26E206,2028-01-01,1,438.00,153.72,153.72,153.72
10,WAN002,AMIFARIN 1 SUSP 250MG 60 ML,56117,2028-02-01,1,155.00,27.00,27.00,27.00
10,HIS076,FHASPEM 3 AMP 20 MG/1 ML,6D502,2028-05-05,1,141.69,23.53,23.53,23.53
10,HIS087,CLOFHIVEN 200 DOSIS 50 MCG/12.80G,6D44B,2029-05-19,1,734.07,56.51,56.51,56.51
10,AVI027,AMLODIPINO 100 TAB 5 MG,5MM301A,2027-12-30,1,725.92,32.52,32.52,32.52
10,MAV003,BACTIVER 1 SUSP 40/200/5/120 ML,262631,2028-05-01,1,111.00,21.28,21.28,21.28
10,SON256,SONBLEFAN S 1 CMA .100 G/ 40 G,26061504,2028-06-30,1,158.00,32.41,32.41,32.41
10,BEA462,CEFTRIAXONA I.M. 1 FA 1G/3.5 ML,J25G109,2027-03-31,2,200.00,9.80,19.60,19.60
11,SON264,LAUR ADULTO 500/500/100/30/4 MG 3 AMP,B2603115,2028-02-01,1,400.00,59.63,59.63,59.63
11,MAV255,BENEVENTOL 1 SUSP 100MG/5ML/50 ML,256806,2027-12-01,1,510.00,97.60,97.60,97.60
11,COL009,AMPIGRIN AD 3 AMP 500/500/100/30MG/3 ML,26240110,2028-03-31,2,442.20,81.71,163.42,163.42
11,COL008,AMPIGRIN INF 3 AMP 250/200/100/30MG/3 ML,26240043,2028-01-12,1,390.54,73.57,73.57,73.57
11,AMS004,AMCEF I.M. 1 FA 1G/3.5 ML,J25N044,2027-11-01,10,392.00,19.72,197.20,197.20
11,AMS002,AMCEF I.M. 1 FA 500MG/2 ML,J25D063,2027-11-01,2,280.00,19.43,38.86,38.86
11,AMS350,CEFTAZIDIMA 1 FA 1G/3 ML,J25D018,2028-03-01,2,300.00,45.42,90.84,90.84
11,MAI165,NORQUINOL 20 TAB 400 MG,5K2094,2027-11-30,2,267.75,47.87,95.74,95.74
11,AMS184,CIPROFLOXACINO G.I. 14 TAB 500 MG,U26F042,2028-02-01,5,250.00,22.92,114.60,114.60
11,AMS471,AMIKACINA 1 AMP 100 MG/2 ML,25T515,2027-10-01,1,45.00,8.46,8.46,8.46
11,AMS416,ATORVASTATINA 10 TAB 40 MG,U26E117,2028-01-01,2,350.00,26.35,52.70,52.70
11,MAI141,FLOSEF 8 TAB 400 MG,571920,2027-10-31,1,180.65,27.33,27.33,27.33
12,ALP0567,BIOERTER 1 SUSP 250 MG/100 ML,0226330,2028-02-01,1,245.00,47.70,47.70,47.70
12,COL226,DOLPROFEN 10 TAB 800 MG,26140712,2028-03-09,5,155.07,22.41,112.05,112.05
12,PGE057,GELUBRIN 10 CAPS 600 MG,U0397,2028-04-10,5,98.50,21.95,109.75,109.75
12,AVT221,ZITRIASOL 15 CAP 100 MG,SD26112,2028-04-30,2,186.00,34.61,69.22,69.22
12,NOV163,PABESORAG 28 TAB 150/12.5 MG,810426,2028-04-01,1,800.00,60.47,60.47,60.47
12,VIT068,IBUPRO-CAFE 10 CAPS 400 MG/100 MG,M26052,2028-03-30,2,85.00,30.06,60.12,60.12
12,STR006,INDARZONA 30 CAPS 250/5 MG,5B01DC,2028-04-01,2,300.00,56.30,112.60,112.60
12,WER036,WERMY 15 CAPS 300 MG,260373,2028-04-01,2,377.70,24.51,49.02,49.02
12,BIO019,DIURMESSEL 20 TAB 40 MG,5B2664,2028-02-01,5,67.00,9.31,46.55,46.55
12,MAI099,HIDROXIN 30 TAB 10 MG,5K2109,2028-11-01,1,198.14,34.60,34.60,34.60
12,COL120,COLLICORT 1 CMA 1% 60 G,26340160,2028-01-30,2,277.05,47.85,95.70,95.70
12,MAV322,TRADITOR 1 GEL 500/50 MG 60 G,261081,2028-02-01,1,237.00,47.47,47.47,47.47
13,AVT204,ELAPHTERON 28 TAB 100 MG,5B26058,2029-02-28,1,144.00,30.77,30.77,30.77
13,WER027,AMDORY 14 CAPS 30 MG,260066,2028-02-01,2,243.34,28.11,56.22,56.22
13,ALP0598,ACETONIDO DE FLUOCINOLONA CMA,2601201,2028-01-01,1,95.00,18.44,18.44,18.44
13,AMS165,FLUCONAZOL 1 CAPS 150 MG,U25N344,2027-11-30,2,80.00,12.92,25.84,25.84
13,EXA054,HIALURONATO DE SODIO 4MG 10 ML,26161P,2028-05-11,1,518.20,113.89,113.89,113.89
13,AMS371,HIERRO DEX 3 AMP 100 MG /2 ML,625T405,2027-10-01,1,168.00,61.33,61.33,61.33
13,MAV306,DIZIVER 20 TAB 25 MG,261313,2028-02-01,3,87.00,8.15,24.45,24.45
13,LOE070,ZUKEDIB 30 TAB 2 MG,R25126048,2028-01-13,1,155.20,29.08,29.08,29.08
13,LOE071,ZUKEDIB 30 TAB 4 MG,R2506781,2027-06-30,1,302.51,27.98,27.98,27.98
13,MAI154,PRALEX 28 TAB 10 MG,6DD648,2028-04-30,2,278.46,42.85,85.70,85.70
13,BIO163,VALGAB 1 JBE 50MG/60 ML,LK2501,2027-11-01,1,122.00,19.41,19.41,19.41
13,ULT104,ENALAPRIL 30 TAB 10 MG,6CN050A,2028-03-01,5,70.00,8.09,40.45,40.45
14,BIO189,OVISEN 28 TAB 20 MG,SC2617,2028-03-01,1,264.00,20.33,20.33,20.33
14,BIO183,OVISEN 14 TAB 20 MG,SC2622,2028-03-01,1,203.00,10.19,10.19,10.19
14,NOV020,REGLUSAN 50 TAB 5 MG,710026,2029-02-01,5,36.00,8.88,44.40,44.40
14,QUM070,DROSEQUIM AD 1 JBE 300/160/200 ML,26DP32,2028-04-01,1,305.00,70.74,70.74,70.74
14,RAM100,DESROTAN 10 TAB 180 MG,RD085,2028-03-31,1,316.25,47.31,47.31,47.31
14,BEA428,DIOSMINA HESPERIDINA 20 TAB 450/50 MG,C50366,2028-05-01,3,252.00,39.41,118.23,118.23
14,AMS367,IRBESARTAN 14 TAB 150 MG,U25U621,2027-07-01,1,300.00,43.98,43.98,43.98
14,AVT134,TUSILEN AD 1 JBE 240/30/50MG/100/118 ML,25134007,2027-10-20,1,120.00,24.22,24.22,24.22
14,AMS424,IRBESARTAN 14 TAB 300 MG,U26E329,2028-01-01,1,460.00,76.49,76.49,76.49
14,AVT135,TUSILEN PED 1 JBE 300/120/15MG/100/118 ML,26135001,2028-02-16,1,120.00,24.89,24.89,24.89
14,WER037,WERMY 30 CAPS 300 MG,260485,2028-05-01,2,607.19,39.41,78.82,78.82
14,MAV311,EXICORT 7 COMP 120 MG,256572,2027-11-01,1,264.00,52.66,52.66,52.66
15,RAD081,FUMARATO FERROSO 50 TAB 200MG,28561,2028-04-08,1,75.00,13.79,13.79,13.79
15,MAI078,UREZOL 20 TAB 100 MG,5K1972,2027-11-01,1,187.43,33.46,33.46,33.46
15,ULT103,DICLOFENACO 20 TAB 100 MG,5LM220A,2027-11-01,4,68.03,7.60,30.40,30.40
15,ACC066,STERYX 30 TAB 5 MG,CC260061,2029-02-28,1,470.00,40.51,40.51,40.51
15,VIC030,TOFEL 10 TAB 50/500 MG,261025,2028-04-30,2,180.00,37.55,75.10,75.10
15,MAV415,ESOMEPRAZOL 28 TAB 40 MG,263550,2028-06-30,1,495.00,99.14,99.14,99.14
15,MAV380,ESOMEPRAZOL 14 TAB 40 MG,262638,2028-04-30,1,258.00,51.64,51.64,51.64
15,AMS274,EZETIMIBA/SIMVASTA 14 TAB 10/20 MG,U26E295,2028-01-01,1,533.00,55.90,55.90,55.90
15,AMS275,EZETIMIBA/SIMVASTA 28 TAB 10/20 MG,U25T362,2027-10-01,1,990.00,100.08,100.08,100.08
15,BIO100,BIOSTAFEX 10 TAB 120 MG,5B2603,2028-02-01,2,264.00,29.94,59.88,59.88
15,RAM046,RAAMFEN 30 TAB 25 MG,RR184,2028-03-31,3,56.49,15.49,46.47,46.47
15,RAD082,INDOMETACINA 30 CAPS 25 MG,25160,2027-09-25,1,144.00,20.02,20.02,20.02
16,BEA379,ESPIRONOLACTONA 20 TAB 25MG,6EM196B,2028-05-31,1,200.00,26.86,26.86,26.86
16,BRU053,NEDICLON 20 GRAG 100 MG,605238,2028-05-12,4,59.40,7.56,30.24,30.24
16,MAV236,IDELIVER PRO 14 TAB 60 MG,262349,2028-04-01,1,306.00,59.45,59.45,59.45
16,MAV238,BIOXOVER 1 JBE 300MG/120 ML,255469,2027-10-01,2,156.00,28.84,57.68,57.68
16,SON193,PORAL OTICO 1 GOT 10 ML,26040996,2028-04-01,2,236.00,34.41,68.82,68.82
16,SER025,LONIXER 10 TAB 250 MG,260186,2028-02-04,2,197.04,32.51,65.02,65.02
16,BEA342,DEXAMETASONA 20 TAB 0.5 MG,25342001,2027-03-31,1,80.00,4.41,4.41,4.41
16,MAI055,DALATINA 1 GEL 1G/30 G,6BD273,2028-02-28,1,171.36,29.85,29.85,29.85
16,SON024,BENTIX 1 CMA 40G 3/0.0 %,26051193,2028-05-01,1,188.00,28.12,28.12,28.12
16,AMS472,CITALOPRAM 14 TAB 20 MG,U255381,2027-09-01,2,499.00,35.08,70.16,70.16
16,MAV065,PRESISTIN 1 SUSP 0.1G/60ML,254588,2027-09-01,1,207.00,24.47,24.47,24.47
16,RAD100,FENAZOPIRIDINA 1 FCO 20 TAB 100 MG,27772,2028-02-04,1,138.00,21.09,21.09,21.09
17,AVT205,ELAPHTERON 28 TAB 25 MG,51252318,2027-09-30,1,120.00,25.40,25.40,25.40
17,QUM069,DROSEQUIM INF 1 JBE 150/80/200 ML,253X42,2027-10-01,1,318.00,70.37,70.37,70.37
17,AMS253,DEXAMETASONA 1 FA 8MG/2 ML,B25G513,2028-08-01,10,47.15,8.55,85.50,85.50
17,AMS362,DICLOFENACO 2 FA 75MG/3 ML,B26E313,2028-01-01,2,200.00,15.80,31.60,31.60
17,AMS460,ETORICOXIB 14 COMP 90 MG,U25T292,2027-10-01,1,310.00,50.98,50.98,50.98
17,QUM043,HISTAPHARM 10 TAB 5 MG,26ER07,2028-05-01,1,144.00,21.99,21.99,21.99
17,BRU016,BRULIN (DEXAMETASONA) 3 FA 8MG/2 ML,2601039,2028-01-16,2,90.00,24.28,48.56,48.56
17,MAV320,CARIDEN 10 TAB 30 MG,262351,2028-04-01,1,573.00,90.81,90.81,90.81
17,JAY263,DIFLOSENSI 28 TAB 10 MG,14260007A,2027-12-28,1,,335.50,335.50,335.50
17,WER046,MEVEDIM 15 TAB 600 MG,260229,2028-03-30,1,441.55,61.32,61.32,61.32
17,ALP0633,DEXKETOPROFENO 10 TAB 25 MG,2603228,2028-03-01,1,330.00,64.24,64.24,64.24
17,MAV064,PRESISTIN 30 TAB 10 MG,256517,2027-11-01,1,171.00,33.93,33.93,33.93
18,MAV140,DOLTRIX 3 AMP 100/20MG/2 ML,263388,2028-05-31,1,309.00,61.88,61.88,61.88
18,MAV134,DOLTRIX 10 TAB 250/10 MG,260826,2028-02-01,2,282.00,56.45,112.90,112.90
18,MAV167,DOLTRIX 20 TAB 125/10 MG,255306,2027-09-01,1,363.00,70.30,70.30,70.30
18,RAD092,DEXTROMETORFANO 1 JBE 300 MG/120 ML,28547,2028-03-05,2,78.00,13.58,27.16,27.16
18,AMS407,CIPROFLOXACINO 1 GOT 3MG/5 ML,G26M00B,2028-03-01,1,343.00,24.28,24.28,24.28
18,SON214,DEXAMETASONA/CIPROFLOXACINO SOL,26030907,2028-03-01,1,300.00,43.08,43.08,43.08
18,AVT203,CIDORIX 28 TAB 75 MG,5A26030,2028-01-31,1,180.00,38.11,38.11,38.11
18,LOE155,INDOMETACINA 6 SUPOSITORIOS 100 MG,R2509196A,2027-09-30,1,323.15,92.35,92.35,92.35
18,OFF009,DEXNE OTICO 1 GOT 1/3.5/15/10 ML,264027,2028-05-06,1,186.00,42.69,42.69,42.69
18,DEG011,CONVIFER C/HIERRO 1 SOL 3/2/.1MG/110,039AA,2027-12-31,1,235.18,33.94,33.94,33.94
18,PGE059,LOREFIC-D 30 CAPS 4000 UI,U0620,2028-06-04,1,195.00,38.79,38.79,38.79
18,OFF008,DEXNE NASAL 1 GOT 1/3.5/2.5/10 ML,264025,2027-10-22,1,165.00,37.87,37.87,37.87
19,BEA313,DEXAMETASONA 20 TAB 1 MG,26313001,2028-03-07,1,136.00,22.25,22.25,22.25
19,AMS288,DEXAM/NEOMI 1 GOTAS 1/3.5MG/5 ML,G25N021,2027-11-30,1,70.00,23.15,23.15,23.15
19,OFF010,DEXNE OFTALMICO 1 GOT 500/100MG/5 ML,037046,2028-04-25,1,147.00,33.74,33.74,33.74
19,MAV318,CARIDEN 20 TAB 6 MG,260140,2028-01-01,1,288.00,52.87,52.87,52.87
19,BIO212,COLCHICINA 30 TAB 1 MG,5D2602,2028-04-01,1,180.00,30.37,30.37,30.37
19,EXA042,CROMOGLICATO SODIO 1 SOL 40 MG/5 ML,26070P,2028-02-19,1,218.65,45.61,45.61,45.61
19,ALP0554,FENAZOPIRIDINA 20 TAB 100 MG,6571125,2027-11-01,1,100.00,18.89,18.89,18.89
19,AMS209,HIPROMELOSA OFT 1 SOL 5MG/10 ML,G26E026,2028-01-01,2,125.00,24.86,49.72,49.72
19,AMS428,CISAPRIDA 30 TAB 5 MG,U25T249,2027-10-01,1,120.52,23.91,23.91,23.91
19,LOE058,FENIFFLER-T 50 TAB 100 MG,R2509209,2027-09-30,2,321.31,20.08,40.16,40.16
19,MAV376,FLAUSIVER 1 GEL 100 G,62926030,2028-08-31,1,180.00,37.55,37.55,43.56
19,SON204,PHENDEX OTICO 1 SUSP 2/10/50MG/10 ML,26051352,2028-08-31,2,210.00,30.60,61.20,61.20
20,AMS497,LEVETIRACETAM 30 TAB 1000 MG,U25N332,2027-11-01,1,,120.90,120.90,120.90
20,MAI157,SUPRATEX 1 JBE 600 MG 120 ML,6BD201,2028-02-01,2,227.05,40.91,81.82,81.82
20,MAV245,OPPELVER 1 JBE 10G/15ML DE 125 ML,261962,2028-03-01,1,246.00,49.25,49.25,49.25
20,RAY114,VELATUSS 1 SOL 600MG/120 ML,25109,2027-05-01,1,248.00,34.55,34.55,34.55
20,SER001,ASMARAL-K 30 TAB 1 MG,260119,2029-01-19,1,299.57,61.07,61.07,61.07
20,MAV043,LOROTEC 10 TAB 10 MG,260277,2028-01-01,5,84.00,5.96,29.80,29.80
20,AMS160,KETOROLACO TROMETAMINA 6 TAB SL 30 MG,U26F370,2028-02-01,5,90.00,9.19,45.95,45.95
20,LOE013,KERAFFLER 1 SOL 20MG/5/120 ML,R2510414,2027-11-06,1,150.22,20.17,20.17,20.17
20,QUM014,PHARMACAINE 1 AER 10G/100ML/115 ML,26DP57,2028-04-01,1,553.80,101.30,101.30,101.30
20,NOV032,LIZOVAG 10 TAB 200 MG,360016,2028-05-01,2,54.00,12.98,25.96,25.96
20,AMS328,KETOROLACO 3 AMP 30 MG,26F009,2028-02-01,3,172.00,11.33,33.99,33.99
20,MAI152,MAVIFEM (VAG) 1 CHA/6 APLI 2/8 G 30 G,6BD252,2028-02-28,2,385.56,68.50,137.00,137.00
21,ULT230,LEVONORGESTREL 1 TAB 1.5 MG,6CH064A,2028-03-30,3,183.02,15.50,46.50,46.50
21,COL073,OTILIN 1 GOT 350MG/2G DE 20 ML,26140908,2028-04-10,2,132.00,25.01,50.02,50.02
21,IFA001,POSTDAY 1 COMP 1.5 MG,2603355,2029-02-15,2,190.00,61.32,122.64,122.64
21,MAV295,ERISPAN COMP 10 TAB 5/0.25 MG,260705,2028-01-01,3,111.00,8.27,24.81,24.81
21,ULT230,LEVONORGESTREL 1 TAB 1.5 MG,6BH137A,2028-02-01,1,183.02,15.50,15.50,15.50
21,SOF041,VIXGOPLISOL 60 TAB 500 MG,60549,2028-03-20,1,900.00,112.04,112.04,112.04
21,TEM009,LEVOTIROXINA 100 TAB 100 MCG,2603115,2028-02-06,2,610.00,45.57,91.14,91.14
21,MAV358,AVATTOR 30 COMP 20 MG,263537,2028-06-30,1,540.00,103.08,103.08,103.08
21,NOV154,BELAZIX C/20 TAB 5MG,880046,2028-03-01,1,420.00,64.96,64.96,64.96
21,MAI144,FIGRAL 10 TAB 100 MG,6BD255,2028-02-29,5,636.30,80.04,400.20,400.20
21,ULT145,SILDENAFIL 4 TAB 100 MG,6CH433A,2028-03-01,6,405.09,24.21,145.26,145.26
21,AVT216,SOLTADOL 10 TAB 750 MG,5C25049,2027-03-31,5,41.00,5.04,25.20,25.20
22,HIS081,FARMAREST SALBUT 1 SUSP/AER 200DO/125,6A111,2028-02-17,2,487.61,33.99,67.98,67.98
22,BEA338,PREDNISONA 5MG C/BLISTER 20TAB BEA,26338001,2028-06-10,5,150.00,6.51,32.55,32.55
22,MAV331,LONVITOL 10 AMP .05/2.5 MG/ 2.5 ML,263181,2029-05-01,1,465.00,69.83,69.83,69.83
22,AMS323,SERTRALINA 14 TAB 50 MG,U26E032,2028-01-01,3,362.00,20.60,61.80,61.80
22,ULT146,PIOGLITAZONA 7 TAB 15 MG,6DN1938,2028-04-01,2,335.42,14.56,29.12,29.12
22,AMS232,PREGABALINA 28 CAPS 75 MG,U26A038,2028-04-01,1,540.00,37.48,37.48,37.48
22,MAV407,DAIMANT 14 CAPS 100 MG,256509,2027-11-01,1,270.00,52.59,52.59,52.59
22,COL133,NOSIPREN 30 TAB 20 MG,26340291,2028-03-05,1,194.20,35.71,35.71,35.71
22,QUM068,QUIMUNEX 1 SOL 100 MG/100 ML,26AM11,2028-01-01,1,384.00,68.48,68.48,68.48
22,PGE061,ESTERINOL 40 CAPS 50000UI,U0821,2027-09-28,1,130.00,24.91,24.91,24.91
22,AMS498,POPRAM 28 TAB 40 MG,U26A012,2028-04-01,2,320.00,37.54,75.08,75.08
22,SON225,NORKIN 7 CAPS 40 MG,26020563,2028-02-01,2,220.00,13.95,27.90,27.90
23,LOE096,VIDALOL PLUS 20 TAB 10/500 MG,R2511450,2027-11-13,1,170.00,47.53,47.53,47.53
23,AMS231,PREGABALINA 14 CAPS 75 MG,U26F252,2028-02-01,1,292.41,25.09,25.09,25.09
23,AMS370,PENTOXIFILINA 30 TAB 400 MG,U25S234,2027-09-01,1,270.00,59.39,59.39,59.39
23,SER116,CYRUX 28 TAB 200 MCG,260015,2028-01-08,1,,222.22,222.22,222.22
23,NOV054,LAMBLIQUIN 30 TAB 400/200 MG,310106,2028-01-01,1,150.00,42.73,42.73,42.73
23,AMS279,POPRAM 14 TAB 40 MG,U25N288,2027-11-01,2,280.00,26.26,52.52,52.52
23,MAV196,OXATECH 14 TAB 10 MG,255852,2027-10-01,1,189.00,26.46,26.46,26.46
23,PHG017,METRONIDA/DIYOHIDRO 1 SUSP,C07065,2029-02-22,1,308.00,42.53,42.53,42.53
23,LOE135,ROSANIL 7 TAB 500 MG,R2603189,2028-04-30,1,170.10,51.43,51.43,51.43
23,ULT191,PIROXICAM 20 TAB 20 MG,6EN072B,2028-05-01,3,76.63,9.49,28.47,28.47
23,ALP0410,NISTATINA 1 SUSP 1 UI /24 ML,2604487,2028-04-01,1,175.00,34.07,34.07,34.07
23,BEA368,NIFEDIPINO 30 COMP 30 MG,6EN186A,2028-05-31,1,251.00,39.23,39.23,39.23
24,EXA035,NEOMICI POLIMIXI B GRAMICIDI 1 SOL 15 ML,26055P,2028-02-20,1,194.64,40.58,40.58,40.58
24,EXA045,NEOMICINA POLIMIXINA-B BACITRACINA UNG,26106P,2028-03-17,1,235.70,49.14,49.14,49.14
24,NOV176,PIRINOVAG 10 TAB 500 MG,660146,2028-04-01,5,24.00,7.18,35.90,35.90
24,SON096,FENIMETH V 12 OVS 500MG/100000 UI,26030746,2028-03-01,2,236.00,34.15,68.30,68.30
24,MAV307,VERATRIN 20 CAPS 215/25/0.75 MG,262054,2028-04-01,1,303.00,33.36,33.36,33.36
24,SON153,NYSMOSONS-V 10 OVS 500/0.5MG/100000 UI,26030761,2028-03-01,2,298.00,43.06,86.12,86.12
24,MAI163,CROSTOX 30 TAB 20 MG,680248,2028-02-01,1,432.48,76.84,76.84,76.84
24,NOV092,IXICORL 10 TAB 20 MG,290306,2028-02-01,2,258.00,21.72,43.44,43.44
24,AMS503,SITAGLIPTINA 14 COMP 100 MG,U25D143,2027-12-01,1,680.00,87.57,87.57,87.57
24,LOE066,PENSODIL-S 5 SUP 200/100 MG,R2601646,2028-01-15,1,83.50,37.16,37.16,37.16
24,SON104,NEODERM-F 1 CMA 40G,26041134,2029-04-01,1,166.00,25.85,25.85,25.85
24,BIO017,COLPRAGIN 30 TAB 10 MG,5L2536,2027-12-01,1,180.00,14.60,14.60,14.60
25,QUM006,MITAFAR 1 SUSP 100MG/5/60 ML,26BN13,2028-02-01,1,154.20,38.29,38.29,38.29
25,MAV266,BERNIVER 2% 1 UNG 15 G,257007,2027-12-01,1,408.00,76.86,76.86,76.86
25,RAD093,METRONIDAZOL 30 TAB 500 MG,30706,2028-05-28,3,110.00,14.92,44.76,44.76
25,MAV162,DOLXEN 10 TAB 500 MG,260728,2028-02-01,1,105.00,18.94,18.94,18.94
25,SER165,ESTRANIM 10 CAPS 75 MG,260383,2028-03-17,1,926.64,116.19,116.19,116.19
25,SON098,METROSON 1 SUSP 250MG/5/120 ML,26041106,2028-04-30,1,130.00,21.66,21.66,21.66
25,LOE014,NEOSEDAL 1 JBE 5G/100/120 ML,R2602014,2028-03-31,1,121.00,23.35,23.35,23.35
25,SON089,MAGNIL 1 JBE 250MG/5/100 ML,26030788,2028-09-01,1,166.00,24.05,24.05,24.05
25,NOV004,CIRULAN 20 TAB 10 MG,110016,2029-03-01,3,32.00,7.62,22.86,22.86
25,BEA416,METOCLOPRAMIDA 20 TAB 10 MG,110555,2028-11-01,2,70.00,5.42,10.84,10.84
25,AMS401,PIOGLITAZONA 7 TAB 30 MG,U25T360,2027-10-01,2,300.00,18.36,36.72,36.72
25,BEA424,METOPROLOL 20 TAB 100MG,670145,2027-07-01,2,70.00,6.86,13.72,13.72
26,BRL053,DIREPASID (METOCLOPRAMIDA) 20 TAB 10 MG,5101465,2027-10-21,2,36.00,7.55,15.10,15.10
26,MAV392,CETILVER 1 GEL 8% C/10 G,251153,2028-03-31,1,330.00,45.31,45.31,45.31
26,AMS234,PREGABALINA 28 CAPS 150 MG,U26F083,2028-02-01,1,584.62,65.67,65.67,65.67
26,AMS418,METOCLOPRAMIDA 6 AMP 10MG/2 ML,26M507,2028-03-01,1,110.00,21.00,21.00,21.00
26,ALP0628,METAMIZOL SODICO 3 AMP 1G/2 ML,2505578,2027-05-01,2,152.00,14.68,29.36,29.36
26,MAI150,MAVIGLIN 60 GRAG 500/5 MG,6CO362,2028-03-01,1,299.88,61.53,61.53,61.53
26,NOV157,GLUNOVAG 60 TAB 500 MG,230766,2028-05-01,2,74.50,19.38,38.76,38.76
26,BIO058,WADIL 30 TAB 500/5 MG,5E2626,2028-05-01,1,170.00,28.85,28.85,28.85
26,BEA429,METFORMINA 30 TAB 850 MG,242286,2028-06-01,5,92.00,14.27,71.35,71.35
26,NOV005,CIRULAN 1 GOT 400MG/1/20 ML,120036,2029-03-01,2,60.00,14.38,28.76,28.76
26,ULT056,RETOFLAM-F 10 TAB 215/15 MG,6EN292B,2028-05-30,1,150.00,19.15,19.15,19.15
26,WER040,PUNAB 30 TAB 50 MG,251221,2027-11-01,5,337.79,12.33,61.65,61.65
27,MAV175,FLEXIVER COMPUESTO 20 CAPS 215/7.5 MG,262286,2028-04-30,1,219.00,43.87,43.87,43.87
27,MAV174,FLEXIVER COMPUESTO 10 CAPS 215/15 MG,262458,2028-04-01,1,219.00,40.06,40.06,40.06
27,LIF006,CARBAFEN 30 TAB 400/350MG,25K069,2027-11-30,1,198.80,41.47,41.47,41.47
