linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,20260901,2026-09-01,Nadro,7503014279552,PARCHES ALFA MED ADH 2TAM BCO C,1,53.15,53.15,,,FC-14279552,848.05,nadro
2,20260901,2026-09-01,Nadro,7506494600038,RUMOQUIN N.F. 30 TAB LGEN,1,46.94,46.94,,,FC-94600038,848.05,nadro
3,20260901,2026-09-01,Nadro,7506309873701,SH ACOND PANT RIZOS DEF2EN1 100ML,2,17.56,35.12,,,FC-09873701,848.05,nadro
4,20260901,2026-09-01,Nadro,7506306256026,ACOND DOVE DERMA CARE H-ALIV400MLN,1,56.91,56.91,,,FC-06256026,848.05,nadro
5,20260901,2026-09-01,Nadro,7506306223134,ACOND SEDAL LISO PERFECTO 300 ML,1,38.48,38.48,,,FC-06223134,848.05,nadro
6,20260901,2026-09-01,Nadro,7501022150818,JBN GRISI CONCHA NACAR 125G,1,22.92,22.92,,,FC-22150818,848.05,nadro
7,20260901,2026-09-01,Nadro,7501056371159,JBN DOVE EXFOLIAC DIARIA135G,1,28.00,28.00,,,FC-56371159,848.05,catalogo
8,20260901,2026-09-01,Nadro,7501943489165,JBN LIQ ESCUDO BLANCO NEUT 225ML,1,28.27,28.27,,,FC-43489165,848.05,catalogo
9,20260901,2026-09-01,Nadro,7501022150092,JBN GRISI LECHE DE BURRA 125G,1,22.96,22.96,,,FC-22150092,848.05,catalogo
10,20260901,2026-09-01,Nadro,037836051227,JBN LIQ GRISI CONCHA NACAR 450ML,1,55.31,55.31,,,FC-36051227,848.05,nadro
11,20260901,2026-09-01,Nadro,7501022105191,JBN GRISI NEUTRO 100G,2,16.24,32.48,,,FC-22105191,848.05,nadro
12,20260901,2026-09-01,Nadro,037836050282,JBN LIQ GRISI NEUTRO 450ML,1,55.31,55.31,,,FC-36050282,848.05,nadro
13,20260901,2026-09-01,Nadro,3337875917810,BLOQ ANTHE UVAIR 50+ FLU INV 40ML,1,372.20,372.20,,,FC-75917810,848.05,nadro
