linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,S324509,2026-09-21,Cityfarma Iztapalapa,4015630082988,ACCU CHEK EQ ACTIVE,1,499.99,499.99,,,FC-30082988,2855.11,ya
2,S324509,2026-09-21,Cityfarma Iztapalapa,4015630018277,ACCU CHEK SOFTCLIX C,2,72.42,144.84,,,FC-30018277,2855.11,ya
3,S324509,2026-09-21,Cityfarma Iztapalapa,799192067426,ACCU-CHEK EQ INSTANT,1,681.33,681.33,,,FC-92067426,2855.11,ya
4,S324509,2026-09-21,Cityfarma Iztapalapa,7502211783787,ERBITRAX T 250MG C28,2,112.50,225.00,,,FC-11783787,2855.11,alta
5,S324509,2026-09-21,Cityfarma Iztapalapa,7501165009486,LACTACYD PRO BIO SH,1,63.95,63.95,,,FC-65009486,2855.11,alta
6,S324509,2026-09-21,Cityfarma Iztapalapa,7501065008459,THERAFLU TD ROJO C10,2,170.23,340.46,,,FL-5008459,2855.11,ya
7,S324509,2026-09-21,Cityfarma Iztapalapa,7501065008473,THERAFLU VERDE C10 S,2,161.77,323.54,,,FC-5008473,2855.11,ya
8,S324509,2026-09-21,Cityfarma Iztapalapa,8020030091252,VESSEL DUE F 250 CAP,1,576.00,576.00,,,FC-30091252,2855.11,alta
