SKU,EAN,STOCK,AVAILABLE
FARMACAPITALmt_fc-30133021,7501123013302,0,false
FARMACAPITALmt_fmx-302206,7502009748011,0,false
FARMACAPITALmt_fmx-302287,7502009748196,0,false
FARMACAPITALmt_eq-nov154,7501075722604,0,false
FARMACAPITALmt_fc-75710465,7501075710465,0,false
FARMACAPITALmt_eq-ams398,7501349025271,3,true
FARMACAPITALmt_fc-369d1689,7502009746253,0,false
FARMACAPITALmt_fc-4bd80686,7502009745928,0,false
FARMACAPITALmt_fc-9b93ac4c,7502009745737,0,false
FARMACAPITALmt_eq-son024,7502001161511,0,false
FARMACAPITALmt_fc-86100158,7506386100158,0,false
FARMACAPITALmt_eq-mav410,7502009747205,0,false
FARMACAPITALmt_fc-08498798,7501008498798,0,false
FARMACAPITALmt_fc-08427330,7501008427347,0,false
FARMACAPITALmt_eq-mav266,7502009745836,0,false
FARMACAPITALmt_fc-b8d7c997,3311000003715,0,false
FARMACAPITALmt_fc-08db70cb,7503022640153,3,true
FARMACAPITALmt_fmx-300591,759684471452,0,false
FARMACAPITALmt_fc-73906469,7501573906469,0,false
FARMACAPITALmt_fc-6898b64f,7502226292182,0,false
FARMACAPITALmt_eq-bio003,7501573900115,0,false
FARMACAPITALmt_fc-1041884,7503181041884,0,false
FARMACAPITALmt_eq-bio100,7501573904151,0,false
FARMACAPITALmt_fmx-302138,7502259892144,0,false
FARMACAPITALmt_fc-09745560,7502009745560,0,false
FARMACAPITALmt_fc-79071241,7501037907124,0,false
FARMACAPITALmt_fc-7907117,7501037907117,0,false
FARMACAPITALmt_fc-c101d5b1,7501109763375,0,false
FARMACAPITALmt_fc-58db24c4,7502009747373,0,false
FARMACAPITALmt_eq-bio167,7501573908104,3,true
FARMACAPITALmt_fc-67905186,7506267905186,0,false
FARMACAPITALmt_fc-67905131,7506267905131,0,false
FARMACAPITALmt_eq-vit073,7501478317421,0,false
FARMACAPITALmt_eq-col016,0780083139575,0,false
FARMACAPITALmt_fc-25304555,7501825304555,0,false
FARMACAPITALmt_fc-75001865,75001865,0,false
FARMACAPITALmt_fc-73903260,7501573903260,0,false
FARMACAPITALmt_fc-73903246,7501573903246,0,false
FARMACAPITALmt_fmx-307626,7501384505271,0,false
FARMACAPITALmt_fc-06910913,714706910913,0,false
FARMACAPITALmt_fc-06910487,714706910487,0,false
FARMACAPITALmt_fc-06910906,714706910906,0,false
FARMACAPITALmt_fc-70100307,714706100307,0,false
FARMACAPITALmt_fc-06910609,714706910609,0,false
FARMACAPITALmt_fc-06903205,714706903205,46,true
FARMACAPITALmt_eq-bio188,7501573908036,0,false
FARMACAPITALmt_eq-bru016,7501537102586,0,false
FARMACAPITALmt_fc-08895042,7502208895042,0,false
FARMACAPITALmt_fc-37103354,7501537103354,0,false
FARMACAPITALmt_fc-103521,7501537103521,1,true
FARMACAPITALmt_eq-nov165,7501075726251,0,false
